"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.761459547209802 1.17865873420581 1.77641335772622 1.13618141875501 0.91842156474562 0.743701765942901 0.97803312221416 0.749856573100895 1.06028975063729 0.711203593800247 0.580930745643489 0.778503305627467 0.364449121895114 0.639670248153679 0.46416749564693 0.512521744664798 1.09231232354055 0.864219650299777 0.855305668499879 -0.0262293703045758 0.279936341615065 0.890861252151893 0.405381448845853 0.201331098134475 0.747234633691809 0.462135999304801 0.618685772366347 0.347824950610904 0.910574163364474 0.158775723096533 0.764578974042118 0.569919923424918 0.726007106482512 0.396233988572766 0.071887241505172 0.497782421134215 0.753176604077418 0.0967643307415789 0.0341847564440073
"ISNSL" 1.17865873420581 4.45279013020465 4.06766738520527 3.86515108428884 2.86868752575044 1.83597684014535 2.47944532403055 1.41016300548447 2.49504406099654 0.691702413021004 1.40429499183772 1.69186016535005 0.561974915411952 0.942820625327973 1.13223892509386 0.921063392082533 2.45864468040663 1.72565420337982 1.81323176868307 -0.31790373693552 1.02181221634858 2.26974823184854 1.24567540685138 0.481704408516981 1.86618897106256 1.21160662490794 1.6689515908234 1.13245783367404 2.6002134349218 0.526743841176783 1.87709515043674 1.61821870979625 1.93865158105064 0.0569145926037457 -0.151996772738526 -0.179787701849878 1.50706185347 0.304106647317885 -0.129148520735888
"ISPNS" 1.77641335772622 4.06766738520527 7.71823596463795 4.74289630800575 4.42592004194556 3.45142581935056 4.74990618266161 2.92863477386596 3.87767371890999 2.16977020093646 2.69295064970427 3.84264716710866 1.69575969688108 2.44356386537806 2.62426315600071 1.90607660890987 3.95535246794617 2.30910749368365 2.19743672648873 -0.181519477265568 1.65953554680191 3.93141116725513 1.54589328137362 0.48564953946326 2.75695450268004 2.03201320800579 2.64971958017245 0.843313703433872 3.53568866439784 0.420012091298762 2.50046025129 2.02501796029214 2.14468648565447 0.976174125351676 -0.131706948703566 1.67988681566216 2.17172337696012 -0.254666758686427 0.0372849174617296
"PMZS" 1.13618141875501 3.86515108428884 4.74289630800575 4.80784602275604 3.8615219668857 2.36539061889783 3.63997479262644 2.43646859978525 3.21756850803759 1.28891768564971 1.74870253133743 2.16794612525898 1.08340525081716 1.62524162413865 1.54053627701972 1.45488222941383 3.03566738206065 1.87868720428188 2.07379653708707 -0.59368346746219 0.911517342804798 2.90765301188751 1.29834515604416 0.210951695548871 1.90615805554614 1.44604940716633 2.2165272691858 1.20608064212905 2.78902109468515 0.544128793317468 2.27018062869933 1.44558179275873 2.40727561909111 0.197840904418285 -0.0756835867470358 0.0976717972756656 1.61620419482065 0.294918862366699 -0.0119803355743678
"PMZI" 0.91842156474562 2.86868752575044 4.42592004194556 3.8615219668857 4.1709893762701 2.3701993305569 3.20788268946949 2.43957198383378 3.87315975227405 1.99325960190182 1.7409012921262 2.12492898179469 1.48941157344154 1.88210681215329 1.54616628998723 1.58077346097741 3.01957171868774 1.9350343732606 1.96454377829641 -0.348160439491574 0.931078550776992 2.97334293017813 1.86957623786088 0.0202931010683063 1.28095311322205 1.27398219723739 2.08232844367296 1.13058673147283 2.47582792861531 0.500790577939372 2.13828651239712 1.3742437119237 2.21623275086863 0.394876439566358 -0.420448167636577 0.25432465330076 1.93665809934946 0.0742681311846718 0.231053670813183
"PMMT" 0.743701765942901 1.83597684014535 3.45142581935056 2.36539061889783 2.3701993305569 2.17461425125423 2.02606703233067 1.41251711712623 1.98083957837924 1.59250883144932 1.16146917677139 1.59557761720894 1.03505324001193 1.29411856256355 1.26888899475186 1.04032150651346 1.97797268969811 1.33176976426935 1.17059342358506 -0.207741261645259 0.795548276707946 2.03616125781887 0.807190326425414 0.515041726719611 1.44528905830756 0.875038987218921 1.11448793499322 0.620914954385032 1.56866898606828 0.245029132061494 1.21567032419925 1.10977763496779 1.16253206915453 0.661044147160695 -0.305582129617938 0.986940500482483 1.27293342452379 0.118964773129973 0.167018772881297
"NSLNA" 0.97803312221416 2.47944532403055 4.74990618266161 3.63997479262644 3.20788268946949 2.02606703233067 5.81512838219222 2.19159840228539 2.67077683883944 0.412799481267545 1.78654723862589 2.79815921257556 0.752310373373373 1.25191345795367 1.64100393597942 1.21854749383347 2.19214990791752 1.39418025211762 1.5032859563869 -0.331039791636596 1.61321175284674 2.97966277363967 0.895059021782139 0.404005716401286 2.00403350913044 1.38150949979451 1.66316579820754 0.55394741198393 2.14584080618082 0.439027466501008 1.69497160671735 0.924043506618958 1.52882606355099 -0.0804851511620312 0.261744606367413 -0.507141741931319 0.996344614780849 -0.0138684705112423 0.31935431323102
"NSLZS" 0.749856573100895 1.41016300548447 2.92863477386596 2.43646859978525 2.43957198383378 1.41251711712623 2.19159840228539 2.94321895669856 2.56044817002338 1.57058436545945 1.44789667308987 1.59188722157254 1.08552004974036 1.1610528109079 1.00941051878586 0.985774097367274 1.63471365715826 0.862943560555612 1.04065813934059 -0.111306720611939 -0.283028459064262 1.55720890239675 0.24180931698803 -0.138976329213822 0.717229146052435 0.711521351421243 1.19467701545563 0.492646231050694 1.42427121207138 0.271504648304477 1.17153759599372 0.515559212772943 1.01028490843396 0.351332463886485 -0.375063138459179 0.460716614058304 0.895305944611514 0.467180559723169 -0.188684249750074
"NSLZI" 1.06028975063729 2.49504406099654 3.87767371890999 3.21756850803759 3.87315975227405 1.98083957837924 2.67077683883944 2.56044817002338 4.50686852319389 2.39505358877884 1.68629246768192 1.90306455601199 1.45179216345868 1.579720889161 1.36326940703986 1.69036565843588 2.8820327497089 2.07789847997147 2.35040809578347 -0.506623202451032 0.572061405084708 2.70497390571 2.30982782844412 0.0559632339355896 0.879302998268281 1.13748999294953 1.9192427417929 1.12842398487395 2.03799431521036 0.429102688435983 2.08227696170543 1.42726986140808 2.59464967776163 0.37311571379645 -0.807812785002219 0.0451837054763816 2.01518431818329 0.142206456465335 0.179995242656335
"NABR" 0.711203593800247 0.691702413021004 2.16977020093646 1.28891768564971 1.99325960190182 1.59250883144932 0.412799481267545 1.57058436545945 2.39505358877884 5.2013955582937 0.93358810526199 1.04561234572542 2.11823812494174 1.70449714779428 1.30076495648419 1.66575052336301 2.59085696555319 1.84737777227716 1.66802568229999 0.574557709461617 0.565974830705245 2.08323369264029 0.802768058432064 0.562921589378139 0.548701175448123 1.11182846615759 1.00782637809674 1.65094659431956 1.06598811831712 0.144219893133273 1.26024623944014 1.98177529267121 1.36463963408507 1.42629201055471 -2.73141436340958 1.28974076382073 1.53437340238831 0.282137085902654 0.675348874450893
