"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.856815212109293 1.67039725990166 2.2039438636978 1.70077523264899 1.21852499973916 0.98285463275156 1.32926740870948 0.878415968042244 0.943241019682584 0.193097278832803 0.343508436760291 0.75365501926856 0.125618480382792 0.420857980058874 0.868339759394653 0.278731074229158 0.530189354410337 0.55194507255143 0.612947351435524 0.0112887162515839 0.0339160169552325 1.05238968683568 0.4019657267333 0.473869943257186 0.893336433838748 0.50614527719853 0.687044735251614 0.812580288151976 0.425080288935905 -0.00672280465196007 0.627382798631816 0.815663976931018 0.839565319007504 0.441556680007598 -0.0752078748824385 0.729386892882403 0.503478680939278 0.123084998803218 0.147101142840898
"ISNSL" 1.67039725990166 6.63112068799817 6.34845514199179 6.18755813507446 4.47601605787583 3.4250098498286 2.60553988378211 2.23144909356122 2.82018346906562 1.07998467347582 1.2081008531784 2.23284214868543 0.247705617780639 1.38501110215129 3.48132519403833 1.56243761783963 1.84533917997356 1.27273103868072 1.84323475644408 2.08962237833411 -0.163727669987538 3.16268866821792 1.35064259689948 1.28985728323043 2.55840644267027 0.542454990859617 2.17952439723825 2.44214074386496 1.2653095755668 -0.397169244625949 1.92589113679446 1.76194321495167 1.61377774437106 0.164450983885757 0.614738985367028 0.791378821649017 0.845159991568109 0.0821350704782282 0.0457279970154392
"ISPNS" 2.2039438636978 6.34845514199179 9.15206680453902 7.01025945920209 5.14250763401274 4.273402538469 3.91013047684443 2.68994018916822 3.21598681636328 1.22892874347266 1.38934886570846 2.7901175290258 1.13247993440754 1.8857236995343 3.03181059007552 1.1229186772886 2.16434423205481 1.94252094602489 2.12426429192565 0.267201117533912 0.0299891962349513 3.55284621686513 1.82974260672874 1.9673412091999 3.88771534726268 2.05103154230711 2.9856812742672 1.96847382053973 1.63549199729639 0.309956127758192 2.35905534219966 2.49148122206857 2.87690791837485 0.688035761119669 0.610646026116197 2.08206707031451 2.15848091957928 -0.81814856909509 0.137540847723481
"PMZS" 1.70077523264899 6.18755813507446 7.01025945920209 8.92395533082075 5.96244844261776 4.57926130926618 5.07535778434886 4.87761520776781 3.30704693040992 1.39817283020754 1.91540286604635 2.90991130122206 0.388935699595391 1.95628115513769 3.72305578738273 2.7629862405442 2.93971391427171 2.1479071342869 2.91998891730902 2.92715699899691 -1.22832456036619 3.90048490083816 0.643037048437461 1.96191902374446 3.97456112065816 0.0429741599499648 2.37623952602392 2.77040255340039 1.37171073324547 -0.0805932795736498 2.51040644822416 1.43644939908727 2.96279041192125 0.877363108721246 -1.54035627845245 3.09248286602601 1.64538351170052 -0.724480668798723 -0.368460403299269
"PMZI" 1.21852499973916 4.47601605787583 5.14250763401274 5.96244844261776 5.02341794130473 3.5349279725583 3.220746654245 2.9156327089444 2.94157075466095 0.835500758510156 1.27879847249981 1.98025138914807 0.0884891699752556 1.28939563469366 2.21239317854432 1.90305639994315 2.24029610547535 1.89852362716999 2.06087257177135 1.7905344050854 -0.446512001727247 2.65461234880589 0.998778256907567 1.35657163167554 1.98373700172012 -0.160035682426249 1.72517238403976 2.03269900991055 0.979140436127442 -0.0823475217146533 1.65448166418021 1.06995104284862 1.81704154754816 0.210623546792647 -0.935141297642029 1.56501011688535 1.51480492600291 -0.69930969900568 -0.238333142036277
"PMMT" 0.98285463275156 3.4250098498286 4.273402538469 4.57926130926618 3.5349279725583 3.17700454566143 2.45537100553689 2.2565394728875 2.00751648975081 0.472699801379628 1.01466888272214 1.43602863142905 0.100673108183709 0.892352661472749 1.70951492674897 1.23420904200209 1.54291508927893 1.22942998450348 1.52000142645364 1.00788400673356 -0.238232841142871 2.03804032458946 0.683419712519426 1.20781987049154 1.91596239744714 0.27234050741083 1.27476892903827 1.41339326461465 0.690192438413595 -0.10637773505857 1.34672431757644 0.861109244339198 1.47417587440691 0.252983594780118 -0.297699000904222 1.3398510734538 1.0309057647228 -0.564868389467436 -0.0821051453238365
"NSLNA" 1.32926740870948 2.60553988378211 3.91013047684443 5.07535778434886 3.220746654245 2.45537100553689 7.16158950091324 2.95996533514487 2.16659688952792 0.38705874003418 0.93776398733595 3.01890741499581 1.00034235592929 1.12689571604541 2.06373521919797 1.54104046355943 2.11697154656225 1.89787596777398 1.9959844963639 0.394980753509896 -0.0337036216656516 3.23693606068499 0.766385228066249 1.53433336617493 2.81819961800698 1.25719044534507 1.53156903482583 2.35020643375966 1.07273977533746 0.780401920925365 2.05110526544309 2.62318817889399 3.05817919321009 0.82399056365794 -1.66688762701546 1.94556105578484 2.30651711522533 -0.282077463289959 0.148569753997268
"NSLZS" 0.878415968042244 2.23144909356122 2.68994018916822 4.87761520776781 2.9156327089444 2.2565394728875 2.95996533514487 5.12131543309819 2.1590825071558 0.869183889874932 1.41187668250201 0.810256511691027 -0.495454959438734 0.762740953360244 1.99361618064557 2.02065508856363 1.46372802769293 1.04861371177249 2.13852196470122 2.29668020571405 -1.87268017974538 1.62793773338222 -1.06158516939703 0.964760964094542 2.47646337264798 -0.664731176897019 0.749623757017099 1.26579933908117 0.309252937860626 -0.523970670505266 1.0419394482269 -0.462558377529102 2.32951455194221 0.939055659414064 -2.88612384721687 3.33722845494692 0.489075225144233 -0.696219090461236 -0.602435822028681
"NSLZI" 0.943241019682584 2.82018346906562 3.21598681636328 3.30704693040992 2.94157075466095 2.00751648975081 2.16659688952792 2.1590825071558 3.11062261896478 0.774150588778499 0.855604035944354 1.26719567974512 -0.0479782546321989 0.421832871023468 1.50110413983839 0.98440919800972 1.40241422662747 1.27527184499317 1.63471911309848 0.785951742633292 -0.123615178413943 1.80814039151965 1.51118057816908 0.872840692693089 0.867894689035265 1.15778131823853 1.04154756747155 1.57238744015696 0.786150359543866 -0.148051252965104 1.06555147391238 1.39963936023777 1.84933455896736 0.155132113807316 -0.832048401738701 0.672072917716176 1.03596279332454 -0.494469087462648 -0.0348201366165707
"NABR" 0.193097278832803 1.07998467347582 1.22892874347266 1.39817283020754 0.835500758510156 0.472699801379628 0.38705874003418 0.869183889874932 0.774150588778499 3.23604978147369 0.863614440239076 0.696559386059215 0.92480156254996 1.18323914683916 1.89165450848895 1.12556316820446 0.721726240122296 0.225980812574956 1.03387079343953 1.29876427109467 -0.0219295271787228 0.69016278762795 0.395339266461935 0.485556147503575 0.787270216761495 0.99415097791362 0.263142891003752 0.692788973890819 0.0639990084222024 -0.456744223636785 0.280635587045785 0.771292940722828 0.819942164310956 0.0276903832153985 -0.402269550548492 -0.0983838797503363 0.0290284469887102 -0.222843320828227 0.291802502306095
"NAFM" 0.343508436760291 1.2081008531784 1.38934886570846 1.91540286604635 1.27879847249981 1.01466888272214 0.93776398733595 1.41187668250201 0.855604035944354 0.863614440239076 1.14740241232539 0.678952963521072 0.24258855835728 0.648958184007383 1.09485032701769 0.904632242173173 0.773644645138028 0.30004989126081 0.847710483859794 0.906628976068734 -0.0820491804825146 0.787374128926199 0.0762489737128671 0.230806435939138 1.07935137754171 0.17936230111415 0.59682810630018 0.754223062388541 0.406515305141723 -0.210778717908693 0.465565119045962 0.17474084770942 1.00929738575262 0.354373059644664 -0.882026493803806 0.862057160268363 0.189678541814207 -0.716793927161602 0.0254001326591429
"NAPNS" 0.75365501926856 2.23284214868543 2.7901175290258 2.90991130122206 1.98025138914807 1.43602863142905 3.01890741499581 0.810256511691027 1.26719567974512 0.696559386059215 0.678952963521072 2.83413439779805 1.0876986489996 1.37499629619997 1.56227781624795 0.898171242932104 1.55985899782366 1.1961586225112 0.776290988882482 0.200527037703649 0.227339343772652 2.19203951139587 1.17959880811124 0.858648607360132 1.55866466173444 0.73979853563968 0.933078648163949 1.50822428355184 0.946880576202025 0.469834271937465 1.12451782603584 1.73019179173488 0.963073931436142 0.3396799656921 0.723834391888788 0.277755766210483 1.76757941695307 -0.122257854254542 0.371022797488214
"BRPT" 0.125618480382792 0.247705617780639 1.13247993440754 0.388935699595391 0.0884891699752556 0.100673108183709 1.00034235592929 -0.495454959438734 -0.0479782546321989 0.92480156254996 0.24258855835728 1.0876986489996 3.31292097272424 1.35247187170302 -1.54322006834113 -1.41395590834747 -0.255192883150485 0.402705028201252 -1.50563955609831 -2.32777268799592 0.464816556711401 0.880607037035938 0.648515639462925 0.442985317221332 0.37350308054124 0.81656341555739 0.749363701967391 -0.00711070393937108 0.348573422802584 0.627746945710088 0.146248705724744 1.06095340952995 -0.331576004688783 0.662677814287654 1.19303805001278 -0.0644120647438685 1.31748304939768 -0.0716290602897041 0.155578262280465
"BRAPET" 0.420857980058874 1.38501110215129 1.8857236995343 1.95628115513769 1.28939563469366 0.892352661472749 1.12689571604541 0.762740953360244 0.421832871023468 1.18323914683916 0.648958184007383 1.37499629619997 1.35247187170302 2.11763096094692 1.41373909558465 0.894066052503306 0.840266507205305 0.117751826538829 0.317008119460297 -0.0456605353955505 -0.0969615433569515 1.3045477238589 0.223302927274872 0.507593344107647 1.22399482198534 0.939240989856808 0.692177113142359 0.73769440567684 0.42186315895579 0.105838675471763 0.678808272781633 0.811399021344752 0.558685618869811 0.455957355831844 0.700385423806697 0.946453671767339 0.226531964014273 -0.125519297728735 0.223915287166464
"PTFM" 0.868339759394653 3.48132519403833 3.03181059007552 3.72305578738273 2.21239317854432 1.70951492674897 2.06373521919797 1.99361618064557 1.50110413983839 1.89165450848895 1.09485032701769 1.56227781624795 -1.54322006834113 1.41373909558465 7.88985576934597 3.30227956500195 1.05461911358897 -1.84763923920088 2.4062222763844 4.55756542473621 -0.323115487873359 2.0945735441859 0.325857876058221 1.02288719390922 2.92619699732459 2.02255470428275 0.52320450941493 2.51165867151201 0.268635485637374 -0.896832474801169 1.75006473776953 1.86027438800711 2.44709211113411 -0.177159903139377 0.552334599538112 1.09285441359458 -2.77641238857318 -0.0781885517181561 0.471198522518829
"PTAPET" 0.278731074229158 1.56243761783963 1.1229186772886 2.7629862405442 1.90305639994315 1.23420904200209 1.54104046355943 2.02065508856363 0.98440919800972 1.12556316820446 0.904632242173173 0.898171242932104 -1.41395590834747 0.894066052503306 3.30227956500195 3.85653523984975 2.38948019460374 0.679807557274081 2.93709736033012 3.3834468745755 -0.68614905270079 1.22988151439903 -0.295047307963341 0.667609961061576 1.4361071330663 0.0187400579122719 0.409687791460512 1.50061321254832 -0.0266658902430048 -0.683840089722739 0.824625949861487 0.25570287903081 1.78999600994531 -0.0113158018110485 -1.64475861433339 1.42594000214118 0.00736222986572326 -0.340143209685154 -0.0453918206814795
"PTBA" 0.530189354410337 1.84533917997356 2.16434423205481 2.93971391427171 2.24029610547535 1.54291508927893 2.11697154656225 1.46372802769293 1.40241422662747 0.721726240122296 0.773644645138028 1.55985899782366 -0.255192883150485 0.840266507205305 1.05461911358897 2.38948019460374 3.20724850001159 2.40792072912945 2.42887829364456 0.907328291884824 -0.214581039746783 1.89764860258819 0.690276071100684 0.730270079254286 1.03391764828534 0.313378955984778 1.20586656993179 1.41889313418457 1.30375253444047 0.0925919961946716 1.12983877178767 1.06165644495913 1.49510641180865 0.219218278368435 -1.05941278474909 0.791883067951801 2.37728537534911 -0.649925313567515 0.135254265931271
"PTEAM" 0.55194507255143 1.27273103868072 1.94252094602489 2.1479071342869 1.89852362716999 1.22942998450348 1.89787596777398 1.04861371177249 1.27527184499317 0.225980812574956 0.30004989126081 1.1961586225112 0.402705028201252 0.117751826538829 -1.84763923920088 0.679807557274081 2.40792072912945 3.67625051590818 1.66132608653733 -0.579477512686251 -0.0348416947614998 1.39999481131464 0.766175279651748 0.492844627573988 0.295602578220192 -0.304353908940549 1.06149328653482 0.752284085697462 1.02143142268119 0.34478242327618 0.415494170692531 0.747642827096356 0.675365463653433 0.155410061001062 -0.994286818477974 0.0724266612700423 3.78338679796001 -0.260738555064442 0.0300645607837322
"PTZYGO" 0.612947351435524 1.84323475644408 2.12426429192565 2.91998891730902 2.06087257177135 1.52000142645364 1.9959844963639 2.13852196470122 1.63471911309848 1.03387079343953 0.847710483859794 0.776290988882482 -1.50563955609831 0.317008119460297 2.4062222763844 2.93709736033012 2.42887829364456 1.66132608653733 4.01475001918261 2.8178247049644 -0.362606895817962 1.28636860653413 0.383013509018242 0.613781103167727 1.58032376224366 0.837049155779987 0.833566871791042 1.34092001364994 0.437970152907802 -0.417225673745014 0.891032770742137 0.712670606748218 2.58624784354798 0.0389661322448179 -2.10559179884726 1.23250980916718 0.735467919438438 -0.332021323584424 -0.0449492065168177
"PTTSP" 0.0112887162515839 2.08962237833411 0.267201117533912 2.92715699899691 1.7905344050854 1.00788400673356 0.394980753509896 2.29668020571405 0.785951742633292 1.29876427109467 0.906628976068734 0.200527037703649 -2.32777268799592 -0.0456605353955505 4.55756542473621 3.3834468745755 0.907328291884824 -0.579477512686251 2.8178247049644 9.08963509215985 -1.00449320239853 0.609021572509378 -0.608508205451068 -0.0193647406732911 0.916722517387332 -3.55711788594525 -0.153730463318107 1.37947700971405 -0.754586983451552 -1.07792011692113 -0.207481214891409 -0.568483917094926 -0.0878937496638699 -0.806205104612875 -0.564713180102595 0.489693976407176 -2.20657160586644 -0.841822717720917 -0.634904614521221
"FMZS" 0.0339160169552325 -0.163727669987538 0.0299891962349513 -1.22832456036619 -0.446512001727247 -0.238232841142871 -0.0337036216656516 -1.87268017974538 -0.123615178413943 -0.0219295271787228 -0.0820491804825146 0.227339343772652 0.464816556711401 -0.0969615433569515 -0.323115487873359 -0.68614905270079 -0.214581039746783 -0.0348416947614998 -0.362606895817962 -1.00449320239853 1.58175891425022 0.123157260945783 1.04895014376752 -0.202080496772707 -0.310286377992912 1.30857685495955 0.12864456930835 0.183071632872242 0.18361924586165 0.230450173378056 0.0176577335771524 0.998539624631838 -0.0457026454090101 -0.280062180593812 1.1076923397051 -1.49319508995458 0.162334007941942 0.0129522390554791 0.569784818090518
"FMMT" 1.05238968683568 3.16268866821792 3.55284621686513 3.90048490083816 2.65461234880589 2.03804032458946 3.23693606068499 1.62793773338222 1.80814039151965 0.69016278762795 0.787374128926199 2.19203951139587 0.880607037035938 1.3045477238589 2.0945735441859 1.22988151439903 1.89764860258819 1.39999481131464 1.28636860653413 0.609021572509378 0.123157260945783 3.2569145544938 1.03013273260594 1.43172815420162 2.11875035133706 1.24756053238421 1.69971839298791 2.29052642032941 1.00840430750613 0.216753012330441 1.58847378247272 2.01461035900937 1.41462678027722 0.434617463051219 -0.0354056866722726 1.12354911328318 1.49407560000443 0.0965286375802541 0.160573987819528
"ZSZI" 0.4019657267333 1.35064259689948 1.82974260672874 0.643037048437461 0.998778256907567 0.683419712519426 0.766385228066249 -1.06158516939703 1.51118057816908 0.395339266461935 0.0762489737128671 1.17959880811124 0.648515639462925 0.223302927274872 0.325857876058221 -0.295047307963341 0.690276071100684 0.766175279651748 0.383013509018242 -0.608508205451068 1.04895014376752 1.03013273260594 2.39914367829908 0.244970199642605 -0.408679377874432 1.89953009147241 0.688577184277928 0.76037948815791 0.823657827232083 0.473177544387208 0.51427754610906 2.08641790464525 0.474800791823504 -0.277312364658725 1.39142950230513 -1.27092992576785 0.953153335182553 -0.229895254664852 0.375222190350802
"ZIMT" 0.473869943257186 1.28985728323043 1.9673412091999 1.96191902374446 1.35657163167554 1.20781987049154 1.53433336617493 0.964760964094542 0.872840692693089 0.485556147503575 0.230806435939138 0.858648607360132 0.442985317221332 0.507593344107647 1.02288719390922 0.667609961061576 0.730270079254286 0.492844627573988 0.613781103167727 -0.0193647406732911 -0.202080496772707 1.43172815420162 0.244970199642605 1.68023938105665 1.31762527491785 0.696205005510807 0.622843633034902 1.00510631738935 -0.0170434957010959 -0.00181409631477676 0.646766410310819 0.650689947455593 0.748314828743346 0.348825671534308 -0.496649283385524 1.36541914952326 0.564211793702859 -0.00441195029805866 -0.226367215962625
"ZIZYGO" 0.893336433838748 2.55840644267027 3.88771534726268 3.97456112065816 1.98373700172012 1.91596239744714 2.81819961800698 2.47646337264798 0.867894689035265 0.787270216761495 1.07935137754171 1.55866466173444 0.37350308054124 1.22399482198534 2.92619699732459 1.4361071330663 1.03391764828534 0.295602578220192 1.58032376224366 0.916722517387332 -0.310286377992912 2.11875035133706 -0.408679377874432 1.31762527491785 4.85087300428372 1.46076511427318 1.34710539229627 1.36239945197899 0.333786363604301 -0.00427679427297857 1.6328625349883 0.244179699234401 2.7266473188087 0.4608306017895 -0.607265619725229 1.96140252915269 0.373064524712826 -0.578775560533514 0.268069038213549
"ZITSP" 0.50614527719853 0.542454990859617 2.05103154230711 0.0429741599499648 -0.160035682426249 0.27234050741083 1.25719044534507 -0.664731176897019 1.15778131823853 0.99415097791362 0.17936230111415 0.73979853563968 0.81656341555739 0.939240989856808 2.02255470428275 0.0187400579122719 0.313378955984778 -0.304353908940549 0.837049155779987 -3.55711788594525 1.30857685495955 1.24756053238421 1.89953009147241 0.696205005510807 1.46076511427318 7.66218415290038 0.715629497900809 0.773298673679952 0.701363634357383 0.376786972166607 1.37236624746139 2.80993991717267 2.93585006912396 0.448096085049599 0.722405696737179 0.269929566134631 -0.254242705935428 0.796753864137035 0.7657570351744
"MTPNS" 0.687044735251614 2.17952439723825 2.9856812742672 2.37623952602392 1.72517238403976 1.27476892903827 1.53156903482583 0.749623757017099 1.04154756747155 0.263142891003752 0.59682810630018 0.933078648163949 0.749363701967391 0.692177113142359 0.52320450941493 0.409687791460512 1.20586656993179 1.06149328653482 0.833566871791042 -0.153730463318107 0.12864456930835 1.69971839298791 0.688577184277928 0.622843633034902 1.34710539229627 0.715629497900809 1.736456510827 0.876709629193668 0.968300248942274 0.350834672724806 0.989302055088026 1.12422945971434 1.04000074265544 0.265247558628571 -0.310437433472746 0.723963103662445 1.24696975959065 -0.436110856534767 -0.0706235048549061
"PNSAPET" 0.812580288151976 2.44214074386496 1.96847382053973 2.77040255340039 2.03269900991055 1.41339326461465 2.35020643375966 1.26579933908117 1.57238744015696 0.692788973890819 0.754223062388541 1.50822428355184 -0.00711070393937108 0.73769440567684 2.51165867151201 1.50061321254832 1.41889313418457 0.752284085697462 1.34092001364994 1.37947700971405 0.183071632872242 2.29052642032941 0.76037948815791 1.00510631738935 1.36239945197899 0.773298673679952 0.876709629193668 2.63989910356162 0.435896435313216 -0.34312886093531 1.10032580625918 1.76711243319614 1.31234824652079 0.294451327936612 -0.506593285894977 0.436123366055753 0.316210702852357 0.250712400937115 0.290734437385127
"APETBA" 0.425080288935905 1.2653095755668 1.63549199729639 1.37171073324547 0.979140436127442 0.690192438413595 1.07273977533746 0.309252937860626 0.786150359543866 0.0639990084222024 0.406515305141723 0.946880576202025 0.348573422802584 0.42186315895579 0.268635485637374 -0.0266658902430048 1.30375253444047 1.02143142268119 0.437970152907802 -0.754586983451552 0.18361924586165 1.00840430750613 0.823657827232083 -0.0170434957010959 0.333786363604301 0.701363634357383 0.968300248942274 0.435896435313216 1.75944567279383 0.483806800150646 0.857217860683659 1.252067489215 0.641015152426216 0.129402124062317 0.286875021833556 -0.194275289664941 1.36761481954654 -0.580691778184322 0.155571156872432
"APETTS" -0.00672280465196007 -0.397169244625949 0.309956127758192 -0.0805932795736498 -0.0823475217146533 -0.10637773505857 0.780401920925365 -0.523970670505266 -0.148051252965104 -0.456744223636785 -0.210778717908693 0.469834271937465 0.627746945710088 0.105838675471763 -0.896832474801169 -0.683840089722739 0.0925919961946716 0.34478242327618 -0.417225673745014 -1.07792011692113 0.230450173378056 0.216753012330441 0.473177544387208 -0.00181409631477676 -0.00427679427297857 0.376786972166607 0.350834672724806 -0.34312886093531 0.483806800150646 1.13351054769819 0.216661478419223 0.48865411369877 -0.145742342758051 -0.0753654148402971 0.972398076325738 -0.125541579946063 0.956820631291302 -0.250601585365868 -0.0425123283843076
"BAEAM" 0.627382798631816 1.92589113679446 2.35905534219966 2.51040644822416 1.65448166418021 1.34672431757644 2.05110526544309 1.0419394482269 1.06555147391238 0.280635587045785 0.465565119045962 1.12451782603584 0.146248705724744 0.678808272781633 1.75006473776953 0.824625949861487 1.12983877178767 0.415494170692531 0.891032770742137 -0.207481214891409 0.0176577335771524 1.58847378247272 0.51427754610906 0.646766410310819 1.6328625349883 1.37236624746139 0.989302055088026 1.10032580625918 0.857217860683659 0.216661478419223 1.70527358004002 1.30688258370713 1.63358117490866 0.195634047358129 -0.531416222051368 0.696503644678346 0.582108054682745 0.1222362874759 0.222143677323525
"EAMZYGO" 0.815663976931018 1.76194321495167 2.49148122206857 1.43644939908727 1.06995104284862 0.861109244339198 2.62318817889399 -0.462558377529102 1.39963936023777 0.771292940722828 0.17474084770942 1.73019179173488 1.06095340952995 0.811399021344752 1.86027438800711 0.25570287903081 1.06165644495913 0.747642827096356 0.712670606748218 -0.568483917094926 0.998539624631838 2.01461035900937 2.08641790464525 0.650689947455593 0.244179699234401 2.80993991717267 1.12422945971434 1.76711243319614 1.252067489215 0.48865411369877 1.30688258370713 4.11138062652489 1.2549664619544 0.19272146628407 1.09438966827941 -0.609665540735175 0.96208562060686 0.242203263905108 0.475824174549954
"ZYGOTSP" 0.839565319007504 1.61377774437106 2.87690791837485 2.96279041192125 1.81704154754816 1.47417587440691 3.05817919321009 2.32951455194221 1.84933455896736 0.819942164310956 1.00929738575262 0.963073931436142 -0.331576004688783 0.558685618869811 2.44709211113411 1.78999600994531 1.49510641180865 0.675365463653433 2.58624784354798 -0.0878937496638699 -0.0457026454090101 1.41462678027722 0.474800791823504 0.748314828743346 2.7266473188087 2.93585006912396 1.04000074265544 1.31234824652079 0.641015152426216 -0.145742342758051 1.63358117490866 1.2549664619544 4.07373367840206 0.548479343502634 -2.10450150256154 1.48583064747693 0.438768359975659 -0.418205803601048 0.288729878964714
"LDAS" 0.441556680007598 0.164450983885757 0.688035761119669 0.877363108721246 0.210623546792647 0.252983594780118 0.82399056365794 0.939055659414064 0.155132113807316 0.0276903832153985 0.354373059644664 0.3396799656921 0.662677814287654 0.455957355831844 -0.177159903139377 -0.0113158018110485 0.219218278368435 0.155410061001062 0.0389661322448179 -0.806205104612875 -0.280062180593812 0.434617463051219 -0.277312364658725 0.348825671534308 0.4608306017895 0.448096085049599 0.265247558628571 0.294451327936612 0.129402124062317 -0.0753654148402971 0.195634047358129 0.19272146628407 0.548479343502634 1.97257518918598 -1.23055274114161 2.45425636868733 0.112362132676847 0.208709094451271 -0.020896987295392
"BRLD" -0.0752078748824385 0.614738985367028 0.610646026116197 -1.54035627845245 -0.935141297642029 -0.297699000904222 -1.66688762701546 -2.88612384721687 -0.832048401738701 -0.402269550548492 -0.882026493803806 0.723834391888788 1.19303805001278 0.700385423806697 0.552334599538112 -1.64475861433339 -1.05941278474909 -0.994286818477974 -2.10559179884726 -0.564713180102595 1.1076923397051 -0.0354056866722726 1.39142950230513 -0.496649283385524 -0.607265619725229 0.722405696737179 -0.310437433472746 -0.506593285894977 0.286875021833556 0.972398076325738 -0.531416222051368 1.09438966827941 -2.10450150256154 -1.23055274114161 9.32878257056834 -3.19959039457083 0.204069352318789 -0.729215244047202 0.930357404357429
"OPILD" 0.729386892882403 0.791378821649017 2.08206707031451 3.09248286602601 1.56501011688535 1.3398510734538 1.94556105578484 3.33722845494692 0.672072917716176 -0.0983838797503363 0.862057160268363 0.277755766210483 -0.0644120647438685 0.946453671767339 1.09285441359458 1.42594000214118 0.791883067951801 0.0724266612700423 1.23250980916718 0.489693976407176 -1.49319508995458 1.12354911328318 -1.27092992576785 1.36541914952326 1.96140252915269 0.269929566134631 0.723963103662445 0.436123366055753 -0.194275289664941 -0.125541579946063 0.696503644678346 -0.609665540735175 1.48583064747693 2.45425636868733 -3.19959039457083 6.12737425184723 -0.23338193990894 -0.323719980638979 -1.04325439138793
"PTAS" 0.503478680939278 0.845159991568109 2.15848091957928 1.64538351170052 1.51480492600291 1.0309057647228 2.30651711522533 0.489075225144233 1.03596279332454 0.0290284469887102 0.189678541814207 1.76757941695307 1.31748304939768 0.226531964014273 -2.77641238857318 0.00736222986572326 2.37728537534911 3.78338679796001 0.735467919438438 -2.20657160586644 0.162334007941942 1.49407560000443 0.953153335182553 0.564211793702859 0.373064524712826 -0.254242705935428 1.24696975959065 0.316210702852357 1.36761481954654 0.956820631291302 0.582108054682745 0.96208562060686 0.438768359975659 0.112362132676847 0.204069352318789 -0.23338193990894 5.43891330062522 -0.565770186283919 0.211345681271001
"JPAS" 0.123084998803218 0.0821350704782282 -0.81814856909509 -0.724480668798723 -0.69930969900568 -0.564868389467436 -0.282077463289959 -0.696219090461236 -0.494469087462648 -0.222843320828227 -0.716793927161602 -0.122257854254542 -0.0716290602897041 -0.125519297728735 -0.0781885517181561 -0.340143209685154 -0.649925313567515 -0.260738555064442 -0.332021323584424 -0.841822717720917 0.0129522390554791 0.0965286375802541 -0.229895254664852 -0.00441195029805866 -0.578775560533514 0.796753864137035 -0.436110856534767 0.250712400937115 -0.580691778184322 -0.250601585365868 0.1222362874759 0.242203263905108 -0.418205803601048 0.208709094451271 -0.729215244047202 -0.323719980638979 -0.565770186283919 2.94717761757005 0.174056052346961
"BAOPI" 0.147101142840898 0.0457279970154392 0.137540847723481 -0.368460403299269 -0.238333142036277 -0.0821051453238365 0.148569753997268 -0.602435822028681 -0.0348201366165707 0.291802502306095 0.0254001326591429 0.371022797488214 0.155578262280465 0.223915287166464 0.471198522518829 -0.0453918206814795 0.135254265931271 0.0300645607837322 -0.0449492065168177 -0.634904614521221 0.569784818090518 0.160573987819528 0.375222190350802 -0.226367215962625 0.268069038213549 0.7657570351744 -0.0706235048549061 0.290734437385127 0.155571156872432 -0.0425123283843076 0.222143677323525 0.475824174549954 0.288729878964714 -0.020896987295392 0.930357404357429 -1.04325439138793 0.211345681271001 0.174056052346961 1.02208761156559
