"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.631558815566087 0.958966240994516 1.48256353521096 0.734728102926863 0.538371163628097 0.192465180280996 0.304014735097813 0.465911080731246 0.440987524732332 0.77381378292297 0.125298446911428 0.43835076052489 0.227586263294525 0.274026535578545 0.555831019549065 0.0598052456207956 0.143451882923799 0.00471643060401447 0.0988485440853947 -0.0325219228297969 0.0364427553907637 0.856749824786044 0.0630215708651342 0.243212350420694 0.389053691202935 0.530754929729178 0.775474474997324 0.110016968672009 0.23591434670611 0.172490979507355 0.393635003653535 0.393687507996182 -0.120513027438045 -0.112077299794258 0.34810446393422 -0.241247677771758 0.108478353219419 -0.0804738210473339 0.013252329890266
"ISNSL" 0.958966240994516 5.35083954787707 4.65440364576464 4.00573238726977 3.23551251553328 2.45503870047522 0.500068914160804 0.742356903097154 2.2204773019547 1.9672573853527 1.00595123545536 1.41979704334324 0.588155926821582 1.46624747027676 1.95850254194421 0.160491366432527 0.791649503576895 1.0767167401889 0.97731760940365 -0.534032071232059 0.927945497421234 2.32798309128778 1.50008432939525 0.720666803909663 1.47111883966508 2.17464736676045 1.67465349102166 1.59979361837891 1.46019446157622 1.09072186181453 1.35791470770168 3.15373595365453 1.5947790235719 0.181655245036507 2.65333722534652 0.251619432165479 1.68716747273975 -0.774498681713374 0.789624347126693
"ISPNS" 1.48256353521096 4.65440364576464 10.3483042886426 5.62475853992247 4.82569664099284 3.09405528163521 3.51799785365147 1.38715426030346 3.22805601165855 2.17915821438539 0.939297519387956 3.6939683943473 1.05329653368293 2.08226075391336 1.82413542847763 0.400290755638982 1.97915250450969 2.51862990047547 1.92534108859603 0.0410964641661586 1.91396957243928 5.00924152539884 2.43202584955252 1.19508301391532 3.11146239592291 2.78381983180436 4.25307432865961 -0.785504835212606 2.13825036024065 0.8573046208263 1.82088418958895 3.60493291243134 1.13147343258146 0.758562841248673 3.11590061206661 1.13811848780198 3.018083059667 -1.08026385207905 -0.177593238073524
"PMZS" 0.734728102926863 4.00573238726977 5.62475853992247 5.77520333500326 4.58673119012139 3.23710986633103 3.24844683940602 1.51365129629989 2.95848432954976 2.12382301765699 1.26956501342327 2.0985355494361 0.384779789831788 1.46646096416295 2.26387467779857 0.00328695165445713 1.37341697832523 2.14994991425182 1.76302589948249 -0.0955292475092585 1.24196181442685 3.64122410254499 2.39317311716756 1.06179944359488 2.25061367119688 2.12891750005658 2.4467312469949 1.9184851156166 2.17522050455819 1.3067788366507 1.4955120438007 3.60918416176828 1.94778456823676 0.404991041755854 3.5654487444728 1.20725473576237 2.94601176422596 -0.865428517616888 0.589520267546179
"PMZI" 0.538371163628097 3.23551251553328 4.82569664099284 4.58673119012139 5.63405104793876 3.88581131710377 1.912784626472 1.09909481114277 3.73162975581834 1.53552946105815 1.51874570328919 1.7376399668166 -0.063811876952711 2.03156171227674 1.9298047474427 0.711868818409487 1.82732170597943 2.08065072255103 1.74485918053693 -0.323466339977616 1.36627875410933 2.955919968124 2.66366001230973 1.29033935566775 0.622966702480555 0.616152107783557 2.05464052898726 1.77464448100417 2.09995752778247 1.29671542023795 1.56638181369496 2.92128747064367 2.50547853551076 0.87488127999569 3.22944893193122 2.10832860550385 2.3903687439021 -0.377993838136681 0.336898447524236
"PMMT" 0.192465180280996 2.45503870047522 3.09405528163521 3.23710986633103 3.88581131710377 4.19547785819865 0.975925306567863 0.649520781147282 2.50304191141328 0.76745796026108 1.29487433824601 0.936015667454855 -0.23724844388491 1.65965685793464 1.43880052448472 0.871493615162738 1.67813930979577 1.79049074628079 1.53017068091027 0.00853424889317855 0.814113786733382 1.32373262050542 1.87209604746305 1.27441581302179 0.30002170098101 0.51132382707654 0.682703119098505 1.65235547068647 1.74532085051943 1.25106370812692 1.34433054401441 2.47421123358108 2.08919931755948 0.761656894184897 2.88334379550517 1.96364918484536 1.96438413440038 -0.0774679752285905 0.392227236350023
"NSLNA" 0.304014735097813 0.500068914160804 3.51799785365147 3.24844683940602 1.912784626472 0.975925306567863 6.65989776629321 1.42453060750425 1.7118505373601 -0.694467951327768 0.914633263004734 2.45734783043816 0.482639722240053 0.327071472503956 0.476446500290341 -0.452255632851403 0.548668063934825 1.2544251778734 0.995867308843398 0.800822009326869 1.57384806481575 2.73444418688148 1.55975061820114 0.130725943532522 1.28765483825715 0.587998877706414 1.5852523106942 0.0613651041120329 1.03578435621257 0.201013503897087 0.644254695301619 1.73713832460617 0.556928786781503 1.05229108790202 1.75448448648893 0.667639753112022 1.80450857169751 -0.765242711863091 0.404126570870842
"NSLZS" 0.465911080731246 0.742356903097154 1.38715426030346 1.51365129629989 1.09909481114277 0.649520781147282 1.42453060750425 1.91778421222614 1.47124916344613 1.29091443709448 0.556021818043956 0.572101567454958 0.631653151009882 0.599887731150291 0.661133276199398 -0.375400557854067 -0.0538293880790102 0.164959785938018 0.296536165982568 -0.315006549352138 -0.0789978114872635 1.22582666404989 0.0819422742337827 0.0848732142938975 0.39524382375395 0.466815395918561 0.787323523965264 0.449458113348974 0.461485219224754 0.400521267229495 0.442751657952344 0.437240449279869 0.164018129275859 -0.0192681013733366 0.957148391583826 0.165815905508529 0.62819410642691 -0.22462570265344 0.195641656273779
"NSLZI" 0.440987524732332 2.2204773019547 3.22805601165855 2.95848432954976 3.73162975581834 2.50304191141328 1.7118505373601 1.47124916344613 3.59570072978859 1.64522100842214 1.26142401681798 1.42501116181064 0.613521484200337 1.66500820465489 1.2091327178743 0.145034670547316 1.11887446446107 1.39479886840724 1.25293773044366 -0.369875789255643 0.999699990334628 2.09271714646932 2.26890687293037 0.540008803879081 0.341801903657883 0.726129132650761 1.42968511115636 1.16227153971988 1.56406104129869 0.820055140559144 1.16389042270817 1.88874612004245 1.91184569096424 0.801660666042212 1.78089260487316 1.57706858444625 1.79614268514833 -0.161252396326201 0.224963524062596
"NABR" 0.77381378292297 1.9672573853527 2.17915821438539 2.12382301765699 1.53552946105815 0.76745796026108 -0.694467951327768 1.29091443709448 1.64522100842214 5.38771253614503 0.291473065495928 0.44565202508771 1.69643280760028 0.935078443360835 1.31203892122119 0.0209741994106207 0.916007343780896 1.37795866916779 1.19143630667572 -1.12256083539568 0.168001303613732 2.24327809557492 0.876605439916567 0.0267912187906181 0.97628555772785 2.49609403773223 1.4564078935604 1.28882911078473 0.92375062850788 0.702692900430659 0.904117843169593 1.47057916578989 0.908034094992056 -0.21573843788097 -0.00628690245513345 -0.118965778504921 2.15084599629417 0.37047656026661 0.464026904249086
"NAFM" 0.125298446911428 1.00595123545536 0.939297519387956 1.26956501342327 1.51874570328919 1.29487433824601 0.914633263004734 0.556021818043956 1.26142401681798 0.291473065495928 1.16005085839912 0.514102732150315 0.179305990125762 0.994850886126065 0.712649297954851 0.504923270583039 0.698942028469477 0.662949683799151 0.733477155864192 -0.137523218218397 0.672334357582396 0.694481533517809 0.760044614766935 0.298173720905081 -0.164678818385887 0.61225715271319 0.431215640413562 1.02205891869714 0.741457766007121 0.481991018008833 0.581742081502612 1.54222102645399 1.1316261879388 0.445395203858585 1.6801548488761 0.672313913327603 0.71994583640455 -0.301581440433998 0.232630884682592
"NAPNS" 0.43835076052489 1.41979704334324 3.6939683943473 2.0985355494361 1.7376399668166 0.936015667454855 2.45734783043816 0.572101567454958 1.42501116181064 0.44565202508771 0.514102732150315 2.90440408678675 0.80510557368795 1.0902864892547 0.480663836345887 0.401265030105763 1.01293970191483 1.31300622991637 0.597050562813069 0.0717274715491909 0.828088426752979 2.2581929589549 1.22649476532832 -0.0134259562876524 1.27284527622114 1.57660228699761 1.38598773803339 -0.644215307252179 0.866543866692917 0.177898366133684 0.554486073680394 1.133794312006 0.30369840135471 0.449058649202371 0.979877975808231 0.497929747524681 1.40188017800623 -0.326077408127859 -0.137881892624551
"BRPT" 0.227586263294525 0.588155926821582 1.05329653368293 0.384779789831788 -0.063811876952711 -0.23724844388491 0.482639722240053 0.631653151009882 0.613521484200337 1.69643280760028 0.179305990125762 0.80510557368795 1.91646244719883 0.938110888916321 -0.352979491885933 -0.308349737863434 0.171488778329003 0.722883325637422 0.0080262429522425 -0.370227352386849 0.170371025341278 0.618093087311735 0.238847962542494 -0.631929298877718 0.288206607178117 0.608422930728528 0.474171863969485 -0.295041832018221 0.0368276607407778 -0.0161178861310945 0.118675954619992 0.414074024899957 -0.0961121163676145 0.449785944886553 -0.0559491773093745 0.0861794767697342 1.14068586794014 -0.127992503425034 0.254759374623066
"BRAPET" 0.274026535578545 1.46624747027676 2.08226075391336 1.46646096416295 2.03156171227674 1.65965685793464 0.327071472503956 0.599887731150291 1.66500820465489 0.935078443360835 0.994850886126065 1.0902864892547 0.938110888916321 2.5720328930552 0.850713990796057 1.17257069520877 1.36723833391467 1.46992160318809 0.884586006942409 0.0119642446876194 0.522993901070387 1.08493213404685 0.981135906350843 0.519578231129278 0.389800782627054 0.689239328267047 0.618474159328938 0.708779254737707 0.769028781396071 0.401951743489571 0.788121829650613 1.47795308793384 1.09012130514771 0.808019906745703 2.43045433034282 1.57511909877791 1.20838536667715 0.00682937729642788 -0.152516971278482
"PTFM" 0.555831019549065 1.95850254194421 1.82413542847763 2.26387467779857 1.9298047474427 1.43880052448472 0.476446500290341 0.661133276199398 1.2091327178743 1.31203892122119 0.712649297954851 0.480663836345887 -0.352979491885933 0.850713990796057 3.68331827601161 0.621526807854805 0.643619590028715 -0.220065729642754 0.478849588225431 0.383007658569577 0.102854155915813 1.96841279114953 0.816227391677623 0.987192794972535 1.26972875750287 2.02023261823295 1.21131643851789 2.33448724753277 1.29768715258047 0.651714053755565 0.972051041241818 2.03091933338727 0.911070381822986 -0.240455087035077 2.42279175645274 0.343123974316544 -0.362950579794465 -0.0596302372737492 0.0354255811207686
"PTAPET" 0.0598052456207956 0.160491366432527 0.400290755638982 0.00328695165445713 0.711868818409487 0.871493615162738 -0.452255632851403 -0.375400557854067 0.145034670547316 0.0209741994106207 0.504923270583039 0.401265030105763 -0.308349737863434 1.17257069520877 0.621526807854805 2.87550921672672 2.19397466246738 1.19019299064776 1.42427928520706 1.41779095270299 0.178266304509526 0.555054736482432 0.299938035332492 0.527069849378195 0.0305016944597022 0.600290954256412 0.216636097742456 0.556241740959762 0.160472619581024 0.078276978193798 0.427644314408449 0.48421260472535 0.789149246910218 0.296065667002887 1.42543389579787 0.347679414278099 0.46901706997441 -0.0574415505048855 -0.231939054413204
