"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.604995240412065 1.36701343220323 1.83312645283876 1.06127640548677 0.756997307835228 0.867680724388879 0.509803324845878 0.636828010454594 0.636650796687842 0.321988268482344 0.543090631983049 0.808964267286859 0.119008191419558 0.454693916973014 0.475635029493391 0.360397115949351 0.820267071371344 0.4415902017539 0.577783505786778 0.181720841321948 -0.0533302201358705 0.548668833432883 0.143178765280014 0.344048277089773 1.10887428021041 0.585739771402873 0.452484877219765 0.297640437701864 0.680002165611303 0.300846479896892 0.764184735370594 0.114769071389576 0.277411617771744 0.233808685358992 0.0794991373918975 0.464964787974221 0.630957046748941 0.0544717959355409 -0.140157431743377
"ISNSL" 1.36701343220323 7.20111848063605 7.07466080737821 5.74705467153334 4.45317388715061 3.79563688655154 1.90233619432047 1.80919774551143 2.53290829709074 2.76449176090676 2.0167486162344 3.16903257092932 1.00000792317448 1.78439548877159 2.31025214932911 0.86429272230307 2.98273790007379 2.2640556531213 3.03656023841615 0.511897972065093 0.148139828178709 2.8030465451313 0.730843343099029 1.69466232685188 4.14445709342277 2.08486187303121 2.3409156326338 1.98585077073406 3.02958937864746 1.29467796020816 3.37883828128306 1.33923303097491 2.26606198920914 1.12740724636763 -0.0375470719934138 0.722311591423852 3.00421782462942 0.660214112261139 0.132145195870419
"ISPNS" 1.83312645283876 7.07466080737821 11.1527802405512 6.47859106298112 5.51759450847242 4.99596480083485 3.08787050294866 2.88489827426905 4.22824171788253 4.12088402223806 3.03310574188753 5.41298615997863 1.72523539273517 2.88187391268442 3.17832836806779 1.47355104752787 4.1690087180773 3.14130684423772 3.70301211582324 1.91056992558776 0.115167403309282 3.51862618081844 1.6379954015612 2.20231601887314 5.18671780529049 1.83990391168865 2.9758306801373 0.137508294673507 3.90478457054931 1.69119781758653 4.12525614521479 1.783999882558 2.56415503296965 1.54267287253986 0.153921173860822 1.73279468355353 4.20829911657427 1.04035894948262 0.295185885992046
"PMZS" 1.06127640548677 5.74705467153334 6.47859106298112 6.38490944381194 4.49214330180564 3.57940879818721 2.55252633291191 1.89893335671176 2.26469814182668 2.90265150897631 1.53898200830377 2.99363292328354 1.22458619712181 1.65994947831033 2.30410846984491 0.697263246738826 2.70915159291317 2.19200087544706 2.92119929207853 0.66337676398889 -0.378960565670364 2.81613874668675 0.870342651295279 1.83271995311739 3.52905811374022 2.20607385881617 2.08500389106596 1.73447566550968 2.61105662909587 1.3694670865522 3.21361149626451 1.76873568595361 2.39571820640208 0.963234937072172 0.375166008146338 0.517515024529751 3.19696101375325 0.424693833636665 0.565320547968509
"PMZI" 0.756997307835228 4.45317388715061 5.51759450847242 4.49214330180564 5.18638511264519 3.25287399251634 1.81031398466245 1.6531689276041 3.30121465770062 2.71535360826917 1.84839071684189 2.81692970502308 0.690778928193834 1.6502905583752 2.33110497719429 0.742531458157583 2.55705041908198 2.11723474655745 2.64690875476044 1.17483796452087 0.0841409851473185 2.29273768282872 1.32729700975713 1.51426135527413 1.85622016390362 0.451556584286548 2.01679251429244 1.70944347378328 2.59432277431317 1.27360522018402 2.78393928746539 1.82266556863644 2.29408773267559 0.446271421478668 1.03175044198765 0.487779159770718 2.86053205595247 0.428763772532793 0.345567520002032
"PMMT" 0.867680724388879 3.79563688655154 4.99596480083485 3.57940879818721 3.25287399251634 3.19137558778377 1.49361052038098 1.67745761513004 2.43524654359728 2.27648134429273 1.76344575949917 2.44938750245361 0.986439501485287 1.72614103006945 1.72769836871696 0.691947545750503 2.20928094873134 1.647243060677 2.03053639784504 1.02756580415889 0.0049898335144006 1.96241165091449 0.876060830310761 1.54200864803394 2.45837445483014 1.45202395569556 1.35350008789758 0.978389664664775 2.11304808972442 0.970924239540551 2.29331839475519 1.30865769931791 1.2244549321034 0.925362155534586 0.614325761468574 0.960683099641218 2.26084944184561 0.347534864110879 0.128302662477096
"NSLNA" 0.509803324845878 1.90233619432047 3.08787050294866 2.55252633291191 1.81031398466245 1.49361052038098 4.01191578786274 1.24717603792268 1.90363351207691 0.637279417585357 1.21174507774702 2.45422120412801 0.591826602654158 0.797428982947415 1.35677438216105 0.961938739178848 1.7044588489929 1.56994399408126 2.20477281754437 0.558795960753582 0.622413899652785 2.04749786851542 1.16745042938011 0.957260859984276 1.91126279240977 1.70645579990328 1.25664186600233 0.841500946065656 1.18959977016457 0.577989329162607 1.82340078292916 1.35538298029101 2.00236197472051 0.745833627019085 0.0972977155563737 0.362995901678729 1.856071678994 0.564450382344408 0.660107175025762
"NSLZS" 0.636828010454594 1.80919774551143 2.88489827426905 1.89893335671176 1.6531689276041 1.67745761513004 1.24717603792268 2.90924539502582 2.09080901112328 1.2157072133684 1.44266727933055 1.58855403496506 0.717212414449042 1.14452475346414 0.500344576576519 0.257374222231195 1.26759374631636 1.18252135661115 1.17884102283865 0.793306212326934 -0.712214246537642 1.18765463448362 -0.192510295399319 0.456570047438449 1.84613413170442 0.53625850548258 0.717487693474875 0.493991704096858 1.1621527416873 0.655804054104188 1.36590058025947 0.256893416489869 0.516721390085666 0.625642017923738 0.426666056108906 1.13952596989679 1.54773849959429 0.213001949642341 0.0821672518260892
"NSLZI" 0.636650796687842 2.53290829709074 4.22824171788253 2.26469814182668 3.30121465770062 2.43524654359728 1.90363351207691 2.09080901112328 3.75487916752663 2.00646319253917 1.98581583728703 2.69672734187337 0.764987612975944 1.45940196823773 1.54964875193927 0.606897726448796 1.97927245806256 1.87828838236395 2.30749512846584 0.908787238414861 0.281143084194905 2.01997212144245 1.56455106486192 0.939613604238354 1.6295991697122 1.00700685214449 1.54683719044374 0.861863834227721 1.84776157425134 0.919623364942578 1.93268697287981 1.27037442840961 1.67614956620674 0.486176268674424 0.858862054269131 0.836230749628595 2.36238052071532 0.532336626773494 0.15347390197702
"NABR" 0.321988268482344 2.76449176090676 4.12088402223806 2.90265150897631 2.71535360826917 2.27648134429273 0.637279417585357 1.2157072133684 2.00646319253917 4.82253451473636 1.1315138115656 2.29817380448483 1.70852523643896 1.94816742947127 1.80394309298372 0.944492242728011 1.96129334963219 1.57896809515591 1.73479326134121 1.28812579744283 0.136461463499108 2.10221035964444 0.766107917485602 1.32780442124255 2.05307697984401 0.668468630251924 1.14156450376337 0.549435025442203 1.32093208737275 0.837494217033619 1.92566980400027 0.983581457571211 0.648089436036281 0.845444984766815 -0.31665445766778 0.913115795484051 2.23311175306476 0.257792297336994 0.614696510809115
"NAFM" 0.543090631983049 2.0167486162344 3.03310574188753 1.53898200830377 1.84839071684189 1.76344575949917 1.21174507774702 1.44266727933055 1.98581583728703 1.1315138115656 2.03539313586039 1.89746672592284 0.725220351621395 1.1502947165859 0.735070881693436 0.512950518824557 1.32259205603694 1.36722075633574 1.34570581750582 0.926304781844992 0.342466121058845 1.30119204445138 0.591908748640037 0.57372563918637 1.27382926759837 0.531380534741979 1.25019494837598 0.661132250618902 1.07197114014972 0.511753190271729 1.40184159065631 0.710778492551778 0.565123613188186 0.610487457672759 0.892685447533162 0.857360287757114 1.75781898444097 0.192546940343575 -0.0906134024897619
"NAPNS" 0.808964267286859 3.16903257092932 5.41298615997863 2.99363292328354 2.81692970502308 2.44938750245361 2.45422120412801 1.58855403496506 2.69672734187337 2.29817380448483 1.89746672592284 3.93363577415617 1.04538519614903 1.58952944146331 1.35958699066873 0.994422701919357 2.43603768864361 2.09913571755073 2.37791428561289 1.23409103753353 0.285078940710539 2.38816778143248 1.22041109310722 1.3084915430121 2.69125398974486 1.14171858758395 1.65692849217607 0.244271901572558 1.89623595193188 0.840615054902006 2.27944044697279 0.983000501983633 1.37244710069568 0.519005387340725 0.328569236940463 0.706584522502509 2.82347489198704 0.919408300663822 0.0324099170148835
"BRPT" 0.119008191419558 1.00000792317448 1.72523539273517 1.22458619712181 0.690778928193834 0.986439501485287 0.591826602654158 0.717212414449042 0.764987612975944 1.70852523643896 0.725220351621395 1.04538519614903 2.07208695903077 0.923638339627057 -0.379397756566381 -0.685578081957318 0.21147494085967 0.687417067234917 -0.177129589384723 -0.694573853417393 0.107446294137744 0.883619311539207 0.239820334818505 0.307070609872774 1.09759406840269 0.506410398143011 0.284833790552229 -0.0193455603022437 0.401619531310103 0.271250102734381 0.734683445240641 0.403162116355503 -0.0598573411730547 0.923345703597549 -0.064062004498779 0.509291519313438 1.71702203320853 0.451131547240936 0.718514361202229
"BRAPET" 0.454693916973014 1.78439548877159 2.88187391268442 1.65994947831033 1.6502905583752 1.72614103006945 0.797428982947415 1.14452475346414 1.45940196823773 1.94816742947127 1.1502947165859 1.58952944146331 0.923638339627057 1.90354779637736 0.911084448434829 0.958174686968866 1.51919996552296 1.29577225582946 1.37370931341288 1.24867806696412 0.00419920295055158 1.12049620323897 0.364118237822893 0.976463764540991 1.16450996145172 0.527624479736167 0.642678455778346 0.174000041260408 0.916222658680509 0.638015244160508 1.37661063908702 0.835210979630216 0.62896944094445 0.858197203020593 0.51407120992483 1.28480864194485 1.5353215082214 -0.145026591348829 0.292879924047717
"PTFM" 0.475635029493391 2.31025214932911 3.17832836806779 2.30410846984491 2.33110497719429 1.72769836871696 1.35677438216105 0.500344576576519 1.54964875193927 1.80394309298372 0.735070881693436 1.35958699066873 -0.379397756566381 0.911084448434829 3.94666913108426 1.41016809460811 1.25979633412541 0.157144874525661 1.49600361679132 2.25265162211291 0.0659371377969723 1.23851221286146 1.05499817764239 1.1234838362657 1.18403207206086 0.164942663143393 1.01687775945043 1.04612427750393 1.14551130942724 0.916448916131995 1.57831003037231 1.47935565181545 1.16465368213982 0.280103901178284 0.825443131142321 0.545430112050719 -0.231092030206239 -0.807167106725148 -0.042040310229779
"PTAPET" 0.360397115949351 0.86429272230307 1.47355104752787 0.697263246738826 0.742531458157583 0.691947545750503 0.961938739178848 0.257374222231195 0.606897726448796 0.944492242728011 0.512950518824557 0.994422701919357 -0.685578081957318 0.958174686968866 1.41016809460811 3.04539606229267 2.52486562333475 1.3430941218081 2.29479904248763 2.3273535816105 0.181579239312498 0.822484573710408 0.512117887176681 0.743901640270729 0.597513911719171 0.686889488957237 0.622747227262147 0.441572530264531 0.205858047671555 0.316439166193726 0.777810281438385 0.24977166486005 1.06479322270428 0.234167463481922 0.493668733583499 0.764561991392757 0.508561983073142 -0.560064945541662 -0.143904394879624
"PTBA" 0.820267071371344 2.98273790007379 4.1690087180773 2.70915159291317 2.55705041908198 2.20928094873134 1.7044588489929 1.26759374631636 1.97927245806256 1.96129334963219 1.32259205603694 2.43603768864361 0.21147494085967 1.51919996552296 1.25979633412541 2.52486562333475 4.3707958380238 2.73556835890688 3.31259129366575 1.27087582158802 0.124240724828311 2.12510656014522 0.944344688683808 1.42311677753869 2.51151387578927 2.23819070762973 1.52201175258451 0.955603117197674 2.29163392373139 0.961881422163142 2.43596000328689 0.491739711226397 1.74967282165456 0.708956086502265 0.616564059286546 0.900905509753137 2.97251087393687 0.260279661237066 -0.0843470964020364
"PTEAM" 0.4415902017539 2.2640556531213 3.14130684423772 2.19200087544706 2.11723474655745 1.647243060677 1.56994399408126 1.18252135661115 1.87828838236395 1.57896809515591 1.36722075633574 2.09913571755073 0.687417067234917 1.29577225582946 0.157144874525661 1.3430941218081 2.73556835890688 3.06596514737069 2.86545300605304 1.12541060202274 0.0525915674631514 1.66004756762062 0.942635339388701 0.686774532493745 1.87602039786598 1.7682121067883 1.42453621117544 0.905941029263913 1.18377529337419 0.699555438502635 1.56755994601665 0.689025063077823 1.3266592268599 0.807949159543174 0.991192222413846 0.93175070352736 3.42990676210047 0.834660126562866 0.368286725478348
"PTZYGO" 0.577783505786778 3.03656023841615 3.70301211582324 2.92119929207853 2.64690875476044 2.03053639784504 2.20477281754437 1.17884102283865 2.30749512846584 1.73479326134121 1.34570581750582 2.37791428561289 -0.177129589384723 1.37370931341288 1.49600361679132 2.29479904248763 3.31259129366575 2.86545300605304 4.34833286387568 1.66497636148606 0.375882324814709 2.20470052625476 1.31010953897798 1.190451165933 2.19155777670673 2.71185594117351 1.79346477953312 1.38786526896544 1.52447516679266 0.681923589434147 2.03782237921403 1.0372769163993 2.4987174436379 0.482748736361716 0.78468171945583 0.811170349143305 2.51582695101969 0.243252785746057 -0.194095760047431
"PTTSP" 0.181720841321948 0.511897972065093 1.91056992558776 0.66337676398889 1.17483796452087 1.02756580415889 0.558795960753582 0.793306212326934 0.908787238414861 1.28812579744283 0.926304781844992 1.23409103753353 -0.694573853417393 1.24867806696412 2.25265162211291 2.3273535816105 1.27087582158802 1.12541060202274 1.66497636148606 6.26174297067609 -0.47145520735374 0.469470818300072 0.458793060344748 0.523701153895024 0.15198957220668 -1.87448807363121 0.558248740782919 0.193427875152785 -0.192409065618931 0.410664293683327 0.437166185801072 0.808169430000195 -0.618406863039327 0.279350606447744 0.442295755694363 1.44308519884359 -0.0933854406595643 -0.180398031398454 0.0188403773812558
"FMZS" -0.0533302201358705 0.148139828178709 0.115167403309282 -0.378960565670364 0.0841409851473185 0.0049898335144006 0.622413899652785 -0.712214246537642 0.281143084194905 0.136461463499108 0.342466121058845 0.285078940710539 0.107446294137744 0.00419920295055158 0.0659371377969723 0.181579239312498 0.124240724828311 0.0525915674631514 0.375882324814709 -0.47145520735374 1.52271936611673 0.815346589831816 0.544112655890679 0.168810735510355 0.188218275651411 0.454892162878894 0.546010036997317 0.161144105358461 0.14542990985043 -0.235929294548055 0.332564756088649 0.178959883584091 0.550419502639633 0.107679498299821 -0.176568395911356 -0.0241450164038743 0.11355616053446 -0.0335263153669663 -0.081840739446205
"FMMT" 0.548668833432883 2.8030465451313 3.51862618081844 2.81613874668675 2.29273768282872 1.96241165091449 2.04749786851542 1.18765463448362 2.01997212144245 2.10221035964444 1.30119204445138 2.38816778143248 0.883619311539207 1.12049620323897 1.23851221286146 0.822484573710408 2.12510656014522 1.66004756762062 2.20470052625476 0.469470818300072 0.815346589831816 3.16409325419818 1.00584291477874 1.46340768645816 2.48280082130809 2.07150552421753 1.85538622493678 1.00641119357768 1.59946853088263 0.65995946164418 2.27016540076167 1.0553106240364 1.35572831927017 0.443143152010759 0.511866567235069 0.425066624231262 2.37101939190802 0.12879674540121 0.0671454332098454
"ZSZI" 0.143178765280014 0.730843343099029 1.6379954015612 0.870342651295279 1.32729700975713 0.876060830310761 1.16745042938011 -0.192510295399319 1.56455106486192 0.766107917485602 0.591908748640037 1.22041109310722 0.239820334818505 0.364118237822893 1.05499817764239 0.512117887176681 0.944344688683808 0.942635339388701 1.31010953897798 0.458793060344748 0.544112655890679 1.00584291477874 1.71420037827568 0.40648611300951 0.266309521178405 1.1212235695604 0.803491730278855 0.335541903198952 0.624239883348318 0.347561515034722 0.670541843103959 1.0768788917294 1.01205642236145 0.249359021178954 0.689123783104783 -0.119266396025682 1.07173275389913 0.419911806425735 0.38433188682232
"ZIMT" 0.344048277089773 1.69466232685188 2.20231601887314 1.83271995311739 1.51426135527413 1.54200864803394 0.957260859984276 0.456570047438449 0.939613604238354 1.32780442124255 0.57372563918637 1.3084915430121 0.307070609872774 0.976463764540991 1.1234838362657 0.743901640270729 1.42311677753869 0.686774532493745 1.190451165933 0.523701153895024 0.168810735510355 1.46340768645816 0.40648611300951 1.76582545674625 1.59382762110399 1.15868863147088 0.610174804563548 0.363821188328553 1.09802411640299 0.445366643716514 1.33388823113354 0.511462614371017 0.788254496040926 0.0275203007228478 0.510872771137574 0.120001182095201 1.05420649498867 -0.140429968683341 -0.187928153759737
"ZIZYGO" 1.10887428021041 4.14445709342277 5.18671780529049 3.52905811374022 1.85622016390362 2.45837445483014 1.91126279240977 1.84613413170442 1.6295991697122 2.05307697984401 1.27382926759837 2.69125398974486 1.09759406840269 1.16450996145172 1.18403207206086 0.597513911719171 2.51151387578927 1.87602039786598 2.19155777670673 0.15198957220668 0.188218275651411 2.48280082130809 0.266309521178405 1.59382762110399 6.06141941219739 3.03019950418697 1.39893288281111 0.833525600648597 2.19903803927981 0.831393457812867 2.38714637326584 -0.913704826641906 1.01187031212593 0.570682350829364 0.155296859853457 1.10902884925645 2.87105952972968 0.634070805238305 -0.3551675692237
"ZITSP" 0.585739771402873 2.08486187303121 1.83990391168865 2.20607385881617 0.451556584286548 1.45202395569556 1.70645579990328 0.53625850548258 1.00700685214449 0.668468630251924 0.531380534741979 1.14171858758395 0.506410398143011 0.527624479736167 0.164942663143393 0.686889488957237 2.23819070762973 1.7682121067883 2.71185594117351 -1.87448807363121 0.454892162878894 2.07150552421753 1.1212235695604 1.15868863147088 3.03019950418697 6.18927029088268 0.992722482917633 1.00028471148444 1.43138978614223 0.373622270559196 1.63801187968711 0.378485893748653 1.20716491842414 0.827898352647135 1.08339820515209 0.187141572832073 2.32356003462619 0.298954638679005 -0.33276970812417
"MTPNS" 0.452484877219765 2.3409156326338 2.9758306801373 2.08500389106596 2.01679251429244 1.35350008789758 1.25664186600233 0.717487693474875 1.54683719044374 1.14156450376337 1.25019494837598 1.65692849217607 0.284833790552229 0.642678455778346 1.01687775945043 0.622747227262147 1.52201175258451 1.42453621117544 1.79346477953312 0.558248740782919 0.546010036997317 1.85538622493678 0.803491730278855 0.610174804563548 1.39893288281111 0.992722482917633 1.83329656300229 0.779551925223055 1.18268567444636 0.563557108227596 1.58247329169862 0.882110785208598 1.21004753430278 0.328926403039682 0.446140686810598 0.41899411759012 1.76284015282134 0.161439418707376 -0.0564919948859104
"PNSAPET" 0.297640437701864 1.98585077073406 0.137508294673507 1.73447566550968 1.70944347378328 0.978389664664775 0.841500946065656 0.493991704096858 0.861863834227721 0.549435025442203 0.661132250618902 0.244271901572558 -0.0193455603022437 0.174000041260408 1.04612427750393 0.441572530264531 0.955603117197674 0.905941029263913 1.38786526896544 0.193427875152785 0.161144105358461 1.00641119357768 0.335541903198952 0.363821188328553 0.833525600648597 1.00028471148444 0.779551925223055 3.21519148623464 0.402951469140119 0.429468675805048 1.26753845268178 0.880213442159986 0.790248837938243 0.170565212585512 0.788352855141658 0.193643102561362 1.18626865674066 -0.385565969126639 -0.0440573002189437
"APETBA" 0.680002165611303 3.02958937864746 3.90478457054931 2.61105662909587 2.59432277431317 2.11304808972442 1.18959977016457 1.1621527416873 1.84776157425134 1.32093208737275 1.07197114014972 1.89623595193188 0.401619531310103 0.916222658680509 1.14551130942724 0.205858047671555 2.29163392373139 1.18377529337419 1.52447516679266 -0.192409065618931 0.14542990985043 1.59946853088263 0.624239883348318 1.09802411640299 2.19903803927981 1.43138978614223 1.18268567444636 0.402951469140119 2.82875656398671 0.905373253919085 2.18978730037944 0.703387236192767 1.23959180766961 0.503022211172538 -0.196884364599401 0.280801820090894 1.83509827821598 0.466774826566357 -0.109771551257136
"APETTS" 0.300846479896892 1.29467796020816 1.69119781758653 1.3694670865522 1.27360522018402 0.970924239540551 0.577989329162607 0.655804054104188 0.919623364942578 0.837494217033619 0.511753190271729 0.840615054902006 0.271250102734381 0.638015244160508 0.916448916131995 0.316439166193726 0.961881422163142 0.699555438502635 0.681923589434147 0.410664293683327 -0.235929294548055 0.65995946164418 0.347561515034722 0.445366643716514 0.831393457812867 0.373622270559196 0.563557108227596 0.429468675805048 0.905373253919085 0.940379725552388 1.02678676960997 0.656411815110759 0.529322394167049 0.237139586178991 0.255896586355395 0.614481879914414 1.24681413464884 0.133505016526235 0.236505119520421
"BAEAM" 0.764184735370594 3.37883828128306 4.12525614521479 3.21361149626451 2.78393928746539 2.29331839475519 1.82340078292916 1.36590058025947 1.93268697287981 1.92566980400027 1.40184159065631 2.27944044697279 0.734683445240641 1.37661063908702 1.57831003037231 0.777810281438385 2.43596000328689 1.56755994601665 2.03782237921403 0.437166185801072 0.332564756088649 2.27016540076167 0.670541843103959 1.33388823113354 2.38714637326584 1.63801187968711 1.58247329169862 1.26753845268178 2.18978730037944 1.02678676960997 3.18799807330202 1.19568254120553 1.05676545158439 0.579514094831791 0.378197600793137 0.407049640929744 2.4771967090702 0.36747607410063 0.154601607010632
"EAMZYGO" 0.114769071389576 1.33923303097491 1.783999882558 1.76873568595361 1.82266556863644 1.30865769931791 1.35538298029101 0.256893416489869 1.27037442840961 0.983581457571211 0.710778492551778 0.983000501983633 0.403162116355503 0.835210979630216 1.47935565181545 0.24977166486005 0.491739711226397 0.689025063077823 1.0372769163993 0.808169430000195 0.178959883584091 1.0553106240364 1.0768788917294 0.511462614371017 -0.913704826641906 0.378485893748653 0.882110785208598 0.880213442159986 0.703387236192767 0.656411815110759 1.19568254120553 3.22926806066826 1.13475162820363 0.571215025659643 0.137468519499289 0.198002264811283 0.967809747830617 0.404781123515155 0.789279146468874
"ZYGOTSP" 0.277411617771744 2.26606198920914 2.56415503296965 2.39571820640208 2.29408773267559 1.2244549321034 2.00236197472051 0.516721390085666 1.67614956620674 0.648089436036281 0.565123613188186 1.37244710069568 -0.0598573411730547 0.62896944094445 1.16465368213982 1.06479322270428 1.74967282165456 1.3266592268599 2.4987174436379 -0.618406863039327 0.550419502639633 1.35572831927017 1.01205642236145 0.788254496040926 1.01187031212593 1.20716491842414 1.21004753430278 0.790248837938243 1.23959180766961 0.529322394167049 1.05676545158439 1.13475162820363 3.70422710115327 -0.0908113226923826 0.229815888074936 -0.0432323087261183 1.40591760950347 0.00953332846765284 0.27647118011326
"LDAS" 0.233808685358992 1.12740724636763 1.54267287253986 0.963234937072172 0.446271421478668 0.925362155534586 0.745833627019085 0.625642017923738 0.486176268674424 0.845444984766815 0.610487457672759 0.519005387340725 0.923345703597549 0.858197203020593 0.280103901178284 0.234167463481922 0.708956086502265 0.807949159543174 0.482748736361716 0.279350606447744 0.107679498299821 0.443143152010759 0.249359021178954 0.0275203007228478 0.570682350829364 0.827898352647135 0.328926403039682 0.170565212585512 0.503022211172538 0.237139586178991 0.579514094831791 0.571215025659643 -0.0908113226923826 2.3171610074626 0.0714419205903901 1.43141574769917 0.659414508810319 -0.075276721333336 0.721152632336464
"BRLD" 0.0794991373918975 -0.0375470719934138 0.153921173860822 0.375166008146338 1.03175044198765 0.614325761468574 0.0972977155563737 0.426666056108906 0.858862054269131 -0.31665445766778 0.892685447533162 0.328569236940463 -0.064062004498779 0.51407120992483 0.825443131142321 0.493668733583499 0.616564059286546 0.991192222413846 0.78468171945583 0.442295755694363 -0.176568395911356 0.511866567235069 0.689123783104783 0.510872771137574 0.155296859853457 1.08339820515209 0.446140686810598 0.788352855141658 -0.196884364599401 0.255896586355395 0.378197600793137 0.137468519499289 0.229815888074936 0.0714419205903901 5.8088977906476 0.109156849767235 1.17205379526163 -0.483740261933888 -0.342816423472382
"OPILD" 0.464964787974221 0.722311591423852 1.73279468355353 0.517515024529751 0.487779159770718 0.960683099641218 0.362995901678729 1.13952596989679 0.836230749628595 0.913115795484051 0.857360287757114 0.706584522502509 0.509291519313438 1.28480864194485 0.545430112050719 0.764561991392757 0.900905509753137 0.93175070352736 0.811170349143305 1.44308519884359 -0.0241450164038743 0.425066624231262 -0.119266396025682 0.120001182095201 1.10902884925645 0.187141572832073 0.41899411759012 0.193643102561362 0.280801820090894 0.614481879914414 0.407049640929744 0.198002264811283 -0.0432323087261183 1.43141574769917 0.109156849767235 3.41264340897887 0.88211524549551 -0.583441120889975 -0.404175894589473
"PTAS" 0.630957046748941 3.00421782462942 4.20829911657427 3.19696101375325 2.86053205595247 2.26084944184561 1.856071678994 1.54773849959429 2.36238052071532 2.23311175306476 1.75781898444097 2.82347489198704 1.71702203320853 1.5353215082214 -0.231092030206239 0.508561983073142 2.97251087393687 3.42990676210047 2.51582695101969 -0.0933854406595643 0.11355616053446 2.37101939190802 1.07173275389913 1.05420649498867 2.87105952972968 2.32356003462619 1.76284015282134 1.18626865674066 1.83509827821598 1.24681413464884 2.4771967090702 0.967809747830617 1.40591760950347 0.659414508810319 1.17205379526163 0.88211524549551 5.51298921955619 1.73296663843149 0.867427595894837
"JPAS" 0.0544717959355409 0.660214112261139 1.04035894948262 0.424693833636665 0.428763772532793 0.347534864110879 0.564450382344408 0.213001949642341 0.532336626773494 0.257792297336994 0.192546940343575 0.919408300663822 0.451131547240936 -0.145026591348829 -0.807167106725148 -0.560064945541662 0.260279661237066 0.834660126562866 0.243252785746057 -0.180398031398454 -0.0335263153669663 0.12879674540121 0.419911806425735 -0.140429968683341 0.634070805238305 0.298954638679005 0.161439418707376 -0.385565969126639 0.466774826566357 0.133505016526235 0.36747607410063 0.404781123515155 0.00953332846765284 -0.075276721333336 -0.483740261933888 -0.583441120889975 1.73296663843149 3.60462435326427 0.823205143330394
