"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.754355166721193 1.35033824247322 1.78222263777362 1.24383214143741 1.03296669303928 0.823304465930709 1.19871870674588 0.621944508780811 1.14964677087028 0.589835688765904 0.517395099260551 0.768995878717737 0.353317088112689 0.672600126096563 0.514617620312309 0.511637799487788 1.16008102026644 1.0257081047999 0.886612818670909 0.129725314178209 0.387198703688967 1.00343947972757 0.533570401456533 0.308270194852513 0.72210763206562 0.637166308143398 0.643516280415794 0.464074005574678 0.999169191953029 0.268239464767883 0.74618444268524 0.795198674283163 0.686054034136986 0.227989032161194 -0.02869650523337 0.30626131006391 0.88958775618336 0.38624047088092 0.119235853142721
"ISNSL" 1.35033824247322 5.27102213968149 4.88872364108842 4.68514895351375 3.51596776200747 2.31574711281659 3.04177097660864 1.6057475661793 3.06852408757107 0.964251842220358 1.56055866488979 2.04677049529041 0.704374463097493 1.07514588430838 1.55191360574122 1.15270247426173 2.97629069566146 2.34015811961253 2.18925449973936 -0.34104507560297 1.24810199945237 2.95656788922639 1.54464739706153 0.864132855289 2.06518153750943 1.67082481273329 2.00433433815884 1.5177360294822 3.05775966482891 0.66766304918707 2.21237824587408 2.3764088851838 2.43232227611025 -0.0980614623236284 -0.355765287543356 -0.379059860905635 2.03542603794964 0.509239887008437 -0.0911047256675055
"ISPNS" 1.78222263777362 4.88872364108842 8.38173089854529 5.50424841835691 5.15946252570124 3.87353174048254 5.72786361352142 2.96689027166185 4.41142222802515 1.91426524611926 2.7355198588076 3.97762800251292 1.68060122574223 2.56307537688987 3.01995201781606 1.89787537646559 4.18314951712653 2.46310203030189 2.08707544499357 -0.0883752295027357 2.2056470569794 4.50557709425564 1.88540628051523 0.70853902722358 2.82697947474901 2.6905572683457 2.86328733502372 1.0538704368495 4.06116212257068 0.6892823123189 2.59471158282078 2.46558387654794 2.00279541632845 0.426290031509266 -0.732456049797955 1.00346690294558 2.18802870344028 0.411229064147759 0.321161457343603
"PMZS" 1.24383214143741 4.68514895351375 5.50424841835691 5.83732551627928 4.77005608416608 2.88016859210201 4.39261582205982 2.79706205392186 4.00214383047332 1.53897854346209 1.91865992705928 2.42212886228451 1.2731534809707 1.81269191151574 1.97120461467386 1.71595972031405 3.54477371739424 2.30011813172471 2.35314804948058 -0.685520000340589 1.14316428995831 3.62048128088285 1.68839450436345 0.445187917486911 2.09576988578101 1.94689714312109 2.68182174610903 1.67454612036491 3.25511885601595 0.716884913759607 2.62009221489793 2.04418973411636 2.87799728504535 -0.0621250625847074 -0.557638265784159 -0.266567048170347 1.88995059479804 0.602762717316646 0.0741727150196501
"PMZI" 1.03296669303928 3.51596776200747 5.15946252570124 4.77005608416608 5.07801512845974 2.8190288578609 3.93808723855777 2.94564523771085 4.65011120084464 2.2064846421859 1.98312587125141 2.35299220114141 1.70897632621154 2.20344646167733 1.81555984702618 1.84443695203266 3.58014138147741 2.3197985972951 2.19171522710872 -0.3577729308375 1.1278018733386 3.56922885291259 2.1777776101373 0.0771458960997851 1.25453227162396 1.66596400822581 2.45829985270185 1.42073925248465 3.01095662856391 0.673739361550711 2.55556865506717 1.76415728222583 2.51122086512678 0.232773858438436 -0.762056252105247 0.0159782266363815 2.28071842899082 0.438858870970232 0.354673371171791
"PMMT" 0.823304465930709 2.31574711281659 3.87353174048254 2.88016859210201 2.8190288578609 2.441828528448 2.60222495338274 1.63277335716641 2.31590732626452 1.6835674448941 1.25214735465323 1.68452976432333 1.12199102849164 1.36556104785014 1.38747779652456 1.01332483465488 2.14369911262068 1.45037261398547 1.09254811796301 -0.13981450530277 1.07753732020993 2.33006136602437 0.9317251547816 0.545739121400716 1.49709353845369 1.14646791022885 1.20463109969893 0.734452855152986 1.90821891367811 0.375755072752786 1.36888846037401 1.35415847979882 1.02453537352261 0.439357675729645 -0.468113836434968 0.622997533123332 1.37218774961127 0.397702769849814 0.356255120828141
"NSLNA" 1.19871870674588 3.04177097660864 5.72786361352142 4.39261582205982 3.93808723855777 2.60222495338274 6.6853552627296 2.62287829805611 3.3880423776716 0.561179769621565 2.10253509104363 3.10242884751473 0.796861434752385 1.44843183738553 2.17602821161269 1.59249547750363 2.63049639003694 1.66939189730206 1.76231366549474 -0.518643074009269 1.91274094398905 3.72211758568731 1.10788199077318 0.82610615453703 2.42274201491859 1.8835825495888 2.09733309042339 0.95135155060096 2.48796185739476 0.490190287088759 2.01460675326357 1.30593417327879 1.93874933569714 -0.0615382818221913 -0.550297827853567 -0.483411869007237 0.921283895102164 0.306663810877097 0.443346618507783
"NSLZS" 0.621944508780811 1.6057475661793 2.96689027166185 2.79706205392186 2.94564523771085 1.63277335716641 2.62287829805611 3.18474086397158 3.00994674862736 1.47900409986341 1.48445481198825 1.57641638126047 1.11833842814049 1.22351087159163 1.22205375774768 1.02128074724584 1.64329657379857 0.875768795953709 0.999835862910971 -0.0697969665943322 -0.261388895937251 1.79419516358743 0.419646639462695 -0.0653113047837007 0.583853252316947 0.909130990563676 1.32545453663006 0.595710877770612 1.62023743083644 0.446491960577409 1.18006247745361 0.700686284927944 1.03342445876356 0.0728648728220582 -0.87603654143605 0.0254157356074912 0.836393029928611 0.991075769726216 -0.0826945336641071
"NSLZI" 1.14964677087028 3.06852408757107 4.41142222802515 4.00214383047332 4.65011120084464 2.31590732626452 3.3880423776716 3.00994674862736 5.2182234715827 2.28639977453528 1.91801234307685 2.08047188548731 1.60940835894407 1.89864936387094 1.43449866288741 1.9653306081196 3.44990502073303 2.53049335905068 2.67518606851818 -0.452113889496255 0.652862970191676 3.13961302570117 2.62464449138734 0.0563382712045305 0.744668392304919 1.38579223416727 2.21700787358047 1.2904819107395 2.54859051767473 0.615724119049963 2.49175860680356 1.71294418624911 2.87513790297893 0.206420630107715 -1.09735137927843 -0.201955914525833 2.44553357518038 0.653915078053281 0.244277543690826
"NABR" 0.589835688765904 0.964251842220358 1.91426524611926 1.53897854346209 2.2064846421859 1.6835674448941 0.561179769621565 1.47900409986341 2.28639977453528 5.08077567644823 0.798707207240617 0.677172993807835 2.22052611900731 1.952183396809 1.02952782216267 1.73431885431755 2.87075535772838 2.06367154282188 1.68247282470996 1.02137727411609 0.650246789134228 2.04694562435035 0.73043856833431 0.475686204468505 0.454544539073398 1.23445060586092 0.908091648758255 1.69095312560966 1.39839709457829 0.342341752406799 1.39384506159929 1.89920697891015 0.963457809466775 1.35001122629935 -3.57879036208573 0.989567056477745 1.69716792084741 1.13907757282236 0.915720179735418
