"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.61904470499438 1.0423940756981 1.45109197900869 0.874595073853733 0.631568957933176 0.680491783450124 0.426365683651013 0.489605910411861 0.575274403416312 0.521668759942241 0.412462406844273 0.630591131558969 0.310741494500867 0.461503396761077 0.37458150636851 0.250250239485693 0.574326994074553 0.419307380942599 0.386919292316708 0.0247656558422772 0.0657089154592034 0.622131596532916 0.221219069677302 0.199441967332491 0.700106793854789 0.462600282013583 0.430992090577237 0.347274520475722 0.426633969179439 0.217053396064757 0.511647995490395 0.368762640758476 0.388709618728946 0.229579558647406 0.235032667339872 0.346417471444342 0.560798900646249 -0.0760387426939475 0.0253059439306968
"ISNSL" 1.0423940756981 4.90266035253664 4.34387746685636 3.51381860035769 2.46762637014926 1.84880498268158 1.00672906417108 0.708506678905644 1.4830280679747 1.34889231989152 0.971849580336662 1.86540695699083 0.723304814757341 1.33429740257601 1.16213351546546 0.725872445396684 1.67334815384721 1.48778637463368 1.61872462826096 0.392032087275196 0.630573109012217 2.18141143279417 0.742466024691744 0.560571541748929 2.06476465292766 1.63262706418531 1.67675346701079 1.04313736416971 1.29731407804195 0.656983099459894 1.67062898674121 1.09112311166045 1.30318675928629 0.630091169178607 0.344082454142211 0.668211912709431 1.69552929289188 0.0746509975208032 0.171311763050762
"ISPNS" 1.45109197900869 4.34387746685636 7.77955995065737 4.58380929407638 3.66877015699003 3.27310652130002 2.29452231306774 1.64124502515749 2.60422930027199 2.52663392496323 1.72157658228116 3.68648353141869 1.17150849972798 2.13988678453591 2.02249825638443 1.25037668657683 2.75365386997958 2.25556936874833 2.35156961509326 0.681277158173888 0.629519658091446 2.99308724014987 1.45084611732276 0.943214851334178 3.39905105858223 2.40961331857947 2.26508831539267 0.0339110857909758 2.19808207924975 1.04667879509298 2.39383103422356 1.62210067410332 1.91498391934294 1.14793051372329 0.762722390438809 1.49775960148359 2.62495274420289 0.198596999193848 0.0930635991044727
"PMZS" 0.874595073853733 3.51381860035769 4.58380929407638 4.75189325615563 3.17323121201814 2.46741215270184 2.20785500597009 1.45991788837736 1.83975703255225 1.74719449165933 1.1221273131873 2.11800992116234 0.563320068496192 1.42811133674773 1.6389497113864 0.751013628331678 1.86914042414507 1.70247225653861 2.08037922763454 0.407155572766496 0.207688933870809 2.42235904737049 1.0328897040363 0.698570156028855 2.69911758969009 2.26996936081681 1.85483678051494 1.14662323252966 1.6982480982503 0.862421832622505 1.94410692484813 1.24216845557053 1.89179059237528 0.754095356342237 0.867305141941299 0.899411904882161 1.90961289915255 0.230482743878658 0.265571577412181
"PMZI" 0.631568957933176 2.46762637014926 3.66877015699003 3.17323121201814 3.33383284792512 2.20164941936794 1.53589830305317 1.27174844676127 2.28491619618972 1.51765596238254 1.19804713251499 1.81505932254306 0.412865765043718 1.20869534577871 1.22615506198179 0.662154449851365 1.6818935320706 1.54851788577664 1.71364735539267 0.576782904916398 0.432260900353925 1.81709591788347 1.12350571004205 0.439779315495723 1.5713847255519 1.09808439623944 1.49373637443185 0.990509255757427 1.45922053576142 0.654616220797286 1.47948483366389 0.9417613367124 1.45966202059957 0.61851161150141 0.638309286021301 0.886069935202551 1.68644759657174 0.156105231021739 0.24548912939037
"PMMT" 0.680491783450124 1.84880498268158 3.27310652130002 2.46741215270184 2.20164941936794 2.55354779118899 1.43870196507702 1.00098996038076 1.5533515825122 1.28183770255058 1.09755369228034 1.59265703069285 0.596998237763452 1.22915257514428 0.993295267917197 0.621747695975067 1.51162169725485 1.31095501183694 1.35090806257972 0.359623949601715 0.347494987500694 1.40341463072472 0.8279847967075 0.741297020133624 1.84436031673395 1.31427759311545 0.90318639585384 0.789611760067404 1.25179709246858 0.55827262179774 1.24693959308288 0.89863111861462 1.10237235413863 0.783596146405346 0.682061032096599 0.993080987798684 1.54522956507604 0.122569784387734 0.278869997014438
"NSLNA" 0.426365683651013 1.00672906417108 2.29452231306774 2.20785500597009 1.53589830305317 1.43870196507702 4.07437739036813 0.766079440570849 1.30789232635882 -0.304144750467901 0.806090238835382 1.7968202137103 0.0860850356852229 0.605064480941517 0.93176257712131 0.518967487860638 1.18354849167111 1.16487797129506 1.41158089391207 0.155036597742329 0.686492163590037 1.44357254592638 1.00102294264506 0.391052304142002 1.47398746329309 1.49158585843917 0.845743099414579 0.490310707042996 1.03875854562471 0.464508991834859 1.0170027412028 0.836378829620969 1.41278862861397 0.745815168621189 0.226031627170636 0.840167494737157 1.23306650437669 0.354379754793381 0.426194278825234
"NSLZS" 0.489605910411861 0.708506678905644 1.64124502515749 1.45991788837736 1.27174844676127 1.00098996038076 0.766079440570849 2.37848208071529 1.56967214766069 0.962766750239196 1.01331465314088 0.89887030181746 0.387368685421972 0.567458334137033 0.422841852085253 0.309645002613865 0.871383993220837 0.77418608703025 0.826365088569001 0.254246476721716 -0.703892405750943 0.508998350324063 -0.21840448479881 -0.0647572683472139 0.933428867284136 0.747810790571047 0.655432427383238 0.450923273842637 0.713272416340465 0.374929170920501 0.711722270691181 0.32644994531045 0.614981035024335 0.345520541382798 0.426643730091719 0.523167425278601 0.947699528852482 0.231420706740295 0.163761207979305
"NSLZI" 0.575274403416312 1.4830280679747 2.60422930027199 1.83975703255225 2.28491619618972 1.5533515825122 1.30789232635882 1.56967214766069 2.8088409582334 1.45174828264142 1.23899337630355 1.59121892787225 0.580682551287906 1.0005381527817 0.801154103827622 0.620865703144365 1.48130790538231 1.37725533702245 1.56853548039481 0.430316242576681 0.316090221486818 1.28735531285428 1.33930080800206 0.204286492388718 0.920855095544235 1.16236358788255 1.14043691555838 0.648927244524248 1.08858917311527 0.515037432606336 1.15066913732349 0.901357338511645 1.29289468142708 0.636754124177486 0.55448505103834 0.81455923589772 1.56533470204984 0.239259964262026 0.305781827032245
"NABR" 0.521668759942241 1.34889231989152 2.52663392496323 1.74719449165933 1.51765596238254 1.28183770255058 -0.304144750467901 0.962766750239196 1.45174828264142 5.2979687087059 0.958483563336436 1.49023913170657 2.3251213120761 2.05373621011193 1.23565595222832 1.03021660838129 1.61991608415505 1.33527336509057 1.24223463376026 0.526146054940864 0.236738516966698 1.691368273421 0.663080427392617 0.71045703301647 1.57705896653215 0.976172595520706 1.02546545795127 0.558389354826621 0.805255537723437 0.798424738598605 1.34572290596816 0.862124509471924 0.88891462862617 0.83058538800503 -0.576286529979637 1.05993247486593 1.81578683547712 -0.0918383625172615 0.36481485003175
