"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.754200863508644 0.947079341748907 1.85622577871556 1.06041590486296 1.00167762693289 1.04563635432637 0.589889387267628 0.581910752607937 0.828924303729669 1.00786483079645 0.590215037628099 0.710856049329314 0.50970107257242 0.604612590269032 0.468691239147212 0.441697450779416 0.777049252692575 0.587928209737246 0.693656425033446 0.253284595771073 0.20114652844376 0.829389756304712 0.407344077510736 0.384539443907946 0.551407545636921 0.89255716397446 0.482728101267613 0.388480811241582 0.386534300865333 0.319781752331096 0.649478870333776 0.654807906022729 0.591740906333179 0.516095167177872 0.277430983533925 0.945140141974865 0.781959004205368 0.225626016330282 -0.0746827993006401
"ISNSL" 0.947079341748907 4.39282264472085 3.76204782352247 3.22827012132968 2.05632859850164 1.84652582431982 0.124281439981438 0.838120895419621 1.05902581438099 1.2515423332224 1.01632745564761 1.7513580420404 0.520791572297897 1.19127642345902 1.17445824926933 0.225309350854676 0.955449106625625 0.488138393813745 0.771931594227549 -0.103846422287057 0.22505659514508 2.18390246172533 0.591607625997864 0.410886409648422 1.7143844337832 1.75737176803831 1.48534670408226 0.765153275596761 1.29636921550921 0.396408211598855 1.43516231282095 1.24421357462776 0.644789717356434 1.05537551186658 0.631095922998027 1.86055471710626 0.820617412492348 0.136846525994534 -0.184589479930353
"ISPNS" 1.85622577871556 3.76204782352247 8.52752211578671 4.72733893357854 4.31062105290268 4.31566625792104 2.03553304674249 1.88348255706105 2.74315595958318 3.87066203666262 2.16947011002588 3.36121001556804 1.94505486447268 2.43811330984389 2.23963553770019 1.68610739375457 2.90843191012474 1.9881347462823 2.29649012710108 0.484231948195517 1.10325510438147 3.31168126967646 1.45887024223579 1.01346932849267 2.64998260005462 3.59692988910668 2.44108437136397 0.60008576609425 1.72955895692588 1.05704915867796 2.78914467736681 3.03462836782252 2.1960834651895 2.26096648110606 0.653830759999634 3.60063305448392 2.82646045773323 0.850740109057345 -0.180010715696665
"PMZS" 1.06041590486296 3.22827012132968 4.72733893357854 4.59241340062306 3.20756263373204 2.83569365519003 1.44672348431592 1.89590721190278 1.60501267451356 2.3086919003961 1.39275487272041 1.68868980931565 1.00951437926335 1.759355800704 1.81725880318933 0.801409467930031 1.61732408860713 0.859680872636654 1.39971944223641 0.257508009856761 -0.0671431852892373 2.29332325670918 0.80028846328664 0.595059835901299 1.91773330677668 2.23995847624307 1.56160071861019 1.10881265354963 1.46930709277154 0.475184046919236 1.84184937238063 1.71068525744002 1.35471668749647 1.27280315306397 1.11382284096124 2.01978471717489 1.09113721908962 0.678614471977955 -0.250023428657214
"PMZI" 1.00167762693289 2.05632859850164 4.31062105290268 3.20756263373204 3.70177908827588 2.76236698157701 1.32198005994302 1.49224645429902 2.55300319146395 2.65377812436005 1.48827353915423 1.68001315022197 1.08666867704801 1.75017462307633 1.44145003402198 1.2876921476393 2.08708944928329 1.46343043555668 1.85029654251186 0.3782268694004 0.56891155436081 1.85722215321014 1.21456416283436 0.592891339972558 1.06715883440039 2.05381932217439 1.52627171942126 0.899314352342935 1.21952279839563 0.849636743708663 1.73157430793397 1.567818671472 1.69176481530111 1.41562402570079 0.846621445914979 2.20784864918963 1.56978070056102 0.561725994325856 -0.191878720318395
"PMMT" 1.04563635432637 1.84652582431982 4.31566625792104 2.83569365519003 2.76236698157701 3.43232142837559 0.961624309241419 1.13338869095903 1.64583761904761 2.79292735410278 1.40097924377243 1.54428528587686 1.24615768840562 1.58642875845805 1.25174163481608 1.33879898027817 2.20577047035652 1.7342323468154 1.85345649364025 0.646884099853474 0.560624565680725 1.71414876113551 0.896543313477691 1.11879844988709 1.43974623999483 2.24514126292879 0.958302182644394 0.894254357794747 1.05140898345451 0.686632010562192 1.63003886020053 1.97745520060161 1.53479360221416 1.29583253593297 0.285777603556722 2.13683889693949 2.11133140690442 0.680105782248356 -0.00135675090532796
"NSLNA" 0.589889387267628 0.124281439981438 2.03553304674249 1.44672348431592 1.32198005994302 0.961624309241419 3.72914851929751 1.03160730801855 1.19327889324286 0.644619761331249 0.750774668857603 1.11834840922985 0.708322226828042 0.578271032381479 0.410663605497684 0.289516636037805 0.672722207839734 0.763774916627045 0.942186593432601 0.464395962334797 0.538596083985685 0.760248963429211 0.591077164971059 0.116236248088316 0.458908550100946 1.37989096121661 0.56533378886003 0.575153995914882 0.389075466700622 0.257873597489686 0.624022990043667 0.8903143871899 0.625621328537673 0.511934921519998 -0.169389967785974 0.681229239879805 1.0306150094105 0.0424521650889543 -0.133426321645555
"NSLZS" 0.581910752607937 0.838120895419621 1.88348255706105 1.89590721190278 1.49224645429902 1.13338869095903 1.03160730801855 2.3609876527325 1.60021488489518 1.04960492052327 0.986469489771328 1.09319402492292 0.709853443515191 0.870061259537545 0.69429212293009 0.453718830702779 0.85579574715722 0.472960110286952 0.723267756976505 0.363942881005938 -0.854495622567931 0.605843228815487 -0.0722888665846438 0.216719987177235 0.423969050625662 0.806774326790674 0.537135098562537 0.480198319735248 0.524575656897091 0.297703024949817 0.847784688073596 0.537365811040852 0.632397825934937 0.514575864764911 0.676622119199469 1.03652231027074 0.616422855950803 0.377934389353164 -0.241170099715863
"NSLZI" 0.828924303729669 1.05902581438099 2.74315595958318 1.60501267451356 2.55300319146395 1.64583761904761 1.19327889324286 1.60021488489518 2.92910889259073 1.85899370047694 1.2531865298182 1.70365443843964 0.980215478671058 1.26841645253783 0.816062660098347 1.07466230963414 1.72617411866855 1.30912055063652 1.59257393909149 0.485058722369563 0.3124924468307 1.28236514887006 1.19644008477314 0.481441897889361 0.484916586897655 1.49578209283718 1.19704547590091 0.501452762578733 0.806570711814026 0.861001316607466 1.22608241964553 0.983084889510339 1.41212088797529 1.05210907512704 0.72734023778489 1.67758488260699 1.50584060903908 0.233281924669974 -0.0750600552962222
"NABR" 1.00786483079645 1.2515423332224 3.87066203666262 2.3086919003961 2.65377812436005 2.79292735410278 0.644619761331249 1.04960492052327 1.85899370047694 6.89420574990531 1.90169388631343 1.49306747196078 3.27006360640539 2.86352997730885 1.08990445340785 1.65263071812314 2.69741356289001 2.62340625777087 2.64385044552369 0.955656203816428 1.40228286253506 2.32196558724586 0.963904640724274 0.944914067905863 1.84234591964108 3.04248499621009 1.28072751042928 1.10435802063772 0.922988166493435 0.885949309626558 1.90615514621666 2.22821985475506 2.22337581968618 1.13033227853918 -0.957510695996321 2.21413539437327 2.97241391300227 1.42267175745876 0.0539726511166307
"NAFM" 0.590215037628099 1.01632745564761 2.16947011002588 1.39275487272041 1.48827353915423 1.40097924377243 0.750774668857603 0.986469489771328 1.2531865298182 1.90169388631343 1.50542420711605 1.39286639945812 1.03641154117584 1.21940297179099 0.545704296577196 0.722276026679392 1.32670273863024 1.07863987794566 1.31794299034921 0.453046178881224 0.627293559716841 1.31063871882124 0.341965428257243 0.465300812730836 0.969208989833779 1.86313021212502 0.914076821985266 0.61839839444231 0.624238298213019 0.485960200834255 1.14706195935327 1.00015592129385 1.0544147715757 0.698873359480642 0.40410389461751 1.51813753292046 1.30177671907544 0.3875869561469 -0.137108617591026
