"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.701822737556381 1.66975183912731 2.23545225744793 1.18410258243866 1.01601238010683 0.79316334736775 0.206096821789717 0.406596115145066 0.584561319348849 0.286241346164904 0.36453049756032 0.747472558581739 0.247882556754296 0.50913076401831 0.614105226214323 0.102452663655344 0.389676183379901 0.432392624697327 0.369821339205759 0.294365614141636 -0.059776910466076 1.0179957851582 0.326133629704329 0.280330240214701 0.786874245441025 0.325492942080522 0.853480301108347 0.40266746718967 0.284324156674378 -0.00491194229991516 0.827271744524084 0.455461457320264 0.413377794549512 0.0364408846195655 0.670124361723549 0.224949183744241 0.291515275796234 -0.00495905166977709 0.0687600677399256
"ISNSL" 1.66975183912731 8.59313773853897 7.28892433459954 5.4340708002057 4.16832758311423 2.44454941265684 0.793224335806125 0.741945669958285 1.70755023986741 1.76852544003371 1.19488732576869 1.49742161728535 0.997978308140314 1.10771301752912 2.15957793893841 0.158502526702415 0.397013142608779 1.08807532102711 1.77260553997475 1.20327081107014 1.05437875808613 3.8946690697203 0.834101182163545 0.946357563425014 3.77320924507538 2.33231276659653 3.54842476073155 2.32862703406263 0.114660419587783 0.249733782159002 2.16425827083306 1.5047765586482 1.85513862712339 0.123073408183188 1.89023521630124 0.235436679466488 -0.000131061563757224 -0.3665451131735 0.442146958546776
"ISPNS" 2.23545225744793 7.28892433459954 12.2833837725794 6.39419959473872 5.58475138994914 5.09868535020198 0.588710869851317 1.72002384263375 2.15694535207856 1.23358745051822 1.79252434067164 4.37495132073313 -0.320679705792903 2.45845855879753 5.31233012929804 2.07658370506271 2.71632237868456 2.7552546614968 3.09156985448488 2.72948423634035 0.160640385001372 5.42161243809009 1.63368650614811 1.90873211444181 5.28602367050221 2.32944456462661 4.22355692042966 1.53658893920738 1.81912395260125 0.363523720378177 4.52209419557918 2.74321866513033 2.55666107463929 1.12409988686418 3.89064819852431 1.14811614522769 0.614996264239981 -0.193120605194944 0.34203918301431
"PMZS" 1.18410258243866 5.4340708002057 6.39419959473872 6.47497101417465 4.75056079972848 3.2024728808112 2.04111904144987 2.49014915383897 1.96687560273061 0.10221107973646 1.31860697417038 1.95369974991051 -0.654296169240375 0.228966446179827 2.63878397332607 0.576605105012196 0.699863903396455 1.43404810161666 1.51219666361691 1.54805519838146 -0.39584705668295 3.34535913595379 0.878247574144727 0.785313034935052 3.03341422599995 1.32367586727334 2.54019927947611 2.44854402165321 0.622096063276017 0.162400955748453 1.89548780458673 1.81310163571329 1.67882126950375 0.525955097443829 2.10187065076401 0.427797582191164 -0.272514894444224 0.275465039376231 0.0411987965387772
"PMZI" 1.01601238010683 4.16832758311423 5.58475138994914 4.75056079972848 4.44387454543619 2.90465137234289 1.13250929850039 1.82118614212535 2.21519861039805 0.4658369793438 1.17764534098836 1.72054275855663 -0.766021906666785 0.36585113066794 2.63104370784695 0.949971997573828 0.977937139815025 1.62909203320772 1.52858916227483 1.25118748260285 -0.31009014965201 2.59462582327934 1.2138171372498 0.522801044320598 1.7349877779542 0.851762127205464 2.21434360013776 1.67146396274359 0.609417041993103 0.229192876634529 1.84308131332611 1.45825156247828 1.43785415276032 0.562230767723786 2.08390921483254 0.0945607923469983 0.206479479798215 0.3496536559179 0.334753942753109
"PMMT" 0.79316334736775 2.44454941265684 5.09868535020198 3.2024728808112 2.90465137234289 3.2655800335794 0.502131777084707 1.39779754671461 1.19821443598413 0.108520448644231 0.688609487336116 2.07597838142573 -0.792771392528049 0.656420598883891 2.51077772335673 1.19748768218729 1.51401369938674 1.75926143097657 1.3579954392159 1.69930422892091 -0.485910456949485 2.0911741660287 0.68163590948388 0.992848090052545 1.87532674310708 0.448883402587032 1.26461126471569 1.19132682094007 0.945222249914301 0.230895529474301 2.11857544416805 1.72330594203354 0.938021445022001 0.707806379899057 1.76930758635583 0.43013476653667 0.950431584463655 0.306889614740095 0.141098319793586
"NSLNA" 0.206096821789717 0.793224335806125 0.588710869851317 2.04111904144987 1.13250929850039 0.502131777084707 4.17187182713106 1.16786694965215 1.0025470896883 -1.23653030988673 0.0235561873054351 0.360879411927939 -0.39853859893299 -0.584962492182103 -0.342980213981913 -0.412452149075663 0.0137605044379107 0.975387337264425 0.75183642121997 0.349336791909387 0.475779692100565 1.03229039749934 0.64548524381973 0.159925615159231 0.824910914591912 0.483230437567257 0.13354480673863 0.577590506364964 0.111344541405549 0.274807089964648 0.0142793223743575 -0.100181836423283 1.07423240257005 -0.1651891217921 0.953134692663444 0.11907183385541 0.26731567831613 0.26545835684767 -0.0249998280769019
"NSLZS" 0.406596115145066 0.741945669958285 1.72002384263375 2.49014915383897 1.82118614212535 1.39779754671461 1.16786694965215 3.14743427719503 1.55810740154258 -0.908092737165775 1.28935137756632 1.33636326413949 -0.154176685777601 -0.117108420573605 0.116863695234052 -0.434680667431669 -0.105508672304135 0.353099896067449 -0.18006998283475 -0.373470667277138 -1.43578885390844 0.688816413623139 -0.188384145445292 -0.234358249477957 0.551382296292187 0.0169897257083715 0.63768068162961 1.03951572450804 0.204077928209826 -0.0976825730454206 0.47701769319941 0.527668833423671 0.304017457733513 0.297299761771161 1.21381225415611 0.813229706912265 0.119326936167877 0.542248640880358 -0.433914775867197
"NSLZI" 0.584561319348849 1.70755023986741 2.15694535207856 1.96687560273061 2.21519861039805 1.19821443598413 1.0025470896883 1.55810740154258 2.54386600773036 1.08303499084987 1.0905379264205 1.25934715197099 -0.0894417467386597 0.293844966353601 0.990154325218275 0.493409442707443 0.585720937728784 1.2291756433642 1.46294584322852 0.217535357767571 -0.227095447567133 1.12405030667187 1.24150525462268 0.1435162745511 0.191000738243726 0.693123961188528 1.30519440491066 0.512848104439371 0.177522363575736 -0.0179791370613958 0.331547717382409 0.655724140743166 1.49770789025478 0.436140323480955 1.17877900563839 0.617655186146759 0.410747304253579 0.246465433380923 0.132030212706768
"NABR" 0.286241346164904 1.76852544003371 1.23358745051822 0.10221107973646 0.4658369793438 0.108520448644231 -1.23653030988673 -0.908092737165775 1.08303499084987 6.45431078755275 0.873811740284623 1.79087785812 2.42567998371717 2.94125956709463 2.18165709167264 2.42213560422849 1.89237433259045 1.55993885432072 2.50730630750699 0.847640915773473 1.31210278627545 1.99962815713644 0.995259795049274 1.06958090291017 0.635637610892804 1.34875802873571 1.20475611356175 0.252981663957086 -0.458637733419614 0.155880966735935 0.181122402865927 1.35361419052049 2.50728530033751 1.13689349400678 0.311613700213256 1.13259029315419 0.597213804423923 -0.344925085519857 0.653008365510052
"NAFM" 0.36453049756032 1.19488732576869 1.79252434067164 1.31860697417038 1.17764534098836 0.688609487336116 0.0235561873054351 1.28935137756632 1.0905379264205 0.873811740284623 1.70003823186809 1.43392846425239 0.963806250442394 0.929413485842257 0.539700570976479 -0.0968207180626485 0.0684245492684405 0.314917272570011 0.593579540041474 -0.410786310155623 0.0141184437301027 1.30253048910914 0.281751048564702 0.251592952995818 1.01862222245976 0.890112271505611 1.21450105453584 0.592674287257448 0.0775899288987475 0.0490982806091431 0.619705865315815 0.822207375787149 1.02525707225672 0.376093525462146 1.5356833700339 0.827797151385842 0.235054390177327 0.123094819593377 0.100882548278298
"NAPNS" 0.747472558581739 1.49742161728535 4.37495132073313 1.95369974991051 1.72054275855663 2.07597838142573 0.360879411927939 1.33636326413949 1.25934715197099 1.79087785812 1.43392846425239 3.97483619391952 1.08848041256357 2.2999936990286 2.07440824060103 1.44424017072242 2.03828845979067 1.50070453368336 1.61323560128521 0.826351413516072 -0.0963761620843172 2.89105237546041 0.879288384947214 0.854914591449017 1.56011454176331 0.894987491972468 1.31738670658815 0.4082460823097 0.967319019518517 0.337038171751416 2.07910283091117 1.79945018309835 1.69770928202207 1.32864678084613 1.60579181766597 1.87225073745522 0.722729390136193 -0.276604076064368 -0.126805960146224
"BRPT" 0.247882556754296 0.997978308140314 -0.320679705792903 -0.654296169240375 -0.766021906666785 -0.792771392528049 -0.39853859893299 -0.154176685777601 -0.0894417467386597 2.42567998371717 0.963806250442394 1.08848041256357 4.66347907982476 2.71693980092638 -1.52078695222795 -1.28341173741498 -0.586271449718803 -0.971380870379109 -1.5980170271694 -2.45638769259148 0.674610406261443 0.81928140414919 -0.494618868863293 0.353031890634644 0.178186188635386 1.27638655896027 0.185610369040891 0.487860825151448 -0.543816009252819 0.286712443644927 0.130438421170653 0.758498890287183 -0.171745143239788 0.0806398171407241 0.846681214481815 1.30602428996334 0.572570905232309 -0.486188514698285 0.276356011145142
"BRAPET" 0.50913076401831 1.10771301752912 2.45845855879753 0.228966446179827 0.36585113066794 0.656420598883891 -0.584962492182103 -0.117108420573605 0.293844966353601 2.94125956709463 0.929413485842257 2.2999936990286 2.71693980092638 4.18157177489011 1.59384680988421 1.34468361447302 1.56055531900327 0.443023848514117 0.795307355898454 0.428079431123603 0.743699067657523 1.95635181361065 0.298370149612897 0.791038734919834 1.2733235912061 0.580360278612168 0.702117476520931 -0.159455318713296 0.488497674282492 0.490108005484387 1.38809211023624 0.734405463414366 1.34807652896253 0.946369776165852 1.63654365410431 1.96979269714666 0.0677989698378409 -0.438751674210536 0.108100770323418
"PTFM" 0.614105226214323 2.15957793893841 5.31233012929804 2.63878397332607 2.63104370784695 2.51077772335673 -0.342980213981913 0.116863695234052 0.990154325218275 2.18165709167264 0.539700570976479 2.07440824060103 -1.52078695222795 1.59384680988421 6.29392537725225 3.33069219850735 2.65962999013071 1.50720725280208 3.20576415763372 4.09116420135475 0.396010301899252 3.12291398313194 1.4073091106027 1.26420490969553 2.7654918516552 0.238061761657608 1.79274169827048 0.427355929091523 1.41198419022888 0.131579667213549 2.22638035772279 0.926457017377052 2.48578438263912 1.30804972009744 2.12716427002425 0.704948615469681 -1.21347350273056 0.198801214011021 0.275314402645306
"PTAPET" 0.102452663655344 0.158502526702415 2.07658370506271 0.576605105012196 0.949971997573828 1.19748768218729 -0.412452149075663 -0.434680667431669 0.493409442707443 2.42213560422849 -0.0968207180626485 1.44424017072242 -1.28341173741498 1.34468361447302 3.33069219850735 3.95694184065001 3.08466033862722 2.21738955166237 3.30832087700288 3.06213820488619 0.543415187928573 1.82892429546954 0.99315281613986 0.930914809723917 0.595004685155266 -0.632339047362336 0.569614305146603 -0.0505097283617856 0.352696339605387 0.142816487724268 0.951570544113981 0.685279278117478 2.34043284814589 1.31803476909334 0.29925600552308 0.482576612600334 0.193123764631423 0.310009229645161 0.0433095927706397
"PTBA" 0.389676183379901 0.397013142608779 2.71632237868456 0.699863903396455 0.977937139815025 1.51401369938674 0.0137605044379107 -0.105508672304135 0.585720937728784 1.89237433259045 0.0684245492684405 2.03828845979067 -0.586271449718803 1.56055531900327 2.65962999013071 3.08466033862722 3.76208473357476 2.65695632892408 2.96729090166355 2.44751678816339 0.36736683732276 2.16806914750548 1.04164230618855 0.769446211187657 1.15556142413714 -0.35018885217772 0.716037245890052 0.427796388336676 1.32278073890723 0.222203217953987 1.75980710938495 0.988211662822853 2.01409923715351 0.990648705583207 1.01650231960568 0.921647935014419 1.5742203826869 0.624186200788089 -0.121404226966744
"PTEAM" 0.432392624697327 1.08807532102711 2.7552546614968 1.43404810161666 1.62909203320772 1.75926143097657 0.975387337264425 0.353099896067449 1.2291756433642 1.55993885432072 0.314917272570011 1.50070453368336 -0.971380870379109 0.443023848514117 1.50720725280208 2.21738955166237 2.65695632892408 3.73911152853279 3.49980435329907 1.80509554666759 0.251329266993789 1.68740218173492 1.26509299374183 0.730981704719628 0.874697315210775 0.475288111889868 0.991853362148268 0.304420122809581 0.699911288839072 0.260365079834644 1.16650066153553 1.30385688572281 2.26176943633431 0.88230606640822 1.55079352565708 0.442451909969793 2.62247814920822 0.459927615522359 0.202731670927811
"PTZYGO" 0.369821339205759 1.77260553997475 3.09156985448488 1.51219666361691 1.52858916227483 1.3579954392159 0.75183642121997 -0.18006998283475 1.46294584322852 2.50730630750699 0.593579540041474 1.61323560128521 -1.5980170271694 0.795307355898454 3.20576415763372 3.30832087700288 2.96729090166355 3.49980435329907 5.50440998633935 3.22074735210244 1.10063163076986 2.41005410065946 1.7620150550558 0.935481585988303 1.69556723169376 0.816348947837777 1.69922095998923 -0.109096538542489 0.64287909765057 -0.0591843899133682 0.891580808556038 0.928109025535389 4.08262258265432 1.39682153243901 1.59982643171499 0.676453416618479 1.18129509378664 0.398458436887088 0.271784364831007
