"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 1.03977761613674 1.82071619930097 2.88416585513807 1.45071339884774 1.43538241906683 1.10503987292758 0.514289258093129 0.703123261317828 0.972286988404961 1.08431570897289 0.718744029219441 0.674334172526561 0.678257600116436 0.942061029772522 0.49830205226206 0.0763677080505583 0.800869829711021 0.545049374050823 0.228512988216346 0.128759778298688 0.367729999637178 1.10559789909127 0.393190272680021 0.245628749059469 0.648949777436711 0.357938227410383 0.83359222726042 0.418795808996657 0.966741244830412 0.235440830660206 0.740694141184414 0.720183198855305 0.105363247299361 0.748150391776129 1.04703284337219 1.03034267289033 0.639658923335078 0.798701509528538 -0.111900519077199
"ISNSL" 1.82071619930097 7.36282864570142 7.47126367308478 5.76823334083254 5.12336844017982 3.94501153762778 1.04163190086085 2.25695737612895 3.05486850073449 2.54335741122703 2.27104634293502 2.25532531808028 1.15247179073071 2.78542318234641 2.20539327188726 0.622539570185757 1.76930609229919 1.12593360426338 1.14542576012419 0.152658417881395 0.997009511815311 3.23339925814632 0.971394399851138 0.461264670947427 1.94325965496614 2.78867318430543 2.52127817451475 1.43670154033208 2.4719712274853 1.04206984746508 2.00688411910378 2.16761201513222 1.32066474791483 1.47377513445252 3.14474738282144 2.40936153824938 1.13834998839984 2.70421884572482 0.00549064825501409
"ISPNS" 2.88416585513807 7.47126367308478 13.1577290641444 8.65239002695851 8.51161392094286 5.76913081592867 3.69505969790836 3.61843614385951 5.61936017583925 5.37727195980814 3.30030909530445 4.75705043133572 1.80006810536094 3.76734105996988 4.53218533691403 0.624887951051202 3.34272767994454 1.57555250266952 1.67083585331427 -0.178039258182997 1.81485503993277 5.31272785566041 2.97095258765288 -0.125174550550539 3.26539595793871 3.46682049472326 4.61349808765398 0.827279000438366 5.11212008389018 1.45320573846657 3.48887096098594 2.68570976948334 2.51731239156445 2.60636317832183 3.82078337583786 2.91962255089865 1.80742808569706 2.74148753355367 0.0580331069973737
"PMZS" 1.45071339884774 5.76823334083254 8.65239002695851 8.35752485519619 7.30958263401724 5.00533372864626 3.54060587479139 4.01756866351902 4.84580401233835 4.84302806020582 2.93649896759901 4.02666641508627 1.18641691858336 3.13919806715508 4.49679923666887 1.14481473910303 2.50175579919162 1.54147143087727 2.23157317352837 0.130531149999964 0.993794249133835 4.78317639381524 2.07699703513356 -0.0373485676742405 3.31289260765559 3.91328613528242 3.66843983302488 1.7101694878149 3.51498018494332 1.44611424493395 2.66380393083777 1.65341833162683 3.07230690586319 1.45782062130861 3.63775010870143 1.8194850756469 1.10762381716379 1.77380190845773 0.237356073069488
"PMZI" 1.43538241906683 5.12336844017982 8.51161392094286 7.30958263401724 8.80347251381192 4.8109563674226 3.94378254938578 2.83749409653198 5.71974539613805 4.11393011934999 2.94252140838459 4.07003491540542 1.10071921368129 2.9899166233885 4.09522719962196 0.837337181075016 2.81110578059325 1.4291047331068 1.7334386568668 -0.029655035487395 2.05302926567666 4.27153882820211 3.41764046859661 -0.994774704495799 1.49438746707976 1.93710126512769 3.29657372596369 1.0863639076983 4.39727723295411 1.28353617060328 2.88001469795259 1.11428765326907 2.9438947297627 1.84816868964363 2.76019562594866 1.76737855520656 1.27103049886055 1.29487369131375 0.359234315412143
"PMMT" 1.10503987292758 3.94501153762778 5.76913081592867 5.00533372864626 4.8109563674226 4.06479939989164 1.88272183274371 2.27400423408422 3.15796119360651 2.70679439970803 2.02727998753362 2.63515147932793 1.07356182386722 2.39472066986531 2.21712903991409 0.680478551645722 1.98592474863841 1.35970895839226 1.16802605982467 0.859423247388327 0.913773275637903 3.04719121972438 1.45219150019104 0.464967604035012 2.12421903806014 1.65124650921966 2.08566454758482 1.09580227578343 2.48906146090466 0.882198870686906 1.93670205687966 1.21455461898773 1.45404411196464 1.21441209372353 3.35752475471817 1.60660867127998 1.40618736996682 1.28613770397082 -0.0303080814212953
"NSLNA" 0.514289258093129 1.04163190086085 3.69505969790836 3.54060587479139 3.94378254938578 1.88272183274371 5.109072130047 0.970792923028973 2.79306012176527 2.32742414685504 1.04800019666432 2.21107116360096 0.893396049252256 0.470893757651573 2.73062482076448 0.428382587461862 1.31752082124766 0.836180899661264 1.25308882829773 -0.372475875917882 1.04883243659892 2.38156627143676 2.57003916871805 -0.524962905363094 0.630103229271458 1.10669646773014 1.85596630838519 1.02934164064716 1.82976015876572 0.677252006305276 1.68606041971505 0.831050692657861 2.15002985796241 0.471258113255779 0.324007816317204 -0.50871349193385 1.17425466633776 -0.375857516490857 0.892398473981908
"NSLZS" 0.703123261317828 2.25695737612895 3.61843614385951 4.01756866351902 2.83749409653198 2.27400423408422 0.970792923028973 3.73612188466512 2.49607824789186 3.11202354877462 1.82278450062259 1.95479329060041 0.527381055545027 1.76477762759735 2.43511811467533 1.01091516836737 1.31338424453237 1.12079648707837 1.63959045999539 0.71497288888004 -0.542219857819517 2.24628172557283 -0.298761155410109 0.138056404378507 3.19056602946601 2.51012894125665 1.81180369022508 1.04740987339106 1.27608924278769 0.709096495067721 1.51122341498485 -0.536919341139463 1.76032299927212 0.438763952769842 2.65063058522072 0.849650085887472 0.224519672196555 1.12791408107541 -0.186716020556844
"NSLZI" 0.972286988404961 3.05486850073449 5.61936017583925 4.84580401233835 5.71974539613805 3.15796119360651 2.79306012176527 2.49607824789186 4.5337927851071 3.10984170478816 2.22793260081913 3.13024507302358 0.811065278867383 2.07296897558159 3.13235589606778 0.887090415893534 2.16228634609139 1.16697683297259 1.84304232674108 -0.0456563036330072 1.28429138588268 3.11932906369638 2.47418989736387 -0.513520744605903 1.82710539064424 1.97201513200482 2.42965320062213 0.952862461589279 2.91056567792576 0.848540539282596 2.28098535051988 0.397615413486861 2.65335603706087 0.977648837093634 2.33694857563043 0.621226611036969 0.72603509897302 0.896094484561387 0.264191118820955
"NABR" 1.08431570897289 2.54335741122703 5.37727195980814 4.84302806020582 4.11393011934999 2.70679439970803 2.32742414685504 3.11202354877462 3.10984170478816 6.94892942773336 1.83397383578743 2.67831028771687 1.44160442875853 2.6544915905511 3.41139671400111 2.07169906560436 2.86405653733326 2.19744337016273 2.62812209304695 0.156316288040498 0.74621085799034 3.16020278259512 0.85895835544501 0.358560837710356 4.4179005155336 2.81495121323185 2.01728715310623 1.72668873183846 2.01443952897578 0.927779032128002 2.40989108198638 -0.204233454026523 3.4353747411026 0.784652278680352 -0.00637572293966339 1.23576408874197 1.37730151131538 1.8958019550798 -0.0428883880704014
