"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 1.36840034277783 1.4171362748387 2.98183416866476 1.94937323534477 1.1244646665572 0.929793994539544 1.85365152130491 1.18467619608024 1.97709221165955 0.872232297715475 0.698083245898135 1.69922965433781 0.700806887721748 0.2099319996434 0.556355054149633 0.171864298688073 0.37746530831987 0.754496699835279 0.557546498864169 0.351957481011281 -0.234221947169661 0.890016983555833 1.4163423880837 0.207532595439399 -0.0320087703421048 0.360338798315334 0.54737710311621 0.0570181946683766 0.272362185915763 0.586419374494843 0.82916538372807 1.54872403819456 0.695675531819744 1.0201900277962 -0.173256695709808 0.949145751382354 1.20038433391101 0.266364439751407 0.0768131352170833
"ISNSL" 1.4171362748387 4.78386985052763 4.85748200890992 3.79001423280339 2.9677062693125 2.05613056791495 1.05367662584618 2.25226823407136 3.19421039164676 1.93225304378671 1.88257566920252 2.0676076205427 1.17438280625892 0.425607949378986 0.515778722346641 -0.295286762347641 0.412992956718075 2.16022506126784 1.89594216291067 -0.0581395214909002 0.448024571478869 1.59938391937604 1.13787678471723 0.626947645612343 0.78184336857788 1.59377249861627 1.24691845620737 0.749920625595086 0.761884072646936 0.700670276407832 1.18095553139691 2.48226741869897 2.00920557450178 1.61570758960883 -0.715116374601218 1.24506276748758 2.74457011554988 0.417173787821557 0.157937343834148
"ISPNS" 2.98183416866476 4.85748200890992 13.9244241863152 6.49147753357644 4.38500456990775 5.63963240934769 4.26716721975041 5.25241414524377 6.71842566433793 2.17214370055472 3.45315787502088 7.69932963303664 -0.44963572217245 -0.244241877227099 3.60475387094856 0.609812343394454 1.76721146588662 2.21837554605833 3.4892039666997 -0.443764303631006 -0.227464700681283 4.00657933428338 3.68499033743405 2.06387717835287 0.851461416311651 4.20593751587245 3.34776380730084 -1.837349338716 1.67768285182041 1.79048372597061 2.73277896565736 6.63834225391397 4.25648960949223 1.76044328675269 -0.592033392234104 1.42839182728079 3.9677949051329 2.37727206144441 0.793852256372489
"PMZS" 1.94937323534477 3.79001423280339 6.49147753357644 5.519205679782 3.68542916550899 2.94088943199354 3.2224829203517 4.04975052826159 4.86559615784408 2.31473971560751 2.57482913686099 4.03591817327647 0.551376711567893 0.331197775297478 1.90064570034645 -0.0183704044277647 0.960491744541366 2.24896895639123 2.29949460302081 0.120424164854481 -0.367054667841334 2.39138408889976 2.1263835569667 0.713948689635874 1.23753604083486 1.96570870360159 1.6441800467878 0.59484569802097 1.26433128035903 1.09663145836179 1.97271430950923 2.78649026943877 2.794281331543 1.45428861695893 -0.571255619976083 1.67530930483932 3.28674744582817 1.24092048747632 -0.109187565774353
"PMZI" 1.1244646665572 2.9677062693125 4.38500456990775 3.68542916550899 3.72904484413493 2.54442951441677 1.73443968306901 2.73366222744366 4.1462543420682 1.4943036437414 2.11488627488245 2.59399744502522 -0.00936074453414156 0.0250351986620736 1.36779713334691 -0.52011568949326 0.42066573905558 1.83904032198889 2.1708960954088 0.15662657637828 0.14873070549763 1.56192432044328 1.79463337923808 0.534950995793866 0.61671436384929 1.21775488018336 1.25044879332931 0.759097702483837 1.06490566288191 0.480333852883674 1.36095712411114 2.0363495850816 2.32889916773996 0.846162566705493 -0.249654879652608 1.03244246946944 2.2646333998176 0.76907503771805 0.21499172371464
"PMMT" 0.929793994539544 2.05613056791495 5.63963240934769 2.94088943199354 2.54442951441677 3.77967691016673 1.76922308906974 2.70710062753574 3.30824442183776 0.364327286967123 1.99371629872784 3.24055148443038 -0.923050272386899 -0.559918117633406 2.18731169123654 0.235471308579917 0.576922262948857 0.608191470546353 1.58000141327276 -0.175807310005168 0.0566165917528934 1.90980044363224 1.4255472573864 1.58239147138236 0.290246245629912 1.48985251648904 1.21715315277007 -0.426293811621005 0.800712023825746 0.661949924340449 1.17813799622251 2.65127833610634 2.01271557751076 0.430731736607702 -0.202693143170392 0.691069648182258 1.42128137937504 1.34690170739793 0.0908201199799737
"NSLNA" 1.85365152130491 1.05367662584618 4.26716721975041 3.2224829203517 1.73443968306901 1.76922308906974 5.28812991418921 2.80571635277251 2.96387675377969 0.0319943245782034 1.0347905147186 3.74639351105376 0.543223572249503 -0.0758351620358361 1.9945323265066 -0.108369532220122 0.226693961700666 0.250243287686468 0.00803396614723891 -0.607468960140026 -0.508762434595648 1.57449086693726 1.43408600705711 0.360635419000753 0.525729710206199 0.725549217801479 0.443726796842431 0.157587005430543 0.781744583234237 0.841789425656917 1.02117837758421 2.06774735970514 1.20656218061809 0.6939201579407 0.2213237066634 1.41585252667184 1.51929224113729 0.818476918077429 -0.343875067953082
"NSLZS" 1.18467619608024 2.25226823407136 5.25241414524377 4.04975052826159 2.73366222744366 2.70710062753574 2.80571635277251 5.65275027934042 4.72577497047108 0.17467311022415 3.28359278540696 4.71312585084699 -1.07467687542637 -0.592783973406341 2.79595986209885 0.239794725238218 1.08453455842306 1.71640862186993 2.37624808013597 -0.304344560313043 -0.541741757172392 2.33042195842563 0.470819130518018 0.553194264248677 2.2912544816184 2.96626799784324 1.49848667182575 0.581588641137165 1.48524687604311 0.66340008056053 1.80697085885307 2.25508351971084 3.29405394466764 0.534592041971204 0.417523716602327 0.944476838854276 3.18783532984654 2.05318218081927 0.0461667431078041
"NSLZI" 1.97709221165955 3.19421039164676 6.71842566433793 4.86559615784408 4.1462543420682 3.30824442183776 2.96387675377969 4.72577497047108 7.08012907933741 2.05945841648914 3.47897660161467 5.03965482170892 -0.395160573586846 0.0233124615685778 2.6271920313707 0.46462071763991 1.61303427168293 2.177477650452 3.58908906834511 0.427840003581025 -0.0114612761674499 2.85785768997058 3.49596857272822 1.05718597916527 1.383169321446 2.80406170248452 2.05953470755474 0.406554280644533 1.70233189265933 1.08038315762683 2.16811552551872 2.99439893986559 4.2036166432114 1.11975938112939 -0.394717749720936 1.40733829600094 3.24082615360204 1.73069176858974 0.684774435906432
"NABR" 0.872232297715475 1.93225304378671 2.17214370055472 2.31473971560751 1.4943036437414 0.364327286967123 0.0319943245782034 0.17467311022415 2.05945841648914 9.49035971589904 0.811577414888869 1.2033975921295 4.5760512206495 3.15839416580453 1.9805740944934 0.139351676325028 0.989840343913801 1.96102870306116 2.62064461931375 1.38762913660136 0.549999530102478 2.06057063264357 2.13439903095274 0.0909389216921264 2.35520481987746 2.01358704748932 1.46348220655931 0.999983405269919 0.888606281459895 0.633287473144289 1.6118129360938 1.53808340834528 2.0486890349605 1.49627695357756 -2.43884320297168 0.614620246337232 2.45874565503518 0.741153192855184 1.1574393675212
