"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 1.23396084392864 2.12605621235957 3.18984443781753 2.06070150760076 1.30842120666638 0.908902141317022 1.14019137356511 1.09228271402554 1.39706286057247 1.03481847214329 0.503740594652835 1.05458681078826 0.212713563020818 0.892809407443995 0.927718484903948 0.6219687775455 1.08851656106721 0.949694456091054 0.988244148543069 0.802005837440149 0.279800481414407 1.57941856839434 1.05828678051332 0.589941662315898 1.10311268596383 0.633190995759174 0.920651468649342 0.271579495046341 0.849028791226398 0.521216013831271 1.3428531376244 0.53106300894 0.596735408815073 0.957074825624711 0.429435030197378 0.685653908421444 0.933879441242169 0.732659765123505 0.253021981012126
"ISNSL" 2.12605621235957 8.61912467218329 10.512545126524 7.7739317175467 6.6455897591354 4.21132030307269 4.40369919486625 2.78917427696596 4.51761007466827 3.14050131453607 2.23824942075806 4.49587903403368 0.558283929443527 3.30005596788395 2.7099202434031 2.79714569578715 3.4010675099478 4.77247764896765 4.49763188270452 1.34638743840431 1.85239861289049 5.88963265912286 2.78712392894739 1.71944046014685 3.45639234162188 3.54743927321621 3.95626555858809 1.09505634439966 1.56541262270198 1.34302566923818 4.1156257539302 3.06011964979926 3.86242260848807 2.60550042666198 0.522768800502586 2.88100616123621 3.85839670039609 2.38336972293352 0.983950979421342
"ISPNS" 3.18984443781753 10.512545126524 17.3382247432048 11.384359244741 10.5743233240522 7.0544900971353 7.25489639397334 5.15021362834972 7.43888729181884 5.53190365908239 3.45200010065949 7.20861579291124 0.368808941183294 4.90590181173351 4.21473392332659 5.18519909272242 6.30197645779985 8.37376430599256 8.20684185057238 1.69868179673123 2.56719469335332 8.7587486492053 4.33463853639816 2.64252206896719 5.64576293862826 6.09898263814808 6.35412232322022 0.979452336232305 2.17214704766236 2.19354606798198 6.43563123184671 4.79198428279546 5.92142989984367 4.48458567594593 0.968931381905107 5.07716526202898 7.03398325273315 3.84246948829199 1.62118802244113
"PMZS" 2.06070150760076 7.7739317175467 11.384359244741 9.68031011206853 7.47465953852475 4.84681131660939 6.00077357849554 4.34135414787134 5.05780670787052 3.04324002712699 2.53605339167943 4.7178261388948 -0.586775399921019 2.96690137669847 3.56351795257544 3.1883659570817 3.72276974374846 5.25493190014612 5.7514931188282 1.69528302420806 1.45085660891499 6.28671202002425 3.16455826090802 1.61182566156259 4.31970126759861 4.82553275789788 4.54883142515486 1.42214082538831 1.76830713361576 1.74907073673818 4.24466852915379 3.83070102620138 4.21925542690448 2.61975717656825 1.01942167323346 2.99746344982966 4.35244894496487 2.72727620686244 1.39421138648221
"PMZI" 1.30842120666638 6.6455897591354 10.5743233240522 7.47465953852475 8.85988253694145 5.38555922486754 4.6181603733417 3.2382576697268 5.57897802577759 3.47635907304499 2.48541612790181 4.44415108750831 -0.246188638398114 3.50313183095697 2.8670180064926 4.01567982416154 4.21698741354642 6.11992964614173 5.65140581321343 1.13261131069672 2.093720273751 5.74315127587449 2.67254846982196 1.25596717229675 2.85706857913885 3.73643009012375 4.43782272061446 1.06167482312416 0.868865255729429 1.47115329143921 4.12568018619299 3.1767983980789 4.25652426592579 2.45609382261108 1.02569034892754 3.73748282064589 4.72914097461101 2.42996940667872 1.14234448533085
"PMMT" 0.908902141317022 4.21132030307269 7.0544900971353 4.84681131660939 5.38555922486754 4.48405808336741 2.91725652026982 2.17587512477035 3.47395420108388 2.1016598433419 1.61987104091144 2.98187594866964 -0.117949667231131 2.17128629049122 1.88504207409103 2.63345683360194 2.75915215258553 3.85482884492157 3.70860942548596 0.971438429056372 1.26153228136351 3.66277467655058 1.74521997124277 1.47795123661704 2.19125739245063 2.44995488100052 2.40057497585421 0.746819068427098 0.605307427997139 0.877104915540176 2.51735135977729 2.14729903966793 2.87457397998039 1.84686551102216 0.593242285095268 2.58450149857204 2.9581314169687 1.49099907016326 0.686384512337611
"NSLNA" 1.14019137356511 4.40369919486625 7.25489639397334 6.00077357849554 4.6181603733417 2.91725652026982 6.26174011844296 3.27918552431532 3.26919655825914 1.5666266044506 1.21439344104691 3.42855281217697 -0.216046491160208 1.31561503423218 1.85890839814014 1.63031811099032 1.97846299857202 3.94729364551255 3.41842062294887 0.25255736753488 1.07608438019412 3.70458085595018 1.51446416913867 0.499527722648696 3.03256582157677 3.35058823227492 2.91256355293926 0.856340407066345 0.725484256137246 0.900720060987595 2.31309149377218 2.80507479230446 2.57755024774205 1.19000798479574 0.58513743534113 1.34214043325297 3.59982692327426 2.04241784514424 1.15587935546743
"NSLZS" 1.09228271402554 2.78917427696596 5.15021362834972 4.34135414787134 3.2382576697268 2.17587512477035 3.27918552431532 4.38120380247144 2.95508429978875 1.52898889960733 1.32214872320805 1.96110006623332 -0.0955027943840562 1.11271745302738 1.70542515251076 1.04352945461737 1.44449630614121 1.97567695087939 1.98751810753293 1.46315705530232 -0.774920714896449 2.22373180880666 0.121815843953855 0.173446746481086 2.46103438548361 1.61821419667417 2.11627914504743 0.619903590168237 0.942492417147578 1.16030730781828 1.99640679259899 1.45130061754559 1.48045368134297 0.6202725312227 0.796458406130397 0.521939866186806 1.57232825257325 0.850164852291699 0.772492566664301
"NSLZI" 1.39706286057247 4.51761007466827 7.43888729181884 5.05780670787052 5.57897802577759 3.47395420108388 3.26919655825914 2.95508429978875 4.72498640025698 2.53325784998678 1.75748090620777 2.89852242228949 -0.194012605036055 2.09200439652682 2.05191784948331 2.66967321080802 3.23177588103671 3.82853764609962 3.56391977882693 1.48006463211554 1.20936485483966 3.69541371997787 2.379972681923 0.950156686265572 2.25817015349746 2.24996235540363 2.98539633197822 0.824520600340517 1.02500815651314 0.894317963625188 2.81251176211157 1.63172327665202 2.64955719167613 1.53341171160965 0.841379304649341 2.09863459066287 3.23911321984759 1.71841795359611 0.737039449709207
"NABR" 1.03481847214329 3.14050131453607 5.53190365908239 3.04324002712699 3.47635907304499 2.1016598433419 1.5666266044506 1.52898889960733 2.53325784998678 5.25880603770361 1.32970392181225 2.31195686875075 1.61379646901333 2.91117880234247 0.584742123296543 2.03495595610399 2.65857193711949 3.44771532157557 2.79958739563799 -0.0346525918745372 1.50470054604901 3.32707828544351 1.42463508696824 0.761422357829653 1.09704607430778 2.43463914162221 2.23616102688355 0.499355679204212 0.629856973347721 0.701563677411596 2.22084775909327 1.62637966912846 1.83590387998563 0.974177039744483 -1.49400725203621 1.53337068623052 2.73297645336372 0.608884932911168 0.230610338264594
