"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 1.64072356894865 2.80790665039973 4.04392541865704 2.95464493923929 1.3430575434163 0.0469370199354458 1.86095450891216 1.63237170136062 1.13606332895545 0.98747272236186 0.37853319100296 1.53909146585208 0.512169159044973 0.972476603378315 0.62068590060858 0.347982802461028 0.774911415312641 0.53200271132768 0.217973498306322 0.27203780869873 0.129090883795593 1.71111009897568 0.794380301630362 0.758592929364911 1.86993077808872 1.23029191971985 1.6998503073611 0.348028601169846 0.493911559036255 0.32802283042567 0.778455558936407 -0.53639171760993 0.329172695127319 0.313423729575466 1.87167833057554 0.503156581440032 1.68264521041805 0.218482933717816 0.176495183405707
"ISNSL" 2.80790665039973 9.41335499340265 11.8568932088108 10.8920873871814 6.24431225168183 1.62312686778542 4.43727498109824 3.64153940384361 3.59850407763105 4.39794315701133 1.64976055041842 5.26209502191232 2.23236719548412 4.25225989404672 2.31824310488077 1.4671205538299 2.50856358836632 1.80817994149353 2.35756327812423 2.50240467324826 1.58537955305612 6.8676291615757 3.31544434304023 2.3806390735869 5.19363494452247 4.36976594621295 5.78770392574169 1.999539955364 1.40067245930004 0.455002217275649 2.17314461114555 0.834633223224376 1.96495733781302 1.64244338024567 6.32233090409979 2.44539543681044 5.74858380628177 1.42026921535048 0.901029463412391
"ISPNS" 4.04392541865704 11.8568932088108 19.9302407516877 15.4283484823434 9.14629288322626 2.37974145965694 8.0270399875589 6.64815689817124 5.34042486980206 4.67197616176412 2.47655251371011 7.10210212059544 2.51046446097542 5.62863139886303 4.30668926330329 0.90053447923665 2.16617493023687 0.344448281574743 1.30240726034516 2.2380895187799 1.66689016306655 8.90757915101053 3.96569391079523 3.23313457000316 6.72948332281514 5.97541351168485 9.47373312683023 0.251813377424426 2.12814934668994 0.199075456333733 2.95705898970408 1.60403950363724 1.54144404266837 1.47541482274431 5.783527904613 3.88655203437856 5.01986863659184 1.53612462019597 1.0826770487205
"PMZS" 2.95464493923929 10.8920873871814 15.4283484823434 17.8772219448916 10.4348934231673 3.6068222986942 11.0242136930906 6.34547775090955 5.4894332544634 5.03214538391565 1.86402177526549 6.53427245398003 3.11966446338396 5.65251071887011 2.84041902507834 0.816465890556795 2.17217049088735 1.19884794438506 2.38174125216281 4.23315180483653 3.12329623269566 9.13837152496425 6.48652637208248 2.12758449362107 5.54123990244467 4.23439065394553 7.40594184233003 3.01247238716236 2.06556761924074 0.441794082955044 3.05005514199073 3.61219032610404 2.34091810890154 2.44128194697583 3.43244375102961 5.42928484909279 5.55132350458858 2.51094606525873 1.05917809890975
"PMZI" 1.3430575434163 6.24431225168183 9.14629288322626 10.4348934231673 8.22582639664536 3.22738934523219 5.62445214506256 3.42842792723536 4.88901636181204 3.48292358366563 1.68881963047508 3.7789324249102 1.89167105137639 3.6256648980047 1.88556227391789 0.661142746544765 1.18217004350668 0.785457495326844 2.24520713391995 2.59649214824066 2.01674216458393 5.32159795381665 4.64020487404508 1.48334572054708 2.39348083207187 2.45883440284173 4.78573684334916 2.06889237317918 1.11773743070569 0.118183580872198 1.72325667709742 3.05207127567614 1.76895666832077 1.72931737776038 1.96619487599789 3.70515152434105 3.89809926820475 1.87906508702424 0.693490544700627
"PMMT" 0.0469370199354458 1.62312686778542 2.37974145965694 3.6068222986942 3.22738934523219 4.42795679364435 1.9445432331661 1.00062488283738 2.10553718996329 2.35467998399468 0.942210003550457 0.967068508512129 1.06259734240702 1.49183170952998 0.435546083977084 0.966041083355458 1.03196363865448 0.628391333908008 1.30952284526766 1.24034422386109 1.05318929805764 1.07277384637894 2.15916947284155 1.22848937714114 0.781808757133456 1.44334121046055 -0.0755552738802233 1.07475767692802 0.788997264312825 0.177415783378197 1.37237309580437 3.23518158834103 1.13049276328216 0.939689846225685 -2.03929186988876 1.66280586308656 1.1384906116342 0.856313955983553 0.262798670822217
"NSLNA" 1.86095450891216 4.43727498109824 8.0270399875589 11.0242136930906 5.62445214506256 1.9445432331661 15.4623606352129 6.38829634598165 3.2358832622946 -2.28481949338305 0.64575633114057 3.73635320986584 1.02546504391234 0.678192852464117 -0.483611505936657 -1.6393254175906 -0.286622378307978 -1.68231148652368 -1.97604599506154 2.29413285786657 2.02050751064269 3.00839973761794 3.63951859120917 -0.855045789403583 1.0072687143198 0.337993996482 2.82835265623497 1.11082202420388 1.96722213875133 0.489548119558243 1.69567913261579 1.94900920683051 -0.256076631080725 -1.07940981302291 -3.87678993910726 3.08074562341341 -0.488689601421845 0.279456032337827 -0.432141030379924
"NSLZS" 1.63237170136062 3.64153940384361 6.64815689817124 6.34547775090955 3.42842792723536 1.00062488283738 6.38829634598165 5.11931664669301 3.01981775797187 0.241910830460674 0.82911167588861 2.16699309700503 1.09374364165699 1.46091159813364 0.152277675381115 -0.174426487138164 0.683741219244151 -0.131684106932723 -0.180990407722102 1.07513710264239 0.0869148046513406 3.41681734248853 1.00759408992724 0.78006368440026 1.83197851330397 0.910009913823795 3.24703258892215 0.577324848519332 0.997543651525113 0.195863977408827 1.39822415868328 0.966074511009326 0.493286688170908 0.36862635584044 0.812562830183461 2.4201407394521 2.23554136597911 1.2508899000583 0.264241147471802
"NSLZI" 1.13606332895545 3.59850407763105 5.34042486980206 5.4894332544634 4.88901636181204 2.10553718996329 3.2358832622946 3.01981775797187 4.55546933560982 2.85193989288206 1.37540770767129 2.46365880094736 2.19071760925436 2.76079152332791 0.417998649562554 0.573218130538162 1.08731207741851 1.06575921720118 1.60479242196503 0.9357415892104 0.401543645474375 3.25930513807556 3.04841498821274 1.52893391885358 1.03824652155853 1.38996801630995 3.21116186462129 0.984269851408175 0.725801756410874 0.148004862438254 1.36920111702449 1.64865149343443 1.76351980988789 1.12150418529095 1.41307825048617 2.58757796874608 3.68832747723889 1.57943806574139 0.25886240372679
"NABR" 0.98747272236186 4.39794315701133 4.67197616176412 5.03214538391565 3.48292358366563 2.35467998399468 -2.28481949338305 0.241910830460674 2.85193989288206 10.8809077290978 1.1411860656985 2.30737365667072 3.65860624353272 5.43609178939315 2.90859438204847 3.5148443653576 3.63343698375801 5.18262660003431 5.15215584541614 3.23442243991709 0.835795187051438 5.07805320762045 3.7424051712493 2.42197910636025 3.4928230002138 2.95408418404268 3.90556567094351 1.37937900577067 0.343729609802508 0.187466556969313 1.68904333122143 1.87699481424992 3.66785295014598 2.80556558363252 3.19180356516904 2.87450594230779 6.35305596824602 2.51753173135289 1.09112710785378
