"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 1.58875896068363 2.25106436575744 4.22018334376427 3.03468738745365 2.20115028194294 1.76322702659842 2.34671618469799 2.02676336828287 1.98515916555702 1.34950330072402 0.810133895365862 1.86634864791329 0.236143957792781 0.832577597580711 1.43927748813075 0.560762591541777 0.911234545826756 1.17951487822511 1.78460384722604 0.201749162467917 0.0346575753123889 2.354623591428 1.15093324842098 0.463373098341499 1.31564450628407 1.54382479960727 1.20170334934136 0.870600760262977 0.802111719066071 0.529928103603936 1.39786674355217 1.48179571248041 1.50507591811515 0.65508692631647 -1.2710433462213 0.196465804623621 0.222794778985018 0.557774244243686 -0.0265164523772423
"ISNSL" 2.25106436575744 7.40905925122293 8.75897471771671 8.12722684877038 5.25775444265524 3.44772853702987 4.50719540615169 3.55046760990986 4.21227903094225 3.16355837759067 2.25371893283213 5.40608507786515 1.19410621298755 3.10697324938472 4.00985302772813 2.40028011619325 2.98327215462996 2.20312387109612 4.0888009024284 0.533230304167461 0.884461638942205 6.38650582230997 2.53857885880432 1.18585875216977 3.98768540701713 5.6168014709171 3.97036325697235 2.48955900881868 1.38912625142895 0.763921317862671 3.29228158905552 3.83267088049046 3.65635155656553 0.772505947456075 1.73038769625703 0.987964679009782 1.99255339546026 1.52502399178249 0.822595129861427
"ISPNS" 4.22018334376427 8.75897471771671 16.1799023361456 12.1457835766867 8.65295613348777 6.51772225329876 8.20693531873206 7.68335884217512 7.47500563694362 4.93177595148463 3.98109839222043 7.22075990655148 0.661131229489823 4.32766467419095 5.81614151597015 3.37388630161608 4.71086847036583 4.37755980937015 7.45219991755952 1.53100656098671 0.551710549902329 8.71787367009344 3.90056004345812 1.78345294968505 5.87008417614585 7.4064656375001 5.84853117263929 2.85481761288045 2.88195555727307 1.2438992454598 5.19949662751045 6.2560545824769 6.00546938313441 1.82342330268849 0.456883428942148 1.00608071982599 2.4523065899287 2.29999454679027 0.440915967768194
"PMZS" 3.03468738745365 8.12722684877038 12.1457835766867 12.6348741895852 7.72300326766999 4.8986948413002 7.85618538327816 6.39527232982779 5.57048927886727 4.24951363063714 3.3310674283644 5.9639729796412 0.680698536606971 3.4783207272548 5.32311344485041 2.74205360991816 4.12384091534747 3.47359296435819 5.98146571362206 1.19076187639204 0.37582038584849 8.14778524419308 3.70286344447543 1.73173743385943 5.63448618005737 7.10028086140061 5.50596568115938 3.40254841522321 2.3579993753873 1.29001511075479 4.50596023931627 5.23474329575019 5.41133756101263 1.00165620716386 0.183519911963005 1.22636863725283 1.13083962325426 2.16473880573242 0.758468291747459
"PMZI" 2.20115028194294 5.25775444265524 8.65295613348777 7.72300326766999 6.27491493045446 4.03661141828591 4.5481072599943 4.79700984990324 5.10591176076017 2.98350113492976 2.56750472288815 4.39756012575076 0.295603717187817 2.58564633870863 3.32973210662022 1.79271043453705 2.97340903521198 2.72755363373978 4.64917198551926 0.302818823408886 0.38256172563429 5.72231490759699 2.42552837694668 0.962409351818769 3.29570679791191 4.43182264334336 3.5689828840339 2.38856701190921 1.99067861054795 0.996101729314938 3.27317094187233 3.22547697027134 4.1779308533815 1.32931210993605 -0.116248333832956 0.937787366984914 1.03921399263072 1.53161282595778 0.453174852629314
"PMMT" 1.76322702659842 3.44772853702987 6.51772225329876 4.8986948413002 4.03661141828591 4.48119112485349 2.76916020953641 3.21208507442045 3.46948905552295 1.78038688445571 2.4971376134553 3.26481473762027 0.406165022542719 2.50174265854277 2.71467676921753 1.51143626031262 2.60928045026008 2.0391458931426 3.43116596892617 0.88722805227356 0.294629600945723 3.75920017505006 1.72448167208671 1.84772302146991 2.3090192785951 2.53539826784435 1.57465755116836 1.51690031783172 1.79284642157736 0.724675917857138 2.77521740734046 2.82485623383851 2.76967763509171 0.954631037580832 1.24650709203317 0.728030998075723 1.09586157241834 1.21478613077392 0.46949181486482
"NSLNA" 2.34671618469799 4.50719540615169 8.20693531873206 7.85618538327816 4.5481072599943 2.76916020953641 9.65729719093765 4.24507881394961 3.72790470803324 0.934975687028719 1.22241079483959 4.02463827364802 -0.234571406976955 0.835784997571831 3.07908469110537 1.3509841912343 2.0858656071231 1.9946636321765 3.19965170794103 0.307951430317067 1.22941380677808 5.12481598397436 2.86152732881151 0.439584304435827 3.29621568219734 4.75443646762103 3.77772403085586 1.6869550404549 1.7835309688234 1.37289115248745 2.30385760040026 3.34513213135494 3.26333840145137 0.953444731484665 -1.69809756147175 -0.528449426329032 0.162883360689067 0.210395918572457 0.338276240657606
"NSLZS" 2.02676336828287 3.55046760990986 7.68335884217512 6.39527232982779 4.79700984990324 3.21208507442045 4.24507881394961 6.04111405796002 4.89328968915653 2.14607749322721 2.65547666579179 3.40233231772498 0.0349339405472186 1.90088509142554 2.12868299911237 1.22237027387538 2.49374473632088 2.67196318599692 4.07960350613366 0.370165017497214 -1.23238667574752 3.34899694781986 1.33963251693074 0.766873267568425 2.70018298501494 3.21921610075305 2.39198387824351 1.31382035429712 1.7710283092488 0.541841353683442 2.85745571712792 2.33811184332301 3.36191856658742 1.12460395263454 -0.922499423514292 1.02292427553804 0.847775276486318 1.47126724484409 0.0429704218043779
"NSLZI" 1.98515916555702 4.21227903094225 7.47500563694362 5.57048927886727 5.10591176076017 3.46948905552295 3.72790470803324 4.89328968915653 5.86118998368233 1.76483416347057 2.66581856127103 4.08960143998993 0.0619419511666046 2.26160334598134 2.37453064494371 1.39573669821868 2.57817680020891 2.70254604046325 4.36707964565626 0.326735661390437 -0.0852166893887818 4.40725016698592 2.41374334717908 0.633032762155492 2.72169880994991 3.87106008920645 2.88489640942997 1.55077615494938 1.9273744299104 0.657290593325842 3.01524423688539 2.23820690556484 3.35456822657024 1.34872785749267 0.859292893922741 0.476144931792652 1.52464922024811 1.05173209236083 0.530766825248181
"NABR" 1.34950330072402 3.16355837759067 4.93177595148463 4.24951363063714 2.98350113492976 1.78038688445571 0.934975687028719 2.14607749322721 1.76483416347057 4.87580331225137 1.30882115920828 2.17474592990321 1.80149241498451 2.44366285477204 2.31187457411486 0.858361966588903 1.629606791161 1.14874128592505 2.20565745851801 -0.129115911364532 0.0605714808141591 3.35404670009038 0.82381187864335 0.993004814314748 1.68564728578444 2.9306317244322 2.00291751873779 1.79147834652263 0.906064682881373 0.183182331984428 1.88626290297024 2.36903930706576 2.05847578611538 1.3150576785281 -1.10730591624389 1.01116461354679 0.165058693549981 0.851094922936264 0.290375920482473
