"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 2.25188848041188 3.2639867541989 5.43433768828938 1.44105557021352 1.07911677317357 0.839915873798946 0.359365964332863 0.516939290649195 0.922847843101114 -0.892916339070897 0.841002369665576 1.58297265862392 0.061528800741245 1.17496532366278 0.882249518703975 0.863025856290111 1.16410966779484 0.348473612600474 0.752592771487467 0.566822498360723 -0.0349127453423966 0.631711625394389 0.427123419914645 0.582542044692123 1.60337612549254 1.11013116536712 1.05291631377307 0.164458698791658 0.685049436048807 0.2561313104236 1.18096667848839 0.474590613390277 0.909216292756762 1.86966333720555 0.811041456824778 1.95782139973761 0.255236179945742 0.0764414224435366 0.0118053117834624
"ISNSL" 3.2639867541989 16.7124147542028 15.6111586875771 10.8966002596617 7.44638133632147 4.65992602809936 4.15347275227432 1.65785963624112 4.25615785883954 0.618177770606742 3.45479799039128 3.73958420799755 -1.8650693923848 3.45050587033542 2.80366832170293 6.51404301351144 8.95078099985371 7.80838531325979 9.42283249545103 2.65415563633788 1.25656386631832 5.79818913405369 3.52931752899174 5.33793462066483 5.45232667614042 11.0621067139006 6.86323155900803 4.24124850876526 3.46536820472528 1.40696900022608 6.08698945270435 7.65199541126756 6.64104965492253 0.379302384908959 1.12463866241163 2.98025464673149 6.87395941479338 1.55575245368151 0.693625063727627
"ISPNS" 5.43433768828938 15.6111586875771 22.7443861987066 10.8525957244662 9.10269062965815 6.87149853159778 6.19797751730084 2.1715188725443 6.18964435832733 0.678610774832069 5.08830805165472 8.74562429347903 -0.284968465534135 5.99227453497061 6.06114120820643 7.47970091167131 10.9911659694542 7.15286562216294 8.66900766803858 3.25745292103215 2.82901648508474 8.56700432802228 4.96720412001004 5.84066068577686 8.20560035286104 10.3426692813632 8.0123416136717 3.83956187747288 5.10329209364121 2.94639662934096 7.89043338440698 8.92000289146831 6.76412887360354 3.01185456863072 3.13827382192463 5.72075066648271 7.60055210217664 3.08784948354543 0.744865681714998
"PMZS" 1.44105557021352 10.8966002596617 10.8525957244662 14.2656744847384 10.1545828625758 5.02682268062272 11.2943964395238 4.12825149737579 6.10219834846093 1.60903324629118 1.98966552831782 6.22844275555344 -1.70962321334807 2.85686736714639 4.38288844228382 5.4366455343933 8.05063363014447 7.83623452670407 8.52182204916084 1.01759002119783 1.97899055219582 9.57105592381977 5.13227915744341 5.29315375267868 4.76538753014785 9.70094032669359 6.4173453435146 6.24215994908082 3.42736765207467 2.64374755858075 6.13823340013396 7.80880318111391 6.31227033843066 -1.58485861004818 2.33681207233042 0.609348948412528 7.63885016864059 2.57529018435927 0.631342091175519
"PMZI" 1.07911677317357 7.44638133632147 9.10269062965815 10.1545828625758 10.5806759687446 4.85294504837329 7.74381844404576 3.81979416832383 7.89751602926999 1.72359450971494 2.62706133556932 6.3291464473483 -0.552700723823085 3.55722584958428 4.80987518378128 3.82434085967879 7.3115227009725 5.78194808215243 5.48678633840563 -0.916459074764478 1.60274540686457 9.13155141660583 5.08373421832418 5.58614042616912 1.51304849430398 6.83627673601235 5.39747519920116 4.80819024236599 3.99478879807622 2.63843560944552 5.44436387617844 7.054855002314 4.22627697703623 -1.64891738528298 3.74356164560325 1.25220233506105 6.50987741908576 3.27285355273558 0.218764536366997
"PMMT" 0.839915873798946 4.65992602809936 6.87149853159778 5.02682268062272 4.85294504837329 4.99882607876836 4.09831169698411 1.34991463003895 3.39452125306107 1.63112654918916 2.06270389950592 4.30279061756031 0.602367370111944 2.73280246773574 2.76877503907853 3.12234432350837 4.98799839939958 3.4284649553088 2.63000297260288 0.871163497078966 1.60887837734425 4.65427216001667 2.77052701513253 3.66844952284767 2.93652427849498 3.74157472962116 1.90562251058314 2.12225116296688 2.55302406169872 1.307563433728 3.89249272930973 4.70040068425217 1.91248856287353 -0.0365886247191993 2.37353814582438 1.45187089919765 4.88776118149151 2.43958582600852 0.609016629777456
"NSLNA" 0.359365964332863 4.15347275227432 6.19797751730084 11.2943964395238 7.74381844404576 4.09831169698411 18.088996568922 4.65919723715009 5.62026802781743 -1.61542909616624 0.0252859386099737 7.63590434958253 -1.81613031528811 -0.270626435581961 3.24525284343237 3.28841830497447 5.09411288719528 6.40764130867724 5.43600405591721 -1.45040195394256 2.76990558072201 9.60024238655906 4.46038660280885 4.18194461413202 2.71713636029131 7.42787975473086 4.21486381995044 4.48358375834117 2.0007684799429 3.12629675421737 3.89393487395371 6.45871856756065 5.007315916435 -1.5678334278306 1.33493703339341 -1.02479450962018 6.5116548785844 2.21043843613786 0.59689554889983
"NSLZS" 0.516939290649195 1.65785963624112 2.1715188725443 4.12825149737579 3.81979416832383 1.34991463003895 4.65919723715009 4.61534851467405 4.26008287093428 0.0299638827487272 1.21323672502571 3.28346969363259 -0.628451700395727 0.95331307775687 0.832944244222608 1.76683694062624 3.28945394764817 2.86264249867349 2.47853827064863 -1.19844585983402 -0.845264494291402 4.09071281906241 0.393697787954538 1.96917608973396 0.353257083834142 2.53894030092724 1.44675004051824 1.87330239654339 1.50979454401526 0.952872881666023 2.40200834299532 0.606449612797487 1.49146392193928 -0.644847078735345 0.96676918760321 -0.10267759733751 2.85075756414224 1.68375761553736 0.171322055739971
"NSLZI" 0.922847843101114 4.25615785883954 6.18964435832733 6.10219834846093 7.89751602926999 3.39452125306107 5.62026802781743 4.26008287093428 8.63210818141848 1.67556657525255 2.46083856492365 5.42549890936321 -0.797490262843727 2.61822794378106 3.86018433846469 3.77406449287996 7.27982959422089 5.83524741198666 5.49391601458047 -1.28805594378111 0.342138233422746 7.10567626639852 4.66927381533928 4.30566742228689 -0.397519183847768 6.32467221216628 4.4461720035082 3.27879756786422 3.34521442438731 2.08763595715653 4.42296425853869 5.30060012776042 3.84385887324547 -1.35333879780861 4.02906963747794 1.3881970769833 6.26586932810284 3.04237140248064 0.316267894057534
"NABR" -0.892916339070897 0.618177770606742 0.678610774832069 1.60903324629118 1.72359450971494 1.63112654918916 -1.61542909616624 0.0299638827487272 1.67556657525255 13.2182854273409 3.43086291258637 2.53162042639099 5.7227435187573 7.02488801817282 2.39100829638642 3.8772211061208 5.90931233588105 4.21402269403044 4.21298725029391 3.03456287912247 3.15616855609895 4.95800071129891 1.3663913884097 1.29558300675981 2.29911741036675 1.40326531443714 2.7159657016357 1.69661395523066 2.3169578234203 0.655153211639033 4.04810466147538 3.65731686143369 1.51395024035484 -0.0162276604251434 1.26455342232747 1.2941704565152 6.38988739915283 3.0218411050653 0.105412540223625
