"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 1.57938410946058 2.37126662959253 3.56414212847785 3.2742976419885 2.09292244679797 1.04445104111779 3.43184734550081 1.9177816067981 1.49204366739467 1.21375244221113 0.590083222503058 1.76249552452162 -0.0881322157484914 0.0654908703566794 0.690986031037574 0.261073808843436 0.359271101492292 0.643887387463035 1.43220453915415 0.358825300480041 0.448223296269525 2.55724484962266 0.858527453349346 1.22270567684108 0.878331578864138 1.25599183060691 1.28750581106481 0.403183121930159 0.70318717559385 0.292789062739404 0.802917118582226 0.370963399540842 1.49574426817408 0.503016072824556 -0.835465003597011 0.346363809890677 0.510498188956301 0.552275218558977 0.0379631304953744
"ISNSL" 2.37126662959253 8.28419717795642 8.40837909170167 7.90151391943744 4.97812956014686 2.50726852346477 5.53665751275927 2.08234675684732 1.55797189695774 0.629102288068215 2.09310083292188 4.36914991571121 -0.722238943099763 -0.138719349675549 1.62832764604712 0.485468947394429 0.911651513940841 1.6427595797254 2.8801159424991 1.0643196067497 1.08685296981359 5.77296412287388 1.1516113591777 2.9746561730696 2.63646744134269 2.33623614677304 3.56950467935873 1.14276197935506 1.29326236140858 0.575719708340288 1.50055034827097 1.94785777954166 2.56889238962267 1.11338338448465 -0.523666250928567 1.51251618491454 1.56562281434134 0.544254923535769 0.486966969415854
"ISPNS" 3.56414212847785 8.40837909170167 16.4983776832508 15.6195972436945 10.5336162028697 5.79797376507939 14.7945736071385 8.38941658942175 6.37241104607468 3.68513009448652 4.15294395242484 8.94932742279288 0.885640475091178 2.8668985353911 2.96358850976193 2.24348043580544 3.64063433752415 4.25127062808282 6.26487343715534 1.21565645947048 2.78794157663448 11.2932604701467 4.96864698890406 4.98420948316218 4.66952376194707 5.767270920988 7.16245931965163 1.3998602960544 3.39938374460484 1.34869017920818 3.86388197545189 4.4471111144676 5.74919057495614 2.85193785584957 0.433823507077649 3.84220909638187 4.13581428965356 2.93992595226299 0.278752636308329
"PMZS" 3.2742976419885 7.90151391943744 15.6195972436945 22.0067434172788 12.7873940110785 5.90126531134274 21.5729185074523 12.2028954744184 6.70800165918932 5.18507028107542 3.97633644838249 9.6128584403618 0.85603491488046 3.54689176165311 3.79210881128553 2.29653783646858 3.53706586536297 4.67886935985406 8.58074281924713 2.22254053256306 3.47303903188677 14.3545653273546 6.19485718265716 5.86676988975628 5.3379264758596 7.70905687847658 7.64247457906023 2.46033663251477 3.83641057044916 2.13174218336981 4.56002860081654 5.15738739502726 7.75467271445046 3.80531671106679 0.0243835808834536 4.18521755828303 3.77941072523897 3.29773331925402 0.549390564569496
"PMZI" 2.09292244679797 4.97812956014686 10.5336162028697 12.7873940110785 10.7708433889186 4.52894680587096 11.5403509847258 7.65118491662008 7.0286290462672 2.98380552699959 2.60043341568645 4.88120124970713 0.372338338855497 2.20171526755122 2.05488333167062 1.45576282146234 2.50161705339121 3.16473065554634 5.08686187410431 1.11690327402857 1.53866879764837 7.60466975362148 4.42136405770595 3.54634593339772 1.73914892941 3.65229595338743 4.95530731339807 1.94339257527904 2.59003998577924 1.34589494209706 2.87707737668145 2.96985459868563 4.77938586510237 2.07708820183908 1.1170151344396 2.20226722353537 2.9721558934903 2.33714192294741 0.552309654423578
"PMMT" 1.04445104111779 2.50726852346477 5.79797376507939 5.90126531134274 4.52894680587096 3.97133307793267 5.07282692599324 3.45999674889395 3.11432647217668 1.1571002693091 2.35661716625256 4.02563378484532 0.82877180185974 1.95835086479293 1.15771451912521 0.874958348076161 1.78531286451685 1.99975284153556 2.32858213690292 -0.0617937791624061 0.807694244738179 3.89142926054066 2.32328229640823 1.51132126952089 2.41551837199508 2.59196309757557 1.89931299152961 1.29772312614097 1.50290446827453 0.813211640711616 1.6511789051743 1.64689277589312 2.16927557660547 1.42422716237372 2.25898993653353 1.86847764394758 2.56942312264875 1.79761743949085 0.416310555402346
"NSLNA" 3.43184734550081 5.53665751275927 14.7945736071385 21.5729185074523 11.5403509847258 5.07282692599324 28.1281722329275 14.3804221983099 7.80135141941084 4.49108322754498 3.80234435876872 11.1460198948804 0.412247073163503 3.99794141398504 3.00642089854202 2.40121909268168 3.46193420798439 5.469602178358 9.42262867816549 0.70260866793437 4.71021873153369 14.9580035412057 6.94761347239134 5.72284470001467 4.61498404958358 9.5185792398228 7.24556939947686 1.99148511570522 3.80774211562259 1.85760991353363 4.69779428712936 5.03766846686958 8.27307080944563 4.70121791184982 -0.815112005687036 5.1731192540251 3.83006045826346 3.53356428530712 0.44996315605123
"NSLZS" 1.9177816067981 2.08234675684732 8.38941658942175 12.2028954744184 7.65118491662008 3.45999674889395 14.3804221983099 9.79309226904693 6.23433589108317 3.29125009635245 2.28648224260933 5.26157722273718 0.954851941510322 2.82254297983292 1.76126330741698 1.30101659888419 2.03810571637461 2.58347578651918 4.8882210938194 0.97418298630913 1.22737983031012 7.84997845093349 3.9496606674681 3.03639477567503 2.14960941588914 4.45249354886002 3.9837208100107 1.32960825860596 2.38332057413645 1.32521153195635 2.91690803367116 2.61887405198018 4.75212866100975 2.21047010676093 0.829723100479527 2.34324197780908 2.40403228607966 2.43084817519371 0.285685902945579
"NSLZI" 1.49204366739467 1.55797189695774 6.37241104607468 6.70800165918932 7.0286290462672 3.11432647217668 7.80135141941084 6.23433589108317 7.76147493318692 2.02624268031313 1.93834816226952 2.80266889161638 0.819914583880673 1.82380313630226 0.772170362876047 0.646817571211562 1.60027112462165 1.59586273346341 2.83042068249533 0.347261185165609 0.849782817464582 4.27451069292656 4.47263844522901 1.96283152746043 0.20557983048435 2.60107372664569 2.763950281104 0.961094506542254 1.92556575727668 0.907925458506665 2.25497784014784 1.16330565679159 3.49056891188853 1.74616698498049 1.52701170087982 1.39862495578862 2.13862045286835 2.31923607051578 0.175568683485711
"NABR" 1.21375244221113 0.629102288068215 3.68513009448652 5.18507028107542 2.98380552699959 1.1571002693091 4.49108322754498 3.29125009635245 2.02624268031313 10.9278503212273 1.24753791586147 3.17135731962504 4.08911233662518 3.74940418413658 2.52327987838323 1.94306383411086 2.0278749191494 1.49235549554622 2.8449563404341 0.532182949246842 1.48815683757896 6.00673867501666 1.64751572783668 2.3453177510352 2.61623816134111 3.19334744067622 2.90447236188684 0.624803289631265 1.37846977963373 1.13945788517938 2.0055187128002 1.82261443627353 2.87301865296597 1.57866289420531 -2.48302081334054 1.07830135649936 2.07418704708328 2.22107151854384 0.0659096794924823
