"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 1.35042775960645 1.44516970982729 3.14880266879789 1.57754992469669 0.97244272226011 1.07182699863121 1.05796820674176 0.803957571904931 1.13508144252457 0.838563208238895 0.145260098011999 0.181717110199029 -0.0231287449035711 -0.281854471977974 0.349937709686191 0.106093193645839 -0.105567146610986 0.0962791117890514 0.62144678330384 0.536994118506977 0.798460382061799 1.13232823711769 1.0961187667146 0.901641876825596 1.18105005728617 1.06194816105272 0.5276136651997 0.328670570141801 0.125806752551089 0.127340986223807 -0.369041589060544 -0.0563500992624339 0.565026303112948 0.230658921164123 -1.11602043606658 -0.0375015346072798 -0.687559236493781 -0.866831813104426 -0.457337507680549
"ISNSL" 1.44516970982729 9.01130212478985 11.1962829793034 12.2752140627796 9.02144153916584 5.60896480737296 6.56536158278703 4.4517889348467 4.49783108620528 2.85376289007054 1.90941009371234 4.39852379695846 -1.82562017194732 2.45396833398738 2.50943669333164 3.7799727222896 5.31228607661568 5.69294827904322 5.03080545610913 1.22644275555543 1.17163381105735 6.23764448241903 2.99805712315059 1.82658498522755 6.52093500998858 6.19622419716237 4.55539218100075 3.1880745760676 3.03079574330238 2.62230841703841 3.22959901868935 2.31150520690335 3.4713935551771 1.00242589308367 -1.02623433483195 3.17796775284052 5.71058680750903 1.70535489111048 0.774657741339677
"ISPNS" 3.14880266879789 11.1962829793034 21.2085787518011 19.7400033045361 13.7695095283725 11.3473611024027 11.8985969931453 8.79687975610705 7.68733512756531 4.60318843688171 2.49527232220439 7.29615043729454 -1.52183115555083 4.50565146140087 3.97260381077494 5.58458711057718 7.30314527077553 8.07901807534958 6.88107288518462 2.25227467313718 2.34542875487013 10.7011581720495 5.45391304302118 5.1346409991116 11.2397683270143 9.50658016053172 6.85795238101926 3.23393360072823 5.2082216079992 4.09737276949975 5.18522587461915 3.21420560414247 4.87027771538832 2.80466652419646 -0.890628033631266 4.29600202303438 7.30044842274009 1.92353269781058 0.323676675848939
"PMZS" 1.57754992469669 12.2752140627796 19.7400033045361 25.5330412331006 16.6135130880702 11.6801497995569 16.3037874684352 10.0504235082506 8.24822091150924 3.8971397757981 2.58618538153578 8.19850507353502 -4.53741995783819 5.08426705351422 5.32906946471152 6.84913724656618 8.12416290822141 9.60278634280207 9.18912693320497 2.29434821777353 1.65272755302608 10.9298161802073 5.85397658618439 5.2327856983039 12.1596267979763 12.5719376948839 7.76791431396657 4.19489013020259 5.83337962519698 4.81730760919847 7.24347916914503 3.50415422451936 5.01937786719256 2.55530302287641 0.112202651269868 4.81566636247195 9.35475529709427 3.69331399641826 1.44519715012827
"PMZI" 0.97244272226011 9.02144153916584 13.7695095283725 16.6135130880702 13.8030337361235 8.9605809914712 10.8016663731251 7.44226677956077 7.92638097073373 3.78346171190734 3.06358618560981 7.39024422645191 -1.67729045143308 4.82495238715215 3.47452410375085 6.43995944941828 8.29794647518403 8.19826030447425 7.26751108459541 1.4623237275212 1.09316705341259 8.31456336426353 4.47080161209416 2.77787929469776 7.02047786535777 8.63902854113077 5.61642329220342 3.69437045659288 4.72339403293658 3.71917893291987 5.97755929449645 3.11557761153552 4.75682922816306 2.6884510143413 0.996646166138577 4.02183663951118 8.47045372075517 3.47541488855425 1.83420459141199
"PMMT" 1.07182699863121 5.60896480737296 11.3473611024027 11.6801497995569 8.9605809914712 8.58400620011242 7.26304481364798 6.06233374620977 5.23717740043856 3.68797770817845 1.71763182976776 4.79451374154676 -0.284170499977542 4.11270542544833 2.8948521743473 5.11306825796186 5.87185710058679 5.70371887439935 5.19284220088364 2.48378588057097 0.724242208640565 5.81446969945208 2.75299677330365 3.20588693961327 5.37291602509901 4.71791271430488 3.05694159989486 1.84377363421912 3.33738186200228 2.6389742687256 3.81872802612096 1.78806378359508 2.41238864850736 2.16521414700122 2.43971260184988 1.4462705729944 5.61045095690536 1.42862060254494 1.0492289328841
"NSLNA" 1.05796820674176 6.56536158278703 11.8985969931453 16.3037874684352 10.8016663731251 7.26304481364798 15.9522657829878 7.77340821125138 6.65119254964093 3.07670129001999 2.63428900907612 6.33026966886186 -0.696796920837393 3.01338372843471 3.84977465037479 3.18222833103668 4.25937072936205 4.33365638402506 3.62518962353068 1.09723864934152 1.85895182033465 6.31971549909247 4.39896732445448 3.8582403669217 7.38308245392788 7.96095800941315 4.59783547025332 3.2310517817978 3.949487231503 3.08080869768232 4.84398249585203 1.98927677457976 2.73198697430102 1.04595501148388 1.25047491608015 1.6044822972807 5.21581107534661 1.74761725663225 1.04767808181471
"NSLZS" 0.803957571904931 4.4517889348467 8.79687975610705 10.0504235082506 7.44226677956077 6.06233374620977 7.77340821125138 7.35667812422101 5.61375423514236 5.2739961513267 2.21416138761583 4.08657654339955 -0.133850135896107 3.33743818032077 3.48957215484007 3.6537394225401 4.48067707913555 5.38235906250676 4.16864181574757 1.80923395819536 -0.0338254124350048 5.88886614441998 1.29037861156173 4.08768414308987 4.62159050781398 5.25410994506051 3.11798252284792 2.44998017106228 3.02042238554957 2.594574226123 3.87264116605715 3.43744242961918 1.90314005542801 1.08253450423388 0.591100727186368 0.982880242894653 6.00894933011343 0.804419645943522 0.69723452822121
"NSLZI" 1.13508144252457 4.49783108620528 7.68733512756531 8.24822091150924 7.92638097073373 5.23717740043856 6.65119254964093 5.61375423514236 7.27665413375926 5.46617420072021 2.41014029015212 3.84173614275442 0.604205558507395 3.80366570319887 3.15064354999111 4.56877802085608 5.71078035745739 5.26090930856155 4.97015637792359 1.56406943325299 0.96886692997837 5.59736335639972 3.38799684038628 3.5141115887082 2.68429434044121 5.60360941968132 2.77917130744214 2.180759334825 2.81792194411656 2.25249244341811 3.62402845478857 2.31172731816148 3.12955377858494 1.61118099260332 1.8814617967641 1.37412080343815 6.03720856408074 1.27522665599775 1.30356824945785
"NABR" 0.838563208238895 2.85376289007054 4.60318843688171 3.8971397757981 3.78346171190734 3.68797770817845 3.07670129001999 5.2739961513267 5.46617420072021 12.4739005639575 1.85782425646875 0.758320433488814 3.17677613667293 3.54740358126238 3.10808304888289 5.18922259285911 5.94740175563623 5.9351693774427 5.36094933073138 3.69868596960415 1.08560510454771 5.49247308526633 1.07988903940936 3.62400445186596 -0.0129872553330554 2.90231811952445 1.22991368299927 1.33369224080733 1.14081215645235 1.22454345549996 1.80691743973838 2.73849085536358 1.8926580238638 0.317613034219688 -1.26009258753201 -1.48266149575658 6.02377445454429 -1.40145292879124 1.47362435611191
"NAFM" 0.145260098011999 1.90941009371234 2.49527232220439 2.58618538153578 3.06358618560981 1.71763182976776 2.63428900907612 2.21416138761583 2.41014029015212 1.85782425646875 1.86989664558751 2.57366520871337 0.634945130555793 1.32493301465731 1.00893018123924 1.47448179315769 2.27120490130833 1.93253036319614 1.42535749573982 0.0636889444182443 0.462556503434551 2.56035709996348 0.647764676135259 0.519514830955006 1.3654141989363 1.83417441608741 1.30548126582089 1.10935125139845 1.32077688055997 0.948671327380473 1.79422850729144 1.08462525040885 1.56376483339202 0.902556423664266 -0.10467585199551 0.964023665238602 2.47411428894728 1.20005626448151 0.614806995865971
"NAPNS" 0.181717110199029 4.39852379695846 7.29615043729454 8.19850507353502 7.39024422645191 4.79451374154676 6.33026966886186 4.08657654339955 3.84173614275442 0.758320433488814 2.57366520871337 6.05417457224699 -0.261713793171342 2.94002132953928 1.86315788922756 3.05749330455565 4.38679620651858 3.83524206668017 2.66853275572462 0.0110549834544155 0.67837047746141 5.515993835741 2.02762961877108 0.93237608993809 4.53837125368971 4.03874591156742 3.36057143035141 1.44999623209533 2.92712242338199 2.18675043387892 4.07383407425403 1.40827075477538 2.96585044652688 1.67436690857439 0.576231568231014 2.98796143518964 4.38523404113792 3.56644926263133 0.858614133775248
"BRPT" -0.0231287449035711 -1.82562017194732 -1.52183115555083 -4.53741995783819 -1.67729045143308 -0.284170499977542 -0.696796920837393 -0.133850135896107 0.604205558507395 3.17677613667293 0.634945130555793 -0.261713793171342 4.84399773039731 0.899347504148945 -0.911786864749843 -0.410317773504717 0.893826734036734 -0.857361568220573 -2.64167569417652 -0.0895794117225274 0.377185070284073 -0.856231313613037 -0.442511855934027 -0.533730962264824 -2.83612077422806 -2.99341218753542 -1.46437329565782 -0.584776390135511 0.00152749443430581 -0.371220254227648 -0.490189856457106 0.415168170116143 -0.7254138504249 -0.657408987060592 1.10685454651446 -1.47967757941915 0.684300630395051 -0.530830851010076 0.279625228033316
"BRAPET" -0.281854471977974 2.45396833398738 4.50565146140087 5.08426705351422 4.82495238715215 4.11270542544833 3.01338372843471 3.33743818032077 3.80366570319887 3.54740358126238 1.32493301465731 2.94002132953928 0.899347504148945 4.60157718125649 2.54165011543691 4.3037415845158 5.25565034171624 4.5828749631608 3.66359347257557 1.76381208739008 -0.101410638229855 3.9169857362392 1.56887628793002 2.10411592827512 2.00670309133631 2.59798062839716 1.74691200160107 0.557141117446049 2.33690208606461 1.96532846497003 3.06302830031339 2.01192345953212 1.89780420711837 0.692019230030803 3.69759178372591 1.25646354662109 5.86788839825737 2.42236556153618 1.21656412738196
"PTFM" 0.349937709686191 2.50943669333164 3.97260381077494 5.32906946471152 3.47452410375085 2.8948521743473 3.84977465037479 3.48957215484007 3.15064354999111 3.10808304888289 1.00893018123924 1.86315788922756 -0.911786864749843 2.54165011543691 4.02086934168579 2.72349911656722 2.38153361610407 2.9679476144329 3.60080201646268 1.87412710190044 0.0282940672374903 3.4521937736951 1.20318637950173 2.85909409811315 3.01647157540007 3.92762686979987 1.6657105439034 1.1390572693334 1.32653806960705 1.77530188220214 2.28418034757885 1.4958008666356 1.70505005378085 0.33051016015889 1.96128496854947 0.206319881327958 3.29713074469436 0.881521406171955 0.842355348409037
"PTAPET" 0.106093193645839 3.7799727222896 5.58458711057718 6.84913724656618 6.43995944941828 5.11306825796186 3.18222833103668 3.6537394225401 4.56877802085608 5.18922259285911 1.47448179315769 3.05749330455565 -0.410317773504717 4.3037415845158 2.72349911656722 6.92934383095068 6.68289128602152 6.2624341536802 6.88134913309903 3.22352258932795 0.640328128618289 5.17558836398458 2.27677856798608 2.43969832139701 2.00644217745588 3.79966784577834 2.09770014085769 0.847687776896456 1.66246231897578 1.8364782199229 2.89753303033825 1.05433861305169 2.97455086980395 2.1270815047869 2.25000105198177 0.706841517037361 5.46137275602995 1.3878756377682 1.79042232507865
"PTBA" -0.105567146610986 5.31228607661568 7.30314527077553 8.12416290822141 8.29794647518403 5.87185710058679 4.25937072936205 4.48067707913555 5.71078035745739 5.94740175563623 2.27120490130833 4.38679620651858 0.893826734036734 5.25565034171624 2.38153361610407 6.68289128602152 8.99214310046932 7.88948726886602 6.40278497790286 2.58408375903841 0.414609667712225 6.11327062877664 2.51974651902863 2.13326248388137 3.0111265680296 3.92646299131543 3.22247728187848 1.94148731370524 3.39129895559957 2.52461053528775 4.53484081788517 2.22560443436103 3.67591624959557 2.00933612482742 2.79724471697082 2.71693225672245 8.95356274361602 2.41394574163926 1.90125405910978
"PTEAM" 0.0962791117890514 5.69294827904322 8.07901807534958 9.60278634280207 8.19826030447425 5.70371887439935 4.33365638402506 5.38235906250676 5.26090930856155 5.9351693774427 1.93253036319614 3.83524206668017 -0.857361568220573 4.5828749631608 2.9679476144329 6.2624341536802 7.88948726886602 8.99915449081506 7.38494430436962 3.30486491945475 0.0112537433211216 6.54252284827318 1.91764237674981 2.67534765304033 4.90994694714824 4.81734361765411 3.7262157471274 2.67159557235675 3.12915162931106 2.80218271078254 4.07021160469547 3.25026513607475 3.44182576720759 1.66204010350027 2.08586469730463 2.83497721311218 9.51006902855991 1.56477713182412 1.74845031970674
"PTZYGO" 0.62144678330384 5.03080545610913 6.88107288518462 9.18912693320497 7.26751108459541 5.19284220088364 3.62518962353068 4.16864181574757 4.97015637792359 5.36094933073138 1.42535749573982 2.66853275572462 -2.64167569417652 3.66359347257557 3.60080201646268 6.88134913309903 6.40278497790286 7.38494430436962 9.4493537156251 3.832943643352 0.791212912691082 5.96478550095855 2.71218125411455 2.87710794171667 3.76952884382667 5.76570526092916 3.09371928252279 2.10692524964942 1.92743141244138 2.23403853837848 3.10611532231242 1.68727440947553 4.20941334250447 2.44533249739108 0.584456838719588 1.67979765180459 5.95562664706565 1.00952075907529 1.51205153167006
"PTTSP" 0.536994118506977 1.22644275555543 2.25227467313718 2.29434821777353 1.4623237275212 2.48378588057097 1.09723864934152 1.80923395819536 1.56406943325299 3.69868596960415 0.0636889444182443 0.0110549834544155 -0.0895794117225274 1.76381208739008 1.87412710190044 3.22352258932795 2.58408375903841 3.30486491945475 3.832943643352 4.84403921463167 0.122988479258228 1.42269436250242 0.766720688217902 1.6577702691251 1.54040930845463 -0.109183551306141 -0.0424657184549013 0.762618904531301 0.433499971634788 0.942034801780722 0.136657563716255 0.489197115220129 0.474880670725546 0.662025372184608 2.20790200637118 -0.626918461954776 2.29962490841424 -1.43161393718117 0.417213915494198
"FMZS" 0.798460382061799 1.17163381105735 2.34542875487013 1.65272755302608 1.09316705341259 0.724242208640565 1.85895182033465 -0.0338254124350048 0.96886692997837 1.08560510454771 0.462556503434551 0.67837047746141 0.377185070284073 -0.101410638229855 0.0282940672374903 0.640328128618289 0.414609667712225 0.0112537433211216 0.791212912691082 0.122988479258228 1.83117209285978 1.53256823527528 1.85165760671934 0.330261339962037 0.869936341760765 1.2513949063674 0.630512561164655 -0.175152071888619 -0.0358491245101122 -0.10100476231212 -0.160558306714287 -1.09996095645447 0.980153433968411 0.765648529712435 -1.17925934063054 0.166040169555382 -0.6287860404895 -0.11085852047151 0.216894681400766
"FMMT" 1.13232823711769 6.23764448241903 10.7011581720495 10.9298161802073 8.31456336426353 5.81446969945208 6.31971549909247 5.88886614441998 5.59736335639972 5.49247308526633 2.56035709996348 5.515993835741 -0.856231313613037 3.9169857362392 3.4521937736951 5.17558836398458 6.11327062877664 6.54252284827318 5.96478550095855 1.42269436250242 1.53256823527528 9.3712496463416 2.94012125175026 3.80617112356263 5.82100048199089 6.76088994574873 4.75437704227693 1.14089553618013 2.97797712351355 2.61668659746553 4.5085362595865 2.03586706569862 4.07784115140337 1.94955852165953 -1.68288547391344 3.26743007625142 6.31729197885183 2.90004190146773 0.884051677031519
