"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 1.39999583949223 1.36418811032868 2.4990726681386 2.06855319826146 1.10034963404127 0.623661536931913 2.68772877744313 1.46848859925098 1.32755181560509 1.04519526456665 0.246695769254548 1.1092898079235 -0.216841528240426 -0.354486744687904 0.396107391793434 -0.100563677841496 0.180757219827341 0.541833192381068 1.22344935481888 -0.0723064165293984 0.575529172910852 2.05930405832576 0.866216097008209 0.96063691487592 0.757278514126273 1.60896555742501 0.914806698146519 0.37705679561079 0.517878608211913 0.319281328288794 0.708131497143735 -0.065991785957436 1.66485675678188 0.331846797551586 -0.556298644020446 -0.0812986861242193 0.225189875570903 0.432213239871262 -0.240754001615785
"ISNSL" 1.36418811032868 5.33000964734536 4.32834564710427 3.60249888632042 1.97313733881392 0.968232725046051 2.04192967205449 0.139408859596356 0.473552267887163 -0.0217252153642982 0.566043312882068 2.23955609434884 -0.739941194416353 -0.442614066970476 0.863777161195316 0.379272571831726 1.04051167952426 1.64472529169724 1.7466099345326 0.0268532099633118 1.55380152062861 4.27579863668519 0.61326842123066 2.28992175240732 2.04516565886366 2.25944988083018 1.92418273409645 1.5577239686897 0.303533146999916 0.248393145697459 1.14291481817662 0.892721542993979 1.72878114876025 0.517868994193369 1.07605860835331 0.276219638394594 1.34034005544492 -0.127247863239814 0.143414104935601
"ISPNS" 2.4990726681386 4.32834564710427 12.2094441996808 10.9023327121159 7.05670861258475 4.40246249463179 12.2273764472389 6.68794508622402 5.97446673797064 2.92181624784212 3.17047631206299 7.41394235675074 1.8796016281749 2.77565697185295 1.21107519256576 0.741313641828846 2.81493722687175 3.8478152953938 4.07370878947539 -1.33254909819999 4.24646313926128 9.71557325948725 4.81411943828224 4.04969420501805 4.85057191002004 6.56148564033193 5.24548463870439 1.69652707592204 2.7648390410281 1.65393982663761 3.69045639539634 3.48655104589625 4.90086685749837 3.2943053603986 3.40763714319945 2.31101289361573 4.28485988247582 2.31848013111574 0.16984606299801
"PMZS" 2.06855319826146 3.60249888632042 10.9023327121159 17.8269176543462 10.2785954098856 4.83403863864771 19.6461096398798 11.3211553873469 7.63366258569702 5.22804785103229 3.10175669685861 6.43508357852936 2.37585054750883 3.47976443157264 1.21918196583014 0.362819744542437 2.85692763930212 4.35366762410673 6.4020591995279 -0.439223420702039 5.09565305661343 12.0487308988466 6.10658166233904 4.34872388013095 5.50806199290839 8.16286298375967 5.53860553312965 2.58499356342331 3.49139803857175 2.92582673581488 4.5660990388905 2.8595656728343 6.98594655658335 4.34875667178794 3.4642664285865 2.3977264992255 3.98995443422123 2.46006040574646 0.852109752482518
"PMZI" 1.10034963404127 1.97313733881392 7.05670861258475 10.2785954098856 8.61648747950629 3.52856736559969 10.8014984996129 7.05809406929145 7.07819240145768 3.29610647824929 2.39245475255837 3.84862260087559 1.01388792881847 2.06521855990831 1.44846211448752 0.757748527876698 2.2548643660266 3.46179861107793 4.46480454852935 0.316505766720568 2.61078767758793 6.77009461648461 4.46992111289145 3.12509764476559 2.67873087963483 4.95794175816165 3.89071832479195 2.66152208113917 2.21959049385946 1.95961829144366 2.89081015402839 2.25296448058038 5.20048805221554 2.23751036723309 4.27910145529014 0.479327933246548 3.76077962419512 2.300011505504 0.80130650140522
"PMMT" 0.623661536931913 0.968232725046051 4.40246249463179 4.83403863864771 3.52856736559969 3.80603161884327 5.08338909537632 3.57733281525129 3.29125729130491 1.31130943692391 2.48993578245373 4.31196418517606 1.59406266260114 2.87576683628749 1.10421175129853 0.718031031918863 1.75782827121796 1.87550978111163 1.77784532281851 -0.98308928335387 1.57871108549434 4.7167731417095 2.37470758875501 1.73603241033231 3.04461722577671 3.4552566273696 1.55768107730691 1.59548537725228 1.46134721016322 1.07209361507704 1.97204473864839 1.78821037048695 2.3695328858711 2.1803981824357 4.01755002717309 2.18634144473919 3.12887127528786 2.34933124855081 0.645153184058025
"NSLNA" 2.68772877744313 2.04192967205449 12.2273764472389 19.6461096398798 10.8014984996129 5.08338909537632 29.6433168012604 14.8672513310945 10.1081420730669 4.39990347037519 3.3715947874741 8.72958123854556 1.03035654116181 3.65883382737736 0.685044866559926 0.516925008696189 2.74387946354176 5.8602473367408 8.30514238183612 -1.89228088703831 6.32608426083801 12.316720567785 8.14298615473588 4.10017014802164 4.73243095397476 10.6455814360324 5.43547887555788 1.73490456333824 3.7891218976571 3.05859245353608 4.70710853699438 3.02581807891268 7.69637478371546 5.82226662179377 0.161542374778956 4.85900587401049 3.81747471071095 3.50974980818078 0.542896255075496
"NSLZS" 1.46848859925098 0.139408859596356 6.68794508622402 11.3211553873469 7.05809406929145 3.57733281525129 14.8672513310945 10.2340866785431 7.46588110934832 4.03454838563921 2.54062322570383 4.45833407224018 1.95598058264405 2.87761972513161 0.846148654207568 0.0363068602240028 1.18568713101788 2.51835193669687 3.9914144718611 -0.610647205730809 1.68429825991771 6.8632125602922 4.42820997673508 2.30216737975973 2.77973964844099 5.59212321045135 3.12978082905113 1.34774533702214 2.13553346203941 2.27370273229414 2.91925186838808 1.82205749130434 4.69980309416209 2.75352587346855 2.79801826852244 1.53666629142265 2.89480250658245 2.38825535830661 0.67518861616461
"NSLZI" 1.32755181560509 0.473552267887163 5.97446673797064 7.63366258569702 7.07819240145768 3.29125729130491 10.1081420730669 7.46588110934832 8.65109880254252 3.56623112169256 2.57215763625906 3.68898115373832 1.78980490009944 2.1619644090481 1.14533525695072 -0.0227168738940537 0.896219479209776 2.00912721923372 2.9766168496284 -0.237943704007882 1.27824253976644 5.22032997847339 5.27304135257257 2.43281921374234 1.42219995059982 4.39331487153038 2.97417699360815 1.42647153098458 1.63357025836466 1.65583372820144 2.58311762706661 1.35235820795878 4.1860033718926 2.45873137897281 3.41239486018535 0.645668010750052 3.07061554739109 2.85864465648424 0.651028330526654
"NABR" 1.04519526456665 -0.0217252153642982 2.92181624784212 5.22804785103229 3.29610647824929 1.31130943692391 4.39990347037519 4.03454838563921 3.56623112169256 11.4130412651791 1.69972176197022 2.15060927143157 4.9327340422724 3.68141126250939 1.07370770661875 0.433136320608765 0.823994189562896 0.249567540162821 2.47250940332933 0.597208886527745 2.08563031473264 5.50950563836362 2.21799959832181 1.91988817842826 1.85987047688563 2.99475689793707 2.52198435969567 0.536801826845135 1.36642464767377 1.4599587393928 2.22387645215195 0.599336900495334 3.96726240030537 1.17709643595384 -1.41131177809366 0.155134525597171 1.41777742977554 2.30275215700936 -0.274629512781573
