"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 1.35507371243802 1.68657494761432 4.11179720837968 2.43418364508294 2.33925945147146 2.05903475922542 1.73862757961662 1.615159574723 2.24061835295734 1.70816179428893 1.27375199158414 1.94765930079524 0.887231296871744 1.25065868343125 1.10195443167425 1.13174264338462 1.46336417345906 1.06141085285238 1.22475718088492 0.43981683837329 0.190900394245594 1.7013355383011 1.2175202189505 0.899326112024963 1.09115269803101 0.815021871082489 1.29419187156078 0.656851509447448 0.53031040340121 0.267383699496803 1.51694297097675 0.904630532512356 0.92269020854347 0.443128650640512 0.664806964304839 0.924995472028928 1.5031166539629 1.73601472897611 0.275050555078529
"ISNSL" 1.68657494761432 7.6129875702726 8.68969147484672 6.85783059612189 5.3572584145287 3.53998667660745 1.64311259473122 2.30091820512319 3.81146746774376 5.28868701745917 2.9848216829826 4.43196173391914 2.26766415474443 3.14915644714666 2.37914184669613 2.38951357467021 3.13903995599392 2.5939388999607 3.34943535299891 0.129949375962736 0.880222675788348 4.96240375693071 2.02763264367116 1.73603395840097 3.77693473403765 4.14458789712058 3.59592737192249 1.39879839845092 0.955377812716078 0.516292261047632 3.29665154094249 1.52990157682965 3.47973978401175 0.970224226616332 0.204124165099163 2.00893091484461 4.9352116212446 2.92586794391405 0.863031464104768
"ISPNS" 4.11179720837968 8.68969147484672 19.885082450186 12.5430624466218 11.1523324300621 8.38120456412888 7.25518529055904 7.02210997634496 9.25212299515551 9.50240614296322 5.80910459161059 8.85353921888894 4.13586572624219 6.18093523900654 4.86527494442988 4.88035465250109 7.16390280975309 5.19216935420679 6.22657884556306 1.77849062609221 1.77077630831798 9.27747236401561 5.12959540956724 2.82303693386649 7.12912536186097 5.86916624857404 7.75211559040307 1.92997571793638 2.99558796170476 1.14696416986501 7.13684344477097 3.43883498204362 5.37849168196894 3.17029489112079 2.1089997232763 4.88064995747737 7.91184343010242 5.78939432337409 1.32507459671388
"PMZS" 2.43418364508294 6.85783059612189 12.5430624466218 11.8685770622082 9.04273480411387 5.84201670646669 7.17667208235232 5.58347542516722 7.00861545369693 7.69311608175864 4.3019981119749 6.56887855146378 2.75626788579554 4.79784078381356 4.00045673700225 4.21821441275096 5.73784336364135 4.34579471600466 5.33875963054202 0.949259683907169 1.69746199985851 8.01187809622585 4.70667741488524 2.29021188234848 5.86298447867545 6.13800866176576 5.40311238697558 2.99672357212196 2.44264791014312 1.32613035526003 5.59174719861235 2.14668717425512 4.59154736560656 2.21313700009467 1.49580204268265 3.41422796932147 6.96878646334038 4.70756711548706 1.2985346321066
"PMZI" 2.33925945147146 5.3572584145287 11.1523324300621 9.04273480411387 10.4754686113192 5.440287952832 4.81467769504209 5.07503575240301 8.40358783439938 6.0194104064557 4.20788861196593 6.03408584649292 2.03368031243479 4.68845990423608 3.31813213326192 3.48464546063153 5.17625395879199 4.06611150824118 5.00649032258503 0.454104475821692 1.13635426399744 6.5859509698489 4.82044184796738 2.35517933119584 3.87878672965732 4.08257677815186 4.73358304266997 2.8033860249482 2.55985353952041 1.27425233607258 5.27064682881884 1.43416814762253 4.36209628359379 1.95070983909347 2.20459952633725 3.46773710385952 6.0406188529263 4.8019011338728 0.868618076282175
"PMMT" 2.05903475922542 3.53998667660745 8.38120456412888 5.84201670646669 5.440287952832 5.56909613041569 3.70542835695191 3.42362965824817 4.97187453674182 5.13283299204919 2.87352231737659 4.07696232141144 2.68239139712637 3.35348641447336 2.18776050555547 2.73605892796824 3.81156749324422 3.06644615828241 2.95037008614401 0.992578049831398 0.86622692475187 3.61800310970852 3.03250362502592 1.85478766911536 3.14253184135682 2.3932024605815 2.22516797785723 1.71092154686261 1.36927621408608 0.884746237983331 3.22994837939358 1.92583283456024 2.25179280713328 1.89617138826822 1.85446975790513 2.54412757144146 4.82325270827051 3.2138458181059 1.11911587919655
"NSLNA" 1.73862757961662 1.64311259473122 7.25518529055904 7.17667208235232 4.81467769504209 3.70542835695191 10.8204085011366 4.69293661479761 5.26342094439703 3.79027151030041 2.30329447266649 4.43494153514284 1.98418786114285 2.67580022155918 2.38419771770341 2.8218247397402 3.66860165399197 2.53031008054938 2.827947332014 1.63117446481817 2.37938843815836 5.14467973974008 4.1203909265504 1.82609815130531 3.61444719883136 3.1635880902116 2.400304144809 2.19174162053033 1.49210884828056 1.03109007126005 3.21026029864698 0.802923797112379 1.89996842931912 1.88024509209909 1.77063391031396 1.86576791014338 3.24436802111266 3.06995802344226 0.994053476773624
"NSLZS" 1.615159574723 2.30091820512319 7.02210997634496 5.58347542516722 5.07503575240301 3.42362965824817 4.69293661479761 5.25238673524614 5.36200495077542 4.06817749860696 2.90261649261736 3.77798582192382 1.69908751578719 3.58480888682104 2.05529484103138 2.64517661348938 3.70769299569488 2.50007121486699 3.04251310389531 0.484537020954223 0.395782221088418 4.17542203735419 2.17709125980734 1.13693656485765 3.17605522899138 2.88831136167553 2.76132994516308 1.709002398439 1.86712951307327 0.955484929168235 3.36959937687561 0.892062756445167 2.4093975504703 1.28709840168473 2.12650525579811 3.13887637483396 3.61191836651703 3.41475473348179 0.457634793725189
"NSLZI" 2.24061835295734 3.81146746774376 9.25212299515551 7.00861545369693 8.40358783439938 4.97187453674182 5.26342094439703 5.36200495077542 8.86202648973891 6.45975077220086 4.00162121989434 5.58257504787658 2.86426214372866 5.46276809442491 3.18731143079238 3.84182096963573 5.18532474098368 3.75015019063332 4.4769970343652 0.517723981244113 1.35666750111473 5.80179646153467 5.00918937917594 2.72994190059985 3.155391559121 4.14658245491935 3.52239391856933 2.43537287620062 2.2059638711739 1.34506096000794 4.80766198639885 1.57552427041967 3.66172953162265 2.21842637358674 3.26741066714534 4.25212934982073 5.54676405339199 5.02703542845994 0.746864393912067
"NABR" 1.70816179428893 5.28868701745917 9.50240614296322 7.69311608175864 6.0194104064557 5.13283299204919 3.79027151030041 4.06817749860696 6.45975077220086 12.5379728969502 4.04953553592153 6.12898747971925 6.50856683924537 6.91607920808392 3.85300714089927 4.79679282872499 6.26029626103709 4.02187634622558 3.69183627071212 1.47592067231806 1.95463570705984 6.12590888092581 4.45367074770309 2.39876900371565 4.56979092862716 5.18101800294055 3.64048232760061 1.97701445386043 2.21697939411093 1.68688947952279 5.07162440072194 2.98831937136944 3.02213019758499 3.20236857032662 1.03147823066042 4.13809327156519 7.41047397754051 4.39374554906661 1.47122745531975
