"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 1.14186187355169 2.09241158340363 3.98933684977093 3.06981510550953 2.58993848515548 1.83094028852241 1.89687568477253 1.89074083204564 1.54393069470417 0.782839533766144 0.643889651861392 1.03899288624263 -0.0093174902269608 0.676473154466814 0.71694847554734 0.766399451978283 1.12667035786672 1.27622065986308 1.61109283878492 0.144721117583081 0.245337217261458 2.63137092947126 0.595105007300972 1.46655272169985 1.45856392864532 1.01816933887831 1.53498176524826 0.384040155154141 0.702872045458432 0.47434178280692 0.985696356471929 0.495953131874146 1.77566057071919 0.619525817092338 0.247081767899997 0.994617343431619 1.36030476354202 0.991268351189223 0.167095963057076
"ISNSL" 2.09241158340363 9.28039826553255 10.6657188178121 10.1648201242613 7.66025915263713 4.30538950050523 3.82177100378803 3.12418782298891 3.06867967471916 3.02858208061387 2.20357825087945 5.01066986896457 1.80853801114764 3.55777237986455 3.35699128446676 1.86437290514025 2.38958010645706 2.7161896878265 4.2851074192448 1.10898487577214 0.628219075311528 9.67381128370365 2.92784281243847 4.63563887401386 4.72260401102693 3.12215373180993 5.45472054846795 1.78244710515453 1.44887672114042 1.19698918382519 2.44400805866927 2.31040663797491 4.6996078962547 2.93447277668999 -0.109981868623141 4.39738282441778 2.70529660128236 3.27595569783064 -0.236264418105162
"ISPNS" 3.98933684977093 10.6657188178121 21.6520317960416 16.9932176942826 13.529905215676 8.81273491753102 9.93699480774572 9.69795521623202 6.69494479215305 4.73948227242852 3.68162729931423 7.22155958046801 1.35292217055578 3.88461235927196 5.99002700648396 3.78496789771648 5.12863379951686 5.35333580516041 6.97324736467917 1.63028931311361 0.40610340485732 15.0769969642389 2.98235304318013 8.27462068627051 8.13182232737196 5.0842570782419 9.40294414248524 1.84949342268105 2.87957743464736 2.16706699840577 4.44835286177022 4.18742223341898 7.76003326389213 3.61406148767111 1.77489966930719 5.21610841465819 5.94563660037255 5.21043696934083 -0.189463406298745
"PMZS" 3.06981510550953 10.1648201242613 16.9932176942826 17.3836760333962 12.4280966857932 6.76832775631915 11.0244703307358 9.39956225916639 5.91592067061398 3.58098349296782 2.64783832437451 6.97821735542885 1.68423399264591 3.77871145609562 5.04270625343251 2.69066860179177 3.46570476635579 4.05513313631223 6.02006794753859 1.96685340220747 0.118201447443477 13.8750854714236 3.60753514121674 6.78413215509098 6.46991465399547 4.20594130771323 7.61612231226791 2.07042509591585 2.39283959603409 2.1560889326356 3.99561613401528 4.02691971645387 7.06930862712338 3.23326710892312 0.799604691061783 3.94401669316752 4.16808065078281 4.66385768056767 0.166565581150927
"PMZI" 2.58993848515548 7.66025915263713 13.529905215676 12.4280966857932 10.5890265084592 6.13837157524465 6.8978270045172 6.88400352229484 5.66811637086992 3.51363446443943 2.31358607531871 4.69981732652722 1.02108857987527 3.36694296717796 3.68872625814427 2.74685278233287 3.50478980164358 4.01849002304871 5.01326004091571 0.94139641233945 0.149784029306368 10.0574915414333 2.84558987830968 5.11154121148112 4.23115895132785 3.55504466814591 5.87270235891102 1.7491521496053 2.28881723518916 1.90548357952182 3.05675850451469 2.9098895808801 5.70139316612244 2.08977368688598 1.34334818369772 3.14283034686434 4.35915076549364 3.77389780457126 0.043108847775847
"PMMT" 1.83094028852241 4.30538950050523 8.81273491753102 6.76832775631915 6.13837157524465 5.74563287940196 3.18770273943068 3.79504474240409 3.29817802659756 3.0507928566163 1.66045876816535 2.26564471321572 0.99399288297793 2.15405234696322 2.36078378785795 1.70110547369863 2.53949074854008 2.74522979406303 2.92890250722172 0.408067282677889 0.561012036267735 5.37229159481254 1.60183929921342 3.17183272078875 2.87157138190285 2.3176171596335 2.86168354171826 1.44845248744349 1.51588174865089 1.1289938718829 2.13696491502365 1.70873880340059 3.38645011247653 1.66463286473211 0.0789207319429006 3.35718152737888 3.30302673512181 2.66697029086544 0.0128196461656245
"NSLNA" 1.89687568477253 3.82177100378803 9.93699480774572 11.0244703307358 6.8978270045172 3.18770273943068 14.3051701985794 8.74745021160471 4.43547626573897 -0.849652207899481 0.53875105848354 5.27796712261668 -0.534043057361589 0.339173897231297 1.6902610209966 1.17538965699071 2.12994594963705 2.52776316483572 3.64716028400537 0.781611596806258 0.733718364694537 8.02402076114882 1.06802499085034 3.32398836390755 2.856016880172 2.65224555160922 4.27222930523711 1.13008980328817 1.88028986122683 0.981388168442973 2.0153427335176 2.6834860387728 4.301081954355 1.3836670182393 -0.203367090244341 -0.397294052242796 2.34046133195841 0.934146867282504 0.655929459560444
"NSLZS" 1.89074083204564 3.12418782298891 9.69795521623202 9.39956225916639 6.88400352229484 3.79504474240409 8.74745021160471 8.1910455416874 4.4890316995181 1.31346585169154 1.49754172515369 3.47681165881927 0.150354640103364 1.29434966610935 2.15472527657704 1.55898669551646 2.30103690844687 2.53772126596346 3.20047486259142 0.527785284471936 -0.571112693411653 6.89798205043819 0.705033443327275 3.08798332613715 3.17245909037334 2.42013810557845 4.07713803341985 0.97238497295053 1.80486971160806 1.36131656154987 2.47151500148289 1.98361140466014 4.15569446685287 0.929674384726236 1.25773940194261 0.505533808977765 2.86310437030906 2.39566136123305 0.402259968837627
"NSLZI" 1.54393069470417 3.06867967471916 6.69494479215305 5.91592067061398 5.66811637086992 3.29817802659756 4.43547626573897 4.4890316995181 4.78289070734209 2.32285107577425 1.35447196876968 1.92027106305501 -0.112548671037235 1.56798543054253 1.58006604713462 2.09039427898846 2.65714667118136 2.71408628652555 3.610490168629 0.262698700347881 0.362225373564414 4.48237846656582 2.2819249442558 1.6789931827939 1.0898442613001 2.93260429283283 2.94946900892146 0.980384238201024 1.59490877348117 1.16580127721182 1.71998640165066 1.36428416592431 3.5971728770863 0.435200039242226 0.922502420189604 0.222392876813258 2.61158628890842 1.72557034994668 0.404193633070611
"NABR" 0.782839533766144 3.02858208061387 4.73948227242852 3.58098349296782 3.51363446443943 3.0507928566163 -0.849652207899481 1.31346585169154 2.32285107577425 7.02315597192735 1.54100190782092 0.553116421027156 2.33347082264839 2.99882399813917 2.45837984226947 2.00293528318549 3.11003137661731 2.73212653703486 2.83418204141213 0.385998282342955 0.591516008526141 3.87260979409324 2.32726571966386 1.20973058080403 2.70340626085173 3.45491312327466 2.82103360093012 1.59874007496073 1.5948913115246 1.12538326972665 2.1701160657873 1.31291937402657 3.1657181988485 1.18983215129032 -1.52190238027298 2.44340099988727 2.73792428340507 2.52054593758247 -0.348213728544826
