"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 1.42438998729674 1.33757913381755 2.63807911676528 2.24483776812569 1.28190158748581 0.709684567838549 2.78492189365406 1.60859361731111 1.20847073764312 1.26350713677588 0.213890730087789 1.24391510237475 -0.141813976480879 -0.1896241978881 0.536654362903768 0.172989243580302 0.342583708402126 0.656998427391978 1.28473344364131 0.133546173770455 0.475150739505649 2.17114196435823 0.675566981478318 1.01940525848653 0.754451388472606 1.3135870168352 0.901173387822015 0.421384519299032 0.415946721861348 0.328493955979505 0.665268663028267 0.0225601333227548 1.31422176299219 0.0982746142465048 -0.584014527326451 -0.289807167639084 0.353581241626105 0.291141555151971 -0.0525238729839428
"ISNSL" 1.33757913381755 4.98216078804561 4.38070273074574 3.54004886530182 2.04336203120488 1.10076856866002 1.883057669278 0.171651412306981 0.412599147600901 0.194391222138628 0.561009333614769 2.25628043544183 -0.496006015554186 -0.460906085391036 0.943636772813495 0.437764498885675 0.983297035967082 1.53876044698928 1.57597050856609 -0.0302452009153488 1.25712857980279 3.93175040176076 0.521256111760199 2.1310073102103 2.05301983067086 2.08710131572309 1.89773837664143 1.35872954492986 0.168635528303767 0.289009242983436 1.08302707415922 0.763993539699065 1.43900167948722 0.195558630021385 1.12833620691962 -0.0531147012844194 1.42021958653874 -0.223855625726877 0.221377921973176
"ISPNS" 2.63807911676528 4.38070273074574 12.3398539518378 10.7929978718026 7.4607982486421 4.41012291865548 11.6998483789449 6.60779103076866 5.53888777827385 3.55954483227233 2.87622148060023 7.19320230518027 2.24343115227846 2.609815587122 1.43607944711894 0.937338872681986 2.76255272866521 3.68387487664333 3.52340302590962 -1.36527776362561 3.63920952075313 9.59498955478483 4.03925795240904 4.18691607008404 4.53512683875463 5.47460801202851 5.23838026934954 1.51698145416561 2.31107977866257 1.38993246100779 3.42124071552159 2.85543539108425 3.64833466263984 2.48727176847013 3.29323802806041 1.50349589655421 4.34698943703571 1.64235796068266 0.541640987089507
"PMZS" 2.24483776812569 3.54004886530182 10.7929978718026 17.0939810207171 10.1124413237379 4.75261800934558 18.7686346370998 10.9045932702099 6.94209827795749 5.50582512001097 2.72831621255744 6.5653370320392 2.21600532761214 3.16528127219332 1.53801248759547 0.837580995356674 2.82692302928937 4.23617789975278 5.9379619501718 -0.0903567400676242 4.35966156632181 11.5843259279992 5.37913543410639 4.3371205109482 4.92585534427154 6.88932454256762 5.06206080196787 2.31282901460935 3.02986490983324 2.42514807382819 4.07350990430912 2.34061824393918 5.5991553801111 3.62525570191742 2.99986241877934 1.23405408871764 3.87868047202104 1.70148893506397 1.18985647014289
"PMZI" 1.28190158748581 2.04336203120488 7.4607982486421 10.1124413237379 8.72599166635533 3.48782893398803 10.6671689579706 7.06745783072705 6.60234632532281 3.76111785298247 2.16633504105081 4.00176956699095 1.45749176687001 2.07827777763325 1.48203870769655 0.790451756241265 2.20340714579226 3.25468447786684 3.76581174172425 -0.00646944473198635 2.25537690544886 7.0035325815999 3.79662540890827 3.35486772068338 2.42344734805731 3.96142285298808 3.93457574278024 2.32233560738781 2.00749433785685 1.53579695332888 2.69152948562864 1.70738855359463 3.93374969970096 1.88233361757164 4.07731009997258 0.0670723478165914 3.73417588617738 1.57069892128586 1.04808746543207
"PMMT" 0.709684567838549 1.10076856866002 4.41012291865548 4.75261800934558 3.48782893398803 3.5388475576752 4.83921183201805 3.35095530854725 2.92257333084734 1.46475268233145 2.19315919271455 4.07142843842621 1.48220112044653 2.47286872968613 1.14247667990334 0.787644898205755 1.62624795540864 1.77838388841946 1.62511411787276 -0.82014244444962 1.34277080386037 4.44011708114411 2.08643599897898 1.69492316586034 2.77730342054071 3.00002200188931 1.51032668891949 1.38362370580605 1.20437484924838 0.9156509259509 1.76271035900242 1.48790678492771 1.88941382418007 1.75662804355504 3.53539685235625 1.5804142888285 2.90909533423203 1.90496404516102 0.700482732264597
"NSLNA" 2.78492189365406 1.883057669278 11.6998483789449 18.7686346370998 10.6671689579706 4.83921183201805 28.049024477942 14.5012931901688 9.2855596214117 4.89180664641735 2.91058741824207 8.65722770154287 1.03312662444799 3.61679114717195 1.03364481832319 0.976556929086239 2.83053123443248 5.56405519300496 7.75250433477665 -1.21046091848637 5.36806979427051 12.1086401155236 7.0507119000355 4.24721777443466 4.04853136760346 8.77561444822686 4.90094904528628 1.69601259624939 3.55128023421877 2.50325177173758 4.22482185846306 2.55323721653394 6.24359904617725 5.08986343487893 0.127544612350907 3.42040882159396 3.6548637245295 2.4318763104779 1.00350583101286
"NSLZS" 1.60859361731111 0.171651412306981 6.60779103076866 10.9045932702099 7.06745783072705 3.35095530854725 14.5012931901688 10.0840313334325 6.91562528569649 4.24630339276876 2.22056760833878 4.61292353838924 1.93125136446061 2.94803908448499 0.993420148507403 0.308654003553306 1.37672316801792 2.48137310903007 3.82007185378748 -0.343827519780823 1.32205966349425 7.05736397837306 3.68631852626936 2.55399027698215 2.38737009008522 4.4514876701811 2.98284667992937 1.35797651833706 2.12999257339369 1.91928723845435 2.69977468513873 1.60034571870621 3.80359802412605 2.37546550503573 2.55391796191688 0.950350954248873 2.80292076012163 1.59425557002065 0.955542483911198
"NSLZI" 1.20847073764312 0.412599147600901 5.53888777827385 6.94209827795749 6.60234632532281 2.92257333084734 9.2855596214117 6.91562528569649 7.76919966992504 3.32266027540712 2.29657680396182 3.41782768247623 1.8270586915173 2.06071148932266 0.96922952895856 -0.139698319832278 0.81157814948534 1.74031883155964 2.45208149316235 -0.443339122388487 1.05447810617234 4.97556438294963 4.49348145534561 2.36205161595632 1.16984145012707 3.59886625597139 2.81727174022102 1.22138006227996 1.57934115459302 1.33321278953575 2.32853035997723 1.05220699023188 3.44371948095859 2.24475164678729 3.23425856769002 0.588741847959932 2.79461480501151 2.26490094208706 0.666664566781149
"NABR" 1.26350713677588 0.194391222138628 3.55954483227233 5.50582512001097 3.76111785298247 1.46475268233145 4.89180664641735 4.24630339276876 3.32266027540712 10.8253103742623 1.40157791658298 2.25518427272723 4.59538331911737 3.48184221970378 1.21168856809655 0.817602485298952 1.08434746790518 0.59027713626504 2.24309592168711 0.633502870564211 1.96371983170546 5.67615431158188 1.82174480005684 2.16904568709743 1.67343651591798 2.2341719962866 2.49039306141559 0.596065576049852 1.09719964264144 1.18378772744171 1.99870183111601 0.450376480499737 2.86384713404675 0.814240436630768 -1.37384388830181 -0.210498857042638 1.56390995506506 1.78311923917338 0.104521323400268
