"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 1.35042775960645 1.44516970982729 3.14880266879789 1.57754992469669 0.972442722260109 1.07182699863121 1.05796820674175 0.803957571904931 1.13508144252457 0.838563208238896 0.145260098011997 0.181717110199027 -0.0231287449035772 -0.281854471977971 0.349937709686189 0.106093193645841 -0.105567146610994 0.0962791117890487 0.621446783303842 0.536994118506978 0.798460382061797 1.13232823711769 1.0961187667146 0.901641876825595 1.18105005728617 1.06194816105271 0.527613665199702 0.3286705701418 0.125806752551088 0.127340986223807 -0.369041589060551 -0.0563500992624365 0.565026303112943 0.230658921164124 -1.11602043606659 -0.037501534607279 -0.687559236493781 -0.86683181310443 -0.457337507680553
"ISNSL" 1.44516970982729 9.01130212478984 11.1962829793033 12.2752140627796 9.02144153916582 5.60896480737297 6.56536158278701 4.4517889348467 4.49783108620526 2.85376289007055 1.90941009371233 4.39852379695844 -1.82562017194734 2.45396833398738 2.50943669333164 3.7799727222896 5.31228607661565 5.69294827904322 5.03080545610913 1.22644275555544 1.17163381105734 6.23764448241902 2.99805712315058 1.82658498522755 6.5209350099886 6.19622419716235 4.55539218100075 3.1880745760676 3.03079574330237 2.62230841703841 3.22959901868933 2.31150520690334 3.47139355517708 1.00242589308367 -1.02623433483195 3.17796775284052 5.71058680750903 1.70535489111045 0.774657741339669
"ISPNS" 3.14880266879789 11.1962829793033 21.2085787518011 19.7400033045361 13.7695095283725 11.3473611024028 11.8985969931453 8.79687975610705 7.68733512756528 4.60318843688172 2.49527232220438 7.29615043729451 -1.52183115555085 4.50565146140088 3.97260381077494 5.58458711057718 7.30314527077549 8.07901807534958 6.88107288518462 2.2522746731372 2.34542875487011 10.7011581720495 5.45391304302115 5.13464099911161 11.2397683270143 9.50658016053169 6.85795238101925 3.23393360072823 5.20822160799919 4.09737276949975 5.18522587461912 3.21420560414246 4.87027771538828 2.80466652419647 -0.890628033631256 4.29600202303437 7.3004484227401 1.92353269781054 0.323676675848929
"PMZS" 1.57754992469669 12.2752140627796 19.7400033045361 25.5330412331005 16.6135130880702 11.6801497995569 16.3037874684352 10.0504235082506 8.2482209115092 3.89713977579811 2.58618538153577 8.19850507353501 -4.53741995783822 5.08426705351423 5.32906946471152 6.84913724656619 8.12416290822137 9.60278634280206 9.18912693320498 2.29434821777354 1.65272755302607 10.9298161802073 5.85397658618438 5.2327856983039 12.1596267979763 12.5719376948839 7.76791431396657 4.19489013020258 5.83337962519697 4.81730760919847 7.243479169145 3.50415422451935 5.01937786719253 2.55530302287641 0.112202651269855 4.81566636247195 9.35475529709427 3.69331399641823 1.44519715012825
"PMZI" 0.972442722260109 9.02144153916582 13.7695095283725 16.6135130880702 13.8030337361235 8.9605809914712 10.8016663731251 7.44226677956078 7.9263809707337 3.78346171190734 3.06358618560979 7.39024422645189 -1.67729045143311 4.82495238715216 3.47452410375084 6.43995944941828 8.29794647518399 8.19826030447424 7.26751108459541 1.46232372752121 1.09316705341258 8.31456336426352 4.47080161209414 2.77787929469776 7.02047786535779 8.63902854113074 5.61642329220342 3.69437045659288 4.72339403293658 3.71917893291987 5.97755929449642 3.11557761153551 4.75682922816303 2.6884510143413 0.996646166138566 4.02183663951118 8.47045372075517 3.47541488855422 1.83420459141198
"PMMT" 1.07182699863121 5.60896480737297 11.3473611024028 11.6801497995569 8.9605809914712 8.58400620011243 7.26304481364797 6.06233374620977 5.23717740043855 3.68797770817846 1.71763182976775 4.79451374154676 -0.284170499977554 4.11270542544833 2.8948521743473 5.11306825796187 5.87185710058678 5.70371887439935 5.19284220088365 2.48378588057097 0.724242208640563 5.81446969945208 2.75299677330365 3.20588693961327 5.37291602509902 4.71791271430488 3.05694159989486 1.84377363421912 3.33738186200228 2.6389742687256 3.81872802612095 1.78806378359507 2.41238864850735 2.16521414700122 2.43971260184988 1.4462705729944 5.61045095690535 1.42862060254492 1.0492289328841
"NSLNA" 1.05796820674175 6.56536158278701 11.8985969931453 16.3037874684352 10.8016663731251 7.26304481364797 15.9522657829877 7.77340821125138 6.65119254964089 3.07670129002 2.6342890090761 6.33026966886183 -0.696796920837418 3.01338372843472 3.84977465037478 3.18222833103668 4.25937072936201 4.33365638402504 3.62518962353068 1.09723864934153 1.85895182033463 6.31971549909245 4.39896732445445 3.8582403669217 7.38308245392789 7.96095800941311 4.59783547025332 3.23105178179779 3.949487231503 3.08080869768232 4.843982495852 1.98927677457975 2.73198697430099 1.04595501148389 1.25047491608015 1.6044822972807 5.21581107534661 1.74761725663222 1.04767808181469
"NSLZS" 0.803957571904931 4.4517889348467 8.79687975610705 10.0504235082506 7.44226677956078 6.06233374620977 7.77340821125138 7.35667812422102 5.61375423514236 5.2739961513267 2.21416138761583 4.08657654339956 -0.133850135896112 3.33743818032077 3.48957215484007 3.65373942254011 4.48067707913554 5.38235906250677 4.16864181574758 1.80923395819536 -0.0338254124350067 5.88886614441998 1.29037861156173 4.08768414308987 4.62159050781398 5.25410994506051 3.11798252284792 2.44998017106228 3.02042238554956 2.594574226123 3.87264116605715 3.43744242961918 1.903140055428 1.08253450423388 0.591100727186369 0.982880242894654 6.00894933011344 0.804419645943515 0.697234528221208
"NSLZI" 1.13508144252457 4.49783108620526 7.68733512756528 8.2482209115092 7.9263809707337 5.23717740043855 6.65119254964089 5.61375423514236 7.27665413375923 5.4661742007202 2.41014029015211 3.84173614275441 0.604205558507383 3.80366570319887 3.15064354999111 4.56877802085607 5.71078035745736 5.26090930856154 4.97015637792358 1.56406943325299 0.968866929978357 5.59736335639971 3.38799684038625 3.5141115887082 2.68429434044122 5.60360941968129 2.77917130744214 2.18075933482499 2.81792194411656 2.25249244341811 3.62402845478855 2.31172731816147 3.12955377858492 1.61118099260332 1.8814617967641 1.37412080343815 6.03720856408075 1.27522665599774 1.30356824945784
"NABR" 0.838563208238896 2.85376289007055 4.60318843688172 3.89713977579811 3.78346171190734 3.68797770817846 3.07670129002 5.2739961513267 5.4661742007202 12.4739005639576 1.85782425646875 0.758320433488814 3.17677613667293 3.54740358126239 3.10808304888289 5.18922259285912 5.94740175563622 5.93516937744271 5.36094933073139 3.69868596960416 1.08560510454771 5.49247308526633 1.07988903940936 3.62400445186596 -0.012987255333054 2.90231811952445 1.22991368299928 1.33369224080733 1.14081215645235 1.22454345549996 1.80691743973837 2.73849085536358 1.89265802386379 0.317613034219694 -1.26009258753201 -1.48266149575659 6.02377445454428 -1.40145292879126 1.4736243561119
