"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 1.16790552145087 2.27174301068735 4.04029333255221 1.54671689185794 1.88925862138936 1.27646820129093 0.594111727449298 0.693036468204621 1.45612860100417 2.09397463805329 0.619945246944009 1.4337190125262 0.404054575964537 1.2141848916645 1.02615998722195 1.37843086674 1.83191261114357 2.16057248575104 2.43020078820543 0.867017067455942 -0.10477156023354 0.980078207466361 1.04976285702867 0.175826398733165 1.0347296408017 1.04653681574634 1.60902085977357 0.335927260818178 0.63268281145038 0.372832831514416 0.899293263289848 1.03005591470304 1.71160599124967 0.684052126695858 1.72011312052248 -0.060554713971228 2.6017311112631 1.43555564326856 0.664967220712994
"ISNSL" 2.27174301068735 11.6047167141893 11.9136975279314 7.37243859015007 6.12848282881416 3.96764699184062 1.64540229132408 -0.105382849312776 1.17128017607665 6.48593829394758 1.61232184790271 5.71596588417611 1.15952875168269 3.39459062785692 3.24939219502764 4.65673051243866 5.15446209147295 7.73805930870054 8.75070993661032 2.65954301744581 1.21343331077177 5.60755233376777 1.02560594153576 0.729729801550593 5.22553132905313 4.73288463845047 5.00406860790532 1.8260815039831 0.738873930382684 1.10133389114496 2.14702613590043 4.23515887275907 6.02879126624727 1.28540979682744 3.47863906320836 0.514356119256489 7.15381149186956 3.19414156422811 2.2439476438293
"ISPNS" 4.04029333255221 11.9136975279314 19.8705368990959 8.42202618484925 9.28940129407926 7.36535052561456 2.33542391953622 2.32168219521556 4.91713928726657 10.2138276736875 3.15529378624171 7.86345502983588 2.39713009805611 5.70333459321603 4.96761420871268 6.82372913620176 8.93837636590793 10.7580323484062 11.8441292824199 4.0805501980223 0.323165364706076 5.43712988773959 3.1994680137008 1.41017855495955 6.81338595142708 5.87525440338102 7.33708036966233 1.66317354709262 2.75476041884721 1.5887741191035 4.24697510779306 5.77376744527481 8.59463724995225 3.23572339438121 6.79819777549308 0.562869360165005 12.1291560205933 5.57176306624253 3.50171408031238
"PMZS" 1.54671689185794 7.37243859015007 8.42202618484925 8.84191229380285 5.78534609574189 3.06329555508812 6.47115858133898 2.02203432048247 2.16765569621923 5.4820404469526 0.648145613456004 4.6014243867874 -0.600323137901224 1.88916134583095 3.08866339353327 4.23309140341403 4.5460737434934 6.70219397142366 7.69146894357221 2.32202004450257 2.29898874413074 7.01983575119814 2.54731308196402 0.70493350399126 5.28476184741297 5.5510692601759 4.02559139692458 2.11934462882616 0.836832210420014 1.29353855380703 2.52106248422924 2.44706998802189 5.11675804003843 0.687805202041715 1.33342103672365 0.12588980970914 5.41330006511842 1.78657714365938 1.74354416091362
"PMZI" 1.88925862138936 6.12848282881416 9.28940129407926 5.78534609574189 6.7049635304561 3.94119548243961 2.33732247154371 1.85260581569281 3.50473935468121 5.77682480667771 1.44622232274493 3.96516434252939 0.306076966010793 2.87131955404679 2.59842524925634 3.78990831826216 5.25943890646834 6.28394137311306 7.11913853827568 1.86726171377593 0.45139716589107 3.42144681243989 1.96991704209574 0.326236984645151 3.15633914828748 3.99865222772371 3.55982450950828 1.77013257698958 1.90321425816424 0.872126717593594 2.81938123894772 2.64771415316097 5.18863746107185 2.01291124554084 3.74917211355652 0.491549220982848 6.77303756859763 2.22432863177351 2.06409316512018
"PMMT" 1.27646820129093 3.96764699184062 7.36535052561456 3.06329555508812 3.94119548243961 4.40374465143395 0.304375118493605 0.962487814321308 2.05208104824382 3.93931370924813 1.75142387345712 3.24612410121726 1.40319005896204 2.73461767665935 1.66145011848905 2.26720407666944 3.80553087443072 4.1047331500924 4.39578955954323 1.17381942453371 0.244530697848052 2.04559935838839 1.07539656999349 1.03990511681926 3.15223909569582 2.49305987866469 2.29566821591659 0.952862856018254 1.63748788346966 0.5760831220012 2.29965913679732 2.21679743532374 3.52161416310438 2.18678330584448 3.75679910733273 0.405043858375347 5.49924785396738 2.07203040648702 1.79614333267766
"NSLNA" 0.594111727449298 1.64540229132408 2.33542391953622 6.47115858133898 2.33732247154371 0.304375118493605 9.90307788529299 2.69397490004873 1.46078292796231 2.21298166949791 -0.864806080767179 2.02987615291093 -1.5333424756408 -0.645413969032386 1.70297139557903 2.11112163622649 2.10199032023697 3.59415623887896 3.98563446513498 0.943126477340591 2.92218839829673 6.37385602685084 2.77425351520909 0.670627416365761 3.33241325038074 4.08189095909876 2.24403867374224 1.69217334747734 0.398946796494009 0.965959508156028 1.4424502735991 0.722475670148374 2.18099182252849 -0.114640178604809 -2.02835661615576 -0.754669286473074 2.50309007883519 0.207889225035956 0.986367455069468
"NSLZS" 0.693036468204621 -0.105382849312776 2.32168219521556 2.02203432048247 1.85260581569281 0.962487814321308 2.69397490004873 2.99180394064088 2.68555790914909 1.28907888952724 0.573081006762033 0.949206770246024 -0.627338436828492 0.301006802161552 0.782514811984969 1.35353599430641 1.97935010827035 1.22530225321675 1.65037101101728 0.962774756140879 -0.0313570056495831 1.57480354282847 0.852219022025656 0.259188766772286 1.3018997819847 1.01081367078742 1.00489350332346 0.407792004851235 1.05845870471059 0.34827672142493 1.73349263737989 -0.0934531242385419 0.980813387999237 0.0597548236909836 1.22060466392467 -0.553817057281941 1.68728872260208 0.24858643612063 0.133118887786295
"NSLZI" 1.45612860100417 1.17128017607665 4.91713928726657 2.16765569621923 3.50473935468121 2.05208104824382 1.46078292796231 2.68555790914909 4.62435687124867 2.76834526655449 1.08671415075123 1.73854627263694 0.145280122014593 1.67915517175538 0.907087984968953 1.9817329116695 3.55191430239153 3.03145787980318 3.45350495290333 0.865969399954712 -0.180957633425891 1.7135712876582 2.68937876921681 0.489469749028126 1.13437200548978 1.9035793551078 2.03622979768475 0.232605641200794 2.09265597936575 0.707865606621008 2.56520056719306 0.365653029155682 2.10062596598921 0.913314437423162 3.21742122789997 -0.367436824243164 4.2519131609992 1.88494357701862 0.649551652216045
"NABR" 2.09397463805329 6.48593829394758 10.2138276736875 5.4820404469526 5.77682480667771 3.93931370924813 2.21298166949791 1.28907888952724 2.76834526655449 9.20962980329376 1.51147939155426 5.60327898320071 4.05999257267956 5.38524123366369 2.98462729768933 4.24002406603255 6.44550733280142 7.83241161396244 7.25652835974204 1.75283091912897 -0.418265034386419 3.08176402802405 2.4236006226464 -0.162518291436753 3.4353798429006 4.72604978633853 3.46647406693078 1.63474915205254 2.09354202579518 0.690733898162119 2.83460824069406 3.58172395039234 5.10714501898736 2.87413011166355 4.22918988299753 1.02792632021192 8.65145514556827 2.47661797408876 2.55238531607401
