"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 3.93773304404188 3.61817834034805 12.6757539593743 10.2571261081315 7.05454292725221 4.09271328165384 11.109233773822 10.1377422961881 7.40078666240697 1.17705030014279 1.02614792777286 2.22336318510792 -0.819643547967241 -0.670964214841911 1.4802935985566 -0.176040796436985 0.289442415647445 0.493500002406549 2.28268388106276 0.613383891299192 0.572575563094518 5.57433562307035 2.00135828877588 2.69904878552136 2.8582794417346 3.12045834304426 4.45043442909329 0.0786983420073963 0.99927055406657 0.818723078102436 2.40931571998646 1.69532560473828 2.58477835468348 2.87127070231815 0.479309686319881 3.19698842660368 -0.135621001374745 1.71640734849795 0.668806837412738
"ISNSL" 3.61817834034805 14.1829247821436 17.2656386130192 19.4898594028753 8.29204248998631 5.58748406512125 10.3189881427506 6.49046590215855 0.198576868179086 3.10296935621199 -0.224704913793182 2.35398712483778 1.23895762195267 1.02216189373724 2.128914856832 0.0337478004725922 -0.210162720473561 -0.216342984034083 3.73954432420666 1.93414232241615 0.132154175565881 9.37519745193685 5.90397796043715 3.35160909148454 4.95893457286883 6.82243267781054 8.64405812368376 -0.661452038016482 1.79053199786602 3.11873676346687 2.84593102874802 3.71579937689326 2.27893833531634 5.89184094634338 -1.14511248695469 5.13682103607355 -2.09537135655839 -0.230742748540378 -0.612671905903051
"ISPNS" 12.6757539593743 17.2656386130192 104.811400218478 103.649922109684 66.8459639019182 40.6905168420093 97.9019454044465 84.9972754648071 44.6444232122429 16.2712422610224 3.96075327196974 10.0713679104567 -8.33178440860017 1.71180993096699 23.97974882881 8.30584278897371 2.77967830666379 -2.81589780558182 30.7442502078113 20.0509827540434 8.14322629244259 51.4760873039695 14.9146617671677 15.1583831601731 24.8608059792217 33.0508996708956 53.3635984828059 0.433569100531338 10.7975134886781 6.28791080467257 16.4501064023994 27.5860416354841 25.6156357786966 18.4161307627528 -8.21962051374756 25.6263064498909 -12.1805979066414 20.7531524293417 4.75102724038516
"PMZS" 10.2571261081315 19.4898594028753 103.649922109684 136.362985469154 76.1170257770393 43.3258106219131 131.51921167894 104.676677226285 44.3149636758813 14.9012245200436 3.3094077738065 14.2785312753394 -5.52446543082686 1.47201475564308 30.8302731985616 5.03401778959161 -0.877184649995459 -3.00759739287416 34.6408719019603 25.7556270584012 8.87145403583026 63.1990859261648 24.1935819931436 17.0509229435714 32.73897412769 44.5947158615728 55.50272719816 10.5150833806811 13.2708100221815 5.60512019876215 16.7304586611037 30.276478124426 32.4417971415936 21.2778620315192 -15.9483141684051 23.7161670159329 -16.7549006088726 18.5032858225926 3.94458683262035
"PMZI" 7.05454292725221 8.29204248998631 66.8459639019182 76.1170257770393 55.1395210091534 28.9869955216506 71.0529981579516 62.8119215888265 36.40822909001 9.30662298673365 4.83354539518828 9.32832899168198 -6.56370745154703 1.40196643312625 15.8870924723712 5.83170589107064 3.59655856924804 1.60897936856832 24.8192043048166 14.7312023133848 4.27155715999106 36.6452973439374 8.89422088600686 12.6994343746043 13.7155033713828 18.3513491457447 34.7626202762467 5.03008793175824 10.2649379205971 4.12025640297901 12.3374036368011 18.9781148130398 20.8777546267803 12.7076890056489 -6.07277655058699 16.3043524660507 -5.34933056803925 17.3755688924155 2.73175167641062
"PMMT" 4.09271328165384 5.58748406512125 40.6905168420093 43.3258106219131 28.9869955216506 21.551980690925 38.9345848065917 33.6450873644023 18.0313753812608 8.77736454830773 2.90184468086497 5.72968301296902 -2.84158837103627 1.30146213836007 10.6783248622269 4.03112438874837 1.7138091872754 -0.0590118037363288 15.999699130925 9.27444491729795 3.94065544421526 20.790516963681 6.58035563326384 6.33987764728989 9.65956028875553 13.9635505618992 17.8530213602719 2.11354027094304 4.65651457007428 2.42655483979456 8.10170346367529 13.9793172608176 13.2345412968867 10.7365064626613 -4.99464127216342 11.8966042780828 -5.79895531850232 10.3183671979757 1.89745511490301
"NSLNA" 11.109233773822 10.3189881427506 97.9019454044465 131.51921167894 71.0529981579516 38.9345848065917 149.259617658716 114.563784596883 49.5404731781777 10.8098989938824 3.17517012519334 12.7634340164822 -8.88107731686105 -0.594336889104669 34.9197079793675 4.59445086740646 -3.9235418188221 -5.86534282156008 31.940421589776 26.0917369252195 12.6955076900907 62.0445306541396 21.4017071795727 16.6536516416442 33.7473935779543 46.1902259491025 49.6365618440077 11.8139536146105 11.2838140575009 4.36403214244722 12.9426281055288 28.6769262312573 32.1864431306582 15.2354869471215 -13.3572818478991 19.3272818800702 -20.6116370552599 17.8515760371552 6.81577714740349
"NSLZS" 10.1377422961881 6.49046590215855 84.9972754648071 104.676677226285 62.8119215888265 33.6450873644023 114.563784596883 96.3015422991158 48.0213498016951 8.89459506889871 4.28487008076878 10.5686654955114 -10.1609770021915 -1.5773111829338 26.2071364840932 5.52599911802925 0.532501109937493 -2.01012358675699 27.7488499622872 20.8552297285828 8.54161368410778 50.0682615456227 14.1848920823386 14.5153452550582 25.8694879622232 33.2830437303105 42.6002320810476 9.66131818287607 10.5440865723141 2.89920794400496 13.5502800952738 22.0394550158674 26.5190107865727 12.6165016572246 -9.6517256437434 18.2565797352664 -12.76038950068 17.7612131590786 4.97155693380946
"NSLZI" 7.40078666240697 0.198576868179086 44.6444232122429 44.3149636758813 36.40822909001 18.0313753812608 49.5404731781777 48.0213498016951 35.010762396529 4.32316104504921 4.83907793172963 7.76556113327174 -7.28233881029836 -1.38947875155485 8.32411215114616 3.45561438539228 4.60158753240894 3.89709684956331 16.935206122034 7.26009116466615 3.26253857582187 24.2244766197481 4.73672876066877 11.0450959173084 7.61880439227421 10.6534370670082 19.361667356846 3.75811815089425 7.27838656213287 1.70975319979851 10.385979239583 10.078684704189 15.3528463539505 8.29943406053113 -1.19025812628877 12.8439931709418 0.0448928000373272 13.1631498723168 2.59371874838851
"NABR" 1.17705030014279 3.10296935621199 16.2712422610224 14.9012245200436 9.30662298673365 8.77736454830773 10.8098989938824 8.89459506889871 4.32316104504921 16.3527715242296 1.13485898891211 2.24311192958132 6.65926417965494 5.44249087529739 3.80675675767699 1.84623547819309 2.48228913516868 -1.17591122028351 3.77246735288946 3.84598761068226 2.8663677488693 7.7147831657576 3.22977929277612 3.8651215375661 2.47611517766059 5.37982003789095 7.29884537668652 -1.09489838997421 3.24123660795369 1.74226744708557 4.24951817685474 6.90969643994036 4.0978964810452 3.18341900203125 -7.31779265822603 5.38475605132464 0.283498841626751 5.18284585457029 0.739776790120312
"NAFM" 1.02614792777286 -0.224704913793182 3.96075327196974 3.3094077738065 4.83354539518828 2.90184468086497 3.17517012519334 4.28487008076878 4.83907793172963 1.13485898891211 3.11665730501023 2.57821560415588 -2.66896724668093 0.160249354263874 1.80544514418199 2.36626524605277 1.62740554122647 1.40582747561791 5.26754101359673 1.52100208365203 1.44027995567784 3.1892167986561 -0.201008791826692 2.05132333008221 1.56125873470294 1.53937254064767 0.842579858082664 1.7863219465462 0.64391630857394 0.662568739225207 1.91039392843033 2.2080264078916 4.0174368706812 2.57222914416897 0.400200052694432 2.82640189836798 0.402670750767146 3.67747404059687 0.394847369315268
"NAPNS" 2.22336318510792 2.35398712483778 10.0713679104567 14.2785312753394 9.32832899168198 5.72968301296902 12.7634340164822 10.5686654955114 7.76556113327174 2.24311192958132 2.57821560415588 8.30447231963392 0.377103105158061 1.44217195166803 1.31293460466696 1.65380600771836 2.99741999804727 3.61613436519838 7.14113002178403 1.49438372485069 0.301531491007775 8.91323741032382 5.11540740610133 4.34323460597656 4.93298994311649 6.11651845495529 2.96788186376883 3.12665082987037 2.17155235285559 1.00201738303269 6.02571978651793 4.19332103151678 8.00591741108172 7.35592899809585 -4.02246425577387 6.73001565719439 1.19345297858116 2.98394339283204 -0.247124412765124
