"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.238470191171373 0.00295612116588921 0.227654648593769 -0.273495866821783 -0.0844126543513441 0.0682902957283439 0.0581984128208664 0.216837104765033 0.0466263124259967 0.136702019299754 0.31758210109423 -0.000634955243833961 0.396027279554505 0.368144871794948 -0.08249894013757 0.386203539173044 0.356971425806235 0.348087800007699 0.410472813144784 0.349231169567895 0.0644008985149702 0.236790858493192 -0.0881094929134797 0.0452351431624227 0.227778871208676 0.243898761116888 0.453841971651582 0.291830706489849 -0.145337669271631 0.0636774778773988 0.117336385345497 0.0442662827434509 0.173538014507119 0.389570503301379 0.0290250219634968 0.16380766478216 0.0967668968863366 -0.0773798905584201 -0.00758490161440354
"ISNSL" 0.00295612116588921 0.689547761755504 0.316911936536702 0.502523926380821 0.297413948750343 0.0587695712129303 -0.26853023866139 0.372047784914571 0.0352981513583067 0.167576807564088 0.255290382436837 0.120295100808245 0.0280329962450477 0.419453781437865 0.211709350811001 0.434275192790614 0.408487392404096 0.140695877679183 0.391694955967317 0.603667963154718 -0.258554018785799 0.350620981525439 -0.127247685228892 0.0163303530968679 0.223891719308423 -0.279899733331669 0.411971571938297 0.27802726868371 0.136072412667189 -0.0166074499207024 0.196022947882219 -0.0600435861204707 -0.357278436743019 0.246926287132553 -1.1267156598231 0.686490623088864 0.297101649494338 0.331186458476438 -0.419821659492066
"ISPNS" 0.227654648593769 0.316911936536702 1.8325272064928 0.260860222817451 0.389765873927494 0.318438107551936 -0.0285504953612829 1.01390529819171 0.992624779003017 0.818420242226412 0.853368285663116 1.95990126056321 0.640863233214727 0.952386801510953 0.480287608196397 0.40128898456023 0.564762480155619 -0.138212663002328 0.428767589245273 0.446214967675268 -0.004294397205357 0.984328480312669 0.4448621903887 0.0838083713057891 0.511516369231432 0.151571865566331 0.721531866929958 -0.841043116676533 0.554165662445651 0.615220182788502 0.592044842009949 0.601775190767782 -0.0364066167265676 0.475114421971156 -0.286030599451433 0.177720514238566 -0.418212912315151 0.0246481132740103 0.289377108571049
"PMZS" -0.273495866821783 0.502523926380821 0.260860222817451 1.35042987251568 0.5414036889737 0.298007250005276 -0.191053467284098 0.583104522966153 0.455883621513377 0.562275184200437 0.14773928985992 0.503826762906219 -0.414634798640943 0.309847830744408 0.997584772227811 0.233845931173142 0.233163540213529 -0.262554942937173 0.0607437850765893 0.0958415942943257 -0.6003505457734 0.30516093955074 0.360904578608932 0.117466211725784 0.573398447774298 0.229895383310731 -0.0635825459420406 0.0951308731853379 0.495535544750684 -0.114658208193674 0.350524684536656 0.0893651585506779 -0.305451684879862 -0.82789186861074 -0.413591492263862 0.293556841201064 0.300035551541431 0.384111471064033 -0.725284380106781
"PMZI" -0.0844126543513441 0.297413948750343 0.389765873927494 0.5414036889737 0.352923064684198 0.11481533358545 -0.128207910053318 0.198356801263504 0.285607019904601 0.297254241101238 0.0942515674778631 0.452262478845222 -0.183157920291649 0.281812741750202 0.312987896000334 0.149362277383183 0.1876272056677 -0.0589833351738571 0.0919807392994511 0.0386082273599949 -0.149803051914399 0.218237206247473 0.231401272353996 -0.0520759833343288 0.211916131237443 -0.154750854075204 0.114343225376679 -0.124319302010903 0.276414156826052 0.135531996256952 0.175555407126679 -0.0270202417615363 -0.206318423760054 -0.0114515683440335 -0.431022010388025 0.375182081641562 0.0455530137705946 0.150459870811064 -0.234579362080565
"PMMT" 0.0682902957283439 0.0587695712129303 0.318438107551936 0.298007250005276 0.11481533358545 0.568864192461577 0.512383521319553 0.145646746118746 0.356083071303579 0.336522102254029 0.421025299978368 0.13378960737345 0.228710763292181 0.298458218473547 0.600796957845627 0.291183472812929 -0.0311870801986307 -0.178754717734063 0.344049094373117 0.00971818389711104 0.158635685237884 0.220825419707671 0.553968910437756 -0.151380781297585 1.08238291026741 0.762131372669597 0.554538175880388 0.496301846016432 -0.0308622573568126 0.382384953194217 0.184507225869432 -0.189710476571631 0.149322648231717 -0.650902974469425 -0.354655071211165 0.0523247992096379 -0.281321535226973 0.222207047036339 -0.584821799588557
"NSLNA" 0.0581984128208664 -0.26853023866139 -0.0285504953612829 -0.191053467284098 -0.128207910053318 0.512383521319553 1.03692032705211 -0.423074675428441 0.115785929334408 0.0798630789706824 0.187407621319909 -0.0962054902292806 0.386553110370603 0.122400240163683 0.364437912755097 0.161875615045088 -0.221584532308716 -0.24761850555859 0.169406827087781 -0.200434161441145 0.736070439161371 0.0723666389061227 0.582898509997529 -0.351590734015521 1.37037979212499 0.828614514740572 0.604233288793635 0.510124639522075 -0.171111191009241 0.631048236203634 0.145304527715022 -0.692469108814641 0.0345264379122665 -0.571212501331082 -0.49370057027186 -0.200963139618616 -0.542623542074833 0.051635373856065 -0.115224257153561
"NSLZS" 0.216837104765033 0.372047784914571 1.01390529819171 0.583104522966153 0.198356801263504 0.145646746118746 -0.423074675428441 1.4786114955765 0.647430057514217 0.804838525750426 0.81829750110264 1.11119949160742 0.561366904927535 0.880993997809883 0.68872163196297 0.683934344939735 0.908663891271517 0.268675179825151 0.574110203864439 0.885147354397613 -0.732340218058687 0.884623121902105 -0.138349429949007 0.550312312108152 0.277581810810679 0.580922259532024 0.406576423520189 -0.108383066061007 0.389074023805112 -0.256513415858803 0.60737732453293 0.90753572037461 0.128874884561471 0.0905081340786313 0.425137636860894 0.0309194628414786 0.451382250096891 0.0472880238783116 -0.11469413442515
"NSLZI" 0.0466263124259967 0.0352981513583067 0.992624779003017 0.455883621513377 0.285607019904601 0.356083071303579 0.115785929334408 0.647430057514217 0.771570818387733 0.636485320900385 0.520676838040588 1.19607661549657 0.222298559312986 0.461671882301677 0.62684725488556 0.150489465069836 0.177299834688181 -0.268556965620624 0.184932821008835 0.00630483078395485 -0.110809337678844 0.485078303741312 0.55280699660854 0.053453199606884 0.563194399493188 0.464315357411447 0.287700055402363 -0.425928552608252 0.379164430849345 0.341560105099345 0.383928318099927 0.396462317336669 0.111517541244952 -0.308817550401878 0.156594035840172 0.0259486293171107 -0.256897715684988 0.0700493605290591 -0.166554923721051
"NABR" 0.136702019299754 0.167576807564088 0.818420242226412 0.562275184200437 0.297254241101238 0.336522102254029 0.0798630789706824 0.804838525750426 0.636485320900385 0.790658965104502 0.568181813758344 0.912534242256703 0.364193177872402 0.878967496140518 0.720759503144753 0.664839758829746 0.739204392291375 0.210286389832933 0.484247830382428 0.40696260315701 -0.211689341834859 0.730027662774353 0.293140968632417 0.172980305140775 0.852510946746348 0.626809623309796 0.552440562147101 0.0698170154566671 0.353573385743765 0.184390439613788 0.568488799542623 0.200051502403284 0.0219330427286567 -0.00829866284870875 0.122907054215974 0.0970349758451173 0.14513258392213 -0.0124210546572401 -0.0849481617185165
"NAFM" 0.31758210109423 0.255290382436837 0.853368285663116 0.14773928985992 0.0942515674778631 0.421025299978368 0.187407621319909 0.81829750110264 0.520676838040588 0.568181813758344 0.899136499052823 0.58986999754397 0.687821366211787 0.749798068771716 0.474092880445832 0.691655057415156 0.532064424725401 0.186564955571396 0.822361490385418 0.673235966548548 -0.0993667412422606 0.61940062510931 0.252075094126556 0.0867106273222324 0.901313392213505 0.746317844547473 0.92615671485179 0.425647925180635 -0.0115411990449496 0.23994671307571 0.427817851969555 0.279899667702518 0.235449495453342 0.0129479738943737 -0.375618592965887 0.525490144079442 0.0776651512373928 0.195172317365658 -0.60489323711331
"NAPNS" -0.000634955243833961 0.120295100808245 1.95990126056321 0.503826762906219 0.452262478845222 0.13378960737345 -0.0962054902292806 1.11119949160742 1.19607661549657 0.912534242256703 0.58986999754397 2.68678024859275 0.441642453413735 0.760580553435769 0.664581160154077 -0.0100154570993935 0.425385354829897 -0.523891481235431 -0.128582951617901 0.114497961284175 -0.0876327888676715 1.0180860213572 0.504333570665927 0.219657230538944 0.213206560598836 0.00091567369064762 0.134868278487588 -1.70457136822594 0.97444375067028 0.564046307030237 0.712240297693813 0.842601658196031 -0.240970234160616 0.247143824685559 0.249821047362728 -0.380895265629553 -0.558602268579307 -0.133849854204443 0.90736336185411
"BRPT" 0.396027279554505 0.0280329962450477 0.640863233214727 -0.414634798640943 -0.183157920291649 0.228710763292181 0.386553110370603 0.561366904927535 0.222298559312986 0.364193177872402 0.687821366211787 0.441642453413735 0.980545008623743 0.788405683971587 0.145943695033112 0.723158791594199 0.673132505547128 0.388826271347516 0.667113178172829 0.750350848724333 0.260225391270379 0.695740071415917 -0.0848982119943163 0.125886648126691 0.836073435190083 0.694100034048332 0.927722750371018 0.337725378477578 -0.083534229998509 0.277674211781831 0.431266062821242 0.0612505761893756 0.13460818480127 0.485602124380339 -0.131388557433447 -0.08141678452594 -0.0379617706607551 -0.127819379509531 0.312623127460896
"BRAPET" 0.368144871794948 0.419453781437865 0.952386801510953 0.309847830744408 0.281812741750202 0.298458218473547 0.122400240163683 0.880993997809883 0.461671882301677 0.878967496140518 0.749798068771716 0.760580553435769 0.788405683971587 1.50015123189677 0.535253474914008 1.32125897241196 1.42510612136227 0.810948765156445 0.971717036046768 1.02758289825505 -0.0213349353045588 1.14043481645442 -0.0331623438299207 0.171648679936839 1.19366157133696 0.55968377180618 1.19467218844536 0.519546646165681 0.258286357297227 0.289498407032518 0.774165613334021 -0.128839383478344 -0.15544879180042 0.854057014797172 -0.425554471023106 0.373139057241757 0.379151647075155 -0.11717998420491 0.230359259461221
