"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.318770074598194 0.571949641619768 0.722117669209682 0.510978741520046 0.413369628705355 0.404416033978628 0.283919000829751 0.311378472629025 0.437563719405676 0.383749612387841 0.35366464733509 0.365744205853167 0.351579831651185 0.523735345505155 0.413574125097395 0.180169510916758 0.294529944605437 0.119236568528168 0.256782993694546 -0.167739031513836 0.0331679078128857 0.302324248746867 0.166456905246843 0.0741148069019068 0.445308700244629 0.320317101142666 0.256016994980527 0.345772802624343 0.205337470769205 0.126998293960349 0.345938397774742 0.139119775502981 0.358253288573708 -0.00119107305870064 0.145185183415236 0.347154843184635 0.147402672856457 0.346436594496191 -0.235882710401918
"ISNSL" 0.571949641619768 2.07278718218681 2.21119898496207 1.75061297211669 1.40391093424453 1.37990361651493 0.500126297274498 0.80870588927157 1.13839365934078 1.07079431663871 1.14552388897559 1.04859014269905 0.871003904503829 1.23773634836983 0.977944651101026 0.415739688931578 0.787147092380066 0.318582608651457 0.64797529834308 -0.396169271891928 0.282293411357931 0.764926915871702 0.310139456414792 0.365471269867938 1.37770319499274 0.98402683919646 0.666873824970835 0.951199777193661 0.574201785187286 0.456777211474409 0.973593763858783 0.597820630412874 1.0084703037001 -0.0166407720152907 0.237636742915807 0.703466767781852 0.343347863038529 0.724341099404004 0.390451173635926
"ISPNS" 0.722117669209682 2.21119898496207 3.68404634532139 2.40049498087828 2.11979662936066 2.18447088850186 1.07325426708785 1.40699371706451 1.74976106134729 1.56004998473741 1.80946993193979 1.90112225631539 1.43507158821322 1.87207255392328 1.42669287991446 0.75537691798457 1.38993096529177 0.432892847042629 0.883858623155578 -0.627781174791357 0.401289460039833 1.09697115406831 0.460886459207416 0.574917091555151 1.80560320262604 1.65194254778238 0.83940184314744 0.873187599583831 0.931796750690629 0.548595518831629 1.2874107607666 1.1198235168535 1.53207871020594 -0.0655203708368586 0.744902698162941 0.869705522838473 0.62872582733215 0.928832203476205 0.356694185556583
"PMZS" 0.510978741520046 1.75061297211669 2.40049498087828 2.50004465973215 2.1124918684199 1.92879844993533 0.980998342763166 1.36065187905747 1.66773889098698 1.33445620019651 1.64487773285055 1.40546475803001 1.04121894982551 1.55999461819454 1.31830053139372 0.587087901525912 1.10810822659392 0.396026723239526 0.718369604222081 -0.479495701556551 0.362802779896288 1.28119968733924 0.551157667099625 0.520331453438704 1.80381077807279 1.42336272280595 0.955730964607818 1.4366317764329 0.938059236395766 0.838080601159054 1.35076329541647 1.0958279975214 1.16927600875551 -0.33914392670674 0.24291300830876 0.494242817885516 0.454246237314643 1.09703748840147 0.820868683867342
"PMZI" 0.413369628705355 1.40391093424453 2.11979662936066 2.1124918684199 2.25351644110565 1.8653370389249 1.01049127495097 1.11832345863781 1.8485879670317 1.16899072582099 1.43769231315789 1.18270422309906 1.03828522790639 1.58449898009213 1.19221147257152 0.560487304177952 1.01939875799879 0.392259282659198 0.7306047736938 -0.606136668587097 0.38017533712539 1.10400359780176 0.875770557855425 0.383620684597834 1.42964333755961 1.36887459160955 0.924350222136601 1.39693579871907 0.860978672051763 0.654673045414621 1.16604215028782 0.920982405458802 1.25968903398962 -0.155588170220018 0.17042258589963 0.416666825091588 0.383128039627986 0.686113055354522 1.36898208725611
"PMMT" 0.404416033978628 1.37990361651493 2.18447088850186 1.92879844993533 1.8653370389249 2.13349297874384 0.837223277187207 1.13120716001155 1.57615139261479 1.18425438904442 1.50601063924393 1.26925629537471 1.21302028239775 1.53645653103081 1.16172906211089 0.717582309181393 1.17043861715799 0.464784859619629 0.705253130322501 -0.443694655496702 0.438121375437516 1.18467657630952 0.638363573202054 0.721797613117119 1.50733351445392 1.69437311062622 0.740886605847932 1.43441739587143 0.831547347168185 0.711313343881215 1.0473760131421 1.3457776871004 1.34242911186348 -0.312959052722757 0.192942129746807 0.544946366553719 0.650080103296984 0.934099422305092 0.727600458450331
"NSLNA" 0.283919000829751 0.500126297274498 1.07325426708785 0.980998342763166 1.01049127495097 0.837223277187207 2.22862279971971 0.535571809568486 0.81423691868895 -0.842276989286228 0.526416033684522 1.0001791988417 0.212008756173309 0.481618777078328 0.605248402975914 0.0930052350659615 0.382205388665994 0.233958707164093 0.456784455836551 -0.466031250408967 0.0832661435527547 0.163117477678294 0.270885947733239 0.0249579468464297 0.77333490094658 0.587033922252412 0.334210540965939 0.473126225022877 0.498801862019546 0.210920539935284 0.441515032002755 0.0481561818880622 0.656925844317592 0.323664077964278 0.372797489780953 0.600382758271864 0.278358713226328 0.626390591391405 -0.487222501029662
"NSLZS" 0.311378472629025 0.80870588927157 1.40699371706451 1.36065187905747 1.11832345863781 1.13120716001155 0.535571809568486 1.42941308601715 1.1791651165933 0.95036710483092 1.19517489685497 1.06866166725489 0.784133158579031 0.912881108051221 0.920238888377595 0.553194561108345 0.796665109815077 0.287027471548739 0.515469484856207 -0.212211122028653 -0.0335051082929716 0.81087627251749 0.0800531780740873 0.365059603958765 1.06382817494543 1.04852425924558 0.510240866365049 0.785058084791062 0.530156616702149 0.678577735258601 0.830185196332023 0.894436283417838 0.779461686945019 -0.392277103624322 0.407967358804658 0.251115334091019 0.652174266531004 0.901525361182657 0.189054608248642
"NSLZI" 0.437563719405676 1.13839365934078 1.74976106134729 1.66773889098698 1.8485879670317 1.57615139261479 0.81423691868895 1.1791651165933 1.95132910334548 1.22808191651641 1.32653060224778 1.31150572039243 1.03595729162975 1.46530165921429 1.11942060589715 0.709478589597775 1.07629487308013 0.48916359190818 0.814570034825403 -0.440772163003722 0.269394537475529 1.13825916784718 0.950388442395571 0.396472477544787 1.12469588710491 1.33062195006584 0.774841940319921 1.28002590316354 0.731089995472478 0.756042472807112 1.08822208319366 1.00394649309162 1.24355913434592 -0.188437953772295 0.0600482030378869 0.395956583250859 0.695660365272148 0.693397185106705 1.35022130422273
"NABR" 0.383749612387841 1.07079431663871 1.56004998473741 1.33445620019651 1.16899072582099 1.18425438904442 -0.842276989286228 0.95036710483092 1.22808191651641 3.45275115881424 1.31980684998946 0.877791480267572 1.86241577761136 1.88178440403674 0.903349609294227 1.18935275451751 1.49459780427309 0.719625204669048 0.756251051859487 0.30674179584859 0.552776272313698 1.50991721482934 0.478169782278633 0.545078747912763 1.22867288665178 1.36976836473498 0.782446969334299 1.15717333616106 0.53759859884094 0.874154528193599 1.08940097467497 1.35757405469032 0.866836040470875 -0.731440330544596 -0.153008285353331 -0.127464237073195 0.912393828163897 0.744085941851394 0.791870783156437
