"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.899437179716582 0.942143125085887 2.12023909315269 -0.388611436102256 1.77613218585869 1.33376369029431 -0.89023065888716 2.19860940609777 2.51244226465265 3.98796804250749 1.27744652748695 1.67346053173493 3.68451346246509 4.18705120663789 0.663870137082529 1.63909813978418 2.49371248738184 1.40655719383746 0.744920624105693 1.08721188062832 -0.221122385008338 1.3741600274999 0.637622518796448 -0.443124956388292 -0.937109061841365 0.0631604527614371 1.03479577689576 1.19450202645185 0.717663329134848 -0.253409335931577 1.4502533981118 0.297662785435521 -0.0879804523861974 1.98785125795103 1.091480073381 2.52972609231176 2.10192607827332 1.17607966885516 0.84946485180194
"ISNSL" 0.942143125085887 6.2142353443482 3.74603626743113 2.6905641391916 3.84194588054416 2.66753783191637 -1.03792375461917 1.02375327275971 3.72579870779548 4.14471711506715 1.79733630375563 2.7502499730509 3.0523825282552 3.83397425547838 0.564931823481919 2.38157123512362 4.01916877264428 2.88736815356855 2.90656156094666 1.56644265556742 1.99341965957836 3.2962936260081 2.5584489094393 -0.633964526513412 1.42529242907671 3.22371174535863 2.89878607158516 2.72684564825468 1.6358829328275 0.186085490444974 1.9749892920326 1.23308178851893 2.0591650764641 1.49051620996082 0.260269814746138 1.79548454284658 3.1436464194333 1.26794073018994 0.927911528587024
"ISPNS" 2.12023909315269 3.74603626743113 8.76745591677379 0.818598379735905 6.34574566118826 4.3440615836512 -0.598719616836521 5.38642856199916 7.51371829808512 9.95767145860488 3.69156428807605 6.1153377701091 8.8448539936141 10.8262116542518 1.65485765557578 5.1321791314246 7.85723201455985 4.81242018029627 4.27415777456357 3.51540393506929 0.663914543665079 5.50532401246033 2.85306065139782 -1.3543942527181 0.108199868889944 1.24073512324364 4.38537985950617 2.14659011380841 2.54119218944541 -0.720733603520793 4.24718756838443 0.0517622680187075 0.563342975402765 5.81736671096836 3.20318280040637 6.03505538933485 6.48586534631946 2.80786724522111 2.75153355382321
"PMZS" -0.388611436102256 2.6905641391916 0.818598379735905 6.52171134184263 -0.0549700354940303 0.510419132001914 5.67621251802231 -2.90670138471001 -2.24360422008234 -6.80993477680801 -0.618061743671847 -0.465491814942447 -7.57161576029768 -7.91151194469932 -0.680436858872491 -2.59080735242557 -2.60000431790203 -0.84215069812838 1.65364446572825 -0.770216763330746 2.05183694740299 0.484246860220097 1.09598959642121 1.69221460666191 3.79153999129787 4.47059282994107 0.106583298707668 -1.15667220441023 0.92574450102856 1.74697589146613 -1.53130015195751 1.73972656740148 2.86984711400563 -3.15620601100331 -3.43171335273718 -4.00153431101719 -1.83411331882587 -2.10329085535883 -1.66046938875612
"PMZI" 1.77613218585869 3.84194588054416 6.34574566118826 -0.0549700354940303 7.71177849839866 4.59325733916101 -3.01516568429446 6.1026285549592 9.4738327566116 12.0311840335844 4.30325193278217 5.71464312112854 10.3120954582576 12.5163451955116 0.910100614104648 6.46571031898395 9.26130988873065 6.63524944162408 4.83737222428964 4.25835301368172 0.633864740109744 4.8805967052304 3.86194057729894 -2.15759032641668 -1.39422624374932 -0.0858822531169062 3.83793952649313 3.81735231322628 2.48480514424733 -0.994441550247356 4.54718909515935 -0.250279346092375 0.7564944659506 5.69335929212186 4.92481186658371 6.31288280981627 7.6185198259714 2.86340183131156 3.17886914541821
"PMMT" 1.33376369029431 2.66753783191637 4.3440615836512 0.510419132001914 4.59325733916101 3.56804407225434 -1.11427319201709 3.475882755441 5.51488920185405 7.06282366077513 2.63902718574259 3.63039284930604 5.97523324323495 6.9628857100804 1.16718301788263 3.48394791687826 5.14328821712685 3.54694063792739 2.70598174531495 2.70716086509775 0.689721849693212 3.15014493928877 2.53722884525466 -0.695418875162367 -0.211081932644802 0.99352699367364 2.10289446798189 2.56625609108867 1.65571671652531 -0.294365357633416 2.58522905055516 0.343901219947306 0.50459812769593 3.30025591837736 2.40157434157786 3.461220560535 4.33951264495162 1.86711393559446 1.86609459204894
"NSLNA" -0.89023065888716 -1.03792375461917 -0.598719616836521 5.67621251802231 -3.01516568429446 -1.11427319201709 10.1386385361245 -5.40239986392992 -5.77219839857707 -12.254009500945 -2.04391855791558 -1.40399920312748 -11.3543763484898 -12.7743570347557 -0.71377002119816 -4.94931535107902 -5.98889073560584 -3.77744776325526 -0.599000298294115 -2.31996912275803 1.94708959178105 -1.16889488489525 0.254335049005432 2.71982319593171 4.05872330408729 3.30026062839055 -1.90083658717687 -3.32052732832119 0.223887854525249 1.81114081877847 -2.93453914844247 0.536642713575648 1.8212101312663 -3.85082682335916 -5.17739692378048 -6.22369800691317 -5.03585034815752 -3.3151425014088 -2.20370055112646
"NSLZS" 2.19860940609777 1.02375327275971 5.38642856199916 -2.90670138471001 6.1026285549592 3.475882755441 -5.40239986392992 9.8716137934907 9.62422335065772 14.695240982364 4.42887521584668 5.59582024109421 13.2342219640461 15.9577086736793 1.08322854888678 6.99595923328303 9.4448423530585 6.28335573713391 3.25512170228846 4.37042263906641 -2.64886545287308 3.81354314150658 0.73719475178688 -2.41630559251397 -4.30645040489486 -2.30286496830258 2.98848668576412 3.20876161953873 1.80391650516144 -1.15753052125051 4.84166786394828 -0.0966462080475134 -1.36501513569565 6.71846970041886 5.93065732427053 9.48207898384437 8.18222904986813 3.83934886155807 3.11816922856727
"NSLZI" 2.51244226465265 3.72579870779548 7.51371829808512 -2.24360422008234 9.4738327566116 5.51488920185405 -5.77219839857707 9.62422335065772 13.7918982327954 17.3791912021316 5.95035337957582 8.06146580661043 15.4140482974756 19.0582831270248 1.07550638229536 9.863156600145 13.4557895916547 9.44961920918701 6.22439860791367 5.97758627860365 -0.164770015261889 6.1359079400572 4.70802900734885 -3.30539565829745 -2.97539108723575 -0.741633105167614 4.89628838601404 5.12850998444886 3.00050979493771 -1.55380734857448 6.60808018214278 -0.637972727124609 0.377046603935812 8.26408827965295 8.65091269049872 9.93208017040028 11.0252416969374 4.55470057437056 4.27939821635121
"NABR" 3.98796804250749 4.14471711506715 9.95767145860488 -6.80993477680801 12.0311840335844 7.06282366077513 -12.254009500945 14.695240982364 17.3791912021316 37.4610718980345 8.73359878355353 9.98144487182882 32.1412356899763 34.1601152874282 3.36419110804212 13.1002056326916 18.9146452405454 11.8217353598652 6.03830634782303 9.49217832326567 -1.82367331058237 8.18282185210688 4.50818919985849 -6.10565382860545 -7.66739933995835 -4.17124216427668 7.38572725072031 7.88436560481705 4.05344624099737 -4.92174776397871 9.28041588042725 -2.01049929298323 -3.20284359467618 13.8840967944484 5.2692274309799 18.407732427445 15.7625355518032 8.03884354098934 6.7588186085439
"NAFM" 1.27744652748695 1.79733630375563 3.69156428807605 -0.618061743671847 4.30325193278217 2.63902718574259 -2.04391855791558 4.42887521584668 5.95035337957582 8.73359878355353 3.47305550923624 4.04936339626123 7.85520172399317 9.77870766121907 1.07079623929311 4.07441750910014 5.83471999628639 3.37612435251528 2.32996936979683 2.5503479471711 -0.0606163356253314 2.68172257387012 2.27953793274804 -1.87053768336135 -1.77082653545904 -0.112749316703221 2.1955865251332 2.29331204783898 1.7257859371318 -0.81377583110513 3.38644128971833 -0.25101050812907 0.0967952383856985 4.71230360966959 3.44396528618927 5.66381385352877 4.53797832548837 2.40103731475645 2.25710224195424
"NAPNS" 1.67346053173493 2.7502499730509 6.1153377701091 -0.465491814942447 5.71464312112854 3.63039284930604 -1.40399920312748 5.59582024109421 8.06146580661043 9.98144487182882 4.04936339626123 6.91307152962896 9.22281664159704 12.0733847472291 1.35998854968599 5.91937431407014 8.22164769391733 4.83665833759236 3.85222191568042 3.59747451036078 0.292236594427925 4.62238794334862 3.1006800171529 -2.13044141997349 -0.712128604888042 0.815064916971317 3.20072149731788 2.43901841824397 2.34079620134147 -0.9205538028761 4.72810848136796 -0.97021987789493 0.172826542081168 6.4953803651419 5.13924483880749 7.19107572794637 6.41463136745993 3.24001337534268 3.02221442567991
"BRPT" 3.68451346246509 3.0523825282552 8.8448539936141 -7.57161576029768 10.3120954582576 5.97523324323495 -11.3543763484898 13.2342219640461 15.4140482974756 32.1412356899763 7.85520172399317 9.22281664159704 29.6937768738016 31.829012660237 3.52866926625777 11.7836574272129 16.4357085292724 9.33161095717379 3.75599137538182 7.45947489666755 -1.9778866020153 7.05803951033911 3.66721396614443 -5.74039257214053 -7.70238577112157 -5.1050274287056 6.27032186333216 7.46323866954063 2.99380305507946 -4.50265581396197 8.86875822783616 -1.86388839811758 -3.41604913956593 13.797185495095 7.60895752332477 17.3790232382909 13.807914818419 8.03091897563661 6.75237208068345
"BRAPET" 4.18705120663789 3.83397425547838 10.8262116542518 -7.91151194469932 12.5163451955116 6.9628857100804 -12.7743570347557 15.9577086736793 19.0582831270248 34.1601152874282 9.77870766121907 12.0733847472291 31.829012660237 37.9052366378462 4.50359306898563 14.5454483485594 19.8185593407753 10.6572303539001 4.95991838730506 7.99876102905022 -2.28256401459884 8.59633129210769 4.75917219599592 -7.52520450137068 -8.61210935186732 -4.08676531599073 7.36604883247575 8.28228397164641 3.87534047614314 -4.72104137151043 11.5378809908744 -2.42580192541185 -3.16540217946066 17.0220853216409 13.1384568983243 21.0561972625782 15.7228290710393 9.73820554916243 8.19555872259994
