"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 3.51682061709564 6.14704356824945 6.3802052828817 4.03082089664302 2.87571960379896 2.77938903236095 1.24867456187973 1.81609422754638 1.76075011048814 1.58845698169332 1.38514757924357 2.75895678700329 0.670985394933051 1.29412221283304 1.57786968454102 0.646486975250884 1.28916098861024 1.19375276479497 1.31406340294489 -0.60568450080964 -0.147099917801034 2.98397640230729 0.624320036026522 1.37290322586767 0.984518155533839 1.87561430865626 2.0154526082809 2.17260332644673 0.69310077173727 0.239093470840605 1.94569809150531 1.43177062462024 1.31889765140715 0.745336137955919 0.808251095638342 0.988651141855731 1.28328060838555 0.958339342978352 0.680269554532425
"ISNSL" 6.14704356824945 30.7797914037653 21.950262424247 22.6695039135185 16.0167464469267 9.38404393433966 3.84995278850613 4.58257341364611 5.49652924730532 2.18516079057396 2.86184094947115 9.05659546952256 0.701659304485219 2.13187940729413 2.33523415649735 0.661021417481974 2.86539130836648 3.58398734813645 3.16614764955472 -3.08000309386355 -0.100321378813596 12.6334999228725 2.35119791904115 5.33020685371842 1.41347016759217 5.71298662246668 8.57752426262015 4.83005684649283 3.73464378898631 1.97948660375098 5.52721745775929 4.81144003465126 2.87483010057469 -0.283406237616696 1.04168764485044 -1.43643391342836 3.92612211312922 3.98817409888249 2.65722275427547
"ISPNS" 6.3802052828817 21.950262424247 29.9690930521391 18.0788574811457 13.2511736903321 9.84158761063484 5.22949684127676 6.01732115752422 6.24690614660909 0.843242497059363 4.53006407876575 11.7375798331691 1.56101578049314 3.00988060026614 3.85013807698184 0.71667524904601 4.68222368087937 4.30829037838645 3.1878713709214 -4.12816115198595 -0.473659992063661 12.2241771316817 3.39908885535512 4.85007448345818 6.22009366575758 7.68179038143809 12.2847028403816 -0.4198220727296 4.52539784853433 1.62969121679923 6.36320009575684 4.11581621696856 4.34489687309151 0.861620153203855 3.33108933028788 1.58904503211212 6.71640702208982 3.11522401966753 1.81290794911314
"PMZS" 4.03082089664302 22.6695039135185 18.0788574811457 29.2709045129208 20.2836274601861 9.94255038070617 12.4712680945397 8.03442363318893 7.87148757507459 4.66740720339208 5.07186353600535 10.7122423797805 1.59931814943996 5.41562845679433 3.44828992328503 3.12692773973403 4.27088870338026 4.66135186123233 5.31667392521779 -0.905880138269953 0.877753900738434 17.3206396390491 5.93944014504358 9.22372876810869 3.85076339191467 7.97373491802637 9.15231823507033 6.37722661877998 5.18222883840529 1.86659011040952 7.04068472849399 5.17584127328774 4.53445707215469 -1.00690625745885 0.99271662360306 -0.584324448514375 5.05424095514655 5.58523330044111 3.01649520688431
"PMZI" 2.87571960379896 16.0167464469267 13.2511736903321 20.2836274601861 19.5903790624658 8.01341729204375 8.09801363539759 7.11179918837528 7.11731397630736 3.19291428332274 4.14412421224738 7.31529786059255 1.82837532302847 4.13906562340996 2.4152076437676 2.6265823858509 2.79472617607566 2.32763321806972 1.56204734767222 -0.832688394619345 0.369576178065384 11.269415612745 2.29542549534202 7.36960254757852 -0.986961400997921 1.86893792546216 6.72819229527714 5.95486342100134 3.2198466997512 1.45202742376685 4.57215161668607 3.18909836896055 1.23965747926065 0.225795208302549 1.34661358815015 -0.224479618149379 2.49103008929978 2.90349476810009 2.32910612576925
"PMMT" 2.77938903236095 9.38404393433966 9.84158761063484 9.94255038070617 8.01341729204375 8.16286795663885 1.88286659654286 3.22454430072885 4.46943120501601 2.76491433327895 2.58583909775651 3.62599867581825 -0.167048047201167 2.12582780726086 1.95369908380978 1.96579762108333 2.70934122928044 4.00264139157329 2.90039836585428 -1.23041734727389 0.441209292332668 6.57740961255776 3.1697819334646 3.50640224103585 2.31070973363171 4.34187677274286 3.23119171782689 2.9073089818961 1.77024336500646 0.985770321786552 2.68841572127835 2.72189248178883 1.96173046265615 0.0980967204381078 1.6120466234877 0.475817565626205 3.86834085420756 3.00353014241707 1.79274057950443
"NSLNA" 1.24867456187973 3.84995278850613 5.22949684127676 12.4712680945397 8.09801363539759 1.88286659654286 23.3044317316143 4.13582122845439 3.12028275429368 -3.27212195520144 3.91785472501071 13.9958877568859 2.55832996894926 2.56807610391731 -1.31774839109743 0.0192346542810795 0.964506426735091 1.13660246109039 -0.0674337642343274 -1.67544133642046 4.48228731579547 11.5774679605081 3.16196436990055 6.4866428931357 3.4244726113335 4.40665612914422 4.93320456327733 3.53537602283019 3.17820944894924 0.66380153395379 3.92923750523473 3.29175511337915 2.50141834940036 -2.27516208069262 -2.84899327783527 -0.911232715849903 3.35060708381556 2.040436486045 1.35447760868229
"NSLZS" 1.81609422754638 4.58257341364611 6.01732115752422 8.03442363318893 7.11179918837528 3.22454430072885 4.13582122845439 9.21748935983747 5.03563367376311 4.30252441829269 4.38863554242635 3.03724156862689 2.28520458778285 2.67092964484915 1.54478835375601 1.24414598011445 1.27467324399718 1.87407173534429 1.95735312318676 -1.01455945210672 -1.54071214261806 5.01401031038231 -0.97040994490879 2.01932823700863 2.74725117217798 3.80233187951773 3.07851671867894 2.8179222866913 1.1006067028279 1.0801992688484 1.88439563123489 0.417287835920468 2.57560828512486 0.518659476779137 0.864006593324094 -0.169292914857607 1.16317298081776 1.50786271308056 1.06023315359925
"NSLZI" 1.76075011048814 5.49652924730532 6.24690614660909 7.87148757507459 7.11731397630736 4.46943120501601 3.12028275429368 5.03563367376311 7.91874566546321 4.45937204077127 3.72014152539595 4.05221167158524 1.57677359812979 2.50504245297893 2.02144802628758 2.13924425925262 1.87781346897829 2.53797644644205 3.99355801196395 -0.777792871815727 0.760457006614723 6.69394600505851 5.26926579660271 2.69511430993983 1.902922740716 6.23454864088639 3.60297440851201 2.46091705613518 1.04224436715594 1.60426671383231 2.77192021923746 2.21698191956201 3.79795752164509 1.39178903860353 0.663919607099802 -0.185057338838424 1.95602051496832 2.49144741889332 1.5762499575267
"NABR" 1.58845698169332 2.18516079057396 0.843242497059363 4.66740720339208 3.19291428332274 2.76491433327895 -3.27212195520144 4.30252441829269 4.45937204077127 18.8281804199863 3.80572904332043 -0.907600972854881 5.97549614894206 7.54193377961877 4.82601621940565 4.47277950460251 2.99805197328068 2.53805281634132 5.46712529506506 1.47557548875342 -0.15129087535207 3.80514391549648 2.45363265529164 0.625772570336659 3.05892453718962 5.95002408995906 1.30757834223888 2.35089175546836 0.807551026669328 0.921505366985414 3.16409244513806 -0.684296615634248 4.35875076746711 3.64742364983966 -3.22648380167689 2.01213209647543 1.01497895342598 3.49521366743073 1.87545410869435
