"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 3.80467717661553 6.74186258885398 11.9565161670117 8.89136724016073 6.99509102257964 5.16519750824861 5.55437873871469 6.30848025852825 5.82034121625094 2.09801958292661 1.78300014466808 2.31145503725729 -0.429047271187826 1.51744099282567 2.65208617227259 1.90759434007487 2.32535812460883 2.39417524589895 3.88804263230819 1.40955400131338 0.47151413698032 4.47612595164122 2.4709799902926 3.53452127696227 3.38115400271167 2.76385920779377 3.83626751125148 1.90477133871764 1.40454655175859 0.659827337200117 3.01778604656657 2.4217888651933 2.23317073725919 4.39046301569987 1.99342562312329 4.75524070729801 2.49776733741148 1.67272013581255 0.847199102347149
"ISNSL" 6.74186258885398 25.0543041116191 30.548723828805 26.5966505384182 19.7779064092457 12.2291264143575 9.00628070998402 9.04634291532596 7.60843169005873 5.26135335567552 3.96492040519106 7.19034055845602 0.314135606225979 4.16211377480946 5.04930948185484 4.16802777855778 6.0098606219273 5.89192186434722 8.65178232561152 3.32649199137589 0.95185168606323 14.2691100911592 5.78644729289263 10.1440163655557 7.52527710990042 6.66217176609749 12.1294413937986 3.29380003678546 4.02494642692397 1.43965571658233 6.35393985283798 6.35837697790981 5.11990525162651 8.38184786702259 3.62673835843108 9.7101224480233 6.47813654433523 4.38935218156564 1.72455949718073
"ISPNS" 11.9565161670117 30.548723828805 77.1891006570683 61.8002879412269 50.6930846618868 31.7041502882119 47.6670578314641 44.8900377238494 38.9607998857262 9.50385759868182 7.66952679485975 14.5385438465134 -6.37116850150007 7.61030398592432 20.2006367876454 14.2779329213844 13.1015888976383 9.74955977083881 28.1182262299263 17.0920569958398 4.22488976643587 31.8087839632245 15.8044407820341 23.940290332388 22.7166256182625 17.2715057971841 33.9250874605068 4.7629675493408 7.59861793792386 3.34291991544346 19.9870346294917 15.530698226511 17.1724477052503 25.8196800077049 9.68731147460928 27.0142010562595 11.0142262934683 11.9184145769101 5.89870534691764
"PMZS" 8.89136724016073 26.5966505384182 61.8002879412269 64.0537601538404 48.3517434155092 27.8849231897145 52.903457000868 46.5490401364381 36.045741386855 8.44487509756271 6.52907088060984 16.5633292218982 -5.35867144545743 7.39680638491566 17.9137943173066 12.484731684604 11.3836150374334 8.31217647018494 26.484896764242 16.5366186235058 2.88678372060792 31.4791724687749 17.5123008328097 21.6499372040134 20.180879672378 16.9171320306274 26.3588164924197 8.89723787449638 7.63115659234863 2.80871098791906 18.0234953678173 14.4145151217296 17.7612880334079 22.1114225619273 6.79427008924914 23.7835784784991 9.84746455169446 12.0867505731807 5.43701223889897
"PMZI" 6.99509102257964 19.7779064092457 50.6930846618868 48.3517434155092 44.6843001569422 25.7483755502462 40.4414158026056 36.8417745862842 35.9884131973562 7.62183069800915 5.92150367160889 12.8166956901979 -4.47036234804525 6.83505906058227 16.0728187372686 11.6969574732071 9.61127539062989 6.6165110771103 21.993706385065 14.5754651019433 3.09162747271801 23.0426926364222 11.782865921931 20.3345333490596 13.079167631 10.1125705738359 20.5524824321552 7.99337704123951 5.43809284277312 2.6205297933301 15.4366804848904 11.527264175304 14.383017013752 19.2308892194686 6.5474977701693 19.6901552617872 8.18334654164147 10.438970303691 5.14508067794425
"PMMT" 5.16519750824861 12.2291264143575 31.7041502882119 27.8849231897145 25.7483755502462 22.6132650182489 22.7394024334135 22.1075609815008 21.9910326449552 5.0691874157867 4.28934734610389 7.2689928083302 -2.59739321973804 5.00992137072529 10.7153269270226 7.8939187881802 6.22080899658738 4.12484781237478 14.0284682557093 9.91802798485459 2.15443224288013 10.2505082205704 7.06826317141067 10.8157680484691 10.3466602421852 6.26114346477873 7.5837727881738 5.95103258369554 3.293189834012 1.77315566901189 9.55227850494934 6.82500270048432 8.97181506460066 13.301606552322 4.62283815111764 13.4251116836537 5.56292148693302 6.89957913426242 3.5614706311744
"NSLNA" 5.55437873871469 9.00628070998402 47.6670578314641 52.903457000868 40.4414158026056 22.7394024334135 65.977528284127 53.0253373485378 41.2938382992662 3.66834485594574 4.3823618631545 14.5135581826368 -8.79317371159591 3.51079493483652 19.8196889206018 11.5703037052272 7.54129862204616 2.94722453150973 24.7077960530997 19.6067901188385 4.26112520081358 24.1683139313476 16.296492363507 17.9509032503418 17.5713331073924 15.1493067302624 18.1937044300879 8.65555465492777 5.898541112426 2.62077991018626 15.8266816565852 10.1310392864173 17.0086985989735 20.0436003186038 5.09471444820329 20.1600591755906 5.2543933467445 10.8768606589237 5.45689358293022
"NSLZS" 6.30848025852825 9.04634291532596 44.8900377238494 46.5490401364381 36.8417745862842 22.1075609815008 53.0253373485378 48.3321476823988 38.5156671604269 4.92865162270925 4.58102009669604 11.5910138212789 -6.85498044360106 4.44313354343244 17.0844734652975 10.3017088523277 6.73785336516249 3.35327500561991 21.4260070905817 16.0741894389488 1.97199336237239 20.3117981662591 12.6500659327287 15.2367882187735 16.4086639546697 12.4128163076514 16.2579635133908 8.67190617520173 4.64969494188072 2.21710275677337 14.7812500683503 9.42858577018883 14.556825079248 19.4089560245842 7.05051693030114 19.3212214112632 5.23306488323789 10.1294331489477 5.05241174522076
"NSLZI" 5.82034121625094 7.60843169005873 38.9607998857262 36.045741386855 35.9884131973562 21.9910326449552 41.2938382992662 38.5156671604269 39.4559444282392 6.00136938670786 5.08981354249325 9.98957569059698 -5.35657547907679 5.19523144902121 15.8680775593026 10.9723368696921 7.08629310318581 3.90336552509937 19.7587244791148 14.6786569845964 2.6547508565612 15.527186786097 10.9858320755017 15.8854292062267 10.52430902599 8.64508610107487 13.4606390372789 8.03366548504215 3.55140343312278 2.40045116293231 13.9385563285361 8.42858622812931 13.1957265361298 18.1976134247087 6.43294011516111 17.4356438092728 5.73075683733865 9.50133448791407 4.88527516298182
"NABR" 2.09801958292661 5.26135335567552 9.50385759868182 8.44487509756271 7.62183069800915 5.0691874157867 3.66834485594574 4.92865162270925 6.00136938670786 11.6881338659695 2.40713832179667 4.24395680015121 4.05410278890061 5.86321870516878 4.42474087498928 4.13353092427205 3.4173763254255 4.25124085449152 5.65000860241172 3.08007050186739 0.64293972382397 5.6540965867023 2.72809250602956 4.43697328330078 2.91828320667639 2.73686035273048 4.00845439637075 1.47451302705213 0.811909787904869 1.29804875523136 3.93221467231575 3.19292221271411 3.46168019085259 4.99667352410533 -2.3937202082722 5.05525390466521 4.25370267061415 3.68006987033213 1.88873588289502
"NAFM" 1.78300014466808 3.96492040519106 7.66952679485975 6.52907088060984 5.92150367160889 4.28934734610389 4.3823618631545 4.58102009669604 5.08981354249325 2.40713832179667 2.97441279350874 3.15167693150181 0.423272217745976 2.00369808923643 1.95571702442478 2.15164797628901 2.2268499639321 2.56754990388069 4.02013217238402 1.53493174241554 0.912453279141728 3.92915436847126 1.97602864661758 2.6772467283434 2.87444535846645 2.03108269904426 3.15255244852857 1.58965694646216 1.27070990858075 0.777143086698598 2.86325260046761 1.97586347786759 2.71475436667105 3.73937925901052 0.820546626393703 3.98901209140423 2.69487722027077 2.14096224151087 1.18899115714416
"NAPNS" 2.31145503725729 7.19034055845602 14.5385438465134 16.5633292218982 12.8166956901979 7.2689928083302 14.5135581826368 11.5910138212789 9.98957569059698 4.24395680015121 3.15167693150181 9.94967600031877 0.169299104609974 3.63774692388243 4.4271608498991 4.37407877715086 4.7863614123259 3.70514381513767 7.78947245644758 3.99493888462616 1.08010797140106 10.8876996832638 5.74192520916404 6.73433030215395 5.41296075332253 5.10283796805097 5.63260481149256 3.58496427497273 2.54713393654032 1.16393607492156 5.12691661337603 4.01572986194268 6.14798396741103 5.98066814942646 0.055125417884651 7.44105601880397 3.86613617657599 4.20461118057711 1.49191237208547
"BRPT" -0.429047271187826 0.314135606225979 -6.37116850150007 -5.35867144545743 -4.47036234804525 -2.59739321973804 -8.79317371159591 -6.85498044360106 -5.35657547907679 4.05410278890061 0.423272217745976 0.169299104609974 9.21273089770183 3.00126353793896 -5.9370977733149 -3.96567571872341 -1.81600567720722 0.662683807556887 -6.10800002741554 -6.73484376538702 -0.918106783128854 -1.88915293787224 -1.28602960833543 -1.36618450287426 -2.51915718668562 -2.65792407550508 -2.50587072929524 -0.102049512374 -0.840435871263858 -0.202542389751763 -1.50453700921567 -0.993393011563725 -2.14888896880454 -1.50670589832193 -3.84549429272001 -2.12887734887267 1.95667157650938 -0.622770672008646 -0.13200734668666
"BRAPET" 1.51744099282567 4.16211377480946 7.61030398592432 7.39680638491566 6.83505906058227 5.00992137072529 3.51079493483652 4.44313354343244 5.19523144902121 5.86321870516878 2.00369808923643 3.63774692388243 3.00126353793896 6.98981440843052 3.13961933656199 4.64990495557333 3.63254545842279 3.01548537028461 5.10451983758444 2.98050056178794 0.654614664974125 5.18185986586878 2.60963851973876 4.09817169024269 3.19919999586952 1.77613615158121 2.76338024037382 1.61459721908744 1.15844681892402 0.757585681268645 3.94499915676288 2.60614980571634 3.81020549484701 4.95852366640196 0.19538995517615 5.39076848576535 2.41576841228935 3.43336068953676 1.10525927342913
"PTFM" 2.65208617227259 5.04930948185484 20.2006367876454 17.9137943173066 16.0728187372686 10.7153269270226 19.8196889206018 17.0844734652975 15.8680775593026 4.42474087498928 1.95571702442478 4.4271608498991 -5.9370977733149 3.13961933656199 15.7338252182767 7.97248126509765 3.19796232799967 -0.923558338681059 11.4937011474972 13.7246944335692 1.87501152498626 8.04303199828062 4.97106162611236 7.63285296138601 7.2961908839805 5.31256948076836 6.9664083921087 3.09057961601715 2.03940843674641 2.08986814340079 7.26195609929204 5.24465946210533 6.58373779851773 10.2110581168263 4.09484157256873 9.41423379142229 -1.79177702448863 4.74257002675791 2.59255726959307
"PTAPET" 1.90759434007487 4.16802777855778 14.2779329213844 12.484731684604 11.6969574732071 7.8939187881802 11.5703037052272 10.3017088523277 10.9723368696921 4.13353092427205 2.15164797628901 4.37407877715086 -3.96567571872341 4.64990495557333 7.97248126509765 9.9877778921767 7.3680728311773 4.4665109325372 12.2156049983127 9.85968126895305 1.75286987230797 7.6026019643798 4.56689334636908 6.45784009850233 5.26809941596105 4.06828867173995 6.05702199064446 1.58301896274211 1.90976512482449 1.3455832855653 5.974540686044 3.92423688429815 6.70391949773189 6.53879252327144 2.77772192726722 7.35668412762525 3.03518526111716 4.58991933102663 1.4050043863542
"PTBA" 2.32535812460883 6.0098606219273 13.1015888976383 11.3836150374334 9.61127539062989 6.22080899658738 7.54129862204616 6.73785336516249 7.08629310318581 3.4173763254255 2.2268499639321 4.7863614123259 -1.81600567720722 3.63254545842279 3.19796232799967 7.3680728311773 9.62171126765886 7.17301317794252 10.4200666557613 5.10458297158719 1.54503679808971 8.36542713991672 4.17016564334214 5.90777410455351 4.54111792830832 3.84255620495051 6.46818349913724 1.29138402199041 3.86652107160981 0.920798165656263 5.23218079694698 4.17380897358986 6.1980232130031 4.32695277814719 2.77760634560082 6.08280978658246 6.1984684362769 4.20247212139877 0.909939818892869
"PTEAM" 2.39417524589895 5.89192186434722 9.74955977083881 8.31217647018494 6.6165110771103 4.12484781237478 2.94722453150973 3.35327500561991 3.90336552509937 4.25124085449152 2.56754990388069 3.70514381513767 0.662683807556887 3.01548537028461 -0.923558338681059 4.4665109325372 7.17301317794252 10.5631748176374 8.8563204867968 -0.19818614312578 0.410878291753768 6.25251413919754 3.37189106007157 3.37186662430734 3.71494989196099 3.93049120141684 5.69204970190269 1.12566350047285 2.47865019206439 0.599414883354659 3.74398906425036 4.07198209820356 5.31439689605513 3.11212141376326 1.72469198645535 4.57836613526163 9.84263756673026 3.26501042281009 1.54921899305342
"PTZYGO" 3.88804263230819 8.65178232561152 28.1182262299263 26.484896764242 21.993706385065 14.0284682557093 24.7077960530997 21.4260070905817 19.7587244791148 5.65000860241172 4.02013217238402 7.78947245644758 -6.10800002741554 5.10451983758444 11.4937011474972 12.2156049983127 10.4200666557613 8.8563204867968 23.5353499702801 13.5545995749188 2.2074097874302 14.9298887264684 9.43339304180738 11.1972494904508 10.044211736862 9.54406393709366 13.1031295408842 3.95393794157938 4.09673294959771 1.7895120844026 10.9160139747569 9.58064855171247 14.2337790577389 12.4201609395704 4.07105504468502 13.4811769805211 7.63249268804327 7.67549634693715 2.99161769731659
"PTTSP" 1.40955400131338 3.32649199137589 17.0920569958398 16.5366186235058 14.5754651019433 9.91802798485459 19.6067901188385 16.0741894389488 14.6786569845964 3.08007050186739 1.53493174241554 3.99493888462616 -6.73484376538702 2.98050056178794 13.7246944335692 9.85968126895305 5.10458297158719 -0.19818614312578 13.5545995749188 20.256321101442 1.59810449314787 7.25498873815154 5.06322386482004 7.3301983419129 7.02424691469328 1.00521472843496 6.35499458563812 2.49487347222768 2.23990072301802 1.6454336718747 7.38236661669423 4.16176832649045 6.03734518693589 8.6592190284524 3.44663103655954 8.87983264409684 -1.09554489060769 3.93850139439665 1.5586946101637
"FMZS" 0.47151413698032 0.95185168606323 4.22488976643587 2.88678372060792 3.09162747271801 2.15443224288013 4.26112520081358 1.97199336237239 2.6547508565612 0.64293972382397 0.912453279141728 1.08010797140106 -0.918106783128854 0.654614664974125 1.87501152498626 1.75286987230797 1.54503679808971 0.410878291753768 2.2074097874302 1.59810449314787 3.55222329880924 3.62491148282805 1.44726631922303 2.56216605619971 1.99566277837765 1.1951093023549 1.73846786027133 0.107749894032386 0.943900929429883 0.360611740007946 1.46751841147202 0.455160302835293 1.40616247828818 1.56416767592083 0.00931812792322204 1.90182682212167 0.79941907968364 1.30573341720465 0.662329443579314
"FMMT" 4.47612595164122 14.2691100911592 31.8087839632245 31.4791724687749 23.0426926364222 10.2505082205704 24.1683139313476 20.3117981662591 15.527186786097 5.6540965867023 3.92915436847126 10.8876996832638 -1.88915293787224 5.18185986586878 8.04303199828062 7.6026019643798 8.36542713991672 6.25251413919754 14.9298887264684 7.25498873815154 3.62491148282805 24.9417725526635 9.89428512558172 14.3503968214407 10.8662726067679 10.0369795742044 18.8234333349917 3.05570121356785 4.82832933213732 1.41925999421939 10.0784606988495 8.36165780415128 10.539800272526 11.3429354167283 2.13437579251049 13.5077803986583 5.64840876001884 6.41299703280736 2.15851474226775
"ZSZI" 2.4709799902926 5.78644729289263 15.8044407820341 17.5123008328097 11.782865921931 7.06826317141067 16.296492363507 12.6500659327287 10.9858320755017 2.72809250602956 1.97602864661758 5.74192520916404 -1.28602960833543 2.60963851973876 4.97106162611236 4.56689334636908 4.17016564334214 3.37189106007157 9.43339304180738 5.06322386482004 1.44726631922303 9.89428512558172 10.6250912496703 5.28863832864196 5.14528058078403 7.58893117862904 7.82506515660304 2.33991626740691 2.19983026698336 0.864213141270876 5.74271702299976 5.16169686866084 6.96508824544861 6.47886673553139 0.494580441390356 7.23306070420558 3.24348978565308 3.58822106653055 1.19686688531613
"ZIMT" 3.53452127696227 10.1440163655557 23.940290332388 21.6499372040134 20.3345333490596 10.8157680484691 17.9509032503418 15.2367882187735 15.8854292062267 4.43697328330078 2.6772467283434 6.73433030215395 -1.36618450287426 4.09817169024269 7.63285296138601 6.45784009850233 5.90777410455351 3.37186662430734 11.1972494904508 7.3301983419129 2.56216605619971 14.3503968214407 5.28863832864196 15.3149791760298 5.17550061318108 3.86954869023938 10.7351812645214 2.6169581210152 2.96454049265417 1.59926486995201 7.92894896654083 5.82526272248043 7.23938260064823 8.72025857333193 1.24857885709318 9.3874251807805 3.84627384029189 5.17162952058693 1.75044603890977
"ZIZYGO" 3.38115400271167 7.52527710990042 22.7166256182625 20.180879672378 13.079167631 10.3466602421852 17.5713331073924 16.4086639546697 10.52430902599 2.91828320667639 2.87444535846645 5.41296075332253 -2.51915718668562 3.19919999586952 7.2961908839805 5.26809941596105 4.54111792830832 3.71494989196099 10.044211736862 7.02424691469328 1.99566277837765 10.8662726067679 5.14528058078403 5.17550061318108 15.3778645392634 6.91011602484367 9.5336268958697 2.92314450393104 3.28254197001933 1.35143414028402 7.50528659782981 2.23227079454032 7.51254845034473 9.78023989691695 4.00066777672007 11.0931587130174 4.14473888409043 4.93735911444547 2.4601745724116
