"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 5.65433751472638 10.6730085886916 19.8822896584013 15.2859035993116 11.6854670665724 8.36118755804729 11.3176752364804 11.3457205363626 9.22386586318504 4.56781383858571 3.96610811447589 3.83998816105307 1.90105145344888 4.22405573855111 1.05219123887018 3.29821139110714 5.50881888384294 4.9356066241839 5.9934516625295 3.47597489556706 1.93725693061688 8.43851972929434 3.17451879519783 5.10222421391831 3.38235137736352 3.15810006051552 7.09098795561433 3.03532200699266 3.10213957244125 -0.23523226588712 3.80802214624556 4.21401741469374 3.84752100423661 4.88231567914606 2.78078179736327 4.49037072710556 4.55532855225918 1.37149872290638 0.597574290228267
"ISNSL" 10.6730085886916 32.1061049391962 47.5241174958458 46.7694582176011 32.6299532781083 18.6172173592081 28.5188201929355 26.8767429901462 19.8103571630269 12.1624731902591 10.9622878377353 8.89831266801428 4.39724831538608 11.3795857205094 1.95633329823201 8.2922768815868 11.5292707094413 11.708227550252 16.3851996671347 9.1465031863283 4.97640515260578 25.8061529055733 11.5665209398291 12.9310774161142 8.51511281496689 11.1808425320778 22.0957488070088 7.67009238767644 6.70370224541206 -0.271604457442487 7.67002269838377 10.5870309702786 11.4258562583189 11.6801532538792 6.71295281437287 10.1308638053659 10.1592819710123 2.52735838848338 1.9335090801596
"ISPNS" 19.8822896584013 47.5241174958458 98.6903297694628 83.5421239798348 62.0011377136154 34.9272117224295 58.8771057851812 59.1572639741164 45.2976427656508 26.3638290501581 18.3025096833552 13.6855923906899 6.23791695271867 21.7491293363792 9.24983686821436 15.6313548414903 21.0967322983759 23.2116748412398 33.3936347467468 19.8807486840844 8.45574603502649 46.5609217133526 18.6773575980691 23.5027109583481 19.4008292512724 22.7509769346361 48.7613998401858 7.50068584789717 13.7057541336504 0.994184296792351 17.3052598218452 20.4357245982356 23.1105330277392 24.4836282689723 12.5485789282777 22.5124265856592 17.6774483534028 8.19351386312928 4.99289148622456
"PMZS" 15.2859035993116 46.7694582176011 83.5421239798348 90.1273525389781 60.8746949788808 31.1922373026279 64.9927530420548 58.5648433647562 39.5322714734981 22.0368601869686 17.2607213111191 15.7176196184435 6.29176009636114 20.3583909676382 7.6960476812861 13.6711013923381 16.4258766323648 19.2964150672077 30.3855032760917 16.9993027500324 9.08775764805562 50.2865498121542 21.9200384399949 22.8777181856409 18.0316037512763 24.8316341799605 43.9537093961829 11.1415663567411 10.8536351374861 1.62048348184076 14.4715057905852 17.4636604092256 22.2300144053811 22.840626332954 13.9091084861514 19.5772579528142 15.3839577951487 6.32332129673199 5.05010672719036
"PMZI" 11.6854670665724 32.6299532781083 62.0011377136154 60.8746949788808 48.3225533911371 24.6878230457539 40.7098356333256 40.5564023033535 34.3879222336597 19.6614348929341 13.6875504576145 9.76882786965563 5.47763799691334 14.4813338624887 6.14056804351462 9.42461769604159 12.5808279840637 14.8301061290499 22.4237792207138 12.057975745161 6.07075883470063 32.9273234528673 14.1859037409415 17.0414706407289 10.5501906257731 15.8230188306686 32.0703461818051 8.88438016838745 8.23338722224769 0.859630422281818 11.2240824000134 12.6283777731746 17.294984133054 17.5748449800706 10.5943456535431 15.116603595279 11.7632275021782 6.18144548839409 3.91590692715277
"PMMT" 8.36118755804729 18.6172173592081 34.9272117224295 31.1922373026279 24.6878230457539 18.6893979354779 22.0993673134392 21.6563404076341 18.6565023599611 8.45706955561336 7.65459134944718 6.08665980987241 3.20891256531354 8.01931663193854 2.59450223436682 5.24554790568748 8.59329338434787 8.5995337330766 11.1089849921293 6.76489462879072 4.06885376958111 15.0529892887355 7.40523791707601 8.95124249283804 7.31336662713355 6.47541582520723 12.4486473683591 6.68401325346206 5.37140988090343 0.111062430267926 6.74904276892812 6.87364759630325 8.1709497614756 8.82434456026869 7.77995793341166 7.74320782461644 8.46470200521959 3.30259885683545 1.90694039923512
"NSLNA" 11.3176752364804 28.5188201929355 58.8771057851812 64.9927530420548 40.7098356333256 22.0993673134392 64.1270904464057 49.6472639763594 30.1642084983151 13.0948344236086 11.4838222330413 13.944427255245 1.97028182198512 13.4784947584389 8.69568105435789 9.30480176327969 9.88963796609917 10.8701404909658 22.6246225396569 12.4725487450385 9.20352808633666 37.1699444472426 14.3869203345249 18.4910033395183 13.1793029391899 19.1811089782353 29.0572120363736 8.02595799820979 7.09040800086554 0.964390201737411 9.00484566761818 12.4237106616528 14.198663126138 16.8378210549494 8.95888029344144 13.433702404669 9.41451629306187 3.06576503747176 4.33568473639793
"NSLZS" 11.3457205363626 26.8767429901462 59.1572639741164 58.5648433647562 40.5564023033535 21.6563404076341 49.6472639763594 44.9037140219322 31.0704434972939 15.7042811201191 11.5206128140985 10.9279079865404 3.72997692435446 13.6751517866883 7.14033107989457 9.22435705088133 11.225031359409 12.4585984563271 21.3171317797534 12.2492015663947 6.55349668648743 33.1922057330541 12.9306944160377 16.3797218436488 13.0120747492377 16.7885760595103 29.7757495891167 6.87291982307057 7.47844635862991 0.877458838296042 10.253298771524 11.5287398896286 14.7359880672897 16.6592904475645 9.37947356049588 14.2581814262098 9.73577018513016 5.03066233063491 4.10901333156536
"NSLZI" 9.22386586318504 19.8103571630269 45.2976427656508 39.5322714734981 34.3879222336597 18.6565023599611 30.1642084983151 31.0704434972939 30.4570983795204 15.907857595464 10.6517659771271 7.1892448587196 4.44827631042172 10.7415992513486 5.4230272093119 6.28483352417645 9.44765754755672 11.072050337415 17.0580495088578 8.53484422819199 5.20746321769572 21.5193704917003 10.6709941946507 13.4006270156547 6.95851577500323 11.3084508471981 22.1720954192968 6.45868160289249 6.55859768416547 0.46399276106385 8.98105890366643 9.27693676665116 12.9351916914126 14.4264695801421 8.25789494343352 12.0237791105858 9.23556388908054 5.77247960164978 3.62442895122848
"NABR" 4.56781383858571 12.1624731902591 26.3638290501581 22.0368601869686 19.6614348929341 8.45706955561336 13.0948344236086 15.7042811201191 15.907857595464 19.6425903887768 6.13326809404806 3.01846904805811 6.69582728252629 8.46296424977257 4.32814373324793 3.2966647989582 4.67436093293251 6.39918290479172 8.85964636571581 6.24143098916921 2.6284895600015 12.6502535436428 5.88909176948883 8.64846500432475 3.88257229447068 5.7435508466469 14.6182418703137 2.09333969913118 3.36327021015083 0.695698056130624 4.87660088672592 5.04479927417103 7.88183196283349 7.45645106543467 -3.9497353726073 7.55222962561769 4.45844938158814 3.55236754900703 2.05519312862366
