"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 3.02160216461726 3.79100358151664 6.45653709057285 5.52063369333723 4.1004342640178 1.37072996992188 3.51026297985198 4.36343478707206 3.61234783659819 0.0494813112020539 0.763466324731389 1.2651526102529 -0.766666898828086 1.36761201733589 0.897363294315088 0.971569104267223 0.895147568053964 1.05954893205431 1.61361182032321 0.851851897833009 0.286473725477052 3.86779590310522 1.24628793559841 2.59690123255998 0.533468594486192 0.11721427462942 2.20869623393756 0.169662246512864 1.52889539799151 0.454422060341618 1.3116765505036 1.52456879110514 0.916920492013031 1.15581854530744 0.797677428831508 2.95398599485696 0.806035465493504 1.94902589052202 -0.166799294948863
"ISNSL" 3.79100358151664 25.7433148090993 29.5560997265494 34.5947853511603 22.5878818409767 9.37864306033358 14.0062020548285 9.64241977529078 1.23605081883359 0.800942082328581 3.80325706049155 9.22684916631562 -4.49711613984686 4.51448218983567 6.75093663264605 7.28355686014931 5.9596147700788 4.90884227948275 10.2858726169796 8.16543461283623 0.0441795962022367 20.2059422645445 4.24125581845883 10.1945133906456 8.86043786352193 4.3408078745906 17.171982470863 -1.54966177449922 4.26691597707465 4.4193111363295 8.05046935289697 6.5516803747114 8.40957036422308 4.23480426745653 0.60195906740929 6.05731431380469 3.12505601681153 6.71731303809865 0.804157335086538
"ISPNS" 6.45653709057285 29.5560997265494 53.1736947504678 49.7496858069742 34.8028416134764 14.6052850813289 25.7643179321129 21.0867424232726 8.48577093571905 -0.460039733625907 4.47799852163596 10.3299355892275 -9.953763360718 5.1962709592331 13.8995066295085 11.3316029486165 8.20904419300136 5.4183759462164 16.9501180679141 15.5254138154369 0.25873490104588 27.9292188022837 5.6739387184934 16.3776817579538 14.1211040802594 5.11663052209766 28.9782819882928 -7.40921367035968 6.54845725573805 5.92051658880381 10.9243022336424 10.9407439659962 13.3534666922694 6.34085107856538 1.14997655947793 12.1719932480185 1.46006431716584 9.39586348956265 1.15430854707246
"PMZS" 5.52063369333723 34.5947853511603 49.7496858069742 63.1954010746122 40.500096265491 16.0536397062249 35.6409280519453 26.7654238023761 6.68625666001534 -1.96125874264658 4.72712363204927 16.6563046467009 -9.62576937942601 6.56047710674547 12.0849256017927 10.9084542754854 8.29002339301079 6.38231907867175 16.6728330463653 12.5529656181048 0.078371179421251 34.6667407172657 7.40795477564776 18.0905708038112 16.6393125497628 8.66930326436028 27.3448230474475 -0.131297938577424 6.46964499050207 6.40526846347814 12.2219408096396 11.2101517867178 12.5537753404758 6.44747074794377 1.52854368197709 12.596049416554 2.85551556092822 10.3995342959587 1.17749217672818
"PMZI" 4.1004342640178 22.5878818409767 34.8028416134764 40.500096265491 32.8838547506988 11.3309140713515 19.2097660230043 16.6207582226649 10.259225148253 -0.740652086940939 4.48064139975627 11.3671154796624 -7.62447713747459 3.67238950321526 8.15334321495694 7.96734445532904 6.41596644884271 4.63135061931107 11.070801836862 9.21370872562083 0.121367531046253 23.1586877313383 3.78929667120805 15.0126105343081 7.27663687464409 2.01392144778344 19.9123920713262 -1.1382412623663 4.63431063911608 4.59109733071293 8.4397795260616 5.97992706723399 7.83501185922722 3.95148910133912 1.76908966020834 9.05672938211234 3.34980096885437 8.52388271023778 0.479557198396938
"PMMT" 1.37072996992188 9.37864306033358 14.6052850813289 16.0536397062249 11.3309140713515 7.88333779872467 7.39647146058056 5.42186967285312 1.53143076396227 -0.802329027271736 1.39531037381893 4.78677538702204 -2.97966137562403 0.810020260989324 3.29874567013435 2.70530585525118 2.9513141621199 1.96015045689028 4.55482526912892 4.16151065068971 0.0736890565928146 6.84257122701235 1.54472528549123 3.69400768649061 5.08633167376379 1.60911963466863 6.16312209231802 -0.172004217947926 2.68201662142227 2.07875782474193 3.30898885836825 2.90302139486077 3.13654822963624 1.68517138148995 0.0221239562441123 2.78183003657789 1.9081394761787 2.75998109440533 0.179464115139864
"NSLNA" 3.51026297985198 14.0062020548285 25.7643179321129 35.6409280519453 19.2097660230043 7.39647146058056 33.5607421069152 22.7934014705108 5.63397036603733 -2.4505858413638 1.53986434136252 9.75989288086151 -5.15216991312791 3.31943022511892 7.23714597806929 4.35766459557441 3.00420295781133 1.43286839707414 8.68342762292009 5.88405397973456 2.46708410508471 19.0741158920387 5.16978602261386 8.25321635826458 9.71454178175707 8.35491173670097 11.5509402553135 2.28942822023284 3.75245528123597 2.7377492921214 5.27708398164145 7.00170618493401 7.74462622793367 2.41580823697375 -0.22047073516148 8.60507723097069 -0.377716824102787 6.24533917925217 -0.0501530995792189
"NSLZS" 4.36343478707206 9.64241977529078 21.0867424232726 26.7654238023761 16.6207582226649 5.42186967285312 22.7934014705108 20.091199797172 9.30252009232072 -0.485899693592615 1.74258230817328 6.55231883289771 -3.79700103041623 3.71261467618603 5.12678650319573 4.06508158587837 2.72033620386302 2.25512004037181 6.65869544553377 3.87893970212047 0.411873456913951 14.5651402972796 4.04019589819368 8.10052325438465 5.95470256683517 4.97528363086078 8.91185789569793 2.18305500287087 3.05193190916929 1.6732151705716 4.18891944844755 4.97373216588226 4.31666205082545 2.55012745673877 0.625821382092454 7.88956010970642 0.313458552641138 4.46502393103811 0.215306810054314
"NSLZI" 3.61234783659819 1.23605081883359 8.48577093571905 6.68625666001534 10.259225148253 1.53143076396227 5.63397036603733 9.30252009232072 14.0051328063388 2.01098575383306 2.21742056606283 2.32365820320282 -1.19673496626652 2.16784758715374 1.68451923205297 3.15666501215148 2.31541956729657 1.48686681330663 3.01313271287322 1.78681124512752 0.770418213438998 5.46727503023847 3.11306428004821 6.41803076093276 -3.40630509066687 -0.0411708447585517 2.8230612785491 1.14588627112965 1.34677869897814 0.311868100246881 1.61123804017164 -0.0672983997490574 1.00541246215442 0.361871728660593 -1.07917424651073 4.94017530320403 2.39783764503426 4.15752302809309 -0.387274181461494
"NABR" 0.0494813112020539 0.800942082328581 -0.460039733625907 -1.96125874264658 -0.740652086940939 -0.802329027271736 -2.4505858413638 -0.485899693592615 2.01098575383306 10.3116260427179 1.5822828885153 0.111235727480912 4.8764943336942 3.63703442296239 1.87246971242005 2.69577864780678 1.47090277227345 0.511054304484011 1.38974880861207 0.202484814346542 1.34945927610815 0.704205336652408 1.61109688502576 0.218222590878761 -0.0519673449602593 3.98345835224781 -0.594994064917323 1.83114323853669 -0.603532454613612 0.181204230131587 0.593788131890215 -2.53031250202713 2.49402529487282 0.769231367896475 -6.36945605910887 -0.40358729216152 0.35432743418338 -0.457373530181353 0.417936006625834
"NAFM" 0.763466324731389 3.80325706049155 4.47799852163596 4.72712363204927 4.48064139975627 1.39531037381893 1.53986434136252 1.74258230817328 2.21742056606283 1.5822828885153 2.42108233746505 2.65745705663596 0.0593397837120561 1.56821592849931 0.457193788845349 1.75344425606717 1.8541156485688 1.99731744647701 2.13253909193685 0.897242142001971 0.981970329056544 4.73975198566129 0.90361780186293 2.90527905246911 1.01592751271105 0.964286475354131 3.05788128437064 0.323838965369463 1.13974618717113 0.548860259823833 1.89518450928957 0.106664944681223 1.54887671827232 1.22322171389411 -0.205079013422845 1.46817464150151 2.11142862198566 1.99323311746382 -0.0319075209514281
"NAPNS" 1.2651526102529 9.22684916631562 10.3299355892275 16.6563046467009 11.3671154796624 4.78677538702204 9.75989288086151 6.55231883289771 2.32365820320282 0.111235727480912 2.65745705663596 10.7735449875206 -1.52426257611223 2.07018425919048 1.79137542318416 3.96586227013234 4.48154560656233 3.8171178303499 4.98955402635903 1.3079402612426 0.397276675911225 11.4424257998635 3.02252020182033 5.56312111134806 3.88571601158533 3.17964954964606 5.1246311393434 2.36724800942438 2.28165204969125 1.70419125431974 4.04958228273333 1.99204196203359 4.6501413976935 1.50825352416403 1.58517653773597 2.49741178954036 4.65081395191664 3.41280354910554 -0.263301196051853
