"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.928683505869224 1.17539431317172 2.94789236742219 1.63029042921243 1.49621794371975 1.22138366353378 0.549438983727831 0.89048840696406 0.73600273387155 0.740122464118557 0.530640094768628 0.735036934146155 0.550433660959651 0.307294866594808 0.704188810037102 0.229220433236874 0.993600738618296 0.869637616058661 0.248834134174968 0.295257324327548 -0.151008107526286 0.525853449420246 -0.0384779733966234 -0.0852994888888708 1.30747689800342 0.433390155060672 0.990262541729131 0.566370936069671 0.846416199295601 0.315978452124425 0.813543820876171 0.270084163795984 0.11916820174678 0.547908508774624 1.34577925259766 0.28760653297753 0.892848376663953 0.459555172669454 0.2568576668589
"ISNSL" 1.17539431317172 8.04292355596199 7.27285469201361 5.64054165750985 5.17680851035858 3.77889462768587 0.217259362243514 2.24363386064546 2.69176692780792 1.49900334012104 1.66139476297643 2.60330407984369 0.724979105620217 0.378648009340265 1.48355391296929 2.42650286624227 4.44336969476127 2.78237434806319 2.10904364843684 1.56223271453727 -0.256680432733137 0.928425225663219 0.253888183601038 -0.0794163234664192 3.34317954046378 1.85234407306032 2.73823743216687 3.36221481739171 1.86852382987713 -0.64612194367902 1.74664580952438 0.946017886715609 1.3644537797846 0.755126904819527 1.12587217175358 0.608642909916894 2.86671134207968 1.4045437907466 0.566111624999548
"ISPNS" 2.94789236742219 7.27285469201361 18.1428168450719 10.8164506773459 10.5644533907119 8.6406484660787 1.95282423142588 6.32481522471162 4.18225964015068 2.840673001766 3.13320063491985 4.90067442535795 2.4189659701303 0.71321187888287 2.08115244025745 3.19515228967882 8.63675573210392 5.677050184193 1.26191864984582 0.385330994513556 -2.21196975745293 1.39735937496601 -1.33224709656092 -0.977251794518604 6.30459571134752 3.67956286025672 6.3394682456196 5.01231960212701 4.35002735486492 -0.424851008708123 4.04378527069589 2.00056558266982 0.205577578248417 2.75077461492185 5.90844698556173 0.396588909710203 6.27180094275166 1.98707081609586 0.886431697829321
"PMZS" 1.63029042921243 5.64054165750985 10.8164506773459 8.77779398794415 8.04119380253138 5.84177658881071 1.63088609529316 4.49174697020137 2.84596658650338 1.78998955522644 2.11966106880412 2.4575551919759 1.09876486460942 0.352003199993643 0.944585608488542 2.14131217008838 5.69287874232975 3.85782144102419 1.21928327347231 0.413263294506659 -1.40693995996896 0.558331478233782 -1.07297931877245 -0.805661864091754 3.93048629590013 2.63658897359483 3.98700735991445 4.54441688276549 2.96301525175389 -0.546589089180412 2.77368574277738 1.32517512090042 0.606704632006934 1.66777167606421 4.23044299088342 -0.0471159495183575 3.74035824666579 1.45397388421699 0.603587596608191
"PMZI" 1.49621794371975 5.17680851035858 10.5644533907119 8.04119380253138 8.85442762673063 5.64605878422956 1.10494254588658 4.41691996878909 3.59034164439564 1.76044765453191 2.42645708992072 2.51684160560116 1.4487988896615 0.41289470110647 0.484769192254561 1.9156491614712 5.84686067356312 3.69950440240092 0.39570099856438 -0.0551063577237328 -1.39239978484239 -0.0587918320525077 -0.48332207821905 -1.15216779554574 3.29965117842954 2.06913349641106 4.09514980414195 5.17170624731103 2.96337093342723 -0.952901236712852 2.65792714543162 0.916929725755434 -0.0108861575045801 1.52881533750931 4.51346012071861 -0.239941575772503 3.79790644110697 1.24462029609809 0.407895711048942
"PMMT" 1.22138366353378 3.77889462768587 8.6406484660787 5.84177658881071 5.64605878422956 5.34625993983007 0.790303995285327 3.20267908420599 2.11931950871532 1.5055315816804 1.93545730919036 2.34032426267513 0.962196469297027 0.267015959523532 0.848726688252615 1.80820797799514 4.65285659822965 3.3132322697523 1.03689855241604 0.367218318642547 -0.970583885327795 0.84854940206024 -0.584110533577229 -0.110479025075465 3.33013178367539 2.3811338802678 3.13786864703849 3.218447161419 2.26853006065592 -0.399665389368795 2.10457789635626 1.13717986496854 0.454852124629612 1.52032763872468 2.68835249764395 0.761375481591082 3.59439533187371 1.44982011601789 0.240484192865301
"NSLNA" 0.549438983727831 0.217259362243514 1.95282423142588 1.63088609529316 1.10494254588658 0.790303995285327 2.46286193398243 -0.0796911575479481 -0.0353690424146199 0.20543478892097 -0.139841365923705 0.530755378269705 0.209397373665417 0.0930468770213726 0.495256861740388 -0.0698867486900163 -0.115890687463838 0.166428687921623 -0.537389298608161 -0.426296090043116 0.324260364563144 0.488274659659838 0.186229883191423 0.160653532176797 0.522725019332114 0.916380693416341 0.302201816248596 0.0505064840355483 0.258976143773008 0.717571278686699 0.434423551434014 0.632351742790337 -0.257823645511797 0.334800025364767 0.580763934085593 -0.029094703354854 0.166206088634195 0.287913997881175 0.599844553000819
"NSLZS" 0.89048840696406 2.24363386064546 6.32481522471162 4.49174697020137 4.41691996878909 3.20267908420599 -0.0796911575479481 5.52302654990269 2.67239926396658 0.865545461711534 2.26980210336909 1.5683562185199 1.15228106272014 -0.101385473161168 0.534522852185191 1.59593893629633 4.40788247976378 2.53560960769488 1.04488716263299 0.680418570179648 -2.62207450378165 -1.17994190161306 -2.2203431893577 -1.37741867007846 2.73007316728022 1.40915689684008 2.73722062256346 3.93620059778516 1.77390458875724 -1.22820116327965 1.8052231614092 0.50409745435304 0.191864582969797 1.66281733309122 2.6828246612735 -0.115614707595841 2.3266413208821 0.292770250216875 0.403649215456411
"NSLZI" 0.73600273387155 2.69176692780792 4.18225964015068 2.84596658650338 3.59034164439564 2.11931950871532 -0.0353690424146199 2.67239926396658 3.54585070709059 1.58521163857607 1.78841980611694 1.86862824779823 1.23111765800042 0.573424042157518 0.705968149575533 1.153903908778 2.90860578324234 1.97601926914191 1.06659035741855 0.416149621091275 -0.872406926010666 -0.0644924826994334 0.995485067174475 -0.470693150303502 1.52802786200065 1.58635567222663 1.89536830191217 2.53861088762125 1.39641044285436 -0.21840952115276 1.37055916144782 1.06632966132769 0.732281593884383 1.01259544922333 1.912406193713 0.71482903621598 2.23908843933667 0.608457828432075 0.334192149472622
"NABR" 0.740122464118557 1.49900334012104 2.840673001766 1.78998955522644 1.76044765453191 1.5055315816804 0.20543478892097 0.865545461711534 1.58521163857607 6.20452434803686 1.34403309722075 1.43633234794976 3.51985884313752 1.97316638948957 0.862019008874894 0.26623297005746 1.11833296603895 1.46385002833581 0.94962860787039 0.730560404327095 0.468112258612984 1.2487674035793 0.746797304251984 0.203726306354764 1.41766655534174 0.690305180437395 1.10560898277831 0.573088290145189 0.867461332084131 0.692270124885062 0.778917033118171 0.960682362979438 0.432618575018395 1.48582323836708 -0.253471115070987 0.615218647732686 2.78467398285946 0.281896266932813 0.971979580329148
