"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.682239297717215 1.27836020939257 1.88448607238634 1.03632958603849 0.896654265124025 1.12421942150083 0.173340980234052 0.235620184225352 0.627746745233015 1.20449457614521 0.334315676063676 0.794285338467109 0.751608658739349 1.19866837224991 0.798697740360274 0.632740936834147 0.774963997215476 0.674600118610233 0.758426705656296 0.409393725581349 0.290706169118048 1.22831851661405 0.476740220188855 0.424104825221385 0.970564365696161 0.40466866038586 0.443012139968579 0.88935767715046 0.00844987402370055 -0.00526819828642062 0.633738419018479 0.303988785451217 0.768033613101435 0.481715334713945 1.31322245800645 0.774527473826578 0.433179303307195 0.356784244821282 0.195835499733182
"ISNSL" 1.27836020939257 7.09151850256327 6.5758437989217 4.87085110663728 3.76270955907084 3.82348515692507 -0.563678992681365 0.796463162337423 1.93020848236146 3.47559365213408 1.22612068378602 2.6994038919181 1.8311344988656 2.3539846970987 2.52107793186812 1.15353669726864 1.30152588913441 1.34724361498371 2.30304538343259 1.0059401077007 0.763498293175643 3.3833752332354 1.2638996151386 0.500447376885907 2.9103060736009 1.19103447388889 1.3075643521633 2.80166977178385 -0.309141341751637 -0.0277038491605263 2.19163595793572 1.11976088251346 2.36528639433766 0.666579742247338 1.34895231289288 1.61067415442407 0.769743604057184 0.751190301159891 0.308007951635299
"ISPNS" 1.88448607238634 6.5758437989217 8.72470206485217 5.57937237273144 4.67084375033332 4.94069915683258 0.640046505541908 0.914131313239639 2.66267906765249 4.43809600113317 1.32249812611683 3.61055275537492 2.28378831950827 3.78364454794733 3.03792908115374 2.17379696950194 2.70322314439014 2.34251592923117 3.0579921931381 1.28269124724113 1.24737846838105 4.55908918507857 2.12525495205403 0.811760694942373 3.57666958586753 1.90674215314295 1.77313214296682 3.25528563064226 -0.0280601986844573 -0.288536775760575 2.90236522181962 1.46086349414693 3.24899881532206 1.06628601051913 3.65857129325747 2.50438221000676 1.7009662314355 1.67151927159942 0.48264118728861
"PMZS" 1.03632958603849 4.87085110663728 5.57937237273144 5.55095829645205 4.36023974320348 3.76216762979125 0.968743505815838 1.37010091767594 2.19550142737105 3.752690572577 1.06453192571597 2.7609316336748 1.88073226036492 3.02175565438219 2.47284687558173 1.11585875485942 1.77708401342136 1.84329901208834 2.44196601959528 0.346622681183562 0.320771425593473 3.4964206836336 1.33622207419445 0.781076212177643 2.56636302853499 2.11558513717327 1.48370933074269 2.79168859392731 0.514933123644167 0.0563323296968574 2.39107851017225 1.59589002252623 2.37967585295514 0.539118755777751 2.4857976746613 2.15205826810356 1.39580732101139 1.68475052849035 0.156808147066584
"PMZI" 0.896654265124025 3.76270955907084 4.67084375033332 4.36023974320348 4.54114988846888 3.45544119181127 0.712350356863884 1.43594297857217 2.61214179106133 3.37077734821987 1.10306539036623 2.25841918257233 1.7396064799639 2.67322144429867 2.00207431810503 0.920288329611948 1.65759492438872 1.6852381368152 2.01923597838921 0.340338010295256 0.475089077654557 2.91041868342296 1.39341494537106 0.647550700156498 1.84921227948468 1.44973603138983 1.29969178054279 2.74398718551841 0.502546109266476 -0.0868472525567121 2.15611897418567 1.25789951172844 1.92511623113868 0.764441102801856 2.04475085603209 2.32379371278859 1.4235987552148 1.55957565543753 0.1248075613416
"PMMT" 1.12421942150083 3.82348515692507 4.94069915683258 3.76216762979125 3.45544119181127 4.23026893102091 0.630572789383905 0.949236948471436 1.97156731786378 3.07900852988808 0.880905127425392 2.42370608771086 2.00896825657069 2.90943319025887 2.15351092333192 1.32471579123789 1.72842569862617 1.6090898405669 1.92516449528062 0.892434578852413 0.668538140495672 2.84460486153977 1.25852004723036 0.922917037977702 2.28172905696865 1.11553695662225 0.745764824125527 2.76120538832035 0.0438141647600076 -0.155971822430317 1.87791603726647 1.09974390427495 1.90503147715507 0.988590972866688 2.33556872348862 2.24929314886479 1.18212657639175 1.40320682026942 0.52924406977474
"NSLNA" 0.173340980234052 -0.563678992681365 0.640046505541908 0.968743505815838 0.712350356863884 0.630572789383905 2.91597101809362 -0.0923433428531413 0.486138126590099 -0.432570173019104 -0.289823710441773 0.490054577910407 -0.235758021875059 0.361759196482778 0.371647606996387 0.261547324367797 0.51463589268448 0.111521948291658 0.625803610765609 0.165244763300582 0.552777277738702 0.800638780415881 0.806089287419388 0.289881643351493 0.116593468385719 0.863180773774676 0.316394349847385 0.619296081006502 0.272956707881654 -0.25502930067289 0.47654070233552 0.470498157367762 0.594246576032296 -0.0382454086980564 1.32290800745169 -0.364454719974085 0.0363449425483904 0.145094817290236 0.229289200322699
"NSLZS" 0.235620184225352 0.796463162337423 0.914131313239639 1.37010091767594 1.43594297857217 0.949236948471436 -0.0923433428531413 3.13929182505757 1.59497480679231 1.05689858878423 1.24054880354025 0.904250875751139 0.961438339092462 1.17667738005574 0.0051845142972361 -0.331653685408449 0.374109778423096 0.826416844701323 0.837152112861535 -0.844566742711286 -0.87962125722937 0.269631934138271 -1.15934277303043 0.101878906293804 1.46077259335446 0.880238055311877 0.408641291211707 0.904826759931636 0.687182418772367 0.302591698837561 0.790575590475897 -0.444762970211995 0.633231574625035 0.599033092561762 1.3179150936491 1.56485865959715 0.933322957189887 0.747613476563023 -0.0492542807726554
"NSLZI" 0.627746745233015 1.93020848236146 2.66267906765249 2.19550142737105 2.61214179106133 1.97156731786378 0.486138126590099 1.59497480679231 2.3016520914067 1.81799704582406 1.03085332299018 1.46369165932773 1.09999078175897 1.73703053475541 0.772933711332587 0.501128707330449 1.02098182799124 1.13957092765417 1.45217029618167 -0.0159145844600741 0.276769772937931 1.57052361758831 0.88118491326557 0.22697849609309 1.27354373448151 1.07274128652206 0.74620507921795 1.85837173696504 0.159187737302332 -0.153088435752975 1.32138173845166 0.197976317966148 1.36006702471848 0.5780629215418 1.84679203281679 1.46912974256193 1.16013993401186 0.992804610063831 0.273899260074694
"NABR" 1.20449457614521 3.47559365213408 4.43809600113317 3.752690572577 3.37077734821987 3.07900852988808 -0.432570173019104 1.05689858878423 1.81799704582406 8.18321234460764 1.66547750461778 2.73098247764595 4.07552807074202 4.77512891140259 3.60324398409742 1.57446197380732 2.62457642015117 2.24176291598946 2.39690628445244 1.38155856004272 0.69815709792934 4.00946175204742 0.92804845795286 1.5448042457279 2.95995610002528 1.40205331766585 1.67893598584925 2.84208642414623 1.22659724848209 0.425611042335904 2.42678237605531 1.93940555213346 2.6387442525459 1.19652405011633 1.91759135044988 2.87081068867905 1.75091282357222 2.05734862362152 0.0160967011429272
