"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.427024392067926 1.25529931440847 0.923098077149788 0.830713043693742 0.618174391383387 0.817555299814136 0.115344961754497 0.26587553565579 0.678164846040933 0.672851353741068 0.435919776157063 0.591608984732491 0.722234235792232 0.754551390154537 0.19309877504988 0.113032204609488 0.339575200685262 0.136967030091446 0.329025733871834 0.129830136073228 0.332514145600769 0.859196319731043 0.347811107101319 0.589792135116676 0.400884068324582 0.212347045268111 0.10086345018933 0.487376362630784 0.298885034122293 0.199096800886131 0.48117083615905 0.407874824007527 0.343055762416094 0.397307370792452 1.07038701260039 0.23488902408577 0.500716891550673 0.327722408862404 0.105644883345625
"ISNSL" 1.25529931440847 7.20102806844019 5.55201517991036 5.10109970475767 3.98099768596434 2.90268698984554 0.347099323794689 1.18830642147197 2.90818879626123 1.89951909870843 1.65944142646411 2.52408352335031 2.12907795932929 2.12429324905051 1.4211788723925 -0.140584640496136 0.586106038398619 0.214127790839021 0.936774554332623 -0.92232366833583 0.872692183771813 3.28021334160696 1.56033793268707 1.73498300094378 2.29345660590878 2.79302713130902 1.30360775268591 2.24883337808239 1.30182111894533 1.27167233350715 1.90070523536647 1.58084312993025 1.63836654125316 0.526474941648282 2.82648354177387 -0.0153653940529436 1.55488703775486 1.19016943862208 0.274770514364311
"ISPNS" 0.923098077149788 5.55201517991036 6.72942220834276 4.90584213072423 4.4427948168967 2.94892575319733 1.10744304313036 1.79178853733431 3.22198272273777 0.730476543733063 1.54864736995607 3.2275586011527 0.614147945979695 0.92036358191711 0.288313223137351 0.231522316185137 1.53117286979358 1.49874253753842 1.60018021469316 -1.48537097420969 1.00973415200594 3.18944486349921 1.35927663321609 1.65513415054549 2.2481299619823 2.89733783690953 1.93874295596184 1.0518052876517 1.82723259203807 1.43002937766612 2.07400224597524 2.02210008156447 2.10649055847806 0.438539302572773 3.26607856324362 0.565472575020294 2.71765056653955 1.53602220946256 0.178336048695567
"PMZS" 0.830713043693742 5.10109970475767 4.90584213072423 5.10713003935283 3.93454459782359 3.18941486144305 1.6174385627028 1.15961947731357 2.39040653875633 1.05427877217688 1.28460351765863 2.87664042964115 1.56111818653168 1.14065176132509 0.542284121749294 -0.364792452705562 0.442689042920349 0.65320790885512 0.434689817687913 -1.32926722102955 0.744931523154043 2.87581400278984 1.31329822019892 1.78041535162602 2.04147383920092 2.20818447134088 1.11221133441122 1.72269031681252 1.34098292844941 1.24412025483588 1.8452512249729 1.49251059041755 1.60411825817297 0.125596239530883 1.6503063561823 0.344370504184623 1.56126973840996 1.10972648676447 0.0676657593389924
"PMZI" 0.618174391383387 3.98099768596434 4.4427948168967 3.93454459782359 4.24253581495424 2.55855781970776 1.07273957134643 1.25907739293295 3.08990082314199 0.759422000103346 1.16492415421465 2.8773667251721 1.68596955362093 1.62663263834868 0.481108037239253 -0.329686234427256 0.374840089511674 0.808446544959399 0.48454278262047 -1.3840991492607 0.708962616482874 3.04064598947823 1.51994612908052 1.80446970929648 1.27802704710701 1.34397032147902 1.34299703469629 1.10886323652515 1.2292470687192 0.939558096012232 1.70101618566482 1.76517806363925 1.62090702542259 0.38712335289633 2.42665033714875 0.90433901672232 2.19351238479334 1.50475717908059 0.115516972894518
"PMMT" 0.817555299814136 2.90268698984554 2.94892575319733 3.18941486144305 2.55855781970776 3.20646620380706 1.37684695099142 0.789281026214419 1.98123956798563 1.21999861125635 1.18090034923009 2.3993267206759 2.26332309918538 1.68372517825114 0.0606480099057361 -0.322608554117119 0.422615051592685 0.483274354773128 0.3990024910892 -0.819236734938253 0.849435464001557 2.66187833371229 1.19605054222408 2.12971128186756 1.24798949381273 0.867535531803742 0.333944514995493 1.16895811452915 1.01308418935955 0.853828833041743 1.55668003709859 1.67991938701337 1.47052368563743 0.892118054932786 2.04201071237294 1.16075623626286 1.6573624417413 1.20708902667855 0.0591689312857016
"NSLNA" 0.115344961754497 0.347099323794689 1.10744304313036 1.6174385627028 1.07273957134643 1.37684695099142 2.74583918873657 0.657943318185513 0.558771332950011 -0.381328777569139 0.546169255600313 1.77995912237944 0.61132764863433 -0.0543399133857483 -0.16989807024785 -0.244947524264794 -0.00326969348139109 0.518605341892721 -0.428120636951444 -0.871667455684087 0.387128662253735 0.967744091559187 0.221227956693456 0.929079083441787 0.754634003376001 0.601025975541631 0.0892771615379607 0.638057009525213 0.135768587296317 0.298357268451964 0.757968622137148 0.810590741208187 0.529690210688321 -0.81190269689063 0.175457268704999 -0.014915653524353 0.84462611280615 0.523232438179483 0.0121278584067659
"NSLZS" 0.26587553565579 1.18830642147197 1.79178853733431 1.15961947731357 1.25907739293295 0.789281026214419 0.657943318185513 2.01132157441345 1.1754163548137 0.0556960660060884 0.641438630266664 1.04756483623589 -0.0840397837247506 -0.31360442476751 0.22512682383927 0.0776360831549548 0.380348355253445 0.695932972538018 0.00845090181921545 -0.665073813855405 0.0952165406955485 1.02015629848634 -0.592006410815256 0.384340650846525 0.296694804232703 0.467808919281472 0.512612868116072 0.527131571274017 0.608894972882437 0.0322647014311134 0.618513220786339 0.853504892784255 0.336625824886348 0.121132384837089 1.59469658397131 -0.178094694085495 0.793010502315162 0.446717819131502 0.0256572035592203
"NSLZI" 0.678164846040933 2.90818879626123 3.22198272273777 2.39040653875633 3.08990082314199 1.98123956798563 0.558771332950011 1.1754163548137 3.34199144803729 0.928522948792988 1.07682497291236 2.3215445942472 2.01095684876099 2.23856434978834 0.534938801453221 -0.344246801423856 0.439558110994846 0.624215813298071 0.660322652270205 -0.642871756792301 0.615817713908549 2.74994494657045 1.70408660338148 2.08259500574146 0.71656067373701 0.852693059043677 0.971481002627867 0.497836894958794 1.23552506221928 0.615300114774305 1.62674115568363 1.63924117996365 1.35091348729472 0.66169782555666 3.51026702130456 1.37236379645217 2.23397867625201 1.44985727732506 0.0686758330543667
"NABR" 0.672851353741068 1.89951909870843 0.730476543733063 1.05427877217688 0.759422000103346 1.21999861125635 -0.381328777569139 0.0556960660060884 0.928522948792988 5.89994616478616 0.6520969670232 0.93367319533434 3.88986637244593 3.54287774688599 0.887330441214012 0.859040855584431 0.540423744967617 0.126195439521359 -0.0217265639944978 0.417389446265049 0.65703858067969 1.80912840257163 0.543406609677906 1.02949184171323 1.1583004126087 0.32245755051505 0.0860886676037401 0.965259474936997 -0.074987645610773 -0.109560260527529 0.735476146405384 -0.122971954140685 0.259153993541001 0.604666562862475 -1.13555782997959 0.923676765957806 0.446395268529353 -0.113702431019438 -0.841150118304155
