"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.68034140194179 0.816983180861859 1.55258239050206 0.735357632596115 0.745543498807063 0.769604145696391 0.381615765982287 0.500915450186152 0.73314795946159 0.634741120532201 0.453109682991251 0.748310997081058 0.213374020181645 0.863321674622295 0.543324331235342 0.478968532214158 0.474764139959723 0.538478287182231 0.613529106606163 0.256849644213933 0.240040296700699 0.85031953433482 0.303729822360844 0.347799732559352 0.348339312878971 0.348010763253687 0.541235437477391 0.0878127154596264 0.181836748115161 0.0761117975210007 0.293416272160908 0.346181397486799 0.463089369413773 0.752751369433743 0.982452090900354 1.06666274901151 0.158200717126716 0.328304755452327 -0.044500915376306
"ISNSL" 0.816983180861859 3.55467217262507 2.63100610470697 1.99536013922518 2.30210328264749 1.16956357375066 0.334336740650884 1.00903167318611 1.66219695534026 0.749215837960951 0.73975677895069 1.07816945783394 0.835131130011642 1.58924453749501 0.745889957060979 -0.249931277567389 0.255305406819998 0.595432205907193 1.11443666600182 0.266122426035699 0.784829303045391 1.90034390880753 0.332398289948989 0.400899484923051 0.942749285555921 0.0961724429692561 1.54066320878716 0.751257178751052 0.71469964955408 0.308769861658522 0.657634837807739 0.634657309429738 1.27224629052538 1.32737001926468 2.06068470618848 1.91394359173278 0.230160950352422 0.390144387896986 -0.100816379402342
"ISPNS" 1.55258239050206 2.63100610470697 6.18330021154476 3.44946323693332 3.14016788807602 2.28836572551794 1.96677362361072 1.80637369163152 2.5407904124071 2.32283389648288 1.68255511381465 2.83701528622233 1.27893950480026 2.7444517779951 1.0768227740957 1.04585951059255 1.78239169023225 1.8120584859601 1.9934061297057 0.629592863133502 0.687051521660254 2.71181262457705 1.10318104975838 0.828305521140792 1.29701246684073 0.919952733879282 2.25329743691013 -0.598862643737758 1.15246020652648 0.24709218198732 1.01753193257834 1.45924836386557 1.60308286239709 2.59663997367003 3.09176886099745 3.05715674556332 1.09695985142464 0.918907263000856 0.065526444921484
"PMZS" 0.735357632596115 1.99536013922518 3.44946323693332 3.38234351437881 2.70001033727755 1.61558972252241 1.95445863499356 1.48070507287938 1.69562560922252 1.49909773198617 1.06862916065246 1.48259256431934 0.878942201667064 1.68613920244985 0.594981248239854 0.40837755574532 1.05768048559664 1.31659540009385 1.70932524686143 1.01001981312247 0.325306611905864 2.05003382872593 0.758755102153243 0.509752895609496 1.36975884125306 0.234306946045042 1.55860846217881 -0.0450796654103321 1.07508955887695 0.451983317047948 0.805593129226168 0.867808334674882 1.76779059874128 1.99627211347896 2.4553672862013 2.03912554521432 0.918709928701744 0.782830211441558 0.285317686313739
"PMZI" 0.745543498807063 2.30210328264749 3.14016788807602 2.70001033727755 3.41786044664643 1.64189110891904 1.40862508879651 1.32366080905337 2.37009273741319 1.30079354120386 1.24848261660482 1.29190740876677 1.12085891465035 1.82284038488113 0.382907747470267 -0.138624145659514 0.539401022109401 0.990773394052504 1.07196882888978 0.496726492527866 0.834116068910595 1.85275502132391 1.00090420888762 0.298711839604969 0.60031726046613 -0.107810555891729 1.63039970512812 0.509205458781762 0.752511063799313 0.210436424264297 0.6894961304428 0.748261311566333 1.32972239417085 1.8442150132782 2.70878269924416 2.60356957471857 1.17557767538625 0.966176425803193 0.258388232564399
"PMMT" 0.769604145696391 1.16956357375066 2.28836572551794 1.61558972252241 1.64189110891904 2.31221593458676 0.837172353154074 0.930848852858368 1.5199758383777 1.36890583304999 0.846275283633902 1.03881156019928 0.466626343809846 1.22444385889941 0.753564634933705 0.291755094580666 0.585654242176688 1.01366678586076 1.40322658851013 0.733121534857003 0.362586879078254 1.24508944659297 0.788149408316269 0.864376947028142 0.810550406718484 0.530538234874875 0.45593989284715 0.433535667668538 0.435955721694327 0.315436945205121 0.415200806687675 1.08694901452578 1.16101427639858 1.12708060624485 1.79826208189452 1.71046425076738 1.00093691132046 0.57202824381098 0.257622985294616
"NSLNA" 0.381615765982287 0.334336740650884 1.96677362361072 1.95445863499356 1.40862508879651 0.837172353154074 2.97643056834214 0.578748873844343 0.80749341441658 0.594223413358919 0.430479198538045 0.898666420248357 0.0436328965590531 0.840972173534992 0.325765204739827 0.952925454018296 1.11008706085319 0.935557492156295 1.24810434963481 1.26099426271054 0.61700537202786 1.31788634283022 0.77063422388217 0.406003003276673 1.07373852188094 0.295864547385919 0.804206992757643 0.0159816005622329 0.577550585370366 0.083869455766643 0.712128283693491 0.351951555834885 0.828372924240604 1.11806598530171 0.83082563588526 1.11045650599082 0.9410500168075 0.580038878880259 0.349267376784023
"NSLZS" 0.500915450186152 1.00903167318611 1.80637369163152 1.48070507287938 1.32366080905337 0.930848852858368 0.578748873844343 2.22359688425379 1.73155049603284 1.27992555522237 1.29262068713752 0.916949463632216 0.15984029832625 0.687636598851881 0.658896500866075 0.760631145233815 0.815052434397263 0.704537918230596 1.3527286738892 0.744636597056735 -0.139049295574681 0.797549255555645 -0.189670406208169 0.283554200975613 1.22607114530828 0.406321609316018 0.858253345492746 0.204478808833547 0.500351550162492 0.0937000501687869 0.480256454495761 -0.156569084612388 1.16847190391582 0.954746244687206 1.52047613942843 1.04803300106415 0.523215313984534 0.639932150117465 0.0846785119799727
"NSLZI" 0.73314795946159 1.66219695534026 2.5407904124071 1.69562560922252 2.37009273741319 1.5199758383777 0.80749341441658 1.73155049603284 2.90784309520987 1.47809824595333 1.38382516828719 1.21320360594124 0.43680373261885 0.91944992830171 0.695338204576981 0.170559525130192 0.500106935112399 1.04853099578993 1.66575919919609 0.421866100387608 0.457989299201897 1.25107354277264 1.18872753465322 0.270712909325428 0.646843145707015 0.902415493166181 1.36209892641101 0.982102301012777 0.284872777574954 0.269653528211719 0.539596766172951 0.849545795432568 1.25701599331162 1.31724275324484 2.3776217921481 1.86009360187102 1.24694077834692 0.720452074509005 0.0715500664203862
"NABR" 0.634741120532201 0.749215837960951 2.32283389648288 1.49909773198617 1.30079354120386 1.36890583304999 0.594223413358919 1.27992555522237 1.47809824595333 5.91643934526551 1.46202994397399 1.44266103909468 1.69285577399197 2.73651730659839 2.39949906760584 1.65846643486951 1.53240340620474 1.35058650411279 1.8418319826504 1.69535675563523 0.371396464555551 1.70278128980374 0.605784844620899 0.859126237160973 0.677954992398144 0.305093160623173 0.739234307777458 0.21060178021391 0.613620302638827 0.6112496839635 0.833861957867459 1.16493710596196 1.25495401075656 0.934743065035777 1.29996820170872 0.932275303696062 0.829288893803899 1.08527235479972 -0.0348438682018343
