"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 4.75746246552378 6.18924225793915 11.2301403156618 4.74536143576304 5.57077653853418 5.50633339116494 1.25425711225953 2.37218136663699 6.9006688677838 5.0457398661065 1.80925509390234 3.63679810279375 3.54028476905316 6.23549536146625 3.10628229682018 4.14465258499409 4.91192959023313 2.03933473673821 4.24060362267881 1.64916237728282 0.24945934975513 6.35484138402958 6.31438190991655 3.43915845186524 0.22160240062284 4.39892240964749 3.98682214463849 1.08711620976363 2.46078385235016 2.770673331768 3.74337325721456 3.22146984700858 3.33674637740932 7.55926151473414 2.3922362323299 7.12759676733646 1.16905583186187 6.69653645852068 1.38916378498294
"ISNSL" 6.18924225793915 34.6585193629018 28.825447683685 32.8972027991667 24.7549765241678 13.2312020837567 8.70581444863891 4.93452556196321 16.2954042480371 14.7314254460998 3.56332821396762 11.5102004760662 6.15443260680753 13.9475745476422 10.2125862460228 8.53101165812076 10.1449187411025 6.599309716999 15.3194627814286 6.56300526420111 5.3085717023945 25.8096617060022 16.5654636493763 10.9783047456396 10.1139210814036 17.1034933006272 11.8964543984991 11.6462903244318 8.16562333711251 4.88685153200082 10.4576033908591 7.38854723791577 13.6104021378836 14.1682261204403 1.91445508126424 13.5447386926705 7.89579329616859 21.6410134638347 1.71280083728126
"ISPNS" 11.2301403156618 28.825447683685 48.3635599107423 30.6033795995994 26.6457715943068 19.0027111340923 9.41596250189067 9.48681792267832 24.3527706082914 19.6810007154786 4.97151924492973 16.459930427298 10.3197058596395 20.4514023194187 16.5227742151821 13.7225741517292 16.1647862243372 6.70921846243971 20.0951270001508 8.91986651801408 2.92320987746977 29.8918440074978 24.6084540168383 12.8833945431093 9.6849029275741 22.2782584885836 17.7393299996464 6.05007141540347 11.9013383258873 11.4584181887821 14.7873931984002 16.2424264822508 17.7655794480231 20.2869509996191 9.88464001574596 18.7825118917905 6.53906308483521 27.7726922469143 2.93987178414344
"PMZS" 4.74536143576304 32.8972027991667 30.6033795995994 50.965464586635 34.6574536497154 13.6225347700152 22.5823943494321 12.2167935146873 17.753287136763 17.8807373611783 3.26543027699955 14.7626944622202 3.96287404132248 13.9457928883532 12.2352685103826 9.01500674925474 12.2228403289471 7.19167258467525 19.2295903192571 6.42721611546777 7.56941944081279 37.2461612437883 18.757029600817 18.8054994309158 12.17478476289 22.0420628340721 15.5876371701648 17.8555758925853 11.0834359040978 5.80307450833081 15.608463859404 10.8209001477261 18.439660112537 12.3635698046756 5.26965440172065 16.3004402476669 6.62309306994188 25.3566733387553 0.65906311592103
"PMZI" 5.57077653853418 24.7549765241678 26.6457715943068 34.6574536497154 39.4724594907963 14.136691717132 14.7846591553978 9.01447838528245 22.511219964641 13.4242034463566 2.69676409370309 11.6272527141703 4.56012160478276 10.802234699133 9.06239948865979 6.37267027022626 10.1005933931845 5.95794291357593 12.9963080568732 4.39693459612901 6.1260341793737 29.2258249576768 16.8074019838134 19.5634373526512 -2.82957008711098 11.641445622539 12.8027731936589 12.5322358990886 9.64696715413623 5.4278097165094 11.1456710199473 8.50087058040694 12.1502673872327 13.3492255485538 -1.7027454193111 16.7579297906383 2.54326929312389 22.0082003450241 0.25770008110519
"PMMT" 5.50633339116494 13.2312020837567 19.0027111340923 13.6225347700152 14.136691717132 16.1492614910217 3.74629883597773 3.857444942496 11.2725816027717 7.87533693641132 2.50295469353788 5.90486711214931 6.596437163609 10.6030688495519 5.42445207994161 5.70853297200827 8.24708179946488 4.06095711069076 8.03498449074859 3.4458837616077 0.22168009266814 12.0612338858587 10.8649247656739 7.24430312838294 2.26493709577043 6.19609849504788 6.11802771857817 3.912364947548 5.48551502185662 4.65769770811524 6.27539427780643 6.86729812454211 5.59807083904918 12.1877785354394 5.76144999025371 10.6707013688925 5.13497891343505 10.4890741920918 2.16041040786807
"NSLNA" 1.25425711225953 8.70581444863891 9.41596250189067 22.5823943494321 14.7846591553978 3.74629883597773 31.5823442394161 5.70336677533006 4.61688001974549 -2.28853445675376 0.142779342314564 16.7216704116684 -1.31953862924217 6.19449594319869 3.9176994163251 8.02740102709516 7.08803814381976 2.70331887440709 7.0477485133166 4.57466878837136 6.4698708779398 15.4879151471893 5.44285936935506 8.37747543175835 0.410270603358688 8.72038899269751 7.84961304141032 5.18519384843243 3.72908125850519 3.49253246891615 6.40971156487724 3.01659320803839 6.85487942159566 1.12428482735798 -1.63390312722113 5.69021272155163 -1.57203358438367 10.0758441451463 1.94949480536836
"NSLZS" 2.37218136663699 4.93452556196321 9.48681792267832 12.2167935146873 9.01447838528245 3.857444942496 5.70336677533006 8.08708403751539 7.63585999305777 5.02034985926411 2.81547928640928 3.7663755420686 1.83878793854261 4.52212649670308 3.97249814328348 3.21743138907038 4.01972404448969 2.39675842941245 6.81621028378064 2.30166078810194 0.104568101958423 10.7922243503476 5.40891640941711 5.796303310344 3.89215076057838 7.00982808437113 5.58933170408654 4.5119736565952 2.54935149414418 1.99916435299384 5.92299517936873 4.55190157329361 6.50824889962547 6.20241246547584 2.32919990021313 6.86908291218736 0.72457515190785 6.72040786620193 1.24757577427512
"NSLZI" 6.9006688677838 16.2954042480371 24.3527706082914 17.753287136763 22.511219964641 11.2725816027717 4.61688001974549 7.63585999305777 26.2738962044269 12.9668024031036 5.86467126811307 12.0099177601829 8.21368333505819 14.256368190367 11.5762050168219 6.59355716485706 10.1018813824585 5.70555281689747 16.8443542677395 4.96904218776611 4.0394857777389 23.852345516931 23.3891365899185 12.7719592972492 3.26981155573275 18.9467693862648 10.6698175194057 7.63321810752961 9.16410967549681 7.5460222935183 11.9186407199502 10.9078646978445 15.8340696160663 16.1612347144302 5.96429502294626 15.3631652427544 6.20201415714851 22.6071733782808 1.97986053923177
"NABR" 5.0457398661065 14.7314254460998 19.6810007154786 17.8807373611783 13.4242034463566 7.87533693641132 -2.28853445675376 5.02034985926411 12.9668024031036 42.1077527512157 2.82911237249414 5.27070038333672 19.3477443214573 22.4467828022705 9.87099400800941 5.2121493202527 9.86347779287981 6.93039873571799 13.6368179816268 1.87171877872712 4.24516402578731 21.9143966347681 13.6184422482526 13.877360914129 10.1731145362878 17.6572332318693 5.82378964091727 10.2140038495265 8.54630917872721 4.65584332076694 11.9458969259604 7.80734292924872 14.0466982532684 13.2365577847904 -3.92249448794905 15.9669844035658 8.13502228886992 18.1017307885818 -2.49046626063317
