"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.288520925578866 0.352446591313673 0.309320256898194 0.138474082114954 0.094418400772587 0.305690336016318 -0.089777256704896 0.239250913151258 0.286214731443734 0.348361984588227 0.164258336154315 0.128234803886349 0.161975372447957 0.169442743790384 0.169066801783113 -0.114289038200452 -0.071036878080952 0.0237149697802434 0.147618820633113 -0.101451555286962 0.0154029929269374 0.251876415911281 0.0679081806323851 0.255556857575802 -0.00303919280687688 0.183558774095586 0.00423394373053203 0.156475165110466 0.0651571148983223 0.167875539531107 0.157386448431909 0.321101525152021 0.139395585028156 0.060412977974168 -0.135308702501238 0.0556257013300818 0.139184994880093 0.00642857230551374 0.00620674541664266
"ISNSL" 0.352446591313673 2.50373131211905 1.15668512375613 1.13648509302398 0.924846376423516 0.48696474254811 -0.244013928817572 0.80151636219872 1.34280633281856 0.454301589213127 0.665516174790183 0.228041827759339 0.0718651520441437 -0.155977878782568 0.43614852241357 -0.0757229979118568 -0.0477418725793951 0.010388670207187 0.194454298829408 -0.340138806097249 0.326577731345878 0.689805100388229 0.504259526864326 0.337472972748759 -0.200481511132255 0.610009311172844 0.321027579679128 0.294289444336426 0.25435222427459 -0.263209226766235 0.225661844665631 0.789128322209984 0.336886173179727 -0.246711199076247 -0.766552751676379 -0.719615945686808 0.301422541244811 -0.128838372282653 0.368224553485648
"ISPNS" 0.309320256898194 1.15668512375613 1.74562490131828 0.845268388563094 0.766904433207108 0.662815541385166 0.269597672936663 0.414261929308064 0.751155299341412 0.365217217673665 0.562586546447943 0.357099044205342 0.0816584964656345 0.13662253489996 0.472540729344924 0.0417170391139965 0.270761892692555 0.34792350335904 0.529266563408773 0.194688296459413 0.031460676521131 0.468637479756383 0.531329438562508 0.154914018548765 0.336015607142907 0.848906691358586 0.493172661913182 0.0230979775247945 0.32993770287126 0.308527208423199 0.313021606017032 0.766726479418298 0.332610976817339 0.11430628118663 -0.448602511558377 0.147529005975791 0.707781608575898 0.28431459029854 0.274669105085985
"PMZS" 0.138474082114954 1.13648509302398 0.845268388563094 1.85908190822398 0.768324685823342 0.62528073218678 0.359553744906126 1.05492738228459 0.470581492632359 -0.106946454124245 0.711235058110526 0.0836869313176433 -0.123074963008313 -0.0637526249960602 0.478994187017373 0.149133724775809 0.426346226931418 0.323512275255077 0.501786462060198 0.137556171370318 -0.693562199377756 0.257608357185637 -0.011122169031554 0.143359213281016 0.269055909306593 0.685489850137957 0.387823166271766 0.501783649751333 0.434797502257637 0.027000097276033 0.412463654039479 0.871544139462053 0.553720774335855 0.269712472046852 -0.424311515997181 0.266319733722138 0.363249795030822 -0.120706348600143 0.0910508507889202
"PMZI" 0.094418400772587 0.924846376423516 0.766904433207108 0.768324685823342 1.70605058397888 0.520491366063031 0.0638982624531928 0.365593096623504 1.55415320561397 0.0899782482530069 0.610261137048066 0.0511428804382976 -0.0911535350655412 0.0600403561019945 0.428560888803685 -0.130512784813481 -0.0836288193991542 0.26848528570074 0.445191365065975 0.280692088345021 0.276995018098383 0.312959024375725 1.00541977535136 0.160701143091925 -0.317673465350297 0.414763419641388 0.396618930251722 0.369039398827496 0.2069234072766 0.341520095080177 0.141435241783552 0.470894862840354 0.264532604259535 -0.287020955573903 -0.10549656190856 0.0732931039651414 0.460405479334258 0.015166097580526 0.318817123091878
"PMMT" 0.305690336016318 0.48696474254811 0.662815541385166 0.62528073218678 0.520491366063031 1.1044221859953 0.322306394289963 0.468907758790143 0.458803114798275 -0.094553929647474 0.409441704998749 0.0338378158560505 -0.0605019362765908 0.0279593449964965 0.426415952598933 -0.228745861465339 0.0292274571630773 0.127332025425487 0.39837428322186 -0.0699168127628663 0.0353152077345107 0.356716654189732 0.214126078418075 0.33808984912159 0.0699076569626345 0.61494421477085 0.260686333357885 0.687076368006585 0.29936300858616 0.173428977452392 0.297368607763894 0.704231219269405 0.441041158793934 -0.0209384810897753 0.0588158492205888 0.456235339573434 0.307928110024305 0.0975806756237328 -0.233976811325378
"NSLNA" -0.089777256704896 -0.244013928817572 0.269597672936663 0.359553744906126 0.0638982624531928 0.322306394289963 1.6704221529575 0.243381486889802 -0.0105167492579387 -1.04930774347448 -0.0529775587297736 0.505634266437298 -0.227864909656708 0.266648661702288 0.195247678818498 0.648509662469426 0.869245399336877 0.464465200486148 0.609601260963898 0.660395879627782 -0.138568518746887 0.0268308412164806 -0.0913995891604128 0.0258939396494702 0.550287644002728 0.647882500946154 0.289984777522677 0.205974770583594 0.278669108482419 -0.0564967555265562 0.196299085813073 -0.125875598965606 0.17171578982715 0.348348766364993 0.30658955801167 0.587009916844786 0.288294386780828 0.0219375620521786 -0.104127137865784
"NSLZS" 0.239250913151258 0.80151636219872 0.414261929308064 1.05492738228459 0.365593096623504 0.468907758790143 0.243381486889802 1.62943050783685 0.957970540281583 0.122727791257483 0.676000804366785 0.354295831765763 0.287579894383409 0.0607167559511525 0.372192207381568 -0.0470945940038704 0.138857909622282 -0.156267255959449 0.281728607234731 0.14008289845536 -0.355947534826588 0.264956524785108 -0.385141266788481 0.261497792795569 -0.149027674449866 0.602142283487409 0.0492914739527477 0.5558312815173 0.231567585495349 0.0063082906144861 0.313638514624551 1.03825293197976 0.278972280217944 0.501476448110948 -0.315594560104631 0.241437250800708 0.204115156277617 -0.190776294111117 0.187653389542589
"NSLZI" 0.286214731443734 1.34280633281856 0.751155299341412 0.470581492632359 1.55415320561397 0.458803114798275 -0.0105167492579387 0.957970540281583 2.56943123800219 0.63618933028612 0.662101902854127 0.417961501049074 0.406678100879285 0.285676231292752 0.547552658050459 -0.196963975001566 -0.171153347962949 0.141128894236821 0.562445788390116 0.31371856412504 0.48727171982929 0.676415479908909 1.21230437309503 0.494773938955134 -0.66049003637088 0.776744623601639 0.370234551709489 0.322251555847667 0.242895879365959 0.212210339707159 0.245834976701582 0.875277214516089 0.247782601667636 -0.0787495286966088 -0.157287922499573 -0.154629481433762 0.614234007209383 0.0231841612248848 0.489748093506903
"NABR" 0.348361984588227 0.454301589213127 0.365217217673665 -0.106946454124245 0.0899782482530069 -0.094553929647474 -1.04930774347448 0.122727791257483 0.63618933028612 4.05848124225632 0.241944444846118 0.712459875678816 1.63209256249202 1.19883607997172 0.503442197510848 0.0728837609790078 -0.436590907447481 -0.0736932134553151 0.620388225361533 -0.206315744848624 0.372281283954166 1.0219715632113 0.401633803190466 0.912896179236095 -0.186941139704181 -0.0222848175584045 -0.138964143488517 -0.580327602814564 -0.300296306333334 0.308406322243925 0.25932523570089 0.674791369650666 0.352388494468414 0.379491737701668 -1.47224173995615 -0.801654274971529 -0.0483189791629187 0.465215344205491 0.890777379794222
