"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.30113962149595 0.41207131871788 0.35639456462511 0.145443064355512 0.0878912659067317 0.312751643375937 -0.0657253846659781 0.240317138551083 0.288891300191636 0.358399335179134 0.0972685924406979 0.153173512949162 0.147238971244194 0.173698847347438 0.247127010655312 -0.0651295515422996 -0.0191257554590615 0.00864027240991827 0.150670484348975 -0.11869525143332 0.0404332752291126 0.307399818509281 0.0522310078756429 0.259036586252945 0.05197811313872 0.16741613299169 0.00706260335505785 0.198878866760786 0.0515534497813268 0.135558992456527 0.110952927503982 0.257651872416615 0.144368984412807 0.0455824418042685 -0.0923296340202371 -0.0512129554044022 0.113783765245266 0.0330978371489073 0.0830979420525526
"ISNSL" 0.41207131871788 2.60337753314291 1.28613636448289 1.03521968139399 0.806363453892827 0.546470857104771 -0.249646220515249 0.847128224852241 1.29629212750811 0.622872610941101 0.471330715900292 0.385043233935701 0.281234513585541 -0.0396942769568714 0.726078567067876 -0.137272035465432 -0.070617428244235 -0.136669986815157 0.117439769141683 -0.338671919955624 0.431349696844717 0.964118004618041 0.336007097329712 0.521705735592039 -0.0476412864534609 0.439753742182262 0.299256769442437 0.440194896873476 0.249610018184947 -0.173740117537204 0.202139542895597 0.859241993289544 0.193709280768844 -0.149840694812491 -0.799169257808679 -0.949246424357375 0.216239450775712 -0.128658160897889 0.481531525678299
"ISPNS" 0.35639456462511 1.28613636448289 1.93661000457121 0.879187778040279 0.76397816649273 0.745915979673082 0.213980283031046 0.548703636306462 0.810191719628672 0.425747882837338 0.324631013195753 0.447029767536545 0.239382722316678 0.284186831840223 0.852761132900387 -0.0243241596704772 0.155289469991501 0.0188276964343255 0.44351190664201 0.0272235328178498 -0.0205177212166468 0.6287774191471 0.376337680014813 0.28593343075207 0.277135363428718 0.869480705727065 0.455777297669513 0.0567337850867231 0.342176783098834 0.272299220310882 0.305806775726022 0.899976630567815 0.358555902216654 0.0111776225088235 -0.540987865425862 -0.306266009082307 0.493506294590629 0.304042368002744 0.407189857636795
"PMZS" 0.145443064355512 1.03521968139399 0.879187778040279 1.8835748056244 0.76621022627417 0.6514000692453 0.35088312943463 1.2356406252373 0.554530939410341 -0.0561738732001769 0.626719654336765 0.149505054726123 -0.161677890725123 -0.0808870315667931 0.54275088992683 0.142191988949145 0.358482761819265 0.200988489611967 0.499354208751624 0.228921376957685 -0.765631852228621 0.269120225425927 -0.0876976649560365 0.267155782198205 0.207458553695574 0.734137666409764 0.347079418341166 0.540875360594318 0.378828558003162 -0.103050655624994 0.317420239330404 0.843812142153077 0.441456343710342 0.228568791880015 -0.426182589933247 0.328561291291488 0.339942769838378 0.0427778976964731 0.036367057095707
"PMZI" 0.0878912659067317 0.806363453892827 0.76397816649273 0.76621022627417 1.64143506983495 0.543564065816969 0.150008679890651 0.396206302976098 1.51706237005717 0.0233352828565603 0.555316422311799 0.0480131750230083 -0.0614668366797644 0.0445152854760307 0.31625659529826 -0.145619758249165 -0.0596028215118474 0.170755016651104 0.456981485843462 0.217106412241368 0.103955144455331 0.165603833510001 0.954252514467739 0.233889357610725 -0.355576501645655 0.488714133727863 0.361875144657898 0.323624891851401 0.209595356373677 0.2335494007154 0.131964929275531 0.300576876996284 0.306060967984784 -0.229673967394619 -0.311375089225822 0.0603729910759293 0.371505302505189 0.0775624166055813 0.233016356492417
"PMMT" 0.312751643375937 0.546470857104771 0.745915979673082 0.6514000692453 0.543564065816969 1.06211695751314 0.307349865764316 0.510025086499216 0.508414605372321 0.0260750818851465 0.303570224908836 0.0683060496982481 0.00151963052373298 0.0368634120979281 0.461082887742599 -0.218925839489559 0.0191386168600429 0.0149181182202158 0.357655302171821 -0.121323153367544 -0.03854797718336 0.342977556765611 0.169402135976541 0.398661430210743 0.00869123128105574 0.557787621370556 0.230854135333266 0.646091980152909 0.262952138436738 0.111833281580119 0.248979861087649 0.591341269920202 0.412603189852742 -0.0552572226224464 -0.192513284918886 0.269741160698359 0.195426642123553 0.151811414783414 -0.163093665991815
"NSLNA" -0.0657253846659781 -0.249646220515249 0.213980283031046 0.35088312943463 0.150008679890651 0.307349865764316 1.54443479161411 0.191799105386213 0.0293418762173566 -0.952906868104711 -0.0484496951224835 0.405623623842269 -0.283644405465467 0.197718029943887 0.145592871905579 0.675939693297586 0.854659414464993 0.403587282085695 0.600489271071112 0.599218331931974 -0.155798932129847 -0.0281989002118477 -0.0302820873884692 0.0476843365683476 0.376319903416996 0.535514746882467 0.24829474497165 0.250618572017434 0.221498510569567 -0.130455610113566 0.162788437073986 -0.158364941481425 0.212694543065641 0.290154690282836 0.254086616769892 0.604934542509108 0.221906566703597 0.0848390185165888 -0.170986708192527
"NSLZS" 0.240317138551083 0.847128224852241 0.548703636306462 1.2356406252373 0.396206302976098 0.510025086499216 0.191799105386213 1.81386906158106 1.01446771744133 0.148431006709364 0.624599889385162 0.439360257085645 0.218287732586528 0.0434921110189674 0.521076742709393 -0.0749301261777919 0.0756267203524987 -0.198231118109581 0.304504448500827 0.265274277315198 -0.453382754264769 0.372185753060002 -0.421536285785167 0.401709090748599 -0.0310822397480682 0.72168636417845 0.0738965089107412 0.605834854492146 0.225407017500803 -0.0959131906429602 0.22328739693161 1.04101987243351 0.152974954674328 0.47936464403651 -0.227042766419794 0.274392482389251 0.271244057624522 -0.0433868647396489 0.177786825716782
"NSLZI" 0.288891300191636 1.29629212750811 0.810191719628672 0.554530939410341 1.51706237005717 0.508414605372321 0.0293418762173566 1.01446771744133 2.52023156105853 0.514518022495466 0.647081569158116 0.439548954595381 0.400195828915318 0.264353828780362 0.488423220129902 -0.268292067911354 -0.162997565274393 0.0994831088717529 0.577384869038324 0.275157532576204 0.298133929286935 0.582196243692391 1.1916818341134 0.556553946153901 -0.44031657580819 0.940854932603675 0.364955466957293 0.328810034211368 0.256933740492988 0.157905079982218 0.192121285853224 0.565291985109871 0.243179585973596 -0.0106533861994455 -0.20168132423034 -0.215654142732237 0.62176170468474 0.0517067673824158 0.48599374654418
"NABR" 0.358399335179134 0.622872610941101 0.425747882837338 -0.0561738732001769 0.0233352828565603 0.0260750818851465 -0.952906868104711 0.148431006709364 0.514518022495466 4.15441577675195 0.103094387593672 0.664588357775999 1.68902088275805 1.05093285864941 0.357275878773603 0.00673709322977845 -0.408485295125739 -0.00706041881643191 0.346586315014566 -0.0338737942173995 0.501109397134022 1.0587890941329 0.230347442886988 0.786216216909323 -0.144408155873418 -0.423869870765585 -0.17410173712325 -0.427550116730189 -0.356089330221178 0.288619101086239 0.155046666987555 0.335536829159407 -0.0917381684743234 -0.00390665297068255 -1.7503002281693 -0.987825343321929 0.0303101573928975 0.517309020970445 0.814813216785001
