"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.287519183482688 0.210202722255886 0.384008176093179 0.171631276909401 0.17415899971034 0.224670549541535 -0.0588661277090353 0.177785271435289 0.216121474894138 0.144370544990955 0.128054795055094 0.0744342003017932 0.177172356913181 0.198798633330402 0.117285539973308 0.0417939638649868 0.128163876402923 0.143377145629915 0.0819794569900718 -0.0383038077638747 -0.0937414099149584 0.0725858495997058 0.0861860023229208 0.0701171536921328 0.140185610928369 0.0981685612294782 0.15078948870641 0.115686702339272 0.12120057597538 0.165110471947788 0.186343319250169 0.16683497275351 0.131935152927491 0.0851893702558466 0.450796883746048 0.17451169644998 0.264173361827653 0.178938794142216 0.0443297532546532
"ISNSL" 0.210202722255886 2.00434030743783 1.14636680529004 1.30826691866521 0.690824575939921 0.621048213591269 -0.0863369202622585 0.797891397297265 0.767598143187651 0.216061786587945 0.146689607908117 0.280603576432368 -0.0832956786111279 -0.161762764857842 0.515770301056439 -0.311445728423027 -0.140087617219869 0.161503090542783 0.336296028115453 -0.0433968981495022 -0.314786577479275 0.237309783838707 0.0230331249779231 0.0815667091193573 0.286838504530437 0.568920298610041 0.41944352110799 0.224096170983899 0.426116567597003 0.449276998603964 0.494488503308023 0.825697672064136 0.556899711353274 0.0440502265449332 -0.465820189596029 0.0413480895443044 0.185816247497176 0.359600398208148 0.0119784844704157
"ISPNS" 0.384008176093179 1.14636680529004 2.53878303423264 1.14905769626697 0.75554539747365 0.971958793996394 0.115428469165183 0.426614013827949 0.644252134475179 0.32728444425808 0.154035868194057 0.803259632032374 0.09581217942075 0.252010649894176 0.83286247161738 0.0839038784466686 0.384708041545046 0.276982247082896 0.498479697877673 0.151433185649227 -0.126084618185303 0.41667037371992 0.316239652480277 0.165976199278435 0.547398839319495 0.937004804064051 0.393899652449539 -0.402950839831156 0.748585091755802 0.578264339714656 0.631681725878944 1.16427132595018 0.589305827928816 -0.0841708256697068 0.0553108053877461 0.181879251583459 0.519041445598293 0.440066247175774 -0.0300523683376515
"PMZS" 0.171631276909401 1.30826691866521 1.14905769626697 2.29696592509454 1.05952385752324 0.803261174368105 0.205722420395602 1.57005852998188 0.544998980269507 0.801956421153357 0.138159020791252 0.237566782468837 0.000657014678452768 0.140754228790241 0.605974357284806 -0.0592393459976132 0.155150382246925 0.343983883092176 0.404058327974448 -0.178332673565983 -1.16977113677293 0.0670966495603371 -0.658179613628988 -0.0899181813387254 0.0165933546826043 0.350966047699515 0.501551352350011 0.269270579796637 0.63502880713051 0.472006461547587 0.653456485031517 0.989989364080176 0.789446652727879 -0.178872004752358 -0.665785865249985 0.00175186348543625 0.168630521801828 0.419594537844888 -0.170610649811667
"PMZI" 0.17415899971034 0.690824575939921 0.75554539747365 1.05952385752324 2.47747348156025 0.387151109214838 0.321262630360037 0.785052696690625 1.69598466684796 0.789067205061009 0.384780232468758 0.381415214157135 0.123983548047915 0.252295297840673 0.814657180181403 0.108397503694831 0.0563781433577062 -0.0237405873821055 0.181595785607535 -0.257649918876533 -0.199585657731222 0.336869557400884 1.27522789905618 0.296523091346763 -0.339120956177734 0.144681993731268 0.511021396156009 0.195830385771148 0.336089091715698 0.29339087760664 0.735072837524479 0.431149336411445 0.472089623367502 -0.260514059262183 -0.190448368352312 -0.174946783634374 0.111703038941649 0.468173435268181 0.0966072447299215
"PMMT" 0.224670549541535 0.621048213591269 0.971958793996394 0.803261174368105 0.387151109214838 1.11788532675195 0.0370260999202768 0.335045208747137 0.238734088742893 0.164850310487604 0.00789065862728842 0.134170286937123 0.204943113044658 0.294314854469339 0.03977516821003 0.296267801913274 0.431790924560964 0.414508376202382 0.188790911263516 0.0611122496973015 -0.216002028493253 0.223312705997065 -0.0383229094906786 0.291589686066396 0.2376468997041 0.579127503620375 0.29329698502635 0.305495161902895 0.254254851600682 0.199028126542694 0.345287071217308 0.676811951105489 0.331722160314567 -0.0569842155659796 0.306331648338129 0.260575510545227 0.472240334585822 0.414907183919414 0.0122002543563987
"NSLNA" -0.0588661277090353 -0.0863369202622585 0.115428469165183 0.205722420395602 0.321262630360037 0.0370260999202768 1.41163101542757 0.0094720515397115 0.0986113762385824 -0.740335344168784 0.021829882994511 0.369879910621659 -0.314899826690463 -0.293550351844415 0.00448423862801051 0.0435952209448849 0.0356496124515865 0.0776633071008467 0.170951695194488 0.32728569015515 0.227695783869063 0.0939394802561286 0.180631767109445 -0.031230218565699 0.0564714142342541 0.41486602028768 0.0462593777293791 0.016899436328742 0.0533654502091321 -0.182861466418181 0.0339810807353755 -0.159691142581654 -0.000228811062601425 -0.0180428921597404 -0.589244493578919 0.152998595075619 -0.131275156793449 -0.144632176437531 -0.134638713734692
"NSLZS" 0.177785271435289 0.797891397297265 0.426614013827949 1.57005852998188 0.785052696690625 0.335045208747137 0.0094720515397115 2.13760952464579 0.729067194961322 0.824342845232145 0.333997292959214 0.299704323645774 0.176523179166468 0.202214306245998 0.674014651448949 -0.0769766307827969 -0.0191298846811717 0.10766065116506 0.171845513568357 -0.459287116303877 -1.33855173103716 -0.157302656673478 -1.0444336046592 -0.0492751390179275 0.116823279975502 -0.239845031268038 0.338791383260468 0.274167057895533 0.353592837084061 0.360034435723342 0.542534084725751 0.419294051787579 0.491501336759908 -0.189576920573733 -0.52165530074975 -0.136221058874009 -0.0879647345370214 0.450059433774599 -0.0265388339532047
"NSLZI" 0.216121474894138 0.767598143187651 0.644252134475179 0.544998980269507 1.69598466684796 0.238734088742893 0.0986113762385824 0.729067194961322 2.02481149269312 0.624287152015679 0.601306757043557 0.634541938664287 0.328366282341305 0.425007315457612 0.737431849597189 -0.0437060074199497 -0.0143626311868804 0.0478649352935385 0.489509874115491 -0.0971926984913626 0.00773012873175541 0.402741735900345 1.46921223169949 0.334332680809306 0.250609825158019 0.52192365780856 0.450321664054703 0.25100548267301 0.249321493482307 0.338868979484403 0.694181967101689 0.274526886936317 0.512986332602965 0.335730732203844 0.293444394368788 0.448518459251931 0.333345180534923 0.424325676862884 0.169151405859317
"NABR" 0.144370544990955 0.216061786587945 0.32728444425808 0.801956421153357 0.789067205061009 0.164850310487604 -0.740335344168784 0.824342845232145 0.624287152015679 6.75429798957715 0.46256969328376 0.324460947389358 3.12128502265469 2.32815845265799 0.899535403345127 0.644374019928039 0.754122316524811 0.822536364980608 0.806388028894439 0.122314066603609 -0.212376437331365 0.690710184847973 -0.244758030876424 0.27690239666848 0.207827297245976 -0.0401682721078463 0.611826710561804 0.778598530376541 0.0740120208688566 0.434280361423879 0.795611702637846 0.861612174298579 0.680232533355949 -0.0377562137368675 -1.61138811928242 -0.40220825803844 1.28333071475187 0.859971056742133 0.586079953744353
