"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.226582810273556 0.0600218829194378 0.215747988445738 0.203515570873965 0.0287674590876039 0.183427792103433 -0.0174937736697375 0.286124584283491 0.0532347469205974 0.151915691704787 -0.121315725766295 -0.0138218796698469 0.0496344940341696 0.0506507401346381 0.144343544049501 0.223260847849786 0.244481672555437 0.139067111761375 -0.00285295168545119 -0.121058378839189 -0.27702117303046 0.0296002663530074 -0.141788872180523 0.0183207598643909 0.0675199723571723 0.0403501826301673 0.0709680335536231 0.148034031513991 0.0694480660681958 0.0693369067517623 0.0952183444678767 0.197680635038126 0.105047016965088 -0.120861557908402 -0.0248164795611819 0.0340753277628042 0.168756857572591 0.0256678892990217 -0.0395547618117509
"ISNSL" 0.0600218829194378 1.07100186627275 0.384182883030513 0.752509571910197 0.507950964702679 0.379560974610687 -0.100984712178485 0.647910788861064 0.495277708830635 0.197797969137536 -0.000508067530979776 0.224249745701784 0.0609973271307371 0.0832649591304616 0.195394398369559 0.210306899278658 0.302667242710036 0.251184841462003 -0.0531912468597834 -0.0360637476928654 -0.148264080464735 0.301386143156406 -0.155730249743377 0.0968045699019104 0.102215467180402 -0.0563902151755028 0.224177726649445 0.190313962887907 0.147229624721972 0.0164175396419895 0.489633736925136 0.197892921993549 0.197727373996092 0.185368515965862 0.0337444749429192 -0.000369013307820809 0.306596695832146 0.137014957019128 0.137720473304948
"ISPNS" 0.215747988445738 0.384182883030513 1.25675894121455 0.448136360869935 0.144740097685329 0.584781459461292 0.0195855431220496 0.351511222494597 0.378494908550582 0.745028273749614 0.0244229914674852 0.614534755560858 0.48553313588622 0.330364044431038 0.336870352488769 0.341502013268464 0.457256896626054 0.234028005961374 0.317914534306871 -0.16074697735468 -0.191866813540725 0.247982616844994 0.0570582799815849 0.151502600656427 0.639921617923501 0.468100881976234 0.0352545149207045 -0.0753116566039846 0.112539922263203 0.0699906751031223 0.27514114170735 0.439930643303586 0.438719658835148 0.477689309509204 0.443582656207345 0.284287307180832 0.415891539589027 -0.169379488694646 0.0854722402905946
"PMZS" 0.203515570873965 0.752509571910197 0.448136360869935 1.72509199163839 1.05799134425987 0.662434987881474 0.544024946162395 1.77369957027101 0.759380820962589 0.210506465409399 -0.227702838985004 0.284377261314255 -0.00878625657530678 0.00651371718770079 0.747639808543529 0.306950626907313 0.315676080277259 0.200854012270467 0.0363884026447174 -0.460782927803607 -1.16977175384327 0.329649790076388 -0.653339335702154 0.0487439994190439 0.206894286972748 0.0593131599711544 0.537930019079372 0.608163561064565 0.263621798819393 0.0346683140574263 0.746240008238228 0.237056087033994 0.528265286551017 -0.134346463513367 -0.384024355165352 0.0923132622698193 0.0731975978645186 0.0990178218960894 -0.122280772686837
"PMZI" 0.0287674590876039 0.507950964702679 0.144740097685329 1.05799134425987 1.28343214736756 0.415640392610761 0.481274387256613 0.994387091445484 0.904953738631726 -0.0209273344611693 0.0323893586602279 0.24290113952555 0.08855680854678 0.0937826962257789 0.332910562648603 0.260745302822072 0.312816686449935 0.168890614625476 0.0380249584361423 -0.180978557948656 -0.476858400879628 0.397438051508279 0.0078202884263585 0.0263013535378159 -0.37048142025741 -0.192694025583488 0.501670881963284 0.265513426012542 0.221103283053719 -0.0519989070588614 0.514198225264313 0.114379542608625 0.223347293944722 -0.115187242999631 0.210912301059383 -0.0794657628842898 0.115473477686995 0.139213625960256 0.0209417006951069
"PMMT" 0.183427792103433 0.379560974610687 0.584781459461292 0.662434987881474 0.415640392610761 0.953832637294222 0.179015933089946 0.683441696590369 0.294261305983357 0.255963174688621 -0.203268371410842 0.246600415406946 0.254814205233996 0.100168628337614 0.342933429010761 0.449639940216605 0.413750643145492 0.1838982675939 -0.0463601927914109 -0.0562209299587371 -0.393127398059944 0.363505196907573 -0.295032438287575 0.389144991512135 0.167025809973311 0.395290294211249 0.251002099793851 0.413187663611834 0.0319499682813263 -0.00072836961170709 0.291176908812747 0.470522748673864 0.137046532750355 0.141469602909984 0.314341764503839 0.108136921481133 0.277599770488854 0.153163559392112 0.161505492991611
"NSLNA" -0.0174937736697375 -0.100984712178485 0.0195855431220496 0.544024946162395 0.481274387256613 0.179015933089946 1.87974068978518 0.26648854512999 0.321000022315121 -1.60235648329444 -0.298410589442195 0.405695312888694 -0.33769658724363 -0.272643203785596 0.0839092486517919 0.144694449910325 -0.108823128982989 -0.193890483034498 0.200987661016031 0.326615632557917 -0.0905145814874657 0.295724971775972 0.190963080826137 0.0482983770644006 -0.137262382575146 0.327739011171795 0.069472515508653 0.0536220261399358 0.160079229189968 -0.157257109214414 -0.00316210957339775 -0.250057325204426 -0.0426457370820248 0.463215146633674 -0.64568722225348 0.776234846680075 -0.304599273479879 -0.102132610348958 -0.510326394777832
"NSLZS" 0.286124584283491 0.647910788861064 0.351511222494597 1.77369957027101 0.994387091445484 0.683441696590369 0.26648854512999 2.57191032549298 0.858524805824552 0.474058325936827 -0.191435633922031 0.346810551471273 -0.130515060266271 -0.313182832438771 1.3347493319125 0.18338798430657 0.16297326219969 -0.036701043968365 -0.127945649471052 -0.970968363347321 -1.75509630387654 0.242488921844919 -1.26891303918547 0.160667967791364 0.395614755375401 -0.0257714205063655 0.623179977990758 0.942591898749551 0.220153999194656 0.222513811791384 0.985163322012706 0.519233138527462 0.590493331982307 -0.733294977494366 -0.398557115147844 -0.335514268533226 -0.10463718824113 0.318554956489672 -0.116500153329273
"NSLZI" 0.0532347469205974 0.495277708830635 0.378494908550582 0.759380820962589 0.904953738631726 0.294261305983357 0.321000022315121 0.858524805824552 1.39445298705386 0.0882733605982606 0.292943688680908 0.484700955596164 0.393704090761215 0.164064419768271 0.283928088414205 0.0324349278516252 0.0911451916007784 0.141829516435669 0.232372323900945 -0.40281615844947 -0.301712481705396 0.389177851000677 0.617096368763781 0.0992627050401454 0.109049747846057 0.0600317547419099 0.453214803560863 0.318033058804671 0.00852891349936858 -0.00658174462605683 0.397195652788498 0.33454858057363 0.457300423244251 0.29116673098696 0.313688217832159 0.193725100879907 0.0648492223445539 -0.222769527748403 -0.117283889561815
"NABR" 0.151915691704787 0.197797969137536 0.745028273749614 0.210506465409399 -0.0209273344611693 0.255963174688621 -1.60235648329444 0.474058325936827 0.0882733605982606 5.36750753914512 0.690543944315591 0.148048080251783 2.46630864734638 2.00621911962464 1.00934832182042 0.110992359191499 0.391752392683626 0.543366293611893 0.185926377982635 -0.218594948724613 -0.280479846765405 0.186130255302307 -0.587159862891335 0.412231984983432 0.4243452882295 0.319504703737132 0.264737498093639 0.133668255597265 0.139035105561837 0.607617921072761 0.703169112022406 1.16558436688328 0.148957510864643 -0.0695609460253125 0.563642296040682 -0.72213454115887 1.13798643608021 0.21500399490544 0.763103423309207
