"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.279106795789848 0.366410263522648 0.311608606677417 0.128141827257934 0.035778091110486 0.239212750837973 -0.0501270835076984 0.213342137701913 0.222705390307207 0.362516943574852 0.0704966494002594 0.129261342185608 0.157841389019161 0.183566855309596 0.225840589739927 -0.0858048253574386 -0.0295003957511167 -0.0024934600223306 0.125938985045136 -0.0908499210179493 0.0352568230636558 0.300933752108102 0.0196753239849463 0.233050379719866 0.0621201242675396 0.101569360451453 0.00317581144699719 0.162393579597945 0.0567693273433713 0.122271169832913 0.119245508275342 0.235255103697744 0.0894815502194721 0.0323446697352026 -0.140091454112023 -0.010754948334288 0.141583937970472 0.0572176469123466 0.0897348348619798
"ISNSL" 0.366410263522648 2.68784933977661 1.21452762802178 1.19589020688644 0.971793603584664 0.533853494006205 -0.297101284163259 0.922177607057118 1.32497275115924 0.542196763235483 0.485769810201294 0.304177333224894 0.147237822768245 0.00400543236330519 0.588959900690434 0.103261459390207 0.0481135760262863 0.0329007222955019 0.179939359722084 -0.402698208057266 0.406718031077512 0.977563635378183 0.363207584878699 0.35232608962985 0.0485889616768887 0.331320366496082 0.406961295661252 0.515511635116869 0.205873074007515 -0.0870574773874455 0.197246875006399 0.70847793560906 0.247359630338858 -0.424735429424001 -0.589228224458464 -0.974709766417353 0.357637289851442 0.117868478311343 0.365363857240476
"ISPNS" 0.311608606677417 1.21452762802178 1.77294649066299 0.802114243585891 0.754288194465311 0.711770802975999 0.190859979215597 0.520254097616053 0.800088669296023 0.290734223901827 0.291181405269138 0.423504168748553 0.173646063737205 0.243005663482827 0.754433587949445 0.0373746597690332 0.178222243339376 0.0315005571037904 0.382061669510753 -0.0270822747079431 0.0215762710388111 0.580248949437559 0.385243600206702 0.23727122040034 0.219431463224993 0.802179346049441 0.420681578197777 0.0400458387095114 0.310182876621904 0.266313908738849 0.278301223934309 0.777096263631613 0.361758379967258 -0.0274771463133501 -0.367983019638224 -0.300831840927495 0.494910650426501 0.35102332852318 0.367271456040336
"PMZS" 0.128141827257934 1.19589020688644 0.802114243585891 1.95316948972031 0.885108557584511 0.612396539586699 0.276044900370229 1.25495249207096 0.60119129093312 -0.0448272741693737 0.654017205803099 0.0920281407183054 -0.254927924514795 -0.107441476878316 0.366422059650207 0.347106979551386 0.421886815995952 0.313421916972925 0.4834512120796 0.145988521530682 -0.73986610425472 0.222711690195876 -0.0537252064320916 0.13739634786702 0.262234490663476 0.610897532581696 0.368449115196084 0.699991050527695 0.244105819521645 -0.079265210729154 0.250710371846887 0.62250449568837 0.40126331040732 0.0319806490781067 -0.475812074644316 0.240349663929127 0.33651342959148 0.15782837037942 -0.0452146271822281
"PMZI" 0.035778091110486 0.971793603584664 0.754288194465311 0.885108557584511 1.81269403654508 0.693208718086004 0.0667559386117565 0.479839443781345 1.61173751823858 -0.150948683088973 0.605817719996358 0.0439043952427906 -0.23338388304287 -0.0617552371654351 0.188396376171021 0.156046707538519 0.0961785963594073 0.281634839922049 0.459721046063715 0.0612207675010161 0.115233128195582 0.0969729984835848 0.991101599208672 0.146724826089256 -0.340957429083491 0.607124778692523 0.415532604620498 0.448992787059042 0.128250002184442 0.251537220389776 0.0451463836210478 0.17284260719626 0.458644148626207 -0.330827145150595 -0.0378837064507049 -0.142840196618624 0.26905133876164 0.133038467521059 0.118433872726964
"PMMT" 0.239212750837973 0.533853494006205 0.711770802975999 0.612396539586699 0.693208718086004 1.16204609172965 0.289761739543266 0.45864872370111 0.621281309743243 -0.18443883964862 0.325593295377913 0.0776504544815445 -0.138593148749625 -0.0967763090621925 0.332276390104734 -0.00422829790606917 0.145958913444388 0.0417100927234238 0.318378303097413 -0.177566021180415 0.0296611900335042 0.202035005122975 0.264575896030098 0.389178844169159 -0.0842134413347066 0.765948038477812 0.238021957040718 0.62527735775199 0.221622853335085 0.122172117717249 0.164786996344301 0.483176173689645 0.517286755564545 -0.00177912638873718 0.0326022634280357 0.104988554893814 0.0485258772857668 0.0782576109786165 -0.180416288619166
"NSLNA" -0.0501270835076984 -0.297101284163259 0.190859979215597 0.276044900370229 0.0667559386117565 0.289761739543266 1.55825845231017 0.0799318266625397 -0.0348953732121745 -1.11535610730279 -0.0610195791285904 0.397798988193156 -0.382266588010608 0.038789732943737 0.065787986495662 0.708400537144904 0.848640472559736 0.355940188092694 0.486181691638176 0.574414439458792 -0.110425140391826 -0.139601541910947 0.0103913440537813 0.0219840697152945 0.311144168767648 0.59787543765195 0.141693004492253 0.24008060241819 0.133510011416578 -0.164552039181727 0.150084560587285 -0.205021621851976 0.146837195639907 0.331754591182681 0.223033360245076 0.596555446083713 0.214342038424625 0.00722297912019378 -0.16876139290622
"NSLZS" 0.213342137701913 0.922177607057118 0.520254097616053 1.25495249207096 0.479839443781345 0.45864872370111 0.0799318266625397 1.81118119290041 1.0193968952338 0.196566500908294 0.642030987312407 0.384620705625644 0.205008534177053 0.041335926824162 0.317780385343442 -0.0298910753660907 0.0793049989430453 -0.151180503736494 0.221146788864721 0.18559116928966 -0.484175950675715 0.274285071179658 -0.391705469655432 0.313918605006737 -0.0372946287843066 0.506816622202309 0.0644050189729436 0.652650469685186 0.166027397973722 -0.0821452601624328 0.177920841200536 0.804430212715975 0.0797112846405325 0.379677542291377 -0.381494184551376 0.267278396052469 0.26456455049687 0.0891405978884882 0.16818235094552
"NSLZI" 0.222705390307207 1.32497275115924 0.800088669296023 0.60119129093312 1.61173751823858 0.621281309743243 -0.0348953732121745 1.0193968952338 2.47292108080184 0.287903342220767 0.658620777032029 0.416759204081596 0.241404619458428 0.157522684392776 0.342371015191656 -0.0666653058942461 -0.0475313800106483 0.151264420783661 0.516811307064649 0.134763244856032 0.292131187906924 0.46154977759053 1.17738822827547 0.461270404028883 -0.455022340265188 0.953631460068089 0.376891663659244 0.363717531620227 0.209851679759243 0.174133114765291 0.124382997786544 0.429370546790059 0.350565425146118 -0.0702126230938415 0.0312891322809743 -0.33032790026958 0.524350142105559 0.112374585809843 0.397104318883986
"NABR" 0.362516943574852 0.542196763235483 0.290734223901827 -0.0448272741693737 -0.150948683088973 -0.18443883964862 -1.11535610730279 0.196566500908294 0.287903342220767 4.68146769273161 -0.0160890029347773 0.452107885202312 1.97282502167454 1.37867862848215 0.565966043602619 -0.366543693249941 -0.593135501821799 -0.12771617497083 0.324118431669147 -0.00987534168932526 0.405805807478628 1.31883598178353 -0.0868967053591652 0.89644387201278 -0.0379006259223023 -0.730371172919455 -0.0594985237304629 -0.452711644458739 -0.14290096427177 0.377439269078104 0.204960333395599 0.444822585772389 -0.230999176452735 -0.0023127392507311 -2.11609414572905 -0.696102225319317 0.0401718545546312 0.679383791429058 0.882126439340648
