"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 1.12840545703636 1.91735889553479 3.63079718832629 2.23651118790254 2.46969093624472 2.16388811882165 0.479333750702204 1.45588342742481 2.6319695950869 1.7208340840728 1.70983088843697 2.18796798038785 0.942779528223708 0.781087514119181 1.54797768027386 -0.0843698387410847 0.800440191678704 0.83153677427417 0.66535134619549 -0.183434320367571 0.394213033084178 1.84736476081147 1.26707220602556 1.23901820722189 0.945233468465867 1.06526908812253 1.22598251556034 0.546696483559792 1.17631871642828 0.59134076067396 1.63714996943843 2.16705266596617 1.09550614349853 0.877391513446219 0.967491324240192 1.23902470313941 1.8860094607112 1.15480941546042 0.25031635374101
"ISNSL" 1.91735889553479 6.67546628759551 7.89495501023793 6.48790153949165 5.74760686644268 4.34899424676554 0.425124542646911 2.65663037255809 4.23982549859998 3.64065101828822 2.77073389525421 3.15847265184181 0.774073606724512 0.290905682208728 1.69564954331759 0.252470826046744 1.55222259155258 2.43531484272498 2.64636202841223 1.06480936281464 0.834763654359858 2.6083870433142 1.62513169235713 1.3250135591957 2.93961003252587 2.50559082454606 2.29574309588652 0.645745210519413 1.78606852065698 1.41334764354759 2.35923658638075 2.86189408336743 1.61628214403304 0.67130142150954 1.07478413330407 0.919428830189256 4.0216139520694 1.36708464509815 0.591780700175947
"ISPNS" 3.63079718832629 7.89495501023793 14.8295104848815 9.2462987211332 9.77897056633103 8.12304159534787 2.1720559345673 5.25517909576363 9.29470160314283 7.58607463985291 6.27587676055227 7.88099551407916 3.83779634789096 2.46120369532589 5.20332309174706 -0.0577223309920796 2.86215570145727 2.70765619010059 2.39511128427438 -0.627007379382232 1.65156042068878 6.00251429064496 4.42276807591422 3.7810731374442 3.81862956443 5.18389839088876 4.61239732179124 0.738632681376834 4.0968361912763 2.35632480522917 5.45611667211906 7.05949691596565 3.38338893899133 2.71888026224046 3.1141683736743 3.5286296393499 6.72784258690453 3.84319256127109 0.684407072989285
"PMZS" 2.23651118790254 6.48790153949165 9.2462987211332 8.03959984235435 7.18563034812512 5.47743341764889 0.740145892662225 3.89250309243803 5.33798850556092 4.623193138523 3.63017389266299 4.03964308664778 0.81876458532026 0.0890939850877339 2.58116057139574 -0.0545063221713159 1.68655273436553 2.42384968245576 2.48771154628275 -0.0488281654315259 0.632233621282264 3.46878940091736 1.76426818303531 1.80801948799435 3.33415175297047 3.19080811396093 2.94896283247794 0.944590735815878 2.48228055721313 1.79789833481585 3.21238017776559 3.98967578365516 2.38096554208803 1.2304207221601 2.38050560986185 1.2933654642123 4.48575122237108 2.45032872500313 0.663362148285802
"PMZI" 2.46969093624472 5.74760686644268 9.77897056633103 7.18563034812512 8.73306526979142 6.47433391611196 1.17972046988818 3.74510927701118 7.60378249802274 4.5912335865752 4.42904931596214 4.7463732963125 1.65741469980046 1.29350354999207 3.57808145261039 0.255644565268949 2.72833709275558 2.39214462494365 1.79229239955313 -0.279543101351332 1.80791097039604 4.89953638708614 3.93813923980566 2.61625122666712 2.50565039848807 2.89960412354142 3.68925731086503 1.62877781341359 3.41882829029795 1.57374210856128 4.48868490355165 4.91751358369066 2.33876218607023 1.424033211787 3.71604850966736 1.87390981770575 5.22069469829134 3.31142685470323 0.524652816629086
"PMMT" 2.16388811882165 4.34899424676554 8.12304159534787 5.47743341764889 6.47433391611196 6.06246504848947 1.35196123290728 2.74091232106066 6.04999717463088 3.33449398029413 3.89859072735302 4.21717457719405 1.61721014440436 1.16977628541935 2.84386800571325 0.0710258456041215 2.00131573125639 2.02994975866939 1.65401499424084 -0.447149561553344 1.71984398236564 4.27452648094735 3.49863985068274 2.8564408021223 1.80589711182751 2.52932807041909 2.57197968551219 1.2509345860937 2.75694184496041 1.46776479714804 3.63233007851024 4.7619758644035 2.30784780999927 1.2549944191284 2.8693033970664 2.04611176079856 4.41587457200312 3.01291594308278 0.414792640039371
"NSLNA" 0.479333750702204 0.425124542646911 2.1720559345673 0.740145892662225 1.17972046988818 1.35196123290728 2.43844661870648 -0.163828211769772 1.39265193967073 0.096640048780334 0.48593614011718 1.42031068904626 0.353070782864173 0.0095676547286313 0.76786632001921 -0.450151532134085 -0.223583701314137 -0.333459698017242 0.130431347631874 -0.753542281251396 1.39275045978171 1.09043193756572 1.53148875041831 0.661834989858918 -0.0488804404736401 1.38844206784802 0.39963147151399 -0.699225339424762 0.523236468673701 0.470388908755623 0.597199972537335 0.648510382617542 1.12250297082801 0.201154538862174 -0.711816497920999 0.135517306967596 0.282339343712297 0.369552691667117 -0.163110570831294
"NSLZS" 1.45588342742481 2.65663037255809 5.25517909576363 3.89250309243803 3.74510927701118 2.74091232106066 -0.163828211769772 4.18463787699551 4.174117173918 3.83115041716827 3.1740999917411 3.31446691660055 1.97467200762151 1.12031850177165 1.87339116777881 0.00838720287872255 1.50164337712905 1.5634891733089 1.32449202852116 -0.319824606681886 -0.769680538758094 2.44657480444243 0.474023134153157 1.21774432548355 1.54013168975999 1.87977795746974 2.19887811383928 1.11707680666048 1.76273774515126 0.676711624123197 2.50566103032017 3.13415862736757 1.64656544046755 1.92201967250778 2.0055472722301 2.1726574691644 3.79631069301829 2.29948191022647 0.508464339626083
"NSLZI" 2.6319695950869 4.23982549859998 9.29470160314283 5.33798850556092 7.60378249802274 6.04999717463088 1.39265193967073 4.174117173918 8.7223079541989 5.23317539225455 5.12195084401562 5.76136581677949 3.09577683077294 2.9371967102685 4.41675804707091 0.496860846428919 3.06563106597711 2.41283895534878 1.67360151926081 -0.453263712030323 1.63597062685494 5.3999333216121 4.81866877427641 3.04772211975619 1.75808642621622 3.34420731895211 3.90348471857096 1.66220643305144 3.70860902013683 1.29489970032727 4.87429186620858 5.6559058951818 2.9334888838053 2.3678430731656 4.1030782988419 3.33205327649155 5.91170475619239 4.32353642956107 0.49534606293421
"NABR" 1.7208340840728 3.64065101828822 7.58607463985291 4.623193138523 4.5912335865752 3.33449398029413 0.096640048780334 3.83115041716827 5.23317539225455 8.29047479719117 3.78232215979747 4.17648951005309 4.0485442398958 3.25158351608259 3.8033864643226 0.54353377718721 1.85432560760098 1.27750999721155 1.19189074170801 -0.767170032012215 -0.115405136816448 2.80550136182385 1.93522420291605 1.48416234452205 2.63397868324784 4.04308010099782 3.2786611810958 0.203694570737788 2.33961847339978 1.26966347357869 2.92218084500592 3.7546262562392 2.21361756378315 1.90739408413585 1.9388237283006 2.83881240050271 5.06522529972619 3.85216552528172 0.662126540952791
"NAFM" 1.70983088843697 2.77073389525421 6.27587676055227 3.63017389266299 4.42904931596214 3.89859072735302 0.48593614011718 3.1740999917411 5.12195084401562 3.78232215979747 4.08805078863631 3.74417727825767 2.16893724163643 1.56967578563039 2.17077469210654 0.197844061903705 2.11939211167252 2.1687693913995 1.36525691076474 0.0370015443536204 0.820592388256672 3.38410288890715 2.30032374392719 1.89456871805136 1.31206189502929 2.50903371913353 2.65575227133373 1.10941691248623 2.43910920065041 1.04229200463266 3.32248154534816 4.06421797866879 1.78322015874114 1.87005322240251 2.79135668004788 2.15614751774015 4.4268791285807 2.82914867114684 0.465337106341912
"NAPNS" 2.18796798038785 3.15847265184181 7.88099551407916 4.03964308664778 4.7463732963125 4.21717457719405 1.42031068904626 3.31446691660055 5.76136581677949 4.17648951005309 3.74417727825767 5.8519168117578 2.83645653270282 2.45901674154534 3.71332910415139 0.207820668977591 1.96928954370524 1.55914392126305 1.31981970099834 -0.538059072261898 0.17970862642257 3.7609581462464 2.92972197564696 2.3865445449849 1.46724385486945 2.87873529048722 2.43042249672462 0.61172740049126 2.4798185428532 1.30209614233733 3.69289895124472 4.78192736479397 2.47608295208925 1.99828050541113 2.37075482136426 2.73564313953038 4.2645780780263 2.79528288057865 0.255794390574595
"BRPT" 0.942779528223708 0.774073606724512 3.83779634789096 0.81876458532026 1.65741469980046 1.61721014440436 0.353070782864173 1.97467200762151 3.09577683077294 4.0485442398958 2.16893724163643 2.83645653270282 4.16497800916719 2.71701820786238 1.64724709410846 -0.266867768664415 0.848100599485877 -0.0176208682175739 -0.692128770054244 -0.433003045976842 -0.170670585720027 1.80217584867448 1.34777239531335 1.71509445797576 0.29004491554473 0.720320639581102 1.61207615152053 0.121978497703891 1.21739858786339 0.341691173177229 1.71944323567901 3.09705937724858 0.0984758581168754 1.35416929681232 0.788163818931329 2.29561025112334 3.03028812500107 1.84872490044071 0.02409980354563
"BRAPET" 0.781087514119181 0.290905682208728 2.46120369532589 0.0890939850877339 1.29350354999207 1.16977628541935 0.0095676547286313 1.12031850177165 2.9371967102685 3.25158351608259 1.56967578563039 2.45901674154534 2.71701820786238 4.2314090649596 2.54443619529826 1.40757068621366 2.11892545997827 0.871857811751757 0.917127591033565 0.183779554957702 0.0725245747842203 1.40813586739044 1.92383851121217 0.765710537278128 0.131860815343477 1.25401812858783 1.30754488527727 0.263132670170251 1.38416348358381 0.536239156234099 1.79590009341331 2.156545887263 1.27328415461664 0.336689052198153 1.727002979794 1.96698777187284 2.4980965853826 2.38508020690729 0.348757934499414
"PTFM" 1.54797768027386 1.69564954331759 5.20332309174706 2.58116057139574 3.57808145261039 2.84386800571325 0.76786632001921 1.87339116777881 4.41675804707091 3.8033864643226 2.17077469210654 3.71332910415139 1.64724709410846 2.54443619529826 5.25419536128574 0.429062279377219 0.80958002150315 -0.138475189987217 0.233165447840146 -1.79325546283266 0.27870465668921 3.22959194137752 2.78389921606596 1.98695505892328 1.80885360873375 2.57104761609789 2.13901316169073 0.261084134427674 1.77644165437814 0.907298658533851 2.52506523839829 2.5664564388846 2.60219170395718 1.28510823272873 1.74577061009229 2.23061078849138 1.68892390618411 2.66811405203201 0.474820626613733
"PTAPET" -0.0843698387410847 0.252470826046744 -0.0577223309920796 -0.0545063221713159 0.255644565268949 0.0710258456041215 -0.450151532134085 0.00838720287872255 0.496860846428919 0.54353377718721 0.197844061903705 0.207820668977591 -0.266867768664415 1.40757068621366 0.429062279377219 2.04847395204327 2.2672947708226 1.81174080557189 1.90279698923997 1.28625256626246 -0.119263444643555 0.0258388671786048 0.565737835887138 -0.5938922638956 0.117011826900401 1.30101279106768 0.370887465151056 0.240036449677711 0.405837683326095 0.574880350811262 0.593473319335124 0.0345800872930899 0.906256612378527 -0.698102168275881 1.64371668641328 0.0261484549700303 1.54629462852107 1.00148389720173 0.309760828850795
"PTBA" 0.800440191678704 1.55222259155258 2.86215570145727 1.68655273436553 2.72833709275558 2.00131573125639 -0.223583701314137 1.50164337712905 3.06563106597711 1.85432560760098 2.11939211167252 1.96928954370524 0.848100599485877 2.11892545997827 0.80958002150315 2.2672947708226 4.45078015795112 3.51088216999878 2.56030811110977 2.1383789191056 0.439912973844782 1.78139790219615 1.68068836818144 0.555030261621681 0.416513621443642 1.88888857640192 1.75513195346573 1.37074360383755 2.18924362683832 1.11845044859785 2.64247811772052 2.52868430166645 1.03495025885185 0.0757254351403652 3.38091907479111 0.98466606305301 4.43621129423844 2.15992941208228 0.299538146062293
"PTEAM" 0.83153677427417 2.43531484272498 2.70765619010059 2.42384968245576 2.39214462494365 2.02994975866939 -0.333459698017242 1.5634891733089 2.41283895534878 1.27750999721155 2.1687693913995 1.55914392126305 -0.0176208682175739 0.871857811751757 -0.138475189987217 1.81174080557189 3.51088216999878 4.31992930568372 3.52275579475955 2.44440421189368 0.509900329716562 1.49603702439105 1.04624241442208 0.348756584158634 0.861366252623159 1.71220016548771 1.27319088330358 1.07555174479551 1.63918607360042 1.23056463697263 2.16066071768348 2.12588114669615 1.46353485248078 0.262970863537165 2.54750138331591 0.777640681538476 4.52223858996516 1.89935061796093 0.488720183411395
"PTZYGO" 0.66535134619549 2.64636202841223 2.39511128427438 2.48771154628275 1.79229239955313 1.65401499424084 0.130431347631874 1.32449202852116 1.67360151926081 1.19189074170801 1.36525691076474 1.31981970099834 -0.692128770054244 0.917127591033565 0.233165447840146 1.90279698923997 2.56030811110977 3.52275579475955 4.21145688535751 1.97856515823245 0.352801848766718 0.757374829562778 0.547161849305864 -0.469279598475512 1.17489579261924 2.35091954981448 0.735466448156695 0.37121339094026 0.979080419555043 1.04546378760079 1.33638053379629 0.660486359578655 2.31652627751042 -0.187954373015077 0.906319778278988 0.685699276638607 3.28598035773298 1.5581834730351 0.551195235559066
"PTTSP" -0.183434320367571 1.06480936281464 -0.627007379382232 -0.0488281654315259 -0.279543101351332 -0.447149561553344 -0.753542281251396 -0.319824606681886 -0.453263712030323 -0.767170032012215 0.0370015443536204 -0.538059072261898 -0.433003045976842 0.183779554957702 -1.79325546283266 1.28625256626246 2.1383789191056 2.44440421189368 1.97856515823245 3.90791610479711 -0.100782764946904 -0.307866898586203 -0.220701834354361 -0.24081967731977 -0.00328816635064981 -1.15683673614791 0.11980968822208 0.573578264823935 0.458718970246025 0.309475614537087 0.303786013868828 -0.0606085149319658 -1.45680405208082 -0.988606035560104 0.164792657566988 -0.351851996730353 1.87569095165052 -0.359664560163809 -0.584865608761304
"FMZS" 0.394213033084178 0.834763654359858 1.65156042068878 0.632233621282264 1.80791097039604 1.71984398236564 1.39275045978171 -0.769680538758094 1.63597062685494 -0.115405136816448 0.820592388256672 0.17970862642257 -0.170670585720027 0.0725245747842203 0.27870465668921 -0.119263444643555 0.439912973844782 0.509900329716562 0.352801848766718 -0.100782764946904 2.66429104115146 1.34004609362438 2.03313485820641 0.621946507914892 -0.0692508643899789 1.04505773977158 0.621623690471447 0.0606957104969339 0.903260487543495 0.127269433006089 0.771523492358326 0.589499462759239 0.703944164660215 0.196857115125824 -0.405885468033702 -0.147217913346727 0.331272906148237 0.349913980536007 0.124814291517926
"FMMT" 1.84736476081147 2.6083870433142 6.00251429064496 3.46878940091736 4.89953638708614 4.27452648094735 1.09043193756572 2.44657480444243 5.3999333216121 2.80550136182385 3.38410288890715 3.7609581462464 1.80217584867448 1.40813586739044 3.22959194137752 0.0258388671786048 1.78139790219615 1.49603702439105 0.757374829562778 -0.307866898586203 1.34004609362438 4.72787625629801 3.14005806789901 2.94012565638543 1.41632182066217 1.79549166365785 2.81766099085425 1.41575344844162 2.52755328235186 1.14933071290427 3.45675911281432 4.12655856909904 1.83961873718891 1.76369505378563 2.22170975621109 1.88629245847505 3.94538068502648 2.63211041173971 0.372676091696545
"ZSZI" 1.26707220602556 1.62513169235713 4.42276807591422 1.76426818303531 3.93813923980566 3.49863985068274 1.53148875041831 0.474023134153157 4.81866877427641 1.93522420291605 2.30032374392719 2.92972197564696 1.34777239531335 1.92383851121217 2.78389921606596 0.565737835887138 1.68068836818144 1.04624241442208 0.547161849305864 -0.220701834354361 2.03313485820641 3.14005806789901 4.32463394098038 1.92232332194293 0.346214245793127 1.89020099787173 1.86610041270135 0.571591618960116 2.05196681608032 0.804463529804734 2.6055502390833 2.9492948317657 1.58474823476828 0.684795200746807 2.54592420152751 1.35773456845377 2.63877260617861 2.44965481751737 0.0203127512545028
"ZIMT" 1.23901820722189 1.3250135591957 3.7810731374442 1.80801948799435 2.61625122666712 2.8564408021223 0.661834989858918 1.21774432548355 3.04772211975619 1.48416234452205 1.89456871805136 2.3865445449849 1.71509445797576 0.765710537278128 1.98695505892328 -0.5938922638956 0.555030261621681 0.348756584158634 -0.469279598475512 -0.24081967731977 0.621946507914892 2.94012565638543 1.92232332194293 3.32545729256661 0.509301879831784 -0.164327770139647 1.15952014960508 0.860811466447105 1.46690255652032 0.586499257913141 1.91902424055508 3.57745728881268 0.331191373973815 1.23798301483069 0.859258362599282 1.70653142188538 2.10466885818937 1.42105776232721 -0.32524414090339
"ZIZYGO" 0.945233468465867 2.93961003252587 3.81862956443 3.33415175297047 2.50565039848807 1.80589711182751 -0.0488804404736401 1.54013168975999 1.75808642621622 2.63397868324784 1.31206189502929 1.46724385486945 0.29004491554473 0.131860815343477 1.80885360873375 0.117011826900401 0.416513621443642 0.861366252623159 1.17489579261924 -0.00328816635064981 -0.0692508643899789 1.41632182066217 0.346214245793127 0.509301879831784 2.45280127879521 1.67027016413215 1.49742125786524 0.0630959346251065 0.89109984708756 0.821660585173311 0.974809373914288 0.677823130968772 1.19803752771677 0.22266437873002 0.327390030343714 0.803526670372986 1.63189129044639 1.1432085404688 0.384412589380319
"ZITSP" 1.06526908812253 2.50559082454606 5.18389839088876 3.19080811396093 2.89960412354142 2.52932807041909 1.38844206784802 1.87977795746974 3.34420731895211 4.04308010099782 2.50903371913353 2.87873529048722 0.720320639581102 1.25401812858783 2.57104761609789 1.30101279106768 1.88888857640192 1.71220016548771 2.35091954981448 -1.15683673614791 1.04505773977158 1.79549166365785 1.89020099787173 -0.164327770139647 1.67027016413215 6.58422138408208 2.0982413923031 -0.312913612142481 1.46958636516551 1.05275825508579 1.76456257206018 1.88197373210138 4.03790056288018 1.4201027429568 1.64577536361809 0.798474519532559 2.98463416732737 2.51500961813895 1.04006554714825
"MTPNS" 1.22598251556034 2.29574309588652 4.61239732179124 2.94896283247794 3.68925731086503 2.57197968551219 0.39963147151399 2.19887811383928 3.90348471857096 3.2786611810958 2.65575227133373 2.43042249672462 1.61207615152053 1.30754488527727 2.13901316169073 0.370887465151056 1.75513195346573 1.27319088330358 0.735466448156695 0.11980968822208 0.621623690471447 2.81766099085425 1.86610041270135 1.15952014960508 1.49742125786524 2.0982413923031 2.83375636796099 0.998583742642447 1.84787660779199 0.934514709725428 2.56459502598465 2.57480824560944 1.31161804300822 0.987834129051138 2.3455711085908 1.27286005131785 3.43031958569684 2.29476290816206 0.518462078672849
"PNSAPET" 0.546696483559792 0.645745210519413 0.738632681376834 0.944590735815878 1.62877781341359 1.2509345860937 -0.699225339424762 1.11707680666048 1.66220643305144 0.203694570737788 1.10941691248623 0.61172740049126 0.121978497703891 0.263132670170251 0.261084134427674 0.240036449677711 1.37074360383755 1.07555174479551 0.37121339094026 0.573578264823935 0.0606957104969339 1.41575344844162 0.571591618960116 0.860811466447105 0.0630959346251065 -0.312913612142481 0.998583742642447 2.30618658578387 0.843953726438697 0.029623288294497 1.52038710383396 2.32291580718829 0.158051802759807 0.564781816023121 1.55330406349462 0.690085233440449 1.88760572453452 1.10645507280015 0.329183037064074
"APETBA" 1.17631871642828 1.78606852065698 4.0968361912763 2.48228055721313 3.41882829029795 2.75694184496041 0.523236468673701 1.76273774515126 3.70860902013683 2.33961847339978 2.43910920065041 2.4798185428532 1.21739858786339 1.38416348358381 1.77644165437814 0.405837683326095 2.18924362683832 1.63918607360042 0.979080419555043 0.458718970246025 0.903260487543495 2.52755328235186 2.05196681608032 1.46690255652032 0.89109984708756 1.46958636516551 1.84787660779199 0.843953726438697 2.3357979096946 0.716389918243128 2.46853859300583 2.52494294453467 0.960344764945668 0.825518608931928 2.03603668263261 1.30151372246598 3.10666645002841 2.03973457447384 -0.0391756234460611
