"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.392620229385439 0.49616955710348 0.591188855045654 0.305808690961722 0.263920604532232 0.349503113084964 0.115241800903272 0.254798276526966 0.284807390658058 0.461683443443782 0.216706368051638 0.259426580459623 0.191396102401952 0.353888529390917 0.261298376242766 0.281365752282077 0.255447367228176 0.210307283196443 0.225640066345213 0.190310718260741 0.188588050391836 0.501548385355495 0.0550905675726313 0.135424184169673 0.0798947646501754 0.357514450536865 0.151605199474094 0.311739268557107 0.0676119057095188 0.0965201817210425 0.253669726610282 0.183870943999494 0.223005054470396 0.235876779412661 -0.0445539222845318 0.362888233221513 0.180260639101633 0.0973523548182737 0.00485563306179846
"ISNSL" 0.49616955710348 3.43750405850733 2.50050858742808 2.02367052704291 1.60369582734171 0.87938183431091 -0.196496123360703 0.965277169439547 1.27444608058139 0.58750923020263 0.56546210354348 1.1918002276814 0.0933086782828294 0.319087353595499 1.18167559946272 0.150284346467506 0.350652665725865 0.331635889458165 0.618383633449616 -0.0452993729994084 0.400928756523711 1.5266439492153 0.144761027544817 0.164916053351007 0.628980787233953 0.695305122527549 0.677065565558125 0.39913063101179 0.567459190708876 0.280943978882626 1.14326110118094 1.02012754787034 0.603622708213368 0.319583689178008 0.0191518254947813 0.0883906667679727 0.420850129476195 0.189335082266353 0.129357745489976
"ISPNS" 0.591188855045654 2.50050858742808 4.06936891253755 1.92271478063764 1.5750293114622 1.36466620045811 0.0109059386845452 0.764596576281799 0.908065615449113 0.843904319425235 0.670533606960963 1.63239451936169 0.522855133223549 0.861195283163214 1.35047676531542 0.194841246741311 0.42276987472382 0.144758051747577 0.519996785341127 -0.0295279999638235 0.397676520530243 1.67163806822363 0.0980654745574467 0.665635590156596 1.07185351477103 1.53823451893571 0.67167534509299 -0.562462001897731 0.536532917334895 -0.0408237762403102 1.11832826594258 1.17406773052496 0.983758581962829 0.93185758267482 0.341913502707356 0.843612048780763 0.383239144374364 0.0750404791410384 0.233023410188597
"PMZS" 0.305808690961722 2.02367052704291 1.92271478063764 2.22043775735774 1.76020880044378 1.09186746474716 -0.180852546275026 0.924329821225618 1.04264239088377 0.938805689121861 0.698384061060898 0.77427989011216 0.0386046742592811 0.44456134581096 0.9210615631905 0.0416400565543362 0.330068070136769 0.328703198765193 0.532669515817548 -0.283524635875441 0.131364814726241 1.22970410497795 0.128226614102293 0.304957813265513 0.292543128836312 0.9319868340793 0.518335856910314 0.485073291752244 0.778627661643794 0.517946360396006 0.936085269599925 1.19823293513003 0.788384479021418 0.272857672950684 0.132925559707563 0.329728865999549 0.517321238298236 0.270703709989617 0.0537101239397409
"PMZI" 0.263920604532232 1.60369582734171 1.5750293114622 1.76020880044378 2.5133764961333 1.10472569588805 -0.0687354696599318 1.09915922983744 1.75716648137136 0.406912928998252 0.945436225884197 0.68231485331169 -0.147308850318992 0.120286005124505 0.306779197086746 -0.178027861626039 0.145658912344493 0.215787204817367 -0.042560870838193 -0.336162864229307 0.226486683830655 0.663723031334119 0.604869244595454 0.080306118782229 -0.0797393294470387 -0.114036583988452 0.425163805698002 0.278825134148883 0.720783240897674 0.265433327489167 0.771740781982269 0.0326727268775153 0.101921128196065 0.0247537610942195 0.83716123318296 0.0487989846554425 0.254039185240376 0.0840721424883287 0.0106122825780387
"PMMT" 0.349503113084964 0.87938183431091 1.36466620045811 1.09186746474716 1.10472569588805 1.47238028374045 0.0389160102287282 0.622933838133483 0.743504182925685 0.550539803378035 0.632157259885592 0.521671844469548 0.173592343927684 0.387347276834559 0.492525212076076 0.266890758884565 0.419856382928269 0.0741319463765081 0.127243247158549 0.248538866359752 0.164679445463683 0.635617997091814 0.180017791100792 0.406464534188478 0.079605686502868 0.400495387124566 0.349901956018625 0.414815392896435 0.454383748156405 0.308252525021837 0.737152268371246 0.547253983300714 0.371583125209343 0.310181006414099 0.288327270494857 0.398498248501389 0.194623475661533 0.160679901120361 0.16732482965615
"NSLNA" 0.115241800903272 -0.196496123360703 0.0109059386845452 -0.180852546275026 -0.0687354696599318 0.0389160102287282 1.57101648715515 -0.215170265239493 -0.0346822202116718 -1.03113619454694 -0.383030375586219 0.288534665147265 -0.00539617818808239 -0.0836049499510234 -0.107045936657081 -0.0740691360891178 0.0799483437020977 0.220690930793742 0.226799895607549 0.0525983052970359 0.0402918674787196 -0.302590953264415 0.150201217469455 -0.165109758631641 -0.15250571446261 0.453018737731223 -0.0977155612477544 0.0804713717263363 0.0336561832776587 -0.0998427110114434 -0.232318190203579 0.0742007891417901 0.219795673809018 0.411191402644515 -0.282853473796055 0.313892438990204 -0.0117867289295532 -0.142510542828169 -0.0367196920771595
"NSLZS" 0.254798276526966 0.965277169439547 0.764596576281799 0.924329821225618 1.09915922983744 0.622933838133483 -0.215170265239493 1.53213666027314 1.02671703929286 0.557783753540619 0.779879854685136 0.586099780318824 0.383383531185132 0.445289994319756 0.255104910328232 0.0802888729357247 0.168938243656751 0.113919142573683 -0.214765264457134 -0.180958880367294 -0.169349294326868 0.546792906006798 -0.418201804582782 0.0823267107771386 -0.402613159833667 -0.000695263719697341 0.214414563641249 0.361546898624157 0.253722507916877 0.246495743976321 0.457314111097737 0.424051295799283 -0.119404336941747 0.382175184318659 0.546523393551527 0.249275334027776 0.149034823710673 0.128637412596545 0.105996810582345
"NSLZI" 0.284807390658058 1.27444608058139 0.908065615449113 1.04264239088377 1.75716648137136 0.743504182925685 -0.0346822202116718 1.02671703929286 2.01641650651332 0.44124788312154 0.783717167094798 0.787009130502197 0.331400738292567 0.159338110357868 0.0608757822323207 -0.257396310551758 0.25503208841342 0.356425507596386 -0.286523065485543 -0.204466854284805 0.105578155436176 0.54805995175785 0.915091642704634 0.059618523820854 -0.162876867309323 -0.0972205532670934 0.433473551076575 0.484533742607076 0.540696477288293 0.13415733549335 0.792647738957715 -0.0858090601151344 -0.117189076602607 0.216998041421825 0.461605613773756 0.192240931522251 0.412017129504066 0.116359532689321 0.0442805683896835
"NABR" 0.461683443443782 0.58750923020263 0.843904319425235 0.938805689121861 0.406912928998252 0.550539803378035 -1.03113619454694 0.557783753540619 0.44124788312154 6.79971114560968 1.19174479357966 0.364004387434316 3.09405969928895 2.83931883996009 0.783890043564925 1.06555046008848 1.51348247574259 1.95733986596168 1.6845888396134 0.488047273133471 0.595833008429778 1.85532344396263 0.0546492359266324 0.320007406261534 0.71610826017577 3.04519655718215 0.771746853735525 0.968834491090263 0.822176514325896 0.842900609248762 0.986160810201264 1.75813392546531 2.00116826825971 1.14262969016385 -2.43800832464363 0.788320353956737 2.48070434162459 1.05445064206394 0.911059684108947
