Char.\Node,ISPM,ISNSL,ISPNS,PMZS,PMZI,PMMT,NSLNA,NSLZS,NSLZI,NABR,NAFM,NAPNS,BRPT,BRAPET,PTFM,PTAPET,PTBA,PTEAM,PTZYGO,PTTSP,FMZS,FMMT,ZSZI,ZIMT,ZIZYGO,ZITSP,MTPNS,PNSAPET,APETBA,APETTS,BAEAM,EAMZYGO,ZYGOTSP,LDAS,BRLD,OPILD,PTAS,JPAS,BAOPI
76, (min.):0.31565689;  (max.):1.05542375; , (min.):0.89426009;  (max.):2.05763583; , (min.):1.15904777;  (max.):2.65509456; , (min.):0.31163683;  (max.):1.68980437; , (min.):1.04362781;  (max.):1.95491968; , (min.):0.78641343;  (max.):2.12124102; , (min.):0.07743271;  (max.):0.57356086; , (min.):0.50788419;  (max.):0.88833041; , (min.):1.06394011;  (max.):1.50950171; , (min.):0.66970033;  (max.):1.68618034; , (min.):0.37439055;  (max.):0.95500257; , (min.):0.73467955;  (max.):1.73098229; , (min.):0.33560895;  (max.):0.93361623; , (min.):0.6779621;  (max.):1.71520131; , (min.):0.37653966;  (max.):1.18096162; , (min.):0.60433944;  (max.):0.65136884; , (min.):1.42711634;  (max.):1.50337348; , (min.):0.8898146;  (max.):2.16739292; , (min.):1.31931662;  (max.):2.11515595; , (min.):0.58982528;  (max.):0.67109411; , (min.):0.08396839;  (max.):0.14557257; , (min.):0.83681401;  (max.):2.24177417; , (min.):0.42993273;  (max.):0.80488642; , (min.):0.5197465;  (max.):0.95678067; , (min.):1.15527367;  (max.):2.58401733; , (min.):0.85047753;  (max.):1.01169305; , (min.):0.16086871;  (max.):1.13619879; , (min.):0.31015153;  (max.):1.04273779; , (min.):0.94407394;  (max.):0.99277446; , (min.):0.21446655;  (max.):0.60532142; , (min.):0.68475548;  (max.):1.44913325; , (min.):0.96668256;  (max.):1.10264024; , (min.):0.78157417;  (max.):1.86777985; , (min.):0.329001;  (max.):1.23503377; , (min.):0.23328286;  (max.):0.343718; , (min.):0.53620897;  (max.):1.49281957; , (min.):0.60430381;  (max.):2.19962147; , (min.):0.26777317;  (max.):0.60196443; , (min.):0.09989265;  (max.):0.41089561; 
77, (min.):0.50642926;  (max.):1.05542375; , (min.):0.89426009;  (max.):2.05763583; , (min.):1.15904777;  (max.):2.65509456; , (min.):0.7995352;  (max.):1.68980437; , (min.):1.04362781;  (max.):1.95491968; , (min.):0.78641343;  (max.):2.12124102; , (min.):0.07743271;  (max.):0.57356086; , (min.):0.50788419;  (max.):0.88833041; , (min.):1.06394011;  (max.):1.50950171; , (min.):0.66970033;  (max.):1.68618034; , (min.):0.52787169;  (max.):0.95500257; , (min.):0.73467955;  (max.):1.73098229; , (min.):0.33560895;  (max.):0.93361623; , (min.):0.6779621;  (max.):1.71520131; , (min.):0.93404585;  (max.):1.18096162; , (min.):0.60433944;  (max.):0.65136884; , (min.):1.42711634;  (max.):1.50337348; , (min.):0.8898146;  (max.):2.16739292; , (min.):1.31931662;  (max.):2.11515595; , (min.):0.58982528;  (max.):0.67109411; , (min.):0.08396839;  (max.):0.14557257; , (min.):0.83681401;  (max.):2.24177417; , (min.):0.42993273;  (max.):0.80488642; , (min.):0.54351237;  (max.):0.95678067; , (min.):1.15527367;  (max.):2.58401733; , (min.):0.99724598;  (max.):1.01169305; , (min.):0.4559174;  (max.):1.13619879; , (min.):0.76626387;  (max.):1.04273779; , (min.):0.94407394;  (max.):0.99277446; , (min.):0.21446655;  (max.):0.60532142; , (min.):0.81079671;  (max.):1.44913325; , (min.):0.96668256;  (max.):1.10264024; , (min.):0.80357554;  (max.):1.86777985; , (min.):0.42283572;  (max.):1.23503377; , (min.):0.30027065;  (max.):0.343718; , (min.):0.53620897;  (max.):1.49281957; , (min.):0.60430381;  (max.):2.19962147; , (min.):0.26777317;  (max.):0.60196443; , (min.):0.3237213;  (max.):0.41089561; 
78, (min.):0.56665795;  (max.):1.05542375; , (min.):1.66184095;  (max.):2.05763583; , (min.):2.23682759;  (max.):2.65509456; , (min.):1.44619732;  (max.):1.68980437; , (min.):1.67935222;  (max.):1.95491968; , (min.):1.92172846;  (max.):2.12124102; , (min.):0.41618481;  (max.):0.57356086; , (min.):0.67707308;  (max.):0.88833041; , (min.):1.28281996;  (max.):1.50950171; , (min.):0.66970033;  (max.):1.68618034; , (min.):0.8399845;  (max.):0.95500257; , (min.):1.15802613;  (max.):1.73098229; , (min.):0.69855241;  (max.):0.93361623; , (min.):1.691394;  (max.):1.71520131; , (min.):0.93404585;  (max.):1.18096162; , (min.):0.60433944;  (max.):0.65136884; , (min.):1.42711634;  (max.):1.50337348; , (min.):1.38935172;  (max.):2.16739292; , (min.):1.72136314;  (max.):2.11515595; , (min.):0.46675439;  (max.):0.67109411; , (min.):0.08396839;  (max.):0.14557257; , (min.):2.24177417;  (max.):2.24177417; , (min.):0.76701615;  (max.):0.80488642; , (min.):0.86963145;  (max.):0.95678067; , (min.):1.72165568;  (max.):2.58401733; , (min.):0.99724598;  (max.):1.01169305; , (min.):0.4559174;  (max.):1.13619879; , (min.):0.76626387;  (max.):1.04273779; , (min.):0.94407394;  (max.):0.99277446; , (min.):0.28705014;  (max.):0.60532142; , (min.):1.2342346;  (max.):1.44913325; , (min.):0.96668256;  (max.):1.10264024; , (min.):1.5206502;  (max.):1.86777985; , (min.):0.98483294;  (max.):1.23503377; , (min.):0.30027065;  (max.):0.343718; , (min.):0.63185373;  (max.):1.49281957; , (min.):1.26670418;  (max.):2.19962147; , (min.):0.36256138;  (max.):0.60196443; , (min.):0.3237213;  (max.):0.41089561; 
79, (min.):0.56665795;  (max.):1.17709646; , (min.):1.66184095;  (max.):3.18151994; , (min.):2.23682759;  (max.):6.42726346; , (min.):1.44619732;  (max.):4.79227879; , (min.):1.76093855;  (max.):4.4821289; , (min.):1.92172846;  (max.):3.76303998; , (min.):0.41618481;  (max.):3.04725438; , (min.):0.88549468;  (max.):2.77350663; , (min.):1.47322244;  (max.):3.03158824; , (min.):1.82452887;  (max.):2.59614868; , (min.):0.8711809;  (max.):1.60956298; , (min.):1.15802613;  (max.):2.63172915; , (min.):0.86080161;  (max.):0.93361623; , (min.):1.96067346;  (max.):1.99985152; , (min.):1.18778825;  (max.):2.54615993; , (min.):0.88666552;  (max.):0.88666552; , (min.):1.46872625;  (max.):2.62592799; , (min.):1.38935172;  (max.):2.20907173; , (min.):1.72136314;  (max.):2.25643048; , (min.):0.46675439;  (max.):0.67109411; , (min.):0.08396839;  (max.):0.45323457; , (min.):2.24177417;  (max.):3.82641227; , (min.):0.78855745;  (max.):1.37906074; , (min.):0.86963145;  (max.):1.12134848; , (min.):1.72165568;  (max.):3.2485064; , (min.):1.40153974;  (max.):3.26676564; , (min.):0.93576029;  (max.):1.95759417; , (min.):0.76626387;  (max.):1.54205836; , (min.):1.08126907;  (max.):2.3482225; , (min.):0.43583074;  (max.):0.66238526; , (min.):1.53531483;  (max.):2.52211396; , (min.):0.96668256;  (max.):2.11210536; , (min.):1.5206502;  (max.):2.10361212; , (min.):0.98483294;  (max.):1.23503377; , (min.):0.30027065;  (max.):0.343718; , (min.):1.2977607;  (max.):1.49281957; , (min.):1.3200624;  (max.):2.19962147; , (min.):0.37510933;  (max.):0.60196443; , (min.):0.35381924;  (max.):0.4944209; 
80, (min.):1.93437846;  (max.):2.19528109; , (min.):4.59530904;  (max.):6.09140207; , (min.):8.47720565;  (max.):10.8372037; , (min.):6.26743832;  (max.):11.44486815; , (min.):5.7322437;  (max.):8.3971937; , (min.):5.28995114;  (max.):6.49671549; , (min.):3.46913356;  (max.):5.91600025; , (min.):2.82895655;  (max.):5.73066355; , (min.):3.18303596;  (max.):4.62158571; , (min.):2.87370552;  (max.):3.39311967; , (min.):1.78971466;  (max.):2.04538047; , (min.):3.05003436;  (max.):4.32462895; , (min.):0.86080161;  (max.):0.93361623; , (min.):2.07742083;  (max.):2.56218995; , (min.):2.47971619;  (max.):3.12658716; , (min.):1.49270469;  (max.):1.49270469; , (min.):2.67240266;  (max.):3.14050995; , (min.):2.70007392;  (max.):3.14089118; , (min.):3.38448417;  (max.):4.10827014; , (min.):0.46675439;  (max.):0.67109411; , (min.):1.38181014;  (max.):2.04247908; , (min.):5.18106816;  (max.):8.36825449; , (min.):1.38589238;  (max.):3.79653329; , (min.):2.85607151;  (max.):3.05974278; , (min.):3.55971672;  (max.):4.74643686; , (min.):2.95829476;  (max.):4.9291575; , (min.):2.19173354;  (max.):3.77691979; , (min.):1.76790279;  (max.):2.06950365; , (min.):2.05611419;  (max.):2.82106046; , (min.):0.43583074;  (max.):0.66238526; , (min.):2.98534678;  (max.):3.43349647; , (min.):2.09501726;  (max.):3.11671487; , (min.):2.75507818;  (max.):4.09606453; , (min.):1.11136579;  (max.):1.78979116; , (min.):0.30027065;  (max.):0.343718; , (min.):1.2977607;  (max.):2.23801905; , (min.):1.3200624;  (max.):2.9260725; , (min.):1.36647556;  (max.):3.21257599; , (min.):0.499234;  (max.):0.499234; 
81, (min.):1.93437846;  (max.):2.19528109; , (min.):5.63347318;  (max.):6.70673882; , (min.):12.41880941;  (max.):16.2105115; , (min.):10.67328681;  (max.):15.84969209; , (min.):9.22286179;  (max.):11.32179681; , (min.):7.75541565;  (max.):8.54922293; , (min.):8.08826176;  (max.):8.42211143; , (min.):6.80722388;  (max.):6.80722388; , (min.):5.4340828;  (max.):5.4340828; , (min.):2.92308323;  (max.):3.39311967; , (min.):1.78971466;  (max.):2.23370768; , (min.):3.65603509;  (max.):4.65712568; , (min.):0.86080161;  (max.):0.93361623; , (min.):3.24523008;  (max.):3.47422117; , (min.):2.47971619;  (max.):3.12658716; , (min.):2.28060754;  (max.):2.35846964; , (min.):4.05259441;  (max.):4.80506772; , (min.):4.98181796;  (max.):5.00700872; , (min.):4.93793893;  (max.):5.60379203; , (min.):0.46675439;  (max.):0.67109411; , (min.):1.38181014;  (max.):2.24225002; , (min.):5.99042986;  (max.):10.6460856; , (min.):3.05461756;  (max.):4.89382623; , (min.):3.48115658;  (max.):5.27376404; , (min.):4.4981717;  (max.):6.16816843; , (min.):4.72337105;  (max.):6.53557915; , (min.):2.7466277;  (max.):3.93541324; , (min.):1.76790279;  (max.):2.06950365; , (min.):3.19468728;  (max.):3.74548779; , (min.):1.12378318;  (max.):1.1690935; , (min.):5.20524611;  (max.):5.5551758; , (min.):3.13349458;  (max.):3.13349458; , (min.):5.03303787;  (max.):5.56050457; , (min.):1.11136579;  (max.):3.01866389; , (min.):0.30027065;  (max.):1.19304441; , (min.):1.82811302;  (max.):4.31895935; , (min.):2.52965971;  (max.):4.05803534; , (min.):2.71928559;  (max.):3.55240423; , (min.):0.87498162;  (max.):0.96121956; 
82, (min.):1.93437846;  (max.):2.19528109; , (min.):5.63347318;  (max.):6.70673882; , (min.):12.41880941;  (max.):16.2105115; , (min.):10.67328681;  (max.):15.84969209; , (min.):9.22286179;  (max.):11.32179681; , (min.):7.75541565;  (max.):8.54922293; , (min.):8.08826176;  (max.):8.42211143; , (min.):6.80722388;  (max.):6.80722388; , (min.):5.4340828;  (max.):5.4340828; , (min.):2.92308323;  (max.):3.39311967; , (min.):1.78971466;  (max.):2.23370768; , (min.):3.65603509;  (max.):4.65712568; , (min.):0.86080161;  (max.):0.94718335; , (min.):3.24523008;  (max.):3.47422117; , (min.):2.47971619;  (max.):3.12658716; , (min.):2.28060754;  (max.):2.35846964; , (min.):4.05259441;  (max.):4.80506772; , (min.):4.98181796;  (max.):5.00700872; , (min.):4.93793893;  (max.):5.60379203; , (min.):-0.189704;  (max.):0.36599376; , (min.):1.38181014;  (max.):2.24225002; , (min.):5.99042986;  (max.):10.6460856; , (min.):3.05461756;  (max.):4.89382623; , (min.):3.48115658;  (max.):5.27376404; , (min.):4.4981717;  (max.):6.16816843; , (min.):4.72337105;  (max.):6.53557915; , (min.):2.7466277;  (max.):3.93541324; , (min.):1.76790279;  (max.):1.90391761; , (min.):3.19468728;  (max.):3.74548779; , (min.):1.12378318;  (max.):1.1690935; , (min.):5.20524611;  (max.):5.5551758; , (min.):3.13349458;  (max.):3.13349458; , (min.):5.03303787;  (max.):5.56050457; , (min.):1.11136579;  (max.):3.7908189; , (min.):0.30027065;  (max.):1.19304441; , (min.):1.82811302;  (max.):4.31895935; , (min.):2.52965971;  (max.):4.05803534; , (min.):2.71928559;  (max.):3.55240423; , (min.):0.87498162;  (max.):0.96121956; 
83, (min.):1.93437846;  (max.):2.19528109; , (min.):5.63347318;  (max.):6.70673882; , (min.):12.41880941;  (max.):16.2105115; , (min.):10.67328681;  (max.):15.84969209; , (min.):9.22286179;  (max.):11.32179681; , (min.):7.75541565;  (max.):8.54922293; , (min.):8.08826176;  (max.):8.42211143; , (min.):6.80722388;  (max.):6.80722388; , (min.):5.4340828;  (max.):5.4340828; , (min.):2.92308323;  (max.):2.92308323; , (min.):1.53416895;  (max.):1.53416895; , (min.):3.65603509;  (max.):3.65603509; , (min.):0.86080161;  (max.):0.94718335; , (min.):3.24523008;  (max.):3.24523008; , (min.):2.47971619;  (max.):3.12658716; , (min.):2.28060754;  (max.):2.28060754; , (min.):4.05259441;  (max.):4.05259441; , (min.):4.98181796;  (max.):5.00700872; , (min.):4.93793893;  (max.):5.60379203; , (min.):-0.189704;  (max.):0.36599376; , (min.):1.38181014;  (max.):2.24225002; , (min.):5.99042986;  (max.):10.6460856; , (min.):3.05461756;  (max.):4.89382623; , (min.):3.48115658;  (max.):5.27376404; , (min.):4.4981717;  (max.):6.16816843; , (min.):4.72337105;  (max.):6.53557915; , (min.):2.7466277;  (max.):3.93541324; , (min.):1.76790279;  (max.):1.90391761; , (min.):3.19468728;  (max.):3.74548779; , (min.):1.12378318;  (max.):1.1690935; , (min.):5.20524611;  (max.):5.5551758; , (min.):3.13349458;  (max.):3.13349458; , (min.):5.03303787;  (max.):5.56050457; , (min.):1.11136579;  (max.):3.7908189; , (min.):1.19304441;  (max.):1.19304441; , (min.):1.82811302;  (max.):4.31895935; , (min.):2.52965971;  (max.):2.52965971; , (min.):2.71928559;  (max.):2.71928559; , (min.):0.87498162;  (max.):0.87498162; 
84, (min.):2.54369454;  (max.):2.68857247; , (min.):5.63347318;  (max.):6.70673882; , (min.):12.41880941;  (max.):16.2105115; , (min.):10.67328681;  (max.):15.84969209; , (min.):9.22286179;  (max.):11.32179681; , (min.):7.75541565;  (max.):8.54922293; , (min.):8.08826176;  (max.):8.42211143; , (min.):6.80722388;  (max.):7.54456689; , (min.):5.4340828;  (max.):7.1902025; , (min.):2.92308323;  (max.):3.39311967; , (min.):2.67700889;  (max.):2.94471827; , (min.):4.17237369;  (max.):4.65712568; , (min.):0.60131117;  (max.):0.93361623; , (min.):3.24523008;  (max.):3.47422117; , (min.):3.3412954;  (max.):3.49248656; , (min.):2.78502815;  (max.):2.93071201; , (min.):4.76723408;  (max.):4.80892767; , (min.):4.98181796;  (max.):5.00700872; , (min.):4.93793893;  (max.):5.60379203; , (min.):0.99734344;  (max.):1.40903096; , (min.):1.38181014;  (max.):2.24225002; , (min.):5.99042986;  (max.):10.6460856; , (min.):3.05461756;  (max.):4.89382623; , (min.):3.48115658;  (max.):5.27376404; , (min.):4.4981717;  (max.):6.16816843; , (min.):4.72337105;  (max.):6.53557915; , (min.):2.7466277;  (max.):3.93541324; , (min.):1.82186058;  (max.):2.06950365; , (min.):3.19468728;  (max.):3.74548779; , (min.):1.12378318;  (max.):1.1690935; , (min.):5.20524611;  (max.):5.5551758; , (min.):3.35621687;  (max.):4.55410281; , (min.):5.03303787;  (max.):5.56050457; , (min.):1.11136579;  (max.):3.01866389; , (min.):1.16612951;  (max.):1.46642408; , (min.):1.82811302;  (max.):4.31895935; , (min.):3.84146651;  (max.):4.05803534; , (min.):2.93028207;  (max.):3.55240423; , (min.):0.87498162;  (max.):0.96121956; 
85, (min.):2.54369454;  (max.):2.68857247; , (min.):5.63347318;  (max.):5.63347318; , (min.):12.41880941;  (max.):12.41880941; , (min.):10.67328681;  (max.):10.67328681; , (min.):9.22286179;  (max.):9.22286179; , (min.):7.75541565;  (max.):7.75541565; , (min.):8.08826176;  (max.):8.08826176; , (min.):6.80722388;  (max.):7.54456689; , (min.):5.4340828;  (max.):7.1902025; , (min.):2.92308323;  (max.):3.39311967; , (min.):2.67700889;  (max.):2.94471827; , (min.):4.17237369;  (max.):4.65712568; , (min.):0.60131117;  (max.):0.93361623; , (min.):3.24523008;  (max.):3.47422117; , (min.):3.3412954;  (max.):3.49248656; , (min.):2.78502815;  (max.):2.93071201; , (min.):4.76723408;  (max.):4.80892767; , (min.):4.98181796;  (max.):4.98181796; , (min.):4.93793893;  (max.):4.93793893; , (min.):0.99734344;  (max.):1.40903096; , (min.):-0.05240247;  (max.):-0.05240247; , (min.):5.99042986;  (max.):5.99042986; , (min.):3.05461756;  (max.):3.05461756; , (min.):3.48115658;  (max.):3.48115658; , (min.):4.4981717;  (max.):4.4981717; , (min.):4.72337105;  (max.):4.72337105; , (min.):2.7466277;  (max.):2.7466277; , (min.):1.82186058;  (max.):2.06950365; , (min.):3.19468728;  (max.):3.19468728; , (min.):1.12378318;  (max.):1.12378318; , (min.):5.20524611;  (max.):5.20524611; , (min.):3.35621687;  (max.):4.55410281; , (min.):5.03303787;  (max.):5.03303787; , (min.):0.40574038;  (max.):0.40574038; , (min.):1.16612951;  (max.):1.46642408; , (min.):1.82811302;  (max.):1.82811302; , (min.):3.84146651;  (max.):4.05803534; , (min.):2.93028207;  (max.):3.55240423; , (min.):0.87498162;  (max.):0.96121956; 
86, (min.):6.46500778;  (max.):6.46500778; , (min.):12.89709152;  (max.):12.89709152; , (min.):36.85883029;  (max.):36.85883029; , (min.):32.23133694;  (max.):32.23133694; , (min.):22.79651338;  (max.):22.79651338; , (min.):17.27331796;  (max.):17.27331796; , (min.):25.4350077;  (max.):25.4350077; , (min.):24.20413103;  (max.):24.20413103; , (min.):17.16174438;  (max.):17.16174438; , (min.):5.56085843;  (max.):5.56085843; , (min.):4.52742165;  (max.):4.52742165; , (min.):9.08864063;  (max.):9.08864063; , (min.):-2.10549527;  (max.):-2.10549527; , (min.):4.69410805;  (max.):4.69410805; , (min.):8.09638869;  (max.):8.09638869; , (min.):6.7001123;  (max.):6.7001123; , (min.):8.16766;  (max.):8.16766; , (min.):6.55063975;  (max.):6.55063975; , (min.):15.44005385;  (max.):15.44005385; , (min.):2.96339416;  (max.):2.96339416; , (min.):2.25422462;  (max.):2.25422462; , (min.):18.38925551;  (max.):18.38925551; , (min.):9.42135908;  (max.):9.42135908; , (min.):8.73455046;  (max.):8.73455046; , (min.):12.50100714;  (max.):12.50100714; , (min.):14.40312114;  (max.):14.40312114; , (min.):14.01723314;  (max.):14.01723314; , (min.):4.01308898;  (max.):4.01308898; , (min.):6.84288102;  (max.):6.84288102; , (min.):1.77423355;  (max.):1.77423355; , (min.):11.3778996;  (max.):11.3778996; , (min.):9.71142916;  (max.):9.71142916; , (min.):11.99499329;  (max.):11.99499329; , (min.):3.01866389;  (max.):3.01866389; , (min.):1.46642408;  (max.):1.46642408; , (min.):4.70901947;  (max.):4.70901947; , (min.):4.84483065;  (max.):4.84483065; , (min.):9.00028332;  (max.):9.00028332; , (min.):1.95934001;  (max.):1.95934001; 
