Char.\Node,ISPM,ISNSL,ISPNS,PMZS,PMZI,PMMT,NSLNA,NSLZS,NSLZI,NABR,NAFM,NAPNS,BRPT,BRAPET,PTFM,PTAPET,PTBA,PTEAM,PTZYGO,PTTSP,FMZS,FMMT,ZSZI,ZIMT,ZIZYGO,ZITSP,MTPNS,PNSAPET,APETBA,APETTS,BAEAM,EAMZYGO,ZYGOTSP,LDAS,BRLD,OPILD,PTAS,JPAS,BAOPI
76,1.01074073,3.29584715,5.03543414,4.48600833,3.90538074,3.29692212,1.98039351,2.2127567,3.02344408,2.62805726,1.47918358,2.56138285,1.32182646,2.42398706,2.06421265,1.17580162,2.40199055,2.18807741,3.11043606,0.76061902,0.70227108,4.05283907,1.90720041,2.16234071,3.11000936,3.47093575,1.69987017,2.28263191,2.01551745,0.59328722,2.52471153,2.358399,3.00185737,2.2084929,1.52575049,2.64811989,2.78717338,2.20988671,0.51599295
77,1.34209701,4.49548603,6.83085823,6.36597192,5.25396937,4.43066711,2.8100084,2.99039139,3.85756498,3.36902053,1.94080886,3.31875953,1.68378214,3.35080976,2.91363452,1.41972541,2.79131907,2.67110699,4.07721037,0.80511106,0.90470696,5.42053239,2.60069837,2.73837546,4.06869101,4.59828844,2.34427369,2.91624291,2.53159167,0.74622127,3.40292721,2.9338916,3.98984661,3.21814263,2.37304916,3.82276563,3.53543641,3.15222947,0.71609824
78,1.52808042,4.24031292,7.4134594,6.55671269,5.4396965,4.47440667,3.63307679,3.54443102,3.80352451,2.89620146,1.80837134,3.04501777,1.194477,2.59314559,2.38390393,1.39228846,2.86576659,2.79908323,3.66565926,0.73563025,0.83033556,4.99144373,2.26043449,2.24158693,3.75095661,3.77697912,2.52550838,2.15017174,2.410018,0.80244946,3.18526852,2.53916625,3.35503066,2.08690497,1.53506771,2.37999433,3.07704023,2.27473999,0.62957232
79,1.97641373,4.9977401,9.92236304,8.65841143,7.00244752,5.65096913,5.43724051,5.09775044,4.76678991,3.18291232,2.11778666,3.6827126,0.94924038,2.76998435,2.83414034,1.76961762,3.38850092,3.27420932,4.19676604,0.7664813,1.02266822,6.02781007,2.71914505,2.69747639,4.45006686,4.42623131,3.29749406,2.17128913,2.76702957,0.91227318,3.79076325,2.89802744,3.70694708,1.76419896,1.17131187,2.15531608,2.98608865,2.2301148,0.73527627
80,2.37659256,5.68922736,11.86250976,10.4366381,8.22478311,6.64356849,6.82057714,6.26889282,5.50002919,3.26924329,2.25429993,4.09945424,0.77889465,2.96868387,3.1574464,2.06891664,3.69501971,3.61003661,4.81531328,0.79693144,1.22200054,7.04654807,3.21075942,3.2786023,4.95333757,4.98513649,3.88493643,2.3009931,2.96933257,0.95921481,4.29263335,3.37870606,4.26062557,1.93201465,1.06722241,2.34197433,3.06873104,2.80865791,0.79811425
81,2.44798724,5.83923631,12.29367617,10.8370599,8.50219756,6.85973185,7.11258747,6.55652932,5.68483879,3.29753907,2.2837131,4.18911926,0.73963619,3.03260652,3.22779287,2.15470095,3.78728445,3.69836589,4.96406308,0.81552675,1.23579895,7.25937669,3.33162429,3.40372975,5.07281937,5.14360595,4.02258272,2.30572241,3.03214064,0.98627689,4.42214966,3.48979322,4.38764565,1.97187358,1.11780417,2.40429632,3.11616884,2.9123338,0.82468124
82,2.3528268,6.40619829,13.19722446,12.14757096,9.25868958,7.72570047,7.15287226,6.54620763,5.32738734,3.23329964,1.8340317,4.12250228,0.976154,3.74034776,2.84539262,2.05847042,3.78857,4.07715413,4.65789545,0.03121133,1.6892081,8.12718001,4.0776677,4.12607231,5.27074091,5.59088674,3.97620604,1.7821552,3.05110528,1.0771022,4.75003772,3.22843634,4.40362925,2.5184113,1.56184011,2.99116322,3.11131896,2.85105838,1.03265295
83,2.3629374,6.32864314,13.12881419,12.05884427,9.16566929,7.63507654,7.11720194,6.53849731,5.3171202,3.17077214,1.81348554,4.06414896,0.89390232,3.66021665,2.84820032,2.04790909,3.75937865,4.04962424,4.62454015,0.02176211,1.67719718,8.07225974,4.06923688,4.07970897,5.24893297,5.57274328,3.97644436,1.78515903,3.02318153,1.06355775,4.70721714,3.22590056,4.37069909,2.48909409,1.63459526,2.96481998,3.07365081,2.81711012,1.01874666
84,4.21876335,8.74082109,21.40902162,18.79899825,14.18000311,10.9886211,13.89652006,13.29225164,10.38727884,4.02767644,3.4516146,6.35655696,-0.43078749,3.77121814,5.28082613,4.26303727,5.94298363,5.3588958,8.768686,2.08789448,1.07416681,11.30834282,5.36059145,5.55766416,7.65482895,8.37080611,7.29016612,2.97544344,4.48028682,1.5219669,7.09995748,6.36603885,7.34019822,2.32005604,1.82614622,3.2345758,4.23040404,5.40162915,1.22368756
85,4.19591756,8.69592111,21.26955931,18.66093948,14.08993616,10.92619013,13.78991939,13.18839041,10.32033009,4.01061328,3.44248057,6.32887614,-0.41256676,3.76051988,5.25425539,4.24300635,5.92652028,5.34395769,8.70746101,2.07528281,1.05718358,11.23052907,5.3199179,5.52108498,7.60800114,8.31176118,7.22454036,2.960764,4.45851262,1.51493194,7.06215282,6.33167132,7.29482485,2.29039904,1.83158029,3.20987425,4.22640328,5.37083387,1.21493664
86,5.29932283,10.77694867,27.74892808,24.91445722,18.24278618,13.8340282,18.71477405,18.00576947,13.48016732,4.74508826,3.95322733,7.66911736,-1.25599415,4.26351394,6.53659041,5.2945493,6.85476457,6.14149898,11.52213129,2.72901324,1.6538002,14.68881908,7.11434862,7.18469418,9.71117347,10.95933649,10.11888572,3.59892495,5.47391249,1.85325505,8.8498457,8.02369503,9.40087629,3.42763392,1.74003774,4.23883624,4.54130726,6.87367096,1.59533044
87,2.53117751,5.51233975,11.19493281,9.73745913,7.70803764,6.37578631,6.6014646,5.40981669,4.88345296,3.08771818,2.22273775,4.00520612,0.86087024,2.57093284,3.07125049,1.64479927,3.18716044,3.26622186,4.41437191,0.5893364,1.66169494,6.92215065,2.84809679,3.14561233,4.65288261,4.2218535,3.5645399,2.65791183,2.60226173,0.66592325,3.82024809,3.14225073,4.00388702,1.83153279,-0.12540364,1.93044652,2.55581319,3.02448095,0.56647622
88,2.61094546,5.61475063,11.47082739,10.11923138,7.90256241,6.48581252,7.02544813,5.62845473,5.01776369,2.98015303,2.28110564,4.12921155,0.85276846,2.56776832,3.03430574,1.58574248,3.16594898,3.28425701,4.49042235,0.47381213,1.7880442,7.15731684,2.9958627,3.16308862,4.75770645,4.26288749,3.70714186,2.73624654,2.61284062,0.71931805,3.85351698,3.25256596,4.14029603,1.91936142,-0.10598924,2.08967257,2.76799932,3.31281572,0.531866
89,2.5344687,5.31064734,10.99494701,9.4412149,7.53732254,6.20821565,6.32885641,5.24682491,4.89540533,3.09732957,2.27212715,4.00454513,0.97510703,2.69721426,2.99062595,1.58594082,3.21062033,3.28454317,4.39680097,0.56216052,1.68645253,6.92665368,2.87410391,2.83547679,4.61609305,3.98989653,3.64375312,2.70256329,2.54019843,0.71885468,3.80736036,3.21479351,4.09389014,1.91386002,0.20851234,2.33944764,2.98116059,3.46777141,0.47830064
90,2.37454304,4.75951017,10.09674759,8.451277,6.7893655,5.86093716,5.78434571,4.81275216,4.52370531,2.9261363,2.13813654,3.71386344,1.09253367,2.5655918,2.705458,1.40574519,3.04955391,3.12948251,4.01529294,0.4680191,1.50463264,6.34179962,2.52099924,2.49938224,4.38534864,3.55473661,3.16951852,2.4832345,2.41275722,0.75543189,3.63627205,3.14283805,3.86844864,1.6250347,0.38759978,2.25708713,2.93833057,3.33942944,0.37949568
