"species" "X18L" "X12L"
"1" "Allenopithecus_nigroviridis" 18 12
"2" "Lophocebus_albigena" 19 18
"3" "Cercocebus_torquatus" 47 21
"4" "Cercocebus_atys_lunulatus" 3 3
"5" "Cercocebus_agilis" 26 18
"6" "Cercocebus_" 6 3
"7" "Lophocebus_aterrimus" 80 57
"8" "Lophocebus_opdenboschi" 1 2
"9" "Cercocebus_galeritus" 2 6
"10" "Cercocebus_chrysogaster" 9 9
"11" "Cercocebus_atys" 16 26
"12" "Lophocebus_albigena_johnstoni" 13 8
"13" "Miopithecus_talapoin" 37 34
"14" "Miopithecus_ogouensis" 6 4
"15" "Nasalis_larvatus" 31 27
"16" "Pongo_pygmaeus" 61 30
"17" "Pongo_abelii" 4 6
"18" "Piliocolobus_pennantii" 45 40
"19" "Piliocolobus_badius" 22 21
"20" "Piliocolobus_foai" 23 18
"21" "Piliocolobus_rufomitratus" 2 6
"22" "Piliocolobus_foai_oustaleti" 5 7
"23" "Piliocolobus_badius_rufon" NA 1
"24" "Piliocolobus_kirkii" 4 12
"25" "Piliocolobus_tholloni" 29 36
"26" "Procolobus_verus" 46 55
"27" "Piliocolobus_tephrosceles" 18 7
"28" "Piliocolobus_foai_parmentierorum" 16 16
"29" "Piliocolobus_badius_temminckii" 2 5
"30" "Piliocolobus_badius_waldronae" 7 14
"31" "Piliocolobus_foai_ellioti" 12 5
"32" "Piliocolobus_pennantii_bouvieri" NA 1
"33" "Piliocolobus_preussi" 2 2
"34" "Pygathrix_nemaeus" 15 10
"35" "Pygathrix_" NA 2
"36" "Rhinopithecus_avunculus" 6 2
"37" "Pygathrix_nigripes" 14 11
"38" "Rhinopithecus_roxellana" 5 11
"39" "Simias_concolor" 14 18
"40" "Colobus_angolensis" 20 12
"41" "Colobus_satanas" 10 6
"42" "Colobus_polykomos" 10 11
"43" "Colobus_guereza" 69 35
"44" "Colobus_" 7 6
"45" "Colobus_angolensis/guereza" 2 1
"46" "Colobus_satanas_anthracinus" 1 1
"47" "Colobus_guereza_dodingae" 5 4
"48" "Colobus_guereza_matschiei" 7 5
"49" "Colobus_angolensis_ruwenzorii" 6 6
"50" "Colobus_angolensis_palliates" 4 12
"51" "Colobus_guereza_occidentalis" 31 18
"52" "Colobus_polykomos_occidentalis" NA 1
"53" "Colobus_vellerosus" 18 24
"54" "Colobus_satanas/guereza" NA 1
"55" "Presbytis_" 1 1
"56" "Colobus_guereza_kykuyuensis" 12 6
"57" "Colobus_guereza_caudatus" 6 5
"58" "Colobus_angolensis_cottoni" NA 2
"59" "Gorilla_gorilla" 144 57
"60" "Gorilla_beringei_graueri" 45 37
"61" "Gorilla_beringei" 6 2
"62" "Mandrillus_leucophaeus" 31 29
"63" "Mandrillus_sphinx" 29 12
"64" "Papio_ursinus" 37 10
"65" "Papio_anubis" 132 43
"66" "Papio_hamadryas" 46 10
"67" "Papio_cynocephalus" 21 3
"68" "Papio_papio" 20 3
"69" "Papio_" 15 6
"70" "Papio_hamadryas_ursinus" NA 2
