"","formula","AICc","R2","deltaAICc","weight"
"1","normas ~ size + cvn",-11.6829765235122,0.724680515033917,0,0.0732356600057618
"2","normas ~ size + cvn + mating",-10.2525957659311,0.72495630856456,1.43038075758106,0.0358194872571919
"3","normas ~ size + cvn + prop",-10.0144971830355,0.723023445311681,1.66847934047665,0.031799252736391
"4","normas ~ integration + size + cvn",-9.636304054573,0.719925345793342,2.04667246893917,0.0263204506013627
"5","normas ~ size + clima + cvn",-9.23970698752734,0.716639253236896,2.44326953598484,0.0215860590701083
"6","normas ~ size + nmds1 + cvn",-9.1316489673307,0.715737250006781,2.55132755618147,0.0204507321295096
"7","normas ~ size + nmds2 + cvn",-9.11367213631686,0.715586911930246,2.56930438719531,0.0202677361059007
"8","normas ~ size + cvn + aggression",-9.10984502090099,0.715554895960332,2.57313150261119,0.0202289897068113
"9","normas ~ size + cvn + dominance",-9.10628020346408,0.71552507101839,2.5766963200481,0.0201929654936654
"10","normas ~ size + cvn + social",-9.10406259542094,0.715506515887085,2.57891392809124,0.020170587860816
"11","normas ~ integration + size",-8.56635552891587,0.698250407287563,3.1166209945963,0.0154154763656436
"12","normas ~ size + cvn + social + mating",-8.11710006357177,0.720679624134861,3.56587645994041,0.0123140911785317
"13","normas ~ size + cvn + mating + aggression",-8.00983705489946,0.719797034322224,3.67313946861272,0.011671065289579
"14","normas ~ integration + size + cvn + mating",-7.98014113878264,0.719552195540129,3.70283538472954,0.0114990539702396
"15","normas ~ size + nmds2 + cvn + mating",-7.96396159234652,0.719418707361346,3.71901493116566,0.0114064044933088
"16","normas ~ size + cvn + mating + prop",-7.86208161625185,0.718576693062402,3.82089490726032,0.0108399134023074
"17","normas ~ size + clima + cvn + prop",-7.79186395844024,0.71799488997826,3.89111256507194,0.0104659400342487
"18","normas ~ size + nmds1 + cvn + mating",-7.72148978425724,0.717410583222577,3.96148673925494,0.0101040778639172
"19","normas ~ size + clima + cvn + mating",-7.70980148267929,0.717313419748121,3.97317504083288,0.0100452003214907
"20","normas ~ size + cvn + mating + dominance",-7.58216268338017,0.716250196586647,4.10081384013201,0.00942414997395175
"21","normas ~ integration + size + cvn + prop",-7.56851031814329,0.71613623676869,4.11446620536888,0.00936003807392521
"22","normas ~ size + cvn + social + prop",-7.33206169010398,0.714155262496949,4.3509148334082,0.00831636320251903
"23","normas ~ size + cvn + prop + aggression",-7.31583204490977,0.714018784082822,4.36714447860241,0.00824915046901322
"24","normas ~ size + nmds1 + cvn + prop",-7.30192480185334,0.71390178338275,4.38105172165884,0.00819198797223715
"25","normas ~ size + cvn + prop + dominance",-7.27246243109971,0.713653760298153,4.41051409241247,0.0080721947929095
"26","normas ~ size + nmds2 + cvn + prop",-7.26857770567096,0.713621041472582,4.41439881784122,0.00805653088014534
"27","normas ~ integration + size + clima + cvn",-7.01409372364744,0.711469503761958,4.66888279986473,0.0070939411527398
"28","normas ~ integration + size + mating",-6.91165349782583,0.696557246725074,4.77132302568635,0.00673973730098436
"29","normas ~ integration + size + nmds1 + cvn",-6.89931899768018,0.710493857676842,4.783657525832,0.00669829956540312
"30","normas ~ integration + size + nmds2 + cvn",-6.87648372701517,0.71029935262807,4.80649279649701,0.00662225576988323
"31","normas ~ integration + size + cvn + aggression",-6.87635211982481,0.710298231252716,4.80662440368737,0.00662182001598263
"32","normas ~ integration + size + cvn + dominance",-6.87335833304783,0.710272721149484,4.80961819046435,0.00661191527240297
"33","normas ~ integration + size + cvn + social",-6.87312237400056,0.71027071044331,4.80985414951162,0.00661113524780317
"34","normas ~ size",-6.80022212584517,0.669448770299915,4.88275439766701,0.00637449748502553
"35","normas ~ size + nmds1 + clima + cvn",-6.60175732412682,0.707949034120298,5.08121919938536,0.00577231296798928
