"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.00682356262240037 0.00421448760798512 0.00329791297083979 0.00194292674225605 0.00130873486933929 0.00143178442624887 0.00107891128768962 0.0013591163897934 0.00144014887671713 0.00143802072843872 0.0014748274028051 0.00124499012096418 0.000367688881716244 0.000967949699960427 0.00418442826500079 0.000651650533748937 0.00105689925453727 0.00090248011402422 0.00183581638099886 0.0028449369690118 0.00282759227143674 0.00112642943821808 0.00232435231867908 0.00194039834740031 0.00315897286714126 0.00273546096667853 0.00280951329506579 0.0012841291830366 -0.000104374518861616 0.00138934947464941 0.00311301068070701 0.00253466837681729 0.000559532592929001 0.00133658496318138 0.000642258658041577 0.000773685630624266 0.000615083217423145 0.000423273358273549
"V2" 0.00421448760798512 0.0112003063913176 0.00380819504958731 0.00332274235139427 0.00219359562784284 0.00187378248668779 -0.00335291429478932 -0.00061317504296947 0.00113720270108311 0.000466168014501064 0.00206286823847 0.00163604599226549 0.000684322007030709 0.000393300303355769 0.00551048147657959 0.000415921774032597 0.00145577174713482 0.00139919234107585 0.00151760210037851 0.0030114959790864 0.00291903973914862 0.00137360544361785 0.00274224474962216 0.00332894063937137 0.00226155151708435 0.00352147917705929 0.00329218070636061 0.00233513940394668 0.000950185801211526 0.00138949489013513 0.00306654999031642 0.00310121388551229 0.000139873718655564 0.00229362476266605 -0.000728650031687193 0.00171223089990563 0.000190433099478125 -0.000457720615680452
"V3" 0.00329791297083979 0.00380819504958731 0.00423493405970285 0.00261735941472718 0.00192831033398268 0.00151800332746397 0.00161710188128621 0.00140424309824338 0.00167845343964137 0.00115343395467364 0.00194735329592752 0.00197827041557784 0.000398439856353872 0.000841124806191314 0.0027049540772544 0.00154979371688132 0.00168683432117936 0.00163390905469588 0.00307480227348162 0.00240647878159156 0.00251748447103457 0.00202803782627385 0.00218943065599682 0.00277707160850155 0.00343235425219149 0.00260705394130053 0.00110375333907704 0.00170090590922692 0.000413859790400052 0.00130179617579027 0.00281742791857751 0.00270030476426913 0.0012081428745432 0.000690584204800593 0.00182413323710392 0.00111057971581188 0.0010132250338542 -0.000593667947135094
"V4" 0.00194292674225605 0.00332274235139427 0.00261735941472718 0.00350727654584143 0.00201632002290089 0.00124476757165929 0.00220034214471046 0.00260247748427857 0.0017641319996149 0.00109686700218722 0.00180683542446906 0.00191030654061651 0.000551210880862567 0.000161458288742088 0.00238420893522137 0.000525418479047688 0.00106652338775172 0.00111795730069377 0.00230217972406914 1.03263457641363e-05 0.00207472283113333 0.0016296361515894 0.00244448244680844 0.00174642980268676 0.00231147593153364 0.00221176447487391 0.00162264324309035 0.00162015001431646 0.0012161416438336 0.00114952601376507 0.00232361384906836 0.00254486224075746 0.000515515321426182 0.000351439750942013 0.000382122682834139 0.000948650191515021 0.00076499810192298 -0.000562873865740553
"V5" 0.00130873486933929 0.00219359562784284 0.00192831033398268 0.00201632002290089 0.00231494716936908 0.00103990776836191 0.00103792721554143 0.001105117171441 0.0017624284492589 0.000671268852458139 0.00126588927963827 0.001367787807736 0.000261708527424189 0.000647767138139343 0.00157542654853527 0.000732387041000484 0.000952663016299131 0.000978231031480471 0.00190059669969287 0.000818643659613668 0.00151875046064907 0.00231695457310208 0.00178654168052181 -0.000227884302869516 0.00144730634318789 0.00144730827287583 0.00115399167285444 0.00133454920983591 0.000839876185195252 0.000852611129608751 0.00179428754396535 0.00170426424982453 0.000523423679308777 0.000956875605471362 0.000869095534410704 0.00072692675491494 0.00079728855217166 -0.000515226592188846
"V6" 0.00143178442624887 0.00187378248668779 0.00151800332746397 0.00124476757165929 0.00103990776836191 0.00139713536852437 0.000414486503228008 0.000483728014507398 0.000787372164664469 0.000556611949718725 0.000770046923451557 0.000754169202990166 0.000300918755388863 0.000539017197999689 0.000697059228812749 0.00067013034759857 0.00079194878043843 0.000792012354913502 0.00114117069208554 0.00105069953614364 0.000864354516749528 0.00100317433173863 0.000929477852863819 0.000766832006133083 0.00110886320353716 0.000793139171356656 0.000589286315138669 0.000950838239693693 0.000471407499087763 0.000700499130941497 0.000971447289535767 0.000816152284588624 0.00029979736113917 0.000534211273463252 0.000376543469659043 0.000610592645975622 0.000426313441998852 6.1867185001054e-05
"V7" 0.00107891128768962 -0.00335291429478932 0.00161710188128621 0.00220034214471046 0.00103792721554143 0.000414486503228008 0.0127531611982029 0.00386634187873052 0.00206461599892994 0.00119075046623666 0.00098540729830492 0.00299867539473568 0.000814210331934178 0.000737207184200907 -0.000202188429232152 0.00172191935441197 0.00146543753503727 0.00129433320081875 0.00254067550657942 0.00167696200532609 0.00193007872766149 0.00168963694298593 0.00165007099109688 0.00199792713569633 0.00260409076418633 0.00117688132789185 0.00160330025604763 0.00144267214630938 0.000604008143380746 0.00122082750064435 0.00157447692622463 0.00084429265822106 0.00127503496150408 -0.00236611410961356 0.00241490935595118 0.000406784608683778 0.0010239611793098 -0.000884535421066021
"V8" 0.0013591163897934 -0.00061317504296947 0.00140424309824338 0.00260247748427857 0.001105117171441 0.000483728014507398 0.00386634187873052 0.00518225547836356 0.00222568510857245 0.0012247696696442 0.00189566851610014 0.00180839310321368 0.000576675544254585 -0.000220824375760817 3.85733815308491e-05 0.000210506680614567 0.000636258884708735 0.000761741523374553 0.00223150711084021 -0.00162641463870716 0.000971928613866098 0.000452647852920775 0.00157117739887454 0.0014672564861522 0.00218667236185338 0.00110671080198993 0.000364969153779101 0.0012181318795133 0.000980282532391691 0.000886498646775458 0.00127760001723033 0.00229350237330408 0.000582181082704832 -0.00045324921876807 0.000745447072234844 0.000621045979484144 0.000840132036553433 -0.00021982330850386
"V9" 0.00144014887671713 0.00113720270108311 0.00167845343964137 0.0017641319996149 0.0017624284492589 0.000787372164664469 0.00206461599892994 0.00222568510857245 0.00220920202313456 0.00108845387259894 0.00156435164947491 0.00171131072156289 0.000574930177418364 0.000496283581677726 0.0015449947410084 0.000528144414054437 0.0010158760034507 0.00104610032388642 0.00224159439581931 0.000473178976238203 0.00150080500813129 0.00227199948879736 0.00157429473479127 0.000796375296734582 0.001991649752489 0.00167138486705944 0.000828776271419787 0.00169872821248937 0.00078002260763625 0.00109738119299711 0.00154956327342597 0.00210186921207364 0.00065954254429531 0.000714495237808982 0.000946795667563196 0.000856733407665298 0.000831669614224929 -0.000487985977262319
"V10" 0.00143802072843872 0.000466168014501064 0.00115343395467364 0.00109686700218722 0.000671268852458139 0.000556611949718725 0.00119075046623666 0.0012247696696442 0.00108845387259894 0.00312023408005915 0.00108972924325146 0.00136674257535708 0.0018260969294526 0.00105899480143423 0.00104029546415706 0.000910689240605327 0.00121495138515503 0.00131626659118087 0.00202871820074975 0.000615123108914398 0.00150775736583081 0.00134085377492416 0.00104578214088063 0.00173897369657789 0.00151698529004462 0.00165324309861732 0.000688071769996983 0.00153053429251639 0.000743821805553164 0.00126876967496405 0.001008584269903 0.0016671544110261 0.000758933259448794 -0.000854915180609087 0.000143598882730371 0.00116313071677008 0.000943374349953458 0.000669215163964038
