"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.00733562795526308 0.00372134896034994 0.00404354171403393 0.00251365027526068 0.00211867688551328 0.00231669163018381 0.00283567405843102 0.0040296115431214 0.00345404267955752 0.00223486172617676 0.00258705926399235 0.00273441367835742 0.00176243029773647 0.00112279734995015 0.00279114239444227 0.00265016396743081 0.00367679756996738 0.00407431670940433 0.00425187647486697 0.00164808914340504 0.00298874149399903 0.00266692107592763 0.00348795850534267 0.00507584911397927 0.00391273184312358 0.00264476455583691 0.00258706552101408 0.00485487162701678 2.13120124127921e-06 0.00234782427813671 0.00391792595933814 0.00441262820408779 0.00315356286368496 -0.000282833959078062 0.00320890753768344 0.00283897806808601 0.0019944358921319 0.0007562564207018
"V2" 0.00372134896034994 0.00686881434738421 0.00321228221879961 0.00299673181188999 0.00169993458260876 0.00196949836675846 -0.000704423784033993 0.00141268042621177 0.0019465377325367 0.0021075292315021 0.00208984258102098 0.00259372979522908 0.00114828866208658 0.00117865144640535 0.00248332951387461 0.0032570093811767 0.00325658541407409 0.00368745680210446 0.00528668206473699 0.00249731389178639 0.00382851140936605 0.00188761124536754 0.00327008337878322 0.00507643757346579 0.00432104316895018 0.00363948411047787 0.00357689029812414 0.00349008442569767 -0.00181893067492942 0.00202836882199186 0.00477436697817169 0.00579243589133196 0.0022964372347714 0.000100559353827477 0.0021710740290689 0.00252889409454753 0.00160953959201035 0.000540480164417736
"V3" 0.00404354171403393 0.00321228221879961 0.00485870882629194 0.00364691046971831 0.00244409070729199 0.00228879365216853 0.00410521393833432 0.00398939155893239 0.00312598667686238 0.0017834864016229 0.00249453904393663 0.00344310692562645 0.00144206686646599 0.00148453381593709 0.00443385427376025 0.00300566454107041 0.00376829895119986 0.00409081852948235 0.0040151060042815 0.00117084808245923 0.00355479911222569 0.00258553414272317 0.00350923914275621 0.00571504247924633 0.00431368893979324 0.00289573347890514 0.00277007155086394 0.00470064601897394 -6.92605043156588e-05 0.00240406729190542 0.00436341682555202 0.0048896040008787 0.00284136595967177 0.00166643014990299 0.0026272608577761 0.00278212609166202 0.00147482123734581 -0.000109916753225131
"V4" 0.00251365027526068 0.00299673181188999 0.00364691046971831 0.00538204988427158 0.00250635383580315 0.00258820843641305 0.00480825443192819 0.00506182614099902 0.00278098743556644 0.00185732694783103 0.00307444596692318 0.00327824946815302 0.00225939766532993 0.00155508762079431 0.00283547213111898 0.00281664071001237 0.0036459075437122 0.00360124839947256 0.00399842439200204 -0.000233630146306542 0.0037258358072332 0.00179473910471325 0.00332725838184239 0.00537520402564986 0.00369850471485776 0.00283048097458434 0.00364356494154491 0.00476947902843835 -0.000608528330983347 0.002605256397604 0.00384906402917633 0.00525351500008191 0.00265440373817321 0.00180864235800125 0.00228923619832759 0.00277963290867813 0.00133769002297933 -0.000612659364842597
"V5" 0.00211867688551328 0.00169993458260876 0.00244409070729199 0.00250635383580315 0.00324228627286816 0.00175271743917716 0.00215710436323545 0.00274802181016442 0.0030985918477399 0.00104723389280926 0.00160068687641839 0.00167394435362504 0.00153838526810817 0.000865237329330188 0.000139828799445492 0.0025646926041345 0.00266016634937096 0.00263290948950017 0.00224152468770633 0.000180243783521434 0.00216236685214808 0.00344431131593349 0.00203054908817226 0.000738849605041101 0.00141001606830578 0.00202719607155828 0.001883934168883 0.00281046140011399 0.00157100732466993 0.0018246749215521 0.00212801199011548 0.00227688106740326 0.00194551576467658 0.000587368623769234 0.00180535161284586 0.00191368476314178 0.000766673636549112 -0.000122187324416725
"V6" 0.00231669163018381 0.00196949836675846 0.00228879365216853 0.00258820843641305 0.00175271743917716 0.00199578386669035 0.00240618444498064 0.00271897862928795 0.00202472313341274 0.00129812003799901 0.00182643657083877 0.00193665842315845 0.00134447592131185 0.00110378266129219 0.00148248041682177 0.00196254499839156 0.00231014697949956 0.00242953211430082 0.00244169263045713 0.000504144017971004 0.00206948350733804 0.00162496605907219 0.0022427246653441 0.00290353414637591 0.00209195263930892 0.00184841925944172 0.00211212114133258 0.00285248863296788 0.000185797821004124 0.00153075723799978 0.00250417768565609 0.0029394073296493 0.00158539917458009 0.00136888480606445 0.00127398891216392 0.00180612820918635 0.00121660540362426 0.000421189416631477
"V7" 0.00283567405843102 -0.000704423784033993 0.00410521393833432 0.00480825443192819 0.00215710436323545 0.00240618444498064 0.0131641914303376 0.00636800267954433 0.00313455187912321 0.000330132204918886 0.00209762055259252 0.00452091978886566 0.00230687438995172 0.00157703973934309 0.00532109444027045 0.000982403054316325 0.00269224821279147 0.00251214967656562 0.00129724912730084 -0.000534834966907977 0.00325363409373301 0.00166869110741878 0.00375262808381004 0.00548719313189828 0.00196923867349697 0.000944761269909302 0.00205583251175657 0.00456364673613773 0.000919458477205758 0.00219265607442925 0.00183056433671734 0.00353620820935171 0.00268941457196779 0.00262685158642101 0.00245637494021102 0.00223111258572045 0.00138667222280434 -3.48333672353842e-05
"V8" 0.0040296115431214 0.00141268042621177 0.00398939155893239 0.00506182614099902 0.00274802181016442 0.00271897862928795 0.00636800267954433 0.00718893142880748 0.00380120492834261 0.00187293044943449 0.00390476211378532 0.00362287047128205 0.00282504104988467 0.00156483845203759 0.00218305531455221 0.00254237113083529 0.00383465611110682 0.00371629361819324 0.00350464745197765 -0.000383624787824543 0.00291538952725784 0.00140016897304293 0.00313008391690988 0.00537786826705986 0.00332420330812595 0.00213971483795494 0.00278371426654763 0.00530894353722218 0.000326337965322003 0.00258568398319659 0.00315659877319835 0.00454838453282947 0.00316848655919213 0.00161742367753436 0.00274746492469037 0.00284552756268334 0.00096609727778227 0.000189128935830443
"V9" 0.00345404267955752 0.0019465377325367 0.00312598667686238 0.00278098743556644 0.0030985918477399 0.00202472313341274 0.00313455187912321 0.00380120492834261 0.00366218492232044 0.0015531884696231 0.00226282577216698 0.00237208397128124 0.00185184438917428 0.00105841128953615 0.00114635510882229 0.00277692134258241 0.00320887499428905 0.00331272333565909 0.00311996177929569 0.000456940529574663 0.00253652533074535 0.00357929560444351 0.00269095618301141 0.00237874475211132 0.00229565750167435 0.00206304574072436 0.0020465476979895 0.00372273444645903 0.00168296224834337 0.00206020101106611 0.0027669595019934 0.00332168123647034 0.00229579832420943 0.000252600968691959 0.00241469611643736 0.00239320637457649 0.0011199868737606 0.000238916474235498
"V10" 0.00223486172617676 0.0021075292315021 0.0017834864016229 0.00185732694783103 0.00104723389280926 0.00129812003799901 0.000330132204918886 0.00187293044943449 0.0015531884696231 0.00335602463670356 0.0014728307040747 0.00134356219875992 0.00212930630935403 0.0010077748016837 0.00151946233895429 0.00230215501661974 0.0024843553841982 0.00245788806703736 0.00303908949318098 0.000577524231766165 0.00213246026156077 0.00158056199984918 0.00211389459454132 0.00224687772603694 0.00238986330583701 0.00223523512290782 0.00220375574685844 0.0027790033327233 0.00126753868656058 0.00150444522920329 0.00316206197505436 0.00319572547542754 0.00130073272635025 -0.00142870341445181 0.00102357225640318 0.00183003994513401 0.000971409090625692 0.000191801419750427
