"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.00592458189206339 0.00347565234779875 0.00347880924334756 0.00289395912344946 0.00236695680993301 0.00190352867393372 0.00263323589771789 0.00259881828332499 0.00244380266289603 0.00181264921297595 0.00182787763597283 0.00295691736698663 0.00122194715818526 0.000530537397423369 0.00227117338875902 0.000805072554098577 0.00173632861720959 0.00333060864029517 0.00296072478965306 0.00117821436852918 0.00302675273627866 0.00262957560781851 0.0036179696728611 0.00293889653456407 0.00421228205964865 0.00241057846494533 0.00287525625857527 0.00227406167295446 0.00193886477873823 0.00104554337125936 0.00332755240014407 0.00265572654697727 0.000933693011232409 0.00144672278380897 0.00184391993027696 0.00240651270355585 0.00204658981897966 -0.000421801857014827
"V2" 0.00347565234779875 0.00886242240948456 0.00465055739096032 0.00519674418513994 0.00414869415586336 0.00213599215950317 0.000816028147864068 0.00184249592863689 0.00273294820630743 0.0015293894161743 0.00223345521551221 0.00247254186174331 0.00089248162660253 0.000314809523587945 0.0033010238899987 0.00161282224048905 0.00264367058182685 0.00413571662032666 0.00519377655684053 0.00260684510779432 0.00433526310981875 0.00359026574577714 0.0054247682627104 0.0030656165157671 0.00505989899041032 0.00357241042881147 0.00452353221574227 0.00300453522668027 0.00144872353778394 0.00132221933980146 0.00573582048628289 0.00523550322126928 0.000467155228159636 0.00227026852061098 0.000227559270613495 0.00269718992880136 0.00148169633462496 -0.00163979063269065
"V3" 0.00347880924334756 0.00465055739096032 0.00534219369401143 0.0048108150089459 0.00397913970190518 0.00243690238148883 0.00304226632558385 0.0031266342954654 0.00320348991008079 0.0018421285404497 0.00207016589339024 0.00340870511544406 0.00110946340088734 0.000507012726141074 0.0045712891503749 0.00127111375116842 0.00226015978022364 0.00407520622406447 0.00469081401672776 0.00153444262104614 0.004138106036492 0.00381531313432082 0.0050795546208361 0.0037486357502633 0.00555550669372583 0.00322198173294737 0.00334378515902832 0.00256508319543697 0.00177333688119083 0.0014511551528389 0.00523624857737658 0.0046052052627668 0.000525277282326337 0.00234938622967806 0.00101309185605216 0.00274758640079284 0.00234792311414119 -0.00153220382915288
"V4" 0.00289395912344946 0.00519674418513994 0.0048108150089459 0.00707089652955882 0.00483020523180985 0.00254352953742642 0.00393777072534687 0.00497203235931247 0.00380676389544702 0.00166492466547664 0.00260564666416748 0.00325813997983207 0.00136659284172031 0.000630090989510929 0.00435308714185204 0.00144140745714823 0.00317511043152804 0.0050036268752365 0.00557473987971735 -0.000126302546590809 0.00401026126074377 0.00368806002492381 0.00586323182778055 0.00417093525251955 0.00496684027565816 0.00334674556573907 0.00535131718153254 0.0040206797009662 0.00183828685740189 0.00207406737207587 0.00640120806238697 0.00569240153042837 0.000464877760995041 0.00393096051627143 0.000888739439781565 0.00359810185915522 0.00252590543929637 -0.00194164128403748
"V5" 0.00236695680993301 0.00414869415586336 0.00397913970190518 0.00483020523180985 0.00484522381139793 0.00240984928787316 0.0023711727405009 0.00276178685867168 0.00356692266875326 0.00222449502553938 0.00200421709447669 0.00276110676611022 0.00143556844092167 0.000657815291297347 0.00511924456430861 0.00121689011665013 0.00240779347474062 0.00408030338383274 0.00413009367685551 0.00144958601959125 0.00376433658082383 0.00454076017609151 0.00518982869921219 0.00112340650860651 0.00409522695340886 0.00265319009606099 0.00456713327440153 0.00291373847782628 0.00185308672940093 0.00147593529466436 0.00556226559545117 0.00355695682675286 0.000583548022341836 0.00182362378842776 0.00168930727025961 0.00280505598675393 0.00258359457758859 -0.00186961961481412
"V6" 0.00190352867393372 0.00213599215950317 0.00243690238148883 0.00254352953742642 0.00240984928787316 0.00241188677670044 0.0019455394736524 0.0018211062761331 0.00193692057123246 0.0012063807230763 0.00109083823180306 0.00187806648698825 0.000645006306813733 0.000460490690456202 0.0023620855036156 0.000835836177309338 0.00155228276805103 0.00254313390145057 0.00274631493502861 0.00126903549699997 0.00235455496162911 0.00210427937598941 0.002772975078001 0.0016766627282593 0.00276273067968336 0.00217576726764483 0.00274870482185474 0.00189162173045681 0.000745017538672249 0.000792693145237344 0.0033949775755394 0.00210509884783664 0.000442898199812838 0.00108579479866097 0.0012095241599815 0.00167356920335259 0.00140651041066345 -0.000776714608667933
"V7" 0.00263323589771789 0.000816028147864068 0.00304226632558385 0.00393777072534687 0.0023711727405009 0.0019455394736524 0.0084221318743336 0.00429480209467859 0.00280881325697997 9.73962320792555e-05 0.00105740212121968 0.00284821729549069 0.00112319309743819 0.000115293072979717 0.00282273758584811 0.000490429986196191 0.00193307296687463 0.00316291523154599 0.00179310309655271 0.000587041108462171 0.00209053992749841 0.00196171604947515 0.00320099169559337 0.00365962514057413 0.00260950440331028 0.00187477121200357 0.00324712006549838 0.00271004220421709 0.00204222206730697 0.00167633392186296 0.00360508274312585 0.00234643295387695 0.00020277922285156 0.00266260720148803 -0.000252738124707398 0.00252119792139071 0.00188954250650064 -0.000512321066898528
"V8" 0.00259881828332499 0.00184249592863689 0.0031266342954654 0.00497203235931247 0.00276178685867168 0.0018211062761331 0.00429480209467859 0.00569246275652531 0.00299493606084365 0.000587045660362232 0.00221902149819221 0.00257299376992285 0.000730994582069569 0.000287629140778552 0.00102004549581375 0.00114142185005653 0.00251697753320918 0.00376763869152847 0.00394375243650315 -0.00139906095305938 0.00191810088855972 0.00126540465445228 0.00319592385868544 0.00415539194146516 0.00300632777484062 0.00197879446968851 0.0033184209495178 0.00326217612019407 0.00137372718461769 0.00164068455312823 0.0036620348144982 0.00400069750512492 0.000267160351497503 0.00360837283855392 0.000468451456564718 0.00292651052469777 0.00169275378457059 -0.000853980119963997
"V9" 0.00244380266289603 0.00273294820630743 0.00320348991008079 0.00380676389544702 0.00356692266875326 0.00193692057123246 0.00280881325697997 0.00299493606084365 0.00324108928679635 0.00169247158323841 0.00173491955393149 0.00234922112919679 0.00107568242558193 0.000483426616452605 0.00377330949742744 0.00101777014197952 0.00203673143424686 0.00351803736564356 0.00380603727751516 0.000818701908178577 0.00302236825237602 0.00377672526752879 0.00409417180393739 0.00182265022570878 0.00364492062729485 0.00235754199877742 0.00351408564233189 0.00251833598702481 0.00153760495114954 0.00118920536212533 0.00444627367482965 0.00339613949794385 0.000478090973169294 0.00175352573955064 0.00141954264539877 0.00244875777211194 0.00206117177991024 -0.00122519982860928
"V10" 0.00181264921297595 0.0015293894161743 0.0018421285404497 0.00166492466547664 0.00222449502553938 0.0012063807230763 9.73962320792555e-05 0.000587045660362232 0.00169247158323841 0.00443028850281945 0.00121378557508216 0.00180060657962003 0.00242406631295112 0.00142372684173606 0.00450513047780835 0.000190011907740254 0.000761570014847739 0.00220067693468915 0.00191960239154276 0.00114861569569472 0.00212241692858555 0.00300855519031038 0.00263019427447429 -0.000238257441208925 0.00317080455893897 0.00187565127865431 0.00229796568061229 0.00116301849596625 0.00133272005995814 0.000408071536634412 0.00371499186964903 0.00148335632796601 0.000682675019812845 -0.00187592052215837 0.0024728565895115 0.00141644372886515 0.00173549703620104 -0.000573394191749396
"V11" 0.00182787763597283 0.00223345521551221 0.00207016589339024 0.00260564666416748 0.00200421709447669 0.00109083823180306 0.00105740212121968 0.00221902149819221 0.00173491955393149 0.00121378557508216 0.00229739944690619 0.00164635063029445 0.000495922752109086 0.000237581797054252 0.00168986805708409 0.00057204203340711 0.00118295687338429 0.00205816045454023 0.00304342644890753 0.000587667985754604 0.00183508746149143 0.00167759600947116 0.00259774887656758 0.00254064789338575 0.0028822250853432 0.00164577903220213 0.00225095079205341 0.00159069460221499 0.00075872701343718 0.000629413998214671 0.00249755050957172 0.00316573589108346 0.000328933073543071 0.000734187803202306 0.000602090350667107 0.00139911548926813 0.00119044754527219 -0.000952461879347688
