"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.00684650175161112 0.00370699617882223 0.0043497446841337 0.00396053866647606 0.00286926887545744 0.00189522699118062 0.00388017494801298 0.00421583373512231 0.00353649446275331 0.00165187626960012 0.00361443718263837 0.00297056971277293 0.000431214355672923 0.00124703527290593 0.00262202785426686 0.00204011755925549 0.00243327861421075 0.00349358733870798 0.00684507628923612 0.00166447492781374 0.00398192059540524 0.00365823810477721 0.00326479958531191 0.00380851803164351 0.00589188053865794 0.00504146633826043 0.00346591056650843 0.00316132523303536 0.00174667676620301 0.00170666580088424 0.00553868810679781 0.00859504256762902 0.00347325933913675 0.000105104539889561 0.00334549837628516 0.00232701710685746 0.00221440955483914 0.00202403929348565
"V2" 0.00370699617882223 0.00678359017138026 0.00418369686202351 0.00424464494095518 0.00269051492581685 0.00185146776097141 0.000724944845805299 0.00129482091420725 0.00215453473590608 0.000125085980347248 0.00239479531255878 0.00194891095627807 0.000776302470742327 0.00076430871498054 0.00705118749608843 0.000336478797162521 0.00131192912915215 0.00174430565417741 0.00181849834787174 0.00256189580331371 0.0038102796564004 0.00279896173531177 0.00230068351924689 0.00272787356336773 0.00287924738626686 0.00421192398727266 0.00407764469148006 0.00243237369957317 3.82738584155964e-05 0.0011432131719164 0.00461085400796496 0.00489572793442069 0.00229788884682032 0.00161045019082187 0.000749141366498418 0.00183172037593829 0.00134049009195006 0.00149622150134987
"V3" 0.0043497446841337 0.00418369686202351 0.00462435127773534 0.0039227763093815 0.00268450383902404 0.00199577715168991 0.00225199622455309 0.00287062502752371 0.00265467037988027 0.000854088779075832 0.00306447414986883 0.00238155872429352 0.000344038788039191 0.000732350586577603 0.00342288622457642 0.00152191830210412 0.00210869799787651 0.00264808870068267 0.00456103792815247 0.00196539395318893 0.00382614296461473 0.00278411460159282 0.00313588064307421 0.00382542984623951 0.00471181099026282 0.00433847389238194 0.00265845620620968 0.00281061919376752 0.00102955053143855 0.0017046055965125 0.00441491196004587 0.00682728121654749 0.00246880441792728 0.000912469926823063 0.001848789962003 0.00206741761968756 0.00176746279740793 0.00157318261114745
"V4" 0.00396053866647606 0.00424464494095518 0.0039227763093815 0.0048974347099601 0.00325699759355735 0.00201592641048673 0.00321169788898564 0.00369189781314403 0.00318680617526128 0.000324468554052659 0.00337925208429414 0.00291470364929522 -0.000120413912767147 0.000591104140532506 0.00273270114371518 0.00138203844564994 0.00227485066681973 0.00273936670479734 0.00507506210996287 0.00189478465803744 0.00395874948488774 0.00345375705314017 0.00266394472582566 0.00303486997720009 0.00477919098037047 0.00434297959787585 0.00327405596773571 0.0036826150530686 0.00160436383893378 0.00177301398580616 0.00480698377861409 0.00751277567132899 0.00269531798375361 0.00148616627815256 0.0025540741760457 0.00201997764436886 0.0016937428726964 0.000758286400708889
"V5" 0.00286926887545744 0.00269051492581685 0.00268450383902404 0.00325699759355735 0.00315947031216383 0.00138234862809374 0.00308787414558672 0.00251177613850263 0.00311616240588625 0.000488806834097165 0.00254094424168937 0.00202806634898544 -0.000168374481097084 0.000159932975402744 0.000881969545905911 0.00110994819143746 0.00155699554635053 0.00230926161534956 0.00434660288110374 0.0018286225059341 0.00270781643001162 0.00401112839410109 0.00181857618265849 0.000976432172656194 0.00337643464958189 0.00316544141111826 0.00251146637806885 0.00236350165106728 0.00112496315133017 0.00112408334258873 0.00384651277440302 0.00587537589385208 0.00206053402062192 0.00077152648754362 0.00249124975674847 0.00168489721835623 0.00160567931857606 0.000544269043166033
"V6" 0.00189522699118062 0.00185146776097141 0.00199577715168991 0.00201592641048673 0.00138234862809374 0.00130200703843119 0.00149769510685879 0.00159135902402769 0.00135332209309303 0.000251583499688261 0.00138147283611843 0.00126035612940485 4.57825035144381e-05 0.000264821978586601 0.00140049856812247 0.000649466515699841 0.00101425322386933 0.00119631077477646 0.002301344899792 0.000847366289359217 0.00184513037248841 0.00137624015282742 0.00145700144380454 0.00147071067117044 0.00216047378590695 0.00200993673430447 0.00151516380931399 0.00143071142178142 0.000278506696276314 0.000918741392174733 0.00206658263277648 0.00331118078808536 0.00144213079802214 5.244212766973e-05 0.00118441779264836 0.000841939171041612 0.000458652548251075 0.000933923906724837
"V7" 0.00388017494801298 0.000724944845805299 0.00225199622455309 0.00321169788898564 0.00308787414558672 0.00149769510685879 0.00760417300452957 0.0045425455238098 0.00401587579490111 -8.12091612586953e-05 0.00299538604265772 0.00341853160078698 -0.00102507402969525 7.95074711266124e-05 -0.00106548209125491 0.00107589451526311 0.00185043145270509 0.00297850336451595 0.00734258199983386 0.00119109667674784 0.00242531618676645 0.00483637816399195 0.00214706348462137 0.000952665803727294 0.00435811087512899 0.00206865806803147 0.00199293729630937 0.00330454369229706 0.00189842417738693 0.00146397114924157 0.00442514381501984 0.00812976240391912 0.00300521829182961 0.00102297345263561 0.00481576497381028 0.00160478316778572 0.00157554305770608 0.000295016738094678
"V8" 0.00421583373512231 0.00129482091420725 0.00287062502752371 0.00369189781314403 0.00251177613850263 0.00159135902402769 0.0045425455238098 0.00605749612433018 0.00357652999151904 0.000538767923783122 0.00354364407957446 0.00337799367531055 -0.000857119192151219 0.000314073900237568 -0.00225000471521613 0.00229575319573553 0.00260861330352669 0.0033232953953711 0.00756517442129916 0.000467297081445461 0.00336227099130094 0.00233602421043048 0.00296746720373969 0.00408408559134863 0.00563315903193405 0.00403646674695011 0.00119613503527808 0.00345099909638795 0.00316935559330412 0.00194713608251051 0.0030042589017973 0.00797801554418055 0.00254715563254963 0.000288219905907435 0.0042135691075825 0.00162759656604481 0.0015136990628335 0.00042545996610591
"V9" 0.00353649446275331 0.00215453473590608 0.00265467037988027 0.00318680617526128 0.00311616240588625 0.00135332209309303 0.00401587579490111 0.00357652999151904 0.00372805181317574 0.000702668072934001 0.00301208056026406 0.00254303419680374 -0.000128359855793305 0.000283680621355276 0.000534118134374813 0.00128532302882337 0.00185034490315677 0.00271604533258269 0.0056258089313413 0.00162111659290369 0.00295833964182642 0.00442803250229987 0.00212830816919823 0.00188894610838183 0.00438988478853238 0.00365227114247562 0.00222419238617447 0.00291663585399041 0.00183954515394151 0.00141408639999543 0.00391598132769152 0.00703316166933842 0.00226070004446751 0.000671158668559965 0.00314894740460508 0.00178727468838399 0.00178635067263215 0.000261514425431235
"V10" 0.00165187626960012 0.000125085980347248 0.000854088779075832 0.000324468554052659 0.000488806834097165 0.000251583499688261 -8.12091612586953e-05 0.000538767923783122 0.000702668072934001 0.00322347506142072 0.000940902578621908 0.000735568006233359 0.00136524045475399 0.000811638461061476 0.000532216486334558 0.000919468219463951 0.000853115942023174 0.00138817688288863 0.00309309726717062 0.00097742451832961 0.00126679435500637 0.000836795899068802 0.000785804599128259 0.00162562220169495 0.00279126043559331 0.0017751614755284 0.000936304818458096 0.000677628021380071 0.00031963486585435 0.000489922784247741 0.00154258475121248 0.00323426450037459 0.000939458539210271 -0.00257731002537237 0.0011846579650868 0.000931065908094222 0.00137525813582617 0.00110978683079676
