"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.00715339093105896 0.00488667921698534 0.00385423230764218 0.00258594724226712 0.00139300136226504 0.00128653252376464 -0.000710838562524356 0.00279117742928615 0.00240408505293604 0.00108248230865915 0.00320978676487848 0.00211558890754173 0.000690506773566063 0.000784243976263005 0.000617713592623324 0.00214556020650927 0.00217512632684657 0.0028164794270191 0.00375244931797011 0.00111374635326528 0.00242682946352254 0.0017353763483073 0.00303904606393949 0.00279973537020365 0.00322700717472217 0.00360840633614325 0.00233188217323289 0.00198665112569465 0.00186178043611055 0.00207252912375619 0.00457842583610671 0.00526365859241552 -0.0010434472949959 0.00229513002769947 0.000241549372455916 0.00257498230052117 0.00235340775434061 -0.00159723567725278
"V2" 0.00488667921698534 0.00783652384558998 0.00453604472049376 0.00415379734383734 0.00238923037968408 0.00166693867405424 -0.00218198611039528 0.00215451840580938 0.00175808041907391 0.000781894119908656 0.00271352461556091 0.00219050668417864 0.000195975258225867 0.000410283160228593 0.00208988751136062 0.00133934657143842 0.00144295378680418 0.00165447252410457 0.00340175160617968 0.00183839556021136 0.00272712750720829 0.00130853099737427 0.00313645129342832 0.00220010712584005 0.00363895164296524 0.00259790619803726 0.00154373550595162 0.00174317989885481 0.00115574706632524 0.0011636857843683 0.00432741350867006 0.00589673776540862 -0.000408885323729629 0.000497774315242493 0.000418925969993942 0.00122432370715431 0.00103637836759875 -0.000531302614635148
"V3" 0.00385423230764218 0.00453604472049376 0.00537258930547063 0.00292148658057199 0.00180907743981358 0.00159926860727616 -0.000435886143600851 0.00108949428898234 0.00121533173487817 0.00144170070940093 0.00119612187898889 0.00180129049320748 0.00124372114641268 0.000927457128284959 0.0031325831991014 0.000770174008140747 0.0012364024457363 0.000907349189597736 0.00098823745689517 0.00116534713274256 0.00227396934338138 0.00131725712357797 0.00263314169387146 0.00107581963942086 0.00369677522397625 0.00149685180783933 -0.000790077728494972 0.00167469013655626 0.00120916469369035 0.00122348589343315 0.00378924442396077 0.00465855442230013 0.000287537661109199 0.000875402935963028 -0.000551755243094246 0.00092035641629189 0.00144953377736048 0.00286039546528358
"V4" 0.00258594724226712 0.00415379734383734 0.00292148658057199 0.00417386788415471 0.0021662179712136 0.00118635616366243 -0.000218692163071828 0.00246448387369992 0.00142849572655719 0.000615137638933208 0.00174947559547462 0.0013607052387062 -6.17192289685985e-07 0.00024199494419031 0.00162411943347791 0.00101322468986219 0.00109497784626105 0.00107882173829535 0.00174739769666113 0.000325767349700066 0.00176541200715314 0.000891583594854316 0.00201144365012512 0.00137180662999219 0.00307508399041249 0.00189012410791502 0.00160127272897613 0.0013662055762072 0.00101451990499856 0.00108697058796929 0.00286391831230052 0.0039717458691018 -0.0004363643837142 0.00080448756770011 0.000212862810147918 0.000862488767821801 0.00152880624453315 -0.00025280001596462
"V5" 0.00139300136226504 0.00238923037968408 0.00180907743981358 0.0021662179712136 0.0023500712487528 0.000917662100630892 -0.000448340580675819 0.00159196986163109 0.00158816077792251 0.000271111635861878 0.0010158735908422 0.000810152047931395 -0.00020425011857159 -3.94163525004834e-05 0.000150591838131841 0.000965708247667676 0.000967681387587493 0.000917000893661397 0.00146035573186595 0.000839962712275735 0.00120874685383429 0.00130240415370897 0.00146319889176096 -0.000345396293755416 0.00148171208625498 0.00153819517593176 0.000943631258345657 0.00101642737859972 0.00101826167075241 0.000772720674210203 0.00166543462702772 0.0023785332660487 -0.000290517731235005 0.000276636446903359 0.00026131166508665 0.000758335075152964 0.000984610107902962 9.35169591401306e-05
"V6" 0.00128653252376464 0.00166693867405424 0.00159926860727616 0.00118635616366243 0.000917662100630892 0.00150258595997998 -0.000636514028569722 0.0010638521943979 0.000600813504614622 0.000472414855285245 0.000548875551387818 0.000313654340288533 0.000352545373737435 0.000288649254639445 0.000337646193881665 0.000259382520099766 0.000374703670625228 0.000285761207382251 0.00033397971578134 2.41487143115991e-05 0.000328548300955012 0.000170365700845852 0.000487672732011712 9.7754704427426e-05 0.000884022946431145 0.000606257697306665 7.48396584959819e-05 0.000629766085645403 0.000905043861712325 0.000486220484613239 0.00114531926637842 0.00145497587230043 0.000617029339587334 5.90385385565449e-05 0.000414652874161042 0.000262276976374499 0.000385489826859124 0.000957745970011223
"V7" -0.000710838562524356 -0.00218198611039528 -0.000435886143600851 -0.000218692163071828 -0.000448340580675819 -0.000636514028569722 0.00758468312708938 -0.000396787633040627 0.000378055149214782 -0.00115803737005135 -0.0010795933799974 0.00110543037458015 -0.00028755453255119 -0.000329471607044304 0.00309770655808206 -0.00147413206382819 -0.000828937322506869 -0.00105957150596117 -0.00144411093898402 0.000324432201458226 0.000183378708759121 0.000983052442595522 -0.000745619045216732 -0.000456537242037526 0.000206239204742686 5.85427252920426e-05 -4.07813698119664e-05 -5.27888218708978e-06 -6.31859070859495e-05 -0.000106848135584726 -0.000944477854022045 -0.00102484785834684 0.000795241568048243 8.79246419591159e-05 0.000934016543084299 -0.000464413959342425 0.00057769555729053 0.00164851162148416
"V8" 0.00279117742928615 0.00215451840580938 0.00108949428898234 0.00246448387369992 0.00159196986163109 0.0010638521943979 -0.000396787633040627 0.00488037987702085 0.00213804348562646 -0.000261633800426831 0.00275378280146404 0.000972307169742908 -0.000837887520528322 -0.000162943868683492 -0.00143635155730804 0.00177026593467474 0.00148438974493109 0.00174339120731804 0.00369094297488524 -0.000621373265741135 0.000906195894644301 -4.76737234259484e-05 0.00153835613648595 0.00200310413832518 0.00170242087651669 0.00245810137422165 0.00243013098347704 0.00123090811683456 0.0014768563409168 0.00150370195622433 0.00164136948807308 0.00350374784144787 -0.000742870925773844 0.00221002514747347 0.000654874928824686 0.00148455839446708 0.0018491337038143 -0.0019572750874112
"V9" 0.00240408505293604 0.00175808041907391 0.00121533173487817 0.00142849572655719 0.00158816077792251 0.000600813504614622 0.000378055149214782 0.00213804348562646 0.00245796377523364 6.59744082216709e-06 0.00194152898168968 0.00125133157807669 -0.000417862308013531 -4.85170822303603e-06 -0.000513643504413113 0.00142396576409684 0.0014032299184324 0.00171710522953851 0.00315175062555313 0.000774980866475236 0.00135376303834417 0.00269613840476133 0.00118938800205379 0.00107932919337141 0.00159965310601201 0.00230782406552455 0.00159397134681504 0.001456158769913 0.00137679650116424 0.00103205264832953 0.00143026949485199 0.00243261954422283 -0.00047534356266473 0.0015610916646969 0.000616601104346394 0.00150907904460944 0.00143367693677523 -0.00104103897843187
"V10" 0.00108248230865915 0.000781894119908656 0.00144170070940093 0.000615137638933208 0.000271111635861878 0.000472414855285245 -0.00115803737005135 -0.000261633800426831 6.59744082216709e-06 0.0036437022478813 0.000407832310663201 0.000375951092384571 0.00270093541650374 0.00169622097790169 0.00159756513668832 0.000372799267348891 0.000565984690938472 0.000641826628158384 -0.000631685442690769 0.00071886617248179 0.000791856516351497 0.000473781826491115 0.00076394978096683 0.000999657104117257 0.00146499464136945 0.000770609264913699 -0.000288703769766657 0.000735716912542271 0.000888412893798907 0.00081945167331203 0.0017309920128945 0.00123212996349668 -0.000284542777164691 -0.00269981727316853 -0.000780012140104489 0.000617558568116289 0.000782367907309957 0.00201033708594731
