"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.0050265347009667 0.00223210117897507 0.00220046638828077 0.00122911994995984 0.000582975974199555 0.000426261702937993 0.000786078721443617 0.00120037027217986 0.00120903961752749 0.000811036485801699 0.00145284944712879 0.000743718199394664 0.000686654756095196 0.000845423663433181 0.00103229567829583 0.00110861023315287 0.0011892325875287 0.00112319769903628 0.00153238010647118 0.00113836316065621 0.00150286210537191 0.00156185890689037 0.00108004071832656 0.00114981683099692 0.00238429210146993 0.0022603551278845 0.00131493107897929 0.00134837987940748 0.000478686123206343 0.000788377926084962 0.00169513815109035 0.00215385240359143 0.00119825330112361 0.00125663877360575 0.0011176552577542 0.00100815090272653 0.00104484516428271 0.000395183601469377
"V2" 0.00223210117897507 0.00429257346970351 0.00199820953388782 0.00317613207340223 0.00138275216200198 0.000851594640939715 0.00149542543169026 0.000918970494498958 0.000670587837424541 0.00144562504816335 0.00118619899023253 0.0014097109156492 0.00101410991821462 0.000907368752708382 0.00134389637020206 0.00161263017988446 0.00158312254590613 0.0010361695551168 0.00209085619119388 0.00142916574614465 0.00198560513061273 0.000534468616359609 0.00178000090483626 0.00293327217717219 0.00316702908539976 0.00174283875653775 0.00276528803160692 0.00159123241863891 -0.000243213153027635 0.00143407747295413 0.00134456490199668 0.00236640823787674 0.000733121352879931 -0.000494388684823835 0.000797472685800848 0.00075710155792142 0.000859767024561819 -0.000988575625475244
"V3" 0.00220046638828077 0.00199820953388782 0.00371203038319691 0.00219253537560795 0.00148838367262579 0.0012270614456933 0.00109064337148265 0.000839791882199467 0.0014218059031092 0.000584041942273572 0.00121538042676171 0.00148343023955798 0.000300915597518146 0.000684378748710876 0.00121608232450479 0.00092271706994167 0.00124516067188978 0.000996405287605641 0.00254113368636905 0.000549125920509965 0.00146541768449338 0.00280284196568316 0.000682403498901086 0.00180810918521586 0.00308997443428245 0.00120777650902949 -0.00035549073755113 0.00170877953127138 -0.000146676962068673 0.000789907698147307 0.00149964746723056 0.00338391766556362 0.000786285024771292 0.000951316206172725 0.000709250117488076 0.000829811546994224 0.000993382675389932 0.000110891187510658
"V4" 0.00122911994995984 0.00317613207340223 0.00219253537560795 0.00515256623657154 0.0028135072546192 0.00193358669245298 0.00188184859284911 0.00265720151525246 0.00164717102390452 0.00138649781931259 0.0016765209020827 0.00142594415704833 0.000984591178931551 0.00115131373429114 0.0012853296251115 0.00111846807583477 0.00144749486421838 0.00121336744941141 0.00228628887467156 0.000229152133240159 0.00233876555955219 0.00178804036847008 0.00190024758155624 0.00242779437404809 0.00389759926130753 0.00164757140149307 0.00290991870856857 0.00184412458152992 0.00027688492746042 0.00129602564191054 0.00135400118705431 0.00327696077486301 0.000972931573736897 0.00101157310669991 0.001263840355669 0.00092692161703545 0.00113767800636178 -0.000486268965228158
"V5" 0.000582975974199555 0.00138275216200198 0.00148838367262579 0.0028135072546192 0.00250485902195825 0.00159809391785669 0.000903483670593663 0.00166682732272919 0.00186861328795538 0.000859125028449415 0.000776189801828859 0.000775645968174286 0.000551854107450445 0.000731313490060115 0.00093247934828745 0.000652945320243257 0.000926940680190061 0.000677436457027445 0.00118513506280699 0.000119553097691455 0.00132844016399822 0.00266700008953406 0.00107278433683505 0.000237645736161201 0.00178870961683404 0.00117215745551332 0.00144057020699827 0.00128461441292028 0.000341404577233533 0.000639289245913355 0.000816653478692744 0.00195396344413814 0.000637273352322958 0.000445244828487975 0.000704527559979346 0.00055245225654962 0.000581334014933701 0.000117543548254452
"V6" 0.000426261702937993 0.000851594640939715 0.0012270614456933 0.00193358669245298 0.00159809391785669 0.0024299160459952 0.00144617522054119 0.000849632214433947 0.00128720833868207 0.00047479745998652 0.000435814859838509 0.000741217444546327 0.000677812742031197 0.000439186099205757 0.00107941928801712 0.000280826717076427 0.000816541917043197 0.000750687094513494 0.000694725851933874 3.57126235692304e-05 0.00119824862339053 0.00260684066763568 0.00140981169354828 0.000265129139106107 0.00180998895219122 0.000573021569588233 0.000778873990128339 0.00144359590331236 0.00126182337840692 0.00060183430689349 0.000992273580147855 0.000619831000274822 0.00055371396638062 0.000426726039201311 0.000461283238359344 0.000714974738157149 0.000905517173661724 0.000783186392262485
"V7" 0.000786078721443617 0.00149542543169026 0.00109064337148265 0.00188184859284911 0.000903483670593663 0.00144617522054119 0.00803425904328517 0.000369613131799275 0.00059469801756687 -0.000300761598000128 -0.000131118077582535 0.00220211523124363 0.000761945302690583 0.000502260032504332 0.000360625213658178 0.00036878919014263 0.000426377368179323 0.0001903611635699 0.000139694347032052 0.000532812830633432 0.000616007477919025 0.00134365333794723 -9.85902264168762e-05 0.000499961188228488 0.00175309518894801 -0.000525138593422829 0.00154529912668581 0.000391259837231899 -0.000844988236069049 0.000472821120883115 0.000530586744748491 -7.3248101455489e-05 0.00120153332634867 -0.00115220647734178 0.00113460370967022 0.000490904660847465 0.000332656712502634 0.00112260146039736
"V8" 0.00120037027217986 0.000918970494498958 0.000839791882199467 0.00265720151525246 0.00166682732272919 0.000849632214433947 0.000369613131799275 0.00587030314279916 0.00209455228699714 0.000582950517648849 0.00216365549060914 2.29496773119265e-05 0.000367521250224198 0.000476289612521046 0.000244420990721065 3.76362685035272e-05 0.000534187310701699 0.00063050658963317 0.00111766409040115 -0.0014587147080759 0.000748706484697318 -0.000942586367620887 0.000959515204045051 0.000237438346151824 0.00121114614699231 0.0026362346067717 0.00103254685457475 0.00105700625287395 -0.000329829363387309 0.000230597562267597 0.00120434689342137 0.00282650633799852 0.00116995667277268 0.000536033781892311 0.00200308414218787 0.000770876951688449 6.74517220320687e-05 0.000605060173298584
"V9" 0.00120903961752749 0.000670587837424541 0.0014218059031092 0.00164717102390452 0.00186861328795538 0.00128720833868207 0.00059469801756687 0.00209455228699714 0.00260856832790495 0.000347118115708804 0.000980042617475873 0.000406594244153763 0.000155965433482741 0.000348039349895112 0.00142779154374976 0.000241337138852983 0.000745289068798076 0.000619143372064818 0.00133123479127619 -9.50587214193329e-05 0.000807979878188396 0.00359885919218182 0.00046491913091677 0.000119446713070187 0.0017145374187082 0.00181655148023189 0.000850142715130876 0.0013708096047699 7.46739991176987e-05 0.000337179734327659 0.00113718728508239 0.00237682660089907 0.000669685036289597 0.000556491842809597 0.000875232511846964 0.000750578362428157 0.000741033807329494 0.000655113608990768
"V10" 0.000811036485801699 0.00144562504816335 0.000584041942273572 0.00138649781931259 0.000859125028449415 0.00047479745998652 -0.000300761598000128 0.000582950517648849 0.000347118115708804 0.00504700547682053 0.000821802008657166 0.000739672300222366 0.003348317687849 0.00170012099577478 6.20148757992379e-05 0.00151294296326108 0.00113699494552196 0.00116405076689664 0.00210999511209562 0.00140614585443387 0.00150109822548049 0.000214560982740874 0.00103742344725892 0.00168970161191766 0.00131195852525993 0.00126907696604081 0.00133324564803718 0.000462215927743829 0.000210735119285317 0.00126411420294353 0.0001611444247796 0.00119545157180725 0.000774495859629832 -0.0063109452595094 0.00131188646419581 0.000660180280541195 0.000733557864656693 -2.60736212905032e-05
