"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.00450379218233401 0.00305474560836597 0.00265068279295622 0.00174997673534396 0.00140972451390566 0.00146307284498511 0.000754045512547714 0.00167999150971222 0.00120206203614724 0.00166983288261982 0.00118915877852167 0.000661868836046319 0.00155263501105576 0.000961921281100379 0.00133653367336548 0.000524450564049405 0.00107495949611472 0.000888711107397396 0.0010315174408777 0.000486084570846831 0.00127200176680981 0.000968882073663132 0.00101456178206238 0.00267089668690502 0.000654964036569195 0.00240384122032437 0.00164976563759111 0.00166106266935232 0.00137885343249369 0.000979059563639124 0.000611170165999144 0.00161791074405963 0.000232104481840222 -8.20724980337622e-05 0.000672089969385502 0.00102247017756644 0.000686834916344259 0.00090015634219354
"V2" 0.00305474560836597 0.00639993043532821 0.00264879437905728 0.00291528829129709 0.00217163994390635 0.00137098491274564 -1.31203120025597e-05 0.00166489475220206 0.00180674220026276 0.0021164867960978 0.000968211229417435 0.00100977385011335 0.00186119980519326 0.000747082823230199 0.00221441470789396 0.000299922112942004 0.000806978475966452 0.000552764775607778 0.000497180740497782 0.000612996654923222 0.00173531526968298 0.00238924548946927 0.00140742545055389 0.0022631913981737 0.00230634385631627 0.00278908668399347 0.0027000097664899 0.00127330371834814 0.00143270212520548 0.000903636876354579 0.00114620919445433 0.00215400992934498 -0.000473301316281731 -0.00125492742539187 0.000301932857616247 0.000954651305545881 0.000710502289132663 -1.61940765361018e-05
"V3" 0.00265068279295622 0.00264879437905728 0.00322184062694513 0.00149437845221964 0.00125717845692432 0.0010286046861256 0.000614880096608417 0.00170110861117014 0.000972959400449063 0.00128499409446826 0.000878362275406495 0.000682475368063006 0.00125061970358637 0.000826992443020873 0.000640958153102686 0.000489771434776887 0.000758953381984788 0.000624270497538699 0.000643557531227561 0.0006216552770204 0.000734881491996835 0.000157232981580549 0.00053739378458582 0.00191946089259236 0.00129850460540392 0.00145364104874355 4.31330415295813e-06 0.000940443258561972 0.00127280641739391 0.000621077552789016 0.000757677327768203 0.001235259918035 0.000902098556204934 -0.00039207814030939 0.0012708206591697 0.000709061116784625 0.000364987505906177 0.000667746727036251
"V4" 0.00174997673534396 0.00291528829129709 0.00149437845221964 0.00382254793409109 0.00246435738392677 0.000917047171707122 0.00194869191748204 0.00251752008893082 0.00182960274873154 0.00190466717759309 0.00100653056902918 0.00106692666947121 0.00137495135451626 0.000938146860534366 0.00206360747678317 0.000574032526200192 0.000976382714314129 0.000864071455394639 0.0013396379670794 -0.000212290143744211 0.00197397409491733 0.00181034858722699 0.00181251019050177 0.00208148887371254 0.00248032054001821 0.00294383939099477 0.0031551244358003 0.00118213220490312 4.58918137558952e-05 0.00110237894451181 0.000961141276555434 0.00306579999457127 -5.20312918939097e-05 -0.00017721737784156 0.000114858685231404 0.00096613741249614 0.00121360992502138 0.000282637157257123
"V5" 0.00140972451390566 0.00217163994390635 0.00125717845692432 0.00246435738392677 0.00280613756803897 0.00122284172364424 0.000449494005850161 0.00196107752877268 0.00189333863063082 0.00162224484864778 0.000725146552865187 0.000729053970071859 0.00141003624473861 0.000918995473406229 0.00158892976565202 0.000482939190009175 0.000825906301138526 0.000736611957937103 0.0011518800827579 -0.000319450946470042 0.00140502989115573 0.00203806366398428 0.00163080970795719 0.00105937990584886 0.000862444802716236 0.00228543854401086 0.00256362522839186 0.00112600148665737 0.000517360905807086 0.00127163146574807 0.000294894301532566 0.00236723723215364 0.000110810712549491 -0.00113274792905492 0.000589544526208156 0.000918546569703202 0.00123696919714582 1.36022557853457e-05
"V6" 0.00146307284498511 0.00137098491274564 0.0010286046861256 0.000917047171707122 0.00122284172364424 0.00156922747085842 -0.000278456234700546 0.00124179891911646 0.000693186565024466 0.000909848066144507 0.000288743097831162 -0.000186844012875709 0.00101532698725115 0.000667401760583687 -0.000423441403486699 0.000325330885755883 0.000523213099427459 0.000498980444524475 0.00033605747681986 -0.000464473184575103 -5.2303808848716e-05 -0.000118987095098314 0.000241889549271623 0.000942270527494319 -0.000168295461388605 0.00105966219916105 0.00102513264674148 0.000733355612316075 0.00019470400649115 0.000678026914122141 -0.00013200510012048 0.000542653602670811 0.000494446358724166 -0.00106233168353291 0.00116224412121429 0.000527013742936113 0.000634869718068425 0.000260220591938951
"V7" 0.000754045512547714 -1.31203120025597e-05 0.000614880096608417 0.00194869191748204 0.000449494005850161 -0.000278456234700546 0.00743033954480918 0.00249146826673268 0.000786065883119383 -6.59588560823659e-05 0.000168235337187206 0.00180271776634888 0.000300748883617127 0.000144541056137076 0.00241282408051408 -0.000786444055807739 -0.000419623077507057 -0.000581216678545114 2.55993290490859e-05 -0.000158194674355704 0.000643582652289188 -0.0012105005644538 0.000324129368815911 0.00130250981767668 0.0018984484839903 0.0013859235480226 0.00112237551315679 0.0002602945353427 -0.00085893038033671 -6.27265403845981e-05 -0.000171489781643106 0.00193214745618288 0.000975837972682014 -0.000210079700143903 -1.9239410059342e-05 -0.000407783581950976 0.00015409470992042 0.00199648217119519
"V8" 0.00167999150971222 0.00166489475220206 0.00170110861117014 0.00251752008893082 0.00196107752877268 0.00124179891911646 0.00249146826673268 0.00482404129347397 0.00196517453783051 0.00039657138125777 0.000992903325956299 0.000364728610675237 0.000788932409436905 0.000540519129172038 3.92105159243377e-05 0.000309823344926112 0.000286473563138713 0.000343441116255514 0.000473995113292149 -0.0010134123471276 0.000144445852765207 -0.00112021187237616 0.000275555172828464 0.0016043137646093 0.000827633288300782 0.00223912331989795 0.00203028032841657 6.79251848513074e-05 -0.000507909198436732 0.000331066408263998 0.000129978998202746 0.00159291208634837 0.000305722954197273 -0.000249389953057115 0.000385355375258809 0.000437111341590521 0.00092805040635058 0.00131619574194254
"V9" 0.00120206203614724 0.00180674220026276 0.000972959400449063 0.00182960274873154 0.00189333863063082 0.000693186565024466 0.000786065883119383 0.00196517453783051 0.00187982647501454 0.001161673366141 0.000853940772046032 0.000826326893732541 0.00124030022885466 0.000614441843666267 0.00218647629262476 -0.000216895299921346 0.000188993000774697 -0.000108955186301767 0.000105156505717088 -0.000186943080127861 0.0011380431342761 0.00197606335308259 0.00124678039496947 0.00108602797633696 0.00107354850095614 0.00200460278673694 0.00211378514505681 0.000695115302037152 0.000130189836999532 0.000714472967757825 0.000239514117108381 0.0020784024437825 0.000206365333108805 -0.000750754769713835 0.000272922640996028 0.000450000762100368 0.000769278861729273 0.000472527058199878
"V10" 0.00166983288261982 0.0021164867960978 0.00128499409446826 0.00190466717759309 0.00162224484864778 0.000909848066144507 -6.59588560823659e-05 0.00039657138125777 0.001161673366141 0.00429663661830765 0.00103860314492972 0.00103970447347087 0.0036929463122427 0.0017198104397734 0.000445185458137154 -9.09035162298538e-05 0.000736393395252575 0.000772927968436041 0.000263696677976402 0.000558078758954428 0.00141439036553564 0.00190307387977072 0.00174160602406757 0.00164073768384048 0.00159588055516236 0.00172599938801267 0.00152668376936335 0.00113363061505672 0.000617040683794782 0.000836333236205217 0.000212923197843855 0.00259938478012624 0.000536819615605589 -0.00323020273428427 0.00153501883873802 0.00145158099702881 9.47747854112289e-06 0.00080587086791063
"V11" 0.00118915877852167 0.000968211229417435 0.000878362275406495 0.00100653056902918 0.000725146552865187 0.000288743097831162 0.000168235337187206 0.000992903325956299 0.000853940772046032 0.00103860314492972 0.00153301316460107 0.000694843562652822 0.000862002089002023 0.000662942212041003 0.000738804422583241 0.000211308708633108 0.000352336124795747 0.000215947793944546 0.000333451312717892 0.000873677200435537 0.00101437239816654 0.000931287190394313 0.00101903144717971 0.00130871652043856 0.000937230518262912 0.00161893751649555 0.000785105617801301 0.000490558838472613 0.000203996284638749 0.000363388518280482 0.000539948881162558 0.00134998678836573 0.000231999412927771 0.000713275579356004 0.0002859780369225 0.000557042080161562 0.000592388521366557 0.000587107912727099
"V12" 0.000661868836046319 0.00100977385011335 0.000682475368063006 0.00106692666947121 0.000729053970071859 -0.000186844012875709 0.00180271776634888 0.000364728610675237 0.000826326893732541 0.00103970447347087 0.000694843562652822 0.00268201084136002 0.000668906981538783 0.000509053365581242 0.00245431365445369 0.000232831229312454 0.000606812072150116 0.000492548674030278 0.00150307857816072 0.000382363515525478 0.00193840928184192 0.00166690470112074 0.00171729226656919 0.00116785790030913 0.00192254693831576 0.00114254434688279 0.000207278880031962 0.00136360389884335 0.000416504407042283 0.000618765046991111 -0.000183451173241095 0.00253232781930963 0.000333962090249694 -0.000777014859600441 0.000363243526767726 0.000497085444459488 0.000447288376191703 0.000300111729480383
"V13" 0.00155263501105576 0.00186119980519326 0.00125061970358637 0.00137495135451626 0.00141003624473861 0.00101532698725115 0.000300748883617127 0.000788932409436905 0.00124030022885466 0.0036929463122427 0.000862002089002023 0.000668906981538783 0.00413530012353978 0.00181493725793479 0.00155262848921968 -0.00121663215753921 -0.000163444147466145 -0.000542098326595265 -0.00183716249661053 -9.89356313531213e-06 0.000561590110469747 0.00126226418342249 0.0011743594418052 0.00136668717863605 0.00123502192324608 0.00127986992833148 0.0012574282323034 0.000699269563004894 -0.000125752457876719 0.000608050236080347 -0.000109131680039971 0.00194098047583269 0.000920896066830429 -0.00284823474648472 0.0017959953734106 0.000938571592002176 0.000172153114131534 0.000938128708367244
