"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.00226247861672856 0.00118603402457495 0.000814543165345011 0.000653702768194936 0.000304979272427007 0.000475565897749622 -0.000157076513686734 0.00108968313929067 0.000669271189741859 0.000290921839921093 0.000337883308314136 0.000509213709869756 5.15207222864468e-05 8.92041919766518e-05 0.00128423561493142 0.000434670529078399 0.000344653086409945 0.000386457153479568 0.000746373825148673 -0.00029177642634192 0.000297632127099898 0.000387714656350477 0.00074172919755927 0.000783770749771889 0.000930024839544291 0.000492319800587539 0.000929551845991345 0.000141638229675267 1.18157095476096e-05 0.000296194912111603 0.000678667529971155 0.000791123080391415 -1.95889986821152e-05 -0.000194848254554129 -0.000231300035982466 0.000152288024933855 0.00024844698651897 0.000369504424240461
"V2" 0.00118603402457495 0.00642835453655364 0.00114296875170677 0.00249100450219368 0.00111313925895525 0.000600973306973926 -0.00126809989206813 0.00173538280184562 0.00156596532493057 0.000327169803612982 0.000609546629093591 0.00131909458880016 0.000499769780949275 0.000362819211345725 -6.37339716139884e-05 0.00134994438797349 0.00162196882175799 0.0019633601758985 0.00263704889975974 0.000798849254747877 0.000984018873577254 0.00100668076206183 0.00130860364466549 0.00194255825833497 0.00271769294150664 0.00116087201830659 0.00197004129126628 0.00208554423111725 0.00109017347876145 0.000917230542344646 0.00231637467535844 0.00238086014260788 -4.38899967965452e-05 -0.000106768124694256 -0.00164606552068075 0.000868763332861838 -5.38207846177777e-05 0.000300221342942128
"V3" 0.000814543165345011 0.00114296875170677 0.00202631100273735 0.00122783282559091 0.00087795782659599 0.000773028649245817 0.000800170619636049 0.000709216563563774 0.00071288872492552 0.00053093441672573 0.000134780377227879 0.00111103756147578 0.000350217098122525 0.000358253879563921 0.00160239475401093 0.000489945785129919 0.000714013752190379 0.000661479356059423 0.00109569814137945 9.73549027520537e-05 0.000735434019132829 0.00100410340406751 0.00064692384911995 0.00109973056293194 0.0016201689643494 0.000757706481867146 -0.000724186409966102 0.00106719376148099 0.000432866516679842 0.000562551747028467 0.00131940836680651 0.00110210311412773 0.00039662015999488 -4.34530285065888e-05 0.000603347017282795 0.000383177182251599 0.000510800440154019 -0.00027247446221799
"V4" 0.000653702768194936 0.00249100450219368 0.00122783282559091 0.00541545401258025 0.00147480191663136 0.000794330475498882 0.00288267045628536 0.0030977236142282 0.00113725783975467 0.000784507748812333 0.000386102226686521 0.00145393373470842 0.00104380908102564 0.00036182942857559 0.00102108294705278 0.000407235484122875 0.00120965659405848 0.00121542769839687 0.00126286225135774 -0.00172894938376544 0.00120995134976836 0.00077491120705469 0.00141788344338787 -9.27042372337691e-05 0.00168187003064218 0.000813846458431173 0.00109799801879538 0.00246255277084814 0.00104339322285374 0.000965759206683216 0.0034964827072977 0.00197440133013569 0.000353216337182342 1.74578070440013e-05 -0.000942390781867616 0.000655770951536757 7.20581536564821e-05 0.000416946816065658
"V5" 0.000304979272427007 0.00111313925895525 0.00087795782659599 0.00147480191663136 0.00226313183386358 0.000615098176196066 0.00116997105536019 0.00119973866253097 0.0017016709924926 0.000294263905331516 0.00034041247404436 0.000682916069450913 3.9259695376988e-05 0.000203681644265883 0.00144391576551655 8.51996869836588e-05 0.000545280232618421 0.000587757008737654 0.000621830563106974 0.000190044865935746 0.000601325185767799 0.00203839483486895 0.00172411507190617 -0.000967418900877147 0.000706028476380488 0.000445009849953862 0.000551206759931545 0.00116821197121811 0.000483558135056945 0.000409619931055249 0.00140796666413573 0.000930097572964729 2.69685366707216e-06 0.000373730698523097 -0.000308538195831439 0.000316526466136156 -0.000126742431010941 -4.69950115617403e-05
"V6" 0.000475565897749622 0.000600973306973926 0.000773028649245817 0.000794330475498882 0.000615098176196066 0.000901121111366967 0.000163952867489272 0.00044174809347896 0.000397807584631505 0.000222940352909922 0.000132610536981263 0.000453169989723625 7.60072014394701e-05 0.000215357279128455 4.41254244718883e-05 0.000548721706426221 0.000542154841877921 0.000541939391686965 0.000726962375061227 4.18734733665341e-05 0.000253601472465449 0.000563976409470399 0.000262940346168616 9.8442076361406e-05 0.000570039788459529 0.000411144859808071 0.000470373066129297 0.000449431696994816 0.000123500155577056 0.000421291083816142 0.000896293982785416 0.000441088641598954 0.000256019639754797 6.16019987505939e-05 0.000672940845515668 0.000351957850693587 0.000148557608206562 -0.00027379160315821
"V7" -0.000157076513686734 -0.00126809989206813 0.000800170619636049 0.00288267045628536 0.00116997105536019 0.000163952867489272 0.0148509009543544 0.00132547078426363 0.000914879269639823 -0.000516772688535345 0.000140742430668103 0.00223023777680016 0.00130667888209291 3.29328322981966e-05 2.29163780468605e-07 9.69646000051517e-05 0.00108886925460287 0.00146631494337791 0.000769633791098193 -0.000148720845891067 0.00136929361482945 0.000178679272925823 0.00217345535778524 0.000190328892082159 0.000729515534078333 0.00151175217500855 -0.000304615622189153 0.00237376719982919 0.00146045948983903 0.00105226207405704 0.00274957580433891 0.00111593164277496 0.000280648392683491 0.000124441005848384 -0.00125702295231534 0.000747684974800319 3.48745463021058e-05 0.0007379810609722
"V8" 0.00108968313929067 0.00173538280184562 0.000709216563563774 0.0030977236142282 0.00119973866253097 0.00044174809347896 0.00132547078426363 0.00320031438056238 0.00152811813092944 0.000568363562504995 0.000923030414514687 0.00124095617495467 0.000647014333483672 0.000252872300266171 0.00181165073924169 -4.04533925716829e-05 0.000576860552823615 0.000364688587144133 0.000289938094533276 -0.000671155764454296 0.000696467535869251 0.000656244784807321 0.0015388960011682 -2.97358864366517e-05 0.00126184852249677 0.000531184599167125 0.001254224828773 0.00147189656153543 0.000751289217810345 0.000686704549103092 0.00244944480980127 0.00131540444538237 -0.000159554945961666 0.00025922870893517 -0.000855440268392199 0.000395232775579953 -0.000223978430507395 0.000228195135603386
"V9" 0.000669271189741859 0.00156596532493057 0.00071288872492552 0.00113725783975467 0.0017016709924926 0.000397807584631505 0.000914879269639823 0.00152811813092944 0.00183330653741016 0.00034307831459914 0.000556733707136136 0.000954659189796016 0.000217216588469685 0.000248550198286886 0.00189110461276027 2.85706261033351e-05 0.000526477931385932 0.000496700859815674 0.000505981830516274 0.000345328671924941 0.000625354682251764 0.00185020035736775 0.00181106613154552 4.70790575090466e-05 0.00128765613359396 0.000508855773151608 0.000694668428888786 0.00121254357154049 0.000575880444281607 0.000519678697816826 0.00142406636855347 0.00107554633758767 -0.000143983950198751 0.00035042252422007 -0.000409068714082293 0.000374723272472711 -0.000265056334132356 -4.84007497049122e-05
"V10" 0.000290921839921093 0.000327169803612982 0.00053093441672573 0.000784507748812333 0.000294263905331516 0.000222940352909922 -0.000516772688535345 0.000568363562504995 0.00034307831459914 0.00199125031369944 0.000300979712089457 0.000171696169271683 0.00132935425849258 0.000456503311238057 0.000621374262110951 1.74486496878184e-05 0.000223112753409022 0.000323267829662995 0.000360791748532126 0.000222195783053392 0.00043215995545041 0.00032373836751171 0.000440745591197988 0.000907452517489352 0.000802474885694134 0.000172581644949959 -0.000216509088110297 0.00057703273256349 0.000302453781986833 0.000248110626758916 0.000304563671439506 0.000362802342564229 9.91761183819823e-05 -0.000482662171679718 -0.00011575501010478 0.000570637371023414 0.000273325165108273 0.000318011596904407
