"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.00570661848663699 0.00277425968843014 0.00309725285100997 -8.42536079059147e-05 0.00126073936041525 0.001330638415667 0.000980745516927821 0.00145358887435553 0.00200821186354361 0.000917238497347417 0.00132701614752864 0.00187980982311957 3.28915091508672e-06 0.000349929637372537 -0.000391648086852354 0.0023708818463987 0.00149543633788364 0.00183569361414752 0.00329018727021062 0.00349763772833045 0.0013494478262051 0.000948174546242061 0.00297620413004236 0.00553890358791909 0.00327800231043527 0.00101790433710614 0.000449114553540206 0.000219450536312974 0.00116539690713111 0.00139208920242912 -0.00380647779554202 0.00156896552553869 0.00130681653657891 0.000283494172020392 0.000137044398653512 0.00102115012827613 0.000345305511199394 0.00123167539725033
"V2" 0.00277425968843014 0.00666356558226436 0.00101155138501426 0.00351514661304709 0.00171514681671411 0.0011255828499042 0.00272401175604794 0.00157400390860912 0.00201378930391466 -1.83467262863796e-05 0.0012026937564068 0.00128762689163785 -0.00136723813582193 1.23025710797343e-05 0.00492590138684304 0.000824155192806087 0.000840941275475864 0.000490407819753047 0.00245928387507349 0.000910688483923563 0.00167395390216577 0.00253616999572095 0.00269011778408292 0.00463587352270674 0.00395336581564073 0.0012272697267147 0.0043629663287197 0.00141957215500037 0.00110331096311236 0.00187775069001696 -0.000140486435157638 0.00244984377661638 -0.000146264547274911 -0.000640910557182928 -0.00212285859625842 0.000137244879186885 0.000971239056576193 -0.000110434745412299
"V3" 0.00309725285100997 0.00101155138501426 0.0044162222874182 0.00161366194918932 0.00135087147903471 0.00154003655041054 0.00349222728358815 0.00204756799627476 0.00162480091192119 0.0010466380066155 0.000761993041680399 0.00284372053202489 0.00104337893053405 0.00111986000423275 -6.41940753285547e-05 0.00232518467719686 0.00199321737655685 0.00179652846134347 0.00264348246600464 0.00110973742138127 0.00126845490839271 0.000293356358639007 0.00230148777412667 0.00434852403967576 0.00208260055129061 0.00077628914616364 -0.00186105958050585 0.00168982152723238 0.000946353140834611 0.00200343669698023 -0.00184059500570108 0.0015304056373415 0.00122694218532573 0.000356989645417454 0.00131696303323254 0.00160929521230455 0.00108822017951006 -0.000357129582131088
"V4" -8.42536079059147e-05 0.00351514661304709 0.00161366194918932 0.00723135510524541 0.00219355889656166 0.00167923218223497 0.00596735738329223 0.00338211589430698 0.00143893088493314 -0.000545117038753775 0.000954420930328174 0.00145992506672408 -0.000964937379327673 0.000631455464349824 0.000985781969003485 0.00134243580554194 0.00148277155335783 0.00089906012645108 0.0024377056115533 -0.00284193566683638 0.00115637222210831 0.00162407537002499 0.00186820710315697 0.0020086479027754 0.00210132657072919 0.00102188983829939 0.00238038389853421 0.00218397792202677 -0.000302965020314029 0.00170706492824198 0.000863962103551096 0.00196242456519453 -0.000557357628564362 -0.000868728276825794 -0.00188342110509107 0.000131589920217471 0.00125321841528382 0.000268711505224565
"V5" 0.00126073936041525 0.00171514681671411 0.00135087147903471 0.00219355889656166 0.00390533933046431 0.000842257811677739 0.00277823727956847 0.00150056720390137 0.00268081970832073 0.000566120339404796 0.000931433380868066 0.000529308207301586 -0.000930183857762982 -0.000129031180013346 0.00120225048869442 0.00123418734930531 0.00087185249615632 0.00107319123846281 0.00273869257981515 0.00115831399641472 0.000870014539895292 0.00299526518662997 0.00193710632898116 0.000170084716023807 0.000764416162128668 0.000579229178174089 0.00178373604664785 0.000579807932237551 -0.000562425356107403 0.000807915199701842 -0.00250994100311012 0.00130788297864783 0.000172281596895099 -0.000989022635479499 -0.000452992973794851 0.000354671617450895 0.000887823232769104 0.00166034463203862
"V6" 0.001330638415667 0.0011255828499042 0.00154003655041054 0.00167923218223497 0.000842257811677739 0.00167362328630459 0.00230374215585501 0.00134015278004929 0.000916809164817048 0.000133924832071961 0.000696274462332937 0.00114685148435117 -0.000259081706224507 0.000152633986929527 -0.00066177834413296 0.00106451911207841 0.00111042160306984 0.00105600163013193 0.0017520431195446 0.000908455895074793 0.000607035896657928 0.000765578198205179 0.000932220792623544 0.00412518788310494 0.00163127705315882 0.000630718384661102 0.00078116771022555 0.00120483796535789 0.000196039139920846 0.000824004617883663 -0.00216017400178375 0.000227177897976604 0.000827378819396047 -3.27039221533364e-05 0.000383517111773012 0.000552032685325379 0.000512012334099089 0.000284482484986273
"V7" 0.000980745516927821 0.00272401175604794 0.00349222728358815 0.00596735738329223 0.00277823727956847 0.00230374215585501 0.0182865860928879 0.00295296803661087 0.0023310241493532 -0.00336689555131326 0.000280969995106855 0.00319829511031243 -0.00210810070932169 0.000893414349405775 -0.00217527301910775 0.00579631297364551 0.00400952562995144 0.00482787420712138 0.00901677141957556 0.00287254819849801 0.0029544788453349 0.0035925508550871 0.00283140836643952 0.01129078271636 0.00575712664522376 0.00123875794231035 0.00368706252069453 0.00220048593177267 0.000283460782559783 0.00152430698585412 -0.00570908520567266 0.00262851311987834 0.000134958280899508 -0.00103176699846423 -0.000624157531566228 0.00142497744185393 0.00273058657376598 -0.00153996087530569
"V8" 0.00145358887435553 0.00157400390860912 0.00204756799627476 0.00338211589430698 0.00150056720390137 0.00134015278004929 0.00295296803661087 0.00306590700906744 0.00140966090256649 0.000526936446573236 0.00193301434020061 0.00144866393784157 0.000202078590688599 0.000779325594968928 -0.00141092761648433 0.0015393901182551 0.00144741994855841 0.00113118925218237 0.00167526669515058 0.000426199710409008 0.000749804263073837 -0.000319321176246954 0.00181694622762255 0.00292946301303733 0.00187148641918082 0.000615889892948071 0.000906769227430189 0.00143205912002026 0.000126589178677149 0.00128489693202919 -0.000650512214522124 0.000984717236436374 0.000166445660756227 -4.42338744446525e-05 -0.000336345217329747 0.000790818061433315 0.000860052849849071 0.000951306802139305
"V9" 0.00200821186354361 0.00201378930391466 0.00162480091192119 0.00143893088493314 0.00268081970832073 0.000916809164817048 0.0023310241493532 0.00140966090256649 0.00241641720997124 0.000720378313170728 0.0011243347749286 0.00102804352397748 -0.000486083783481942 4.9469627213915e-05 0.000794301394712686 0.00146951227163458 0.00105978056651959 0.00123431358677583 0.00289222569981488 0.00179920572346524 0.00107297200206022 0.00262451043143232 0.00203645495576678 0.00226292033984078 0.00169889307505274 0.000778658927765389 0.00131664283042545 0.000690926338981298 -0.000128719399887181 0.000874860449398717 -0.00242298720539774 0.0015143174083293 0.000564910782123842 -0.000552615337109285 -0.000187165475726568 0.000670481222087578 0.000780861208266771 0.00119088742332636
"V10" 0.000917238497347417 -1.83467262863796e-05 0.0010466380066155 -0.000545117038753775 0.000566120339404796 0.000133924832071961 -0.00336689555131326 0.000526936446573236 0.000720378313170728 0.00350799488529114 0.001912604826983 0.000812683354089766 0.00231797768550802 0.000634779693271865 0.00180221378289578 -0.000151658831019729 0.000175676034430095 -0.000116807897804539 -0.00120774785704982 0.000619674131116859 0.000273108243413549 -0.000807663495336809 0.00135134730769493 6.22652933073828e-05 0.000263982446816635 0.000871072439372602 4.54567651213162e-05 0.000593510558582059 0.00125064860291912 0.00107343948773699 0.00102036751851943 0.000952655572436604 0.000965517760912127 -2.49425044128959e-06 0.000625879649145697 0.000959042326650836 0.000314085895780037 0.000418844554806649
"V11" 0.00132701614752864 0.0012026937564068 0.000761993041680399 0.000954420930328174 0.000931433380868066 0.000696274462332937 0.000280969995106855 0.00193301434020061 0.0011243347749286 0.001912604826983 0.0037551376149678 0.00108302816706574 0.00116468115670557 0.000668037110088115 -0.00351156132289767 0.00138966944138491 0.00117879628117729 0.00119942191028281 0.00119581054013261 0.00294739089911185 0.000539959477436887 -0.000784358007143658 0.00134118962751436 0.00417517319563969 0.0021527018719474 0.000948526742823434 0.0021881443277607 0.000755320042490868 0.000551068272784454 0.00070562779524838 -0.00136200855372872 0.000873517023287041 0.000765820787596082 0.000150302202250472 0.00021693988690934 0.00116837932970266 0.00109167451695434 0.00151293821461619
"V12" 0.00187980982311957 0.00128762689163785 0.00284372053202489 0.00145992506672408 0.000529308207301586 0.00114685148435117 0.00319829511031243 0.00144866393784157 0.00102804352397748 0.000812683354089766 0.00108302816706574 0.00275720196696837 0.00103497688959083 0.000964778981179745 -0.000275544609773441 0.00206030736048363 0.00185732170906418 0.00170944080498983 0.00209510985402449 0.000536485802483842 0.00114184606211933 0.000543843983252443 0.00154587960976243 0.00496767882414211 0.00194138884471179 0.000430913407836228 -0.000798969790168998 0.00169221349572432 0.000732201744464778 0.00151409126441333 -0.00157116281601548 0.00148739440100215 0.000803960578189005 0.000232614927707222 0.000527643415961143 0.00155253784717643 0.000962184101517602 -0.000388826397840036
"V13" 3.28915091508672e-06 -0.00136723813582193 0.00104337893053405 -0.000964937379327673 -0.000930183857762982 -0.000259081706224507 -0.00210810070932169 0.000202078590688599 -0.000486083783481942 0.00231797768550802 0.00116468115670557 0.00103497688959083 0.00401354410941564 0.00105727412139234 -0.00263534608177614 -0.000187609622671428 0.000362723931991887 -0.00041581289728892 -0.0026235196571647 -0.00091245418599435 -0.000423279420397636 -0.00207377763141426 -0.000141030635641175 -0.000168678146757199 -0.000360155021842516 -9.29719474477087e-05 -0.00210821779514659 0.000905183308260273 0.000649590361517095 0.000541332612341571 0.00129614527292778 0.000257195407166179 0.000963511935559832 0.000524200776256922 0.00133887523278634 0.00132490904201028 4.66468469728451e-05 0.000116330790828897
"V14" 0.000349929637372537 1.23025710797343e-05 0.00111986000423275 0.000631455464349824 -0.000129031180013346 0.000152633986929527 0.000893414349405775 0.000779325594968928 4.9469627213915e-05 0.000634779693271865 0.000668037110088115 0.000964778981179745 0.00105727412139234 0.00129949022362946 -0.000533224766619626 0.000997796922238501 0.000935005376231236 0.000592819281503775 0.000299760895044959 -3.4469311410541e-05 0.00031957210201502 -0.0010195198985502 0.000829719291583011 0.0019604292207345 0.000542165998606635 3.27891191386778e-05 -0.000701475408061449 0.000966274420277684 0.000817439023000546 0.00109461210405425 -0.000515743162923922 0.000255885015503155 0.000543177628400092 0.00072745157155333 0.000664857677847202 0.000735440914299179 0.000584799961882553 -0.000391654033524848
"V15" -0.000391648086852354 0.00492590138684304 -6.41940753285547e-05 0.000985781969003485 0.00120225048869442 -0.00066177834413296 -0.00217527301910775 -0.00141092761648433 0.000794301394712686 0.00180221378289578 -0.00351156132289767 -0.000275544609773441 -0.00263534608177614 -0.000533224766619626 0.0354937007236746 -0.00387649236968279 -0.00294757599540114 -0.00286179090877568 -0.00219471987779291 -0.00284399134863974 0.00335067328903543 0.00196123904748699 0.00498506574090262 -0.00245332596146553 0.00153539502315947 0.00133121684403452 0.00453490199758806 -0.000139503144810274 0.00116870633952096 0.00221588430065552 0.00806843935087447 0.00417314978992959 -0.00142602525555011 -0.00119216326204661 -0.00293471234707734 -0.00231750525530762 -0.000645384640050675 -0.00493850301379704
"V16" 0.0023708818463987 0.000824155192806087 0.00232518467719686 0.00134243580554194 0.00123418734930531 0.00106451911207841 0.00579631297364551 0.0015393901182551 0.00146951227163458 -0.000151658831019729 0.00138966944138491 0.00206030736048363 -0.000187609622671428 0.000997796922238501 -0.00387649236968279 0.00514902477428066 0.00330948584129589 0.00432124201609369 0.00574636666472603 0.00261151579888753 0.00157333562419165 0.00114912715426748 0.00219435403392616 0.00817521206665575 0.00365040374308125 0.000996560315900141 0.00204336779019565 0.000520890374944859 0.00129445401908036 0.00108645672762388 -0.00478700927628772 0.00156625292888737 0.000683763652706657 0.000231331777441686 0.000426881368776636 0.00226381850058247 0.00170344781029275 0.00062283676817508
"V17" 0.00149543633788364 0.000840941275475864 0.00199321737655685 0.00148277155335783 0.00087185249615632 0.00111042160306984 0.00400952562995144 0.00144741994855841 0.00105978056651959 0.000175676034430095 0.00117879628117729 0.00185732170906418 0.000362723931991887 0.000935005376231236 -0.00294757599540114 0.00330948584129589 0.00268380939525666 0.00284875203805327 0.00339660210435733 0.00137491052538135 0.00103535720328389 0.000640618670435426 0.00135949835607976 0.00560765141200724 0.00240392664434972 0.000766276205260909 0.000996831269079602 0.00167003186335346 0.000910832584640376 0.00132559618387302 -0.00266903402048982 0.000957548690799612 0.000588913649326439 0.000179362243380053 0.000518107751657308 0.00184156060468502 0.00154171017010921 0.00026839903895061
"V18" 0.00183569361414752 0.000490407819753047 0.00179652846134347 0.00089906012645108 0.00107319123846281 0.00105600163013193 0.00482787420712138 0.00113118925218237 0.00123431358677583 -0.000116807897804539 0.00119942191028281 0.00170944080498983 -0.00041581289728892 0.000592819281503775 -0.00286179090877568 0.00432124201609369 0.00284875203805327 0.00431383323218015 0.00523552782622594 0.00210157937646923 0.0012523009250793 0.00117126246169462 0.00156043322355695 0.0071204180149482 0.0030166926324825 0.00117532393814863 0.00203180556570468 0.000597943503970562 0.00128777924282916 0.000534690455112288 -0.00360644312555337 0.00136493041440063 0.000120680875883318 0.000132814666272548 0.000219991622847864 0.00218594692084287 0.00161479051796877 0.000551208353534555
"V19" 0.00329018727021062 0.00245928387507349 0.00264348246600464 0.0024377056115533 0.00273869257981515 0.0017520431195446 0.00901677141957556 0.00167526669515058 0.00289222569981488 -0.00120774785704982 0.00119581054013261 0.00209510985402449 -0.0026235196571647 0.000299760895044959 -0.00219471987779291 0.00574636666472603 0.00339660210435733 0.00523552782622594 0.0100807173599516 0.00414764757485317 0.00255243787105342 0.00461155373070716 0.00282349831139633 0.00979847655119773 0.0050208613647801 0.00209629040273256 0.00307587036683659 0.000302902955474921 0.00117638648751378 0.000728294241057562 -0.00666613076671535 0.0032330490551197 0.000886869981552404 -0.000311829151530751 -3.46955685225784e-05 0.00158461825178922 0.00206972619557935 0.000691374938180994
"V21" 0.00349763772833045 0.000910688483923563 0.00110973742138127 -0.00284193566683638 0.00115831399641472 0.000908455895074793 0.00287254819849801 0.000426199710409008 0.00179920572346524 0.000619674131116859 0.00294739089911185 0.000536485802483842 -0.00091245418599435 -3.4469311410541e-05 -0.00284399134863974 0.00261151579888753 0.00137491052538135 0.00210157937646923 0.00414764757485317 0.0109127675077881 0.00199028332537554 0.000231670784814874 0.00233760488863537 0.00950683117126338 0.00410004456945906 0.00136950628234857 0.00365420855626228 -0.000557748684237464 0.000494260708832925 0.000229548187844512 -0.00640908426707275 -0.000135623551911879 0.00194289999484614 0.000689431073164608 0.00145530437424388 0.000901699107181127 0.000947889951994227 0.00113319294500382
"V22" 0.0013494478262051 0.00167395390216577 0.00126845490839271 0.00115637222210831 0.000870014539895292 0.000607035896657928 0.0029544788453349 0.000749804263073837 0.00107297200206022 0.000273108243413549 0.000539959477436887 0.00114184606211933 -0.000423279420397636 0.00031957210201502 0.00335067328903543 0.00157333562419165 0.00103535720328389 0.0012523009250793 0.00255243787105342 0.00199028332537554 0.0018752263347789 0.00131962485107698 0.0020439009239053 0.00418076609187815 0.00215633793612097 0.00108050870044874 0.00157167281947096 0.000459780789145791 0.000112204198613386 0.000772425625777892 -0.00122530633016437 0.0014436460757679 0.000539048753446423 -3.55770589708464e-05 -0.000370496973619477 0.000514469849826412 0.000459115588780939 -5.54233366323704e-06
"V23" 0.000948174546242061 0.00253616999572095 0.000293356358639007 0.00162407537002499 0.00299526518662997 0.000765578198205179 0.0035925508550871 -0.000319321176246954 0.00262451043143232 -0.000807663495336809 -0.000784358007143658 0.000543843983252443 -0.00207377763141426 -0.0010195198985502 0.00196123904748699 0.00114912715426748 0.000640618670435426 0.00117126246169462 0.00461155373070716 0.000231670784814874 0.00131962485107698 0.00744640141263453 0.000977016055519919 0.00133682422957437 0.00105176676216889 0.000806124727932495 0.00121414759386922 0.00011909957145581 -0.0020126219112103 -0.000237227569101757 -0.00353498079086547 0.00184968989836849 0.00073503914680453 -0.00174698726709273 -0.000868410536796198 -0.000227367876750027 0.000651899561188132 0.00177670616078982
"V24" 0.00297620413004236 0.00269011778408292 0.00230148777412667 0.00186820710315697 0.00193710632898116 0.000932220792623544 0.00283140836643952 0.00181694622762255 0.00203645495576678 0.00135134730769493 0.00134118962751436 0.00154587960976243 -0.000141030635641175 0.000829719291583011 0.00498506574090262 0.00219435403392616 0.00135949835607976 0.00156043322355695 0.00282349831139633 0.00233760488863537 0.0020439009239053 0.000977016055519919 0.00524914515046998 0.00471460955014465 0.00382166386349509 0.000114935920056138 0.0022397986248271 0.000662772668849225 0.000914526983852773 0.0017577075840787 -0.00127899047948468 0.00243039507140563 0.000812495239338916 -0.000269284815284247 -0.000436107859050061 0.000657818895311927 0.000944593467594719 7.48431792336325e-05
"V25" 0.00553890358791909 0.00463587352270674 0.00434852403967576 0.0020086479027754 0.000170084716023807 0.00412518788310494 0.01129078271636 0.00292946301303733 0.00226292033984078 6.22652933073828e-05 0.00417517319563969 0.00496767882414211 -0.000168678146757199 0.0019604292207345 -0.00245332596146553 0.00817521206665575 0.00560765141200724 0.0071204180149482 0.00979847655119773 0.00950683117126338 0.00418076609187815 0.00133682422957437 0.00471460955014465 0.0314790620341938 0.0117529162875761 0.00281713412520392 0.00792618638684856 0.00207594053266852 0.00278973185332413 0.00252301699415704 -0.0139021434328979 0.00239011991424187 0.00259149142774186 0.00254844424529112 0.000777726687626847 0.00423208779266254 0.00267029919973965 -0.0015785212269287
"V26" 0.00327800231043527 0.00395336581564073 0.00208260055129061 0.00210132657072919 0.000764416162128668 0.00163127705315882 0.00575712664522376 0.00187148641918082 0.00169889307505274 0.000263982446816635 0.0021527018719474 0.00194138884471179 -0.000360155021842516 0.000542165998606635 0.00153539502315947 0.00365040374308125 0.00240392664434972 0.0030166926324825 0.0050208613647801 0.00410004456945906 0.00215633793612097 0.00105176676216889 0.00382166386349509 0.0117529162875761 0.00921400764604637 0.00232784938264134 0.00592269404892121 0.000826944077109055 0.00255203723416951 0.00153079037829319 -0.00344580563491063 0.00377413685106 0.000201177988737921 0.000286508821241797 -0.000206682814821296 0.00169560027898238 0.00233048634497946 -0.00196033856420197
