"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.00528101062099444 0.00199483933808993 0.00339521381447269 0.00102594992403214 0.00150047058074428 0.00205337868378979 -0.000238945357419921 0.00156796469189378 0.00141470628517264 0.00159715721612412 0.00224400670149674 0.00110370907452815 0.00185042770007328 0.000244043566832101 0.000268326479612292 0.00157768049347208 0.00116508804331315 0.000838285767253499 0.000301255065773651 -0.000391175176580978 0.000955567523552906 0.00128234443011328 0.00163039686318464 0.000836320303012172 0.000699043719209782 0.00297595731305444 0.0011976299687481 -6.81691512731398e-05 0.00150356094991059 0.00196360920066165 0.0014472519352879 0.00119355344292312 0.00144257238273749 0.00129124808922951 -0.00195265825913332 0.00126286473240641 0.00193971780002407 0.00041798754886824
"V2" 0.00199483933808993 0.013947596639518 0.00188145355223115 0.00367339557564318 0.00170091459196614 0.00119269857901017 -0.00726818678079044 0.00254434604434004 0.00216314217679225 -0.00175704083245844 0.000601389893942127 0.00188316012809687 -0.00224180633441836 -0.000420958630641795 0.00179100536807918 0.000656880505953074 0.00162001373194286 0.0023647817827957 0.00272154088733648 -0.00158101391233584 0.00167219411395315 0.00053595441658616 0.000854479454304628 0.000486902424579161 0.00186733605424918 0.003362858186166 0.0046686322168716 0.0012567928735526 -0.00113544837922046 0.00119909102128469 0.00456719527769024 0.00290242841574217 -0.00392784995451868 0.00632951760339462 -0.00423887249021845 0.00255833272142641 0.00133559205510522 0.00232930701852244
"V3" 0.00339521381447269 0.00188145355223115 0.00471877412231438 0.00221248248760755 0.00274084590169127 0.00360743889416092 2.65483457641908e-05 0.00189849978000736 0.00221942124167632 0.00247603681897705 0.00181453429898538 0.00309914813740775 0.00223479105104606 0.000724211742644692 0.000820582803236773 0.00191581630914803 0.00192462357931211 0.00198117459530209 0.00158474381503609 -0.000671421435327543 0.00150262103456325 0.00350644089965928 0.00159229241504938 0.00165342833376019 0.000768749699099995 0.00289938139992755 -0.000955270592058158 0.00112048225888019 0.00220437804767782 0.00250261336551816 -4.99353005085945e-05 0.00138159026167165 0.000606739000817364 0.000235965502952744 -0.00397131816536262 0.00222706502949296 0.0023869487049237 0.000302205399818837
"V4" 0.00102594992403214 0.00367339557564318 0.00221248248760755 0.00630820697676519 0.00283483888043609 0.00172428625274748 -0.000375310027220799 0.00390147378374305 0.00189029947610087 0.000521481920404289 0.000915035203491561 0.00165341236162257 0.000180570343952812 -0.00010087592762333 0.000602117017928453 0.00161089845601477 0.00153103008927526 0.00204736584551972 0.00146494312497512 -0.00355294241295402 0.000536309316653713 0.000151078508243635 0.00139165372131184 -0.0017826496167596 0.000348430537300288 0.0030393299784896 0.00231256210861372 0.000275828560274524 0.000507100800664512 0.00145777948784068 0.00386783714583079 0.000604014758942809 -0.000859015512421666 0.00205006296798283 -0.00339710692669757 0.00177488165871852 0.00146928733838543 0.00297124576501113
"V5" 0.00150047058074428 0.00170091459196614 0.00274084590169127 0.00283483888043609 0.0035756797734164 0.00280568081571729 3.08828746855974e-05 0.00236166797910621 0.00271963181965747 0.00164045085036179 0.00143065567070282 0.00257018387877678 0.0014528651187893 0.000739055128286052 0.000417385958484966 0.00190963588362883 0.00169495863671889 0.00202129131688113 0.00223785853842201 -0.00149679684504021 0.00131084151989899 0.00367907361959404 0.00236950309413676 -0.00070884074897168 -0.000277344350750986 0.00270559863890564 0.000741810187034956 0.000486694554094509 0.00141390417197713 0.00198087540650783 0.00018100075468603 0.0018071553880792 0.000430926731388374 0.000160649425324426 -0.00403107951191282 0.00184049291284025 0.00243578552639115 0.000977520066466469
"V6" 0.00205337868378979 0.00119269857901017 0.00360743889416092 0.00172428625274748 0.00280568081571729 0.00377518525784785 -0.00049964818880651 0.00157584578745505 0.00219059297421918 0.00263798685507773 0.00147107871621515 0.00283894296141664 0.00219431788546967 0.000924686088290548 0.000693456722037716 0.00168956698154666 0.00169833995516995 0.00185103263345466 0.00200953899835477 -0.000449331128747355 0.00164481558847432 0.00371632973620229 0.0016152592269859 0.00157799756288525 0.000104580633825522 0.00207557416495636 -0.000612430705924308 0.00102163133116896 0.00187024846681335 0.00208764143975435 -0.00130378078292764 0.00186038232857903 0.000837698634690459 -0.00115445747670481 -0.00327600493176514 0.00185657472281441 0.00216171295482008 -0.000506092367478908
"V7" -0.000238945357419921 -0.00726818678079044 2.65483457641908e-05 -0.000375310027220799 3.08828746855974e-05 -0.00049964818880651 0.0109731780081014 -0.000774699333314912 -0.000638150132313368 0.000225107726768039 -0.00086414418901203 -0.000344841863641188 0.00174190672408414 0.000688742570020149 -0.000329579772249206 0.000302775834110353 -0.000155459951340336 -0.00053813883488921 -0.00127089299568586 0.00021588297969317 -0.000781177226237363 0.000488106853007155 0.000124125028084022 -0.00117927574872134 -0.000694796522739547 0.000181822444112017 -0.00146177918016101 -0.000285620023477476 0.000771696463691132 0.000136907310747986 -0.000900920910489155 -0.00133331625219523 0.00247471440746468 -0.00135593218110418 0.000728717122670217 -0.000454582892305832 0.000903778887729973 0.001052197264831
"V8" 0.00156796469189378 0.00254434604434004 0.00189849978000736 0.00390147378374305 0.00236166797910621 0.00157584578745505 -0.000774699333314912 0.00365802002230058 0.00199962591337848 0.000573313626360959 0.00126435322191833 0.00120332491295801 0.000304938664933397 -0.000147354235154067 0.000429953791618971 0.00144834006693533 0.00116742881376538 0.00151818131117946 0.0013408551107278 -0.0021506074187326 0.000496710274084771 8.39797001721333e-05 0.0015281953711416 -0.000724168918511881 6.57080970632849e-05 0.00243287430982263 0.00138181224533418 0.000108807185725013 0.00108614228527438 0.00137247215828966 0.00246048666190648 0.00121544108594698 -0.000141602701132071 0.00184185506214209 -0.00189124399973423 0.00130034511211025 0.00117794902320191 0.00206181927526497
"V9" 0.00141470628517264 0.00216314217679225 0.00221942124167632 0.00189029947610087 0.00271963181965747 0.00219059297421918 -0.000638150132313368 0.00199962591337848 0.00238309439727012 0.00116075852822594 0.00115803928379015 0.00212654357792388 0.000895059767662312 0.000508324460441728 0.000554377120516815 0.00149233952964856 0.00139719220452383 0.00168700895005957 0.0021321581615756 -0.000942286283246299 0.00119713353510493 0.00307221549192628 0.00185675772109474 5.63127161032165e-05 0.000111581046721564 0.002201770076134 0.000483569630386995 0.000584609841116757 0.00127743204214544 0.00167182854939119 -0.000134618324069379 0.00197254538469363 0.000132949732444811 0.000555298325298352 -0.00299952794266525 0.00154636551498316 0.0018619947132587 0.000512806986385972
"V10" 0.00159715721612412 -0.00175704083245844 0.00247603681897705 0.000521481920404289 0.00164045085036179 0.00263798685507773 0.000225107726768039 0.000573313626360959 0.00116075852822594 0.00733056564359816 0.00154118010362707 0.00184723309532572 0.0060414657846879 0.0021614245706516 0.000428730448883926 0.000989741900819015 0.0010160562177523 0.000751448267883088 0.000464677541482349 0.00115323577111653 0.00113583189913541 0.00280007708953456 0.00118226561042239 0.00189427067558366 -0.000141187270916184 0.000226615388229348 -0.00125480116871565 0.00117408247535621 0.00244391186689677 0.00162736796320641 -0.00137509864112423 0.00171846153028407 0.00277526193190389 -0.0092256104009978 0.00127871118784471 0.00097182233589894 0.000572952533276807 -0.00203875369667251
