"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.0109242556100882 0.00120381613933726 0.00566103501194627 0.00200283139210156 0.00148560477436213 0.00312722395301507 0.00329322737676281 0.00389536701764498 0.0022441550967788 0.000413503876596968 0.00329744314282469 0.00214275704923909 0.00146686014548979 -0.00223389584354775 -0.000568114406589145 0.00306028088696788 0.00138779631716699 0.00166246695877426 -0.000173848608863336 -0.00217355743249488 0.00106720198431962 0.00019230994788516 0.00522321164886744 0.00153148163598722 0.000731802201534883 0.00241644329108082 0.000194911387587759 -0.0017222600269966 0.00549117422888255 0.00213004229767088 0.00213882189285525 0.000303173774725173 0.00652712015270776 0.00196314973491989 0.00228474197076345 0.000150915509250968 0.00200071391314447 -0.00110855898434073
"V2" 0.00120381613933726 0.00738822250730818 0.00042727603425741 0.00164679858953326 0.000761784015270305 0.000289774928776413 -0.00387451325085742 0.00118194122389251 0.00111924476219305 7.11675823707447e-05 0.000818339412621868 0.000344812349374672 -0.000515223908518171 -0.0007905565077283 0.00162075163595182 -0.000432040033576209 4.38443753650217e-05 0.000130458144538299 0.00049652759960913 1.48664304957283e-05 0.000284309420621854 -3.40814934512348e-05 0.000965427763116653 0.000374841991622307 0.00203341602255932 0.000778378540161947 0.00269713226998319 0.00095696456014854 0.000457864458082598 -0.000164901384147413 0.00252580368819289 0.00122957840485791 0.000527733316313012 0.000196761963573171 0.0006101261686214 -0.000272925222617706 -0.000329052918932868 -0.00153033937443183
"V3" 0.00566103501194627 0.00042727603425741 0.00415591634433554 0.00180558504390534 0.00138222878798354 0.00247095656084768 0.00296232271652362 0.00219373405198278 0.00139814753042247 0.000592911171650706 0.00206531576679306 0.00204431651371663 0.00101970501451839 -0.000748814655130663 0.000633781471969144 0.00183716537156057 0.00101147371901576 0.00101705902168567 0.000287743493754987 -0.00102612339113368 0.0010896842271621 0.000692929416264536 0.00327481855735589 0.00153941961428253 0.000774143352065196 0.00152799711481898 -0.00125036286004558 -0.000360454728310925 0.00320962534248283 0.0016220041638699 0.0007617443306778 0.00106930897001698 0.0034691096785748 0.0015011097578913 0.000700592299461771 0.000252639021944032 0.00163881217315362 -0.000555262861406834
"V4" 0.00200283139210156 0.00164679858953326 0.00180558504390534 0.00437302209631707 0.00127155426323943 0.00131239621874348 0.00166722186395211 0.0031074121722583 0.000970390809906166 0.000518591411315448 0.00167512136214514 0.00104811192285591 0.000309127756306648 -0.000273144742258363 0.00128753231474738 0.000743455384495042 0.000460134043463817 0.000386581048124482 0.000377281783358329 -0.00156133483399776 0.0009163815168317 -0.000862390383813885 0.00225359785396556 0.00177261200662144 0.00109955048666746 0.000752374330979909 0.00105766959121386 3.35586780328366e-05 0.00102996962048524 0.000921231057827461 0.000372586699331074 0.0018777847652649 0.00185458379628839 0.00108813850161045 0.000430878202138047 -1.00866093330225e-05 0.000782226795357739 0.00012704529793034
"V5" 0.00148560477436213 0.000761784015270305 0.00138222878798354 0.00127155426323943 0.0016998864830747 0.00122878437888235 0.000834237910308245 0.00102284612840151 0.00117190834036139 0.000417820409247347 0.000659897994675024 0.000907440353404767 0.000266803407766485 -0.000262398769797512 0.000852960735357117 0.000790991533822658 0.00058489414701047 0.000802798950847965 0.000558492791691404 -0.000342841878486735 0.000713124133149192 0.00107376012252978 0.00214486613165552 5.71967268992181e-05 -0.000218945435711859 0.000649176773030323 0.000329019219678401 0.000287972653167503 0.00148940323940697 0.000840989875994246 0.000510846598485685 0.000720387631781725 0.00103427344457999 0.000868753860283647 -0.000321732394231424 0.000453015136787989 0.00120917593218216 0.000393400276108108
"V6" 0.00312722395301507 0.000289774928776413 0.00247095656084768 0.00131239621874348 0.00122878437888235 0.00223415342733504 0.00182690178700279 0.00135210690815167 0.00101028167991649 0.000465049251109222 0.00140469144333255 0.00126510309603951 0.000539408763852349 -0.000503021713279446 8.96764155620653e-05 0.0013151845724854 0.000744253388154032 0.000980349030453208 0.00052140993338666 -0.000275333475064159 0.000882101857752347 0.000680871693161467 0.00201565493029771 0.000812110710223668 0.000372240635505486 0.00128846824192859 -0.000215925139468457 -0.000263521904681786 0.00236191817396797 0.00118467159105238 0.000493939663712843 0.000469208842485006 0.00197397569703537 0.00102184766239716 -9.06694540211776e-05 0.000398768982598786 0.00116632059090348 -0.000116635721733412
"V7" 0.00329322737676281 -0.00387451325085742 0.00296232271652362 0.00166722186395211 0.000834237910308245 0.00182690178700279 0.0135913935696475 0.0013977248851775 0.000254129261689583 -0.000586016299297171 0.000189383659722069 0.000940396096987026 0.000967777895484178 0.000174278670910528 0.000264588021262216 0.00195427627026171 0.00107124886526031 0.00130149584373437 0.000880976620968392 0.000702143954722135 0.00132085305616914 0.000159645862206812 0.00105193397522378 0.00311622030689684 0.000215355571398113 0.00107508972485311 3.75722536748819e-05 -0.000499136464257069 0.00103922739403089 0.00122142229944835 -0.000805007740052309 0.00105919915087921 0.00173883496287616 0.000583508007029847 -0.000832574914060261 0.000642112579576983 0.00121781376662166 0.000332175913468613
"V8" 0.00389536701764498 0.00118194122389251 0.00219373405198278 0.0031074121722583 0.00102284612840151 0.00135210690815167 0.0013977248851775 0.00421704559623393 0.00149099671648743 0.00033588654664152 0.00210939685943411 0.00126803029091033 0.000381505306982752 -0.00110199706919137 0.000183426070799106 0.00123819711857548 0.000766940515587157 0.000917119144380789 0.000436261994683421 -0.00167230095983682 0.000699511830834035 -0.00161717881766021 0.00286926966012039 0.00179354439591262 0.000929877898396029 0.00106350265271363 0.000979930508327771 -0.000290498802255396 0.00220382674738517 0.00111488490017553 0.0008565019658711 0.00117084616223163 0.00244798987990018 0.00098383181177238 0.000352713960497779 0.000125495265836416 0.000935454388854373 9.03402247178752e-05
"V9" 0.0022441550967788 0.00111924476219305 0.00139814753042247 0.000970390809906166 0.00117190834036139 0.00101028167991649 0.000254129261689583 0.00149099671648743 0.0013568458616524 0.000341466796512124 0.00102256644285803 0.00108718083364248 0.000148833806403159 -0.000580962844448966 0.000869342717399885 0.000799267332912122 0.000609441851193562 0.000852383819976283 0.000633014205035849 -0.000635908855146819 0.000567833376343517 0.000774676744272132 0.00224369063820739 0.000411035849523082 0.000529691519481726 0.000628393831230149 0.000359925566423764 0.000228309683947352 0.00174943297379611 0.000786172838697839 0.000917869333394823 0.000611861621736204 0.00124093613207813 0.000825057834347873 0.000165520638551644 0.00041337770240088 0.00104661827673149 7.49812232784072e-05
"V10" 0.000413503876596968 7.11675823707447e-05 0.000592911171650706 0.000518591411315448 0.000417820409247347 0.000465049251109222 -0.000586016299297171 0.00033588654664152 0.000341466796512124 0.00249388417295959 0.000539649586317295 0.000845987421306632 0.001919475778154 0.000495043588400702 0.00151430547762683 4.66305555481631e-05 -2.87739465440607e-05 -0.000194796330111092 -0.000226262464641745 -0.000403172637040974 0.000624956280855805 0.000646562159887026 0.000975431131194952 0.000283505759049971 -3.53290684509423e-05 0.000409524127794532 -0.000374626249916972 -0.000119436085088131 0.000562438084659204 0.00045271343145119 0.000194486959989718 0.000768102374395641 0.000782789990764442 -0.00130289445065908 0.000300198686264106 0.000109330271182949 0.000276269575883702 0.000137843876699609
"V11" 0.00329744314282469 0.000818339412621868 0.00206531576679306 0.00167512136214514 0.000659897994675024 0.00140469144333255 0.000189383659722069 0.00210939685943411 0.00102256644285803 0.000539649586317295 0.00266507145491505 0.00111868430712539 0.000700455043151704 -0.000644972343547608 -0.000694915515950457 0.000954426628928308 0.00036438559070707 0.000337978716093772 -0.000143942441281865 -0.000799752539992875 0.000290194374900335 -7.19134619024389e-05 0.00221108948957642 0.000670447598301899 0.000806918585913495 0.00083226883643319 -0.000160950201776738 -0.000635720546405427 0.0024488980077263 0.000940569917512527 0.000603132127798691 0.000213887710425934 0.00219587243650598 0.00131505927224367 0.000630375377446868 0.000208394168471457 0.00087835621876189 -0.000122227511039009
"V12" 0.00214275704923909 0.000344812349374672 0.00204431651371663 0.00104811192285591 0.000907440353404767 0.00126510309603951 0.000940396096987026 0.00126803029091033 0.00108718083364248 0.000845987421306632 0.00111868430712539 0.00233115907848178 0.000502382115716436 0.000153827617968265 0.0018415447060252 0.000926093775920629 0.000755597995741362 0.000747276010236823 0.000735831108978794 -0.000540553863305951 0.00114820714568554 0.000985703687639218 0.00186715576114165 0.000889982357556843 0.000645113791024978 0.000345549698997628 -0.00131519052668784 0.000589465114536747 0.00142816159046772 0.00102526366868654 0.000401850056155307 0.000979659459419373 0.00106882079269197 0.000706206111454977 -0.000195830620674288 0.000301655372296891 0.000948973509761765 -0.000371229833977343
"V13" 0.00146686014548979 -0.000515223908518171 0.00101970501451839 0.000309127756306648 0.000266803407766485 0.000539408763852349 0.000967777895484178 0.000381505306982752 0.000148833806403159 0.001919475778154 0.000700455043151704 0.000502382115716436 0.00246080774815072 0.000484666144835851 0.000352509710669411 0.000207647034332316 -0.000273539833688583 -0.000637288169078696 -0.00114258406803073 -0.000508012861949607 0.00040982617860858 0.000397304344144934 0.000896505378856151 0.000373607169503899 -0.00074310005603688 0.00050787447172673 -0.000331428552394138 -0.00107558385383305 0.000881437885925941 0.000430964785173872 -0.000513569289044466 4.21319858656906e-05 0.00161597383435836 -0.000905853017797515 0.000457248982995029 -0.000145233002364423 0.000206975456879941 0.000197678783851316
"V14" -0.00223389584354775 -0.0007905565077283 -0.000748814655130663 -0.000273144742258363 -0.000262398769797512 -0.000503021713279446 0.000174278670910528 -0.00110199706919137 -0.000580962844448966 0.000495043588400702 -0.000644972343547608 0.000153827617968265 0.000484666144835851 0.0019283625790576 0.000475657274679879 -0.000144584053915181 -1.47340036073142e-06 -0.000419434031295962 0.000205667454278146 0.000754897153891047 0.000368759460082789 0.000498989953418075 -0.00077762731373902 -0.000373327048836186 -0.000216147390329144 -0.000682470327875616 -0.000735457031415622 0.000391734812591373 -0.001866653448044 -0.000146750123476747 -0.000684013138422217 0.000136019686421309 -0.0016022842923168 -0.000247364874303769 -0.000785847744146576 0.000145737527616525 3.15663209636115e-05 0.000864908246688923
"V15" -0.000568114406589145 0.00162075163595182 0.000633781471969144 0.00128753231474738 0.000852960735357117 8.96764155620653e-05 0.000264588021262216 0.000183426070799106 0.000869342717399885 0.00151430547762683 -0.000694915515950457 0.0018415447060252 0.000352509710669411 0.000475657274679879 0.0104581458871183 -0.000616775628191392 -7.67919243803036e-05 -0.00105683399057749 -0.000195416117749543 -0.00120366987281684 0.00203714280873403 0.00177477850720419 0.00247225981605566 0.00241971954147917 0.00226871481967026 3.05103719097914e-05 -7.40607696061287e-05 0.00215496436381846 -0.000272489761259551 0.000645913556733714 0.00144720025393793 0.00303229768052387 0.000855271066023807 0.000108016651159025 0.00084587448347471 -0.000551265078190421 0.000275339633747928 -0.000570220808124756
"V16" 0.00306028088696788 -0.000432040033576209 0.00183716537156057 0.000743455384495042 0.000790991533822658 0.0013151845724854 0.00195427627026171 0.00123819711857548 0.000799267332912122 4.66305555481631e-05 0.000954426628928308 0.000926093775920629 0.000207647034332316 -0.000144584053915181 -0.000616775628191392 0.0025778344993887 0.00162160933025202 0.00207410008452672 0.00179872770639981 -0.000122341006273717 0.000951879532356682 0.000211143811776536 0.00200898260686241 0.00112174037427504 0.000443163927027216 0.000990223937613184 0.000830092419370599 -0.000170377186910773 0.00195179430060746 0.00117065108605414 0.000822305772295675 2.43429292950825e-05 0.00142803846790531 0.0014356121758123 0.000211727635484154 0.00107948187462421 0.00123986720808466 -0.000173872809844944
"V17" 0.00138779631716699 4.38443753650217e-05 0.00101147371901576 0.000460134043463817 0.00058489414701047 0.000744253388154032 0.00107124886526031 0.000766940515587157 0.000609441851193562 -2.87739465440607e-05 0.00036438559070707 0.000755597995741362 -0.000273539833688583 -1.47340036073142e-06 -7.67919243803036e-05 0.00162160933025202 0.00149154116874879 0.00186781352689357 0.00195835229022366 0.000173414166185783 0.000760331560362163 0.000154701297356403 0.00123505721315734 0.00110053471642619 0.000809398932104746 0.000688097784892554 0.000495562706158186 0.000957221642516685 0.000932769461619001 0.000924518086653828 0.000868990161733014 0.000599738103218136 0.000206474949236519 0.000870913134332994 -0.000139981256762718 0.00104864568343704 0.000901084389108929 -0.000231253301106748
"V18" 0.00166246695877426 0.000130458144538299 0.00101705902168567 0.000386581048124482 0.000802798950847965 0.000980349030453208 0.00130149584373437 0.000917119144380789 0.000852383819976283 -0.000194796330111092 0.000337978716093772 0.000747276010236823 -0.000637288169078696 -0.000419434031295962 -0.00105683399057749 0.00207410008452672 0.00186781352689357 0.00333362749211422 0.00336450879094807 0.000446368523037094 0.000888937978123566 0.000140277532953577 0.00134632278688533 0.00144986756868685 0.00117291262950885 0.00114098538713352 0.00137604464069674 0.000710704877874498 0.00147404801411841 0.000740656205766343 0.001738327239335 0.000799149591973972 -0.000116311054896769 0.00116981285782826 -0.000307095073485981 0.00170933551830525 0.000950888012955052 -0.000268821843819014
"V19" -0.000173848608863336 0.00049652759960913 0.000287743493754987 0.000377281783358329 0.000558492791691404 0.00052140993338666 0.000880976620968392 0.000436261994683421 0.000633014205035849 -0.000226262464641745 -0.000143942441281865 0.000735831108978794 -0.00114258406803073 0.000205667454278146 -0.000195416117749543 0.00179872770639981 0.00195835229022366 0.00336450879094807 0.00506141816853851 0.00116060915511757 0.00120818560577588 0.000245621092890563 0.00102754823443232 0.00273751176280979 0.00202362943829073 0.00067960042173868 0.00105074822075277 0.00157251866156209 0.000450490274622209 0.000549420743817491 0.000420516232889775 0.00262138982759165 -0.00155568752207296 0.00123016792990431 -0.000569127758100551 0.00181267446836388 0.000887628065831104 -0.000358243605969106
"V21" -0.00217355743249488 1.48664304957283e-05 -0.00102612339113368 -0.00156133483399776 -0.000342841878486735 -0.000275333475064159 0.000702143954722135 -0.00167230095983682 -0.000635908855146819 -0.000403172637040974 -0.000799752539992875 -0.000540553863305951 -0.000508012861949607 0.000754897153891047 -0.00120366987281684 -0.000122341006273717 0.000173414166185783 0.000446368523037094 0.00116060915511757 0.00371115737387034 0.000500962379012776 0.000253492509446977 -0.00163042671608611 -1.29408014670408e-05 0.000458123641707538 -5.28798222524738e-05 0.000465441793977402 0.000859300160246081 -0.00103918810558012 -0.000384865104728424 0.000129768550554936 -0.000100261606369684 -0.00193122061028094 -0.000302167801507807 -0.000719850830967137 0.000426415706302119 -0.000704899709201045 4.23330433385154e-05
"V22" 0.00106720198431962 0.000284309420621854 0.0010896842271621 0.0009163815168317 0.000713124133149192 0.000882101857752347 0.00132085305616914 0.000699511830834035 0.000567833376343517 0.000624956280855805 0.000290194374900335 0.00114820714568554 0.00040982617860858 0.000368759460082789 0.00203714280873403 0.000951879532356682 0.000760331560362163 0.000888937978123566 0.00120818560577588 0.000500962379012776 0.00176016788599331 0.000585286566414197 0.00169516608364532 0.00116182596402482 0.000747450692552056 0.000809435130506714 0.000194995711067565 0.000493966731742313 0.000641427778793214 0.000749284099431824 0.000800820716452256 0.00132694994893052 0.000526636343075259 0.000462105745616785 -7.23848330163848e-05 0.000443697191949855 0.000529335329811422 -4.58242579994574e-05
"V23" 0.00019230994788516 -3.40814934512348e-05 0.000692929416264536 -0.000862390383813885 0.00107376012252978 0.000680871693161467 0.000159645862206812 -0.00161717881766021 0.000774676744272132 0.000646562159887026 -7.19134619024389e-05 0.000985703687639218 0.000397304344144934 0.000498989953418075 0.00177477850720419 0.000211143811776536 0.000154701297356403 0.000140277532953577 0.000245621092890563 0.000253492509446977 0.000585286566414197 0.00370534863065751 0.000991184394118938 -0.00148874140783389 -8.15769460000717e-05 4.6549853185653e-05 -0.00102686616889736 0.00031987389120938 0.000697008155052152 0.000474153002754175 0.00043944059144608 -2.67999281368112e-05 -0.000252557389007527 0.000393617238540413 -0.000441202663760421 0.000552445100935226 0.00103293854173992 0.000216466598671741
"V24" 0.00522321164886744 0.000965427763116653 0.00327481855735589 0.00225359785396556 0.00214486613165552 0.00201565493029771 0.00105193397522378 0.00286926966012039 0.00224369063820739 0.000975431131194952 0.00221108948957642 0.00186715576114165 0.000896505378856151 -0.00077762731373902 0.00247225981605566 0.00200898260686241 0.00123505721315734 0.00134632278688533 0.00102754823443232 -0.00163042671608611 0.00169516608364532 0.000991184394118938 0.00735941861019432 0.00151817071544462 0.00112481599739514 0.00080472922676611 -0.000260754534497067 8.81158599930568e-05 0.00356853133801068 0.0019148293947287 0.00191369579262749 0.00186389649504222 0.00328166486076244 0.00221929756289041 0.0010570663143042 0.000514455418401332 0.00215685745311912 5.41510564488169e-06
"V25" 0.00153148163598722 0.000374841991622307 0.00153941961428253 0.00177261200662144 5.71967268992181e-05 0.000812110710223668 0.00311622030689684 0.00179354439591262 0.000411035849523082 0.000283505759049971 0.000670447598301899 0.000889982357556843 0.000373607169503899 -0.000373327048836186 0.00241971954147917 0.00112174037427504 0.00110053471642619 0.00144986756868685 0.00273751176280979 -1.29408014670408e-05 0.00116182596402482 -0.00148874140783389 0.00151817071544462 0.0103147694314406 0.00308791934213108 0.000987916882657192 0.00168404113665897 0.00109312319959534 0.000937695093747459 0.000929601955435635 -0.00449428409447027 0.00403100778372555 0.00176887022033156 0.000961997130798383 0.00112355934247719 0.000429780139575084 0.00101627464248535 -0.000758400702278374
