"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.0143415171338616 -0.00014892655619638 0.00712463473235209 0.00368413640981351 0.00275805939372154 0.00393676344360893 0.00404761475264002 0.00539777509686222 0.00378959962961166 0.00156731979430747 0.0052281487174952 0.00450914461748583 0.00254242592951068 -0.00235980942029127 0.00370320693902716 0.00312641465429364 0.00186264590688876 0.000705768572302464 -0.00225073415928031 -0.0019928995004177 0.00296400498491005 0.00106307183472132 0.00609980370916374 0.00559962146005974 0.00246390791558586 0.00421092114355202 0.00116070317155163 0.000867901639065125 0.00679314305217887 0.00397442358748513 0.00196226975207875 -0.00141366763032082 0.0074825049542471 0.00274602346935663 0.0035135520821635 0.0010826085610047 0.00394661009573385 0.00084772881496081
"V2" -0.00014892655619638 0.00719386150568503 0.000389182501675466 0.000760504315003366 0.000599770790072936 -3.49961565158321e-05 -0.00216402117440551 0.000531576850769702 0.0010808406180169 0.00126587744530419 4.80601368050295e-05 0.000927864353361412 0.000586432059047822 0.00103422921876841 0.00246501465611678 -0.000495217173483413 0.000349442704648557 -0.000121789787885791 0.000934567986731708 0.00173376107658326 0.00118005895924615 0.0014874529122217 0.000118340391777123 0.00184431558577087 0.00192129001437956 0.000610790991915186 0.00118536577228537 0.00184936045493677 -0.000844705030613632 0.000687221760128387 -0.000524628267418624 0.00243071391719466 -0.00111020205709906 -0.00188931904200474 -0.000566389338970501 0.00019350706516603 0.000680677686099468 0.000782380196486872
"V3" 0.00712463473235209 0.000389182501675466 0.00519278734467037 0.00269894384569488 0.00235899384910824 0.00287498982825021 0.00258971712465932 0.00303482809656564 0.00238233055878592 0.00108183746995445 0.00267263030021557 0.0030610383989541 0.00161342591678066 -0.000914472545951766 0.00254636268782316 0.00157440631169872 0.00108300289909921 0.0005539333998693 -0.00123585665141689 -0.00112474441471086 0.00173098866170902 0.00151762667334787 0.00300756981100147 0.00298474947556167 0.00155047501567156 0.0033600857244919 -0.000469763434029045 0.00055018209719108 0.00350208612490621 0.00236427353763669 0.00103003587845303 -9.72072074435721e-05 0.00330086337829002 0.0013228143077148 0.00122671479325248 0.00108058058287312 0.0021935963762985 -3.60072983289947e-05
"V4" 0.00368413640981351 0.000760504315003366 0.00269894384569488 0.00752957240559383 0.00241895424248581 0.00231417161909851 0.00153171598673552 0.00566400950107224 0.00189015106199386 0.00120543775542452 0.00288023483784583 0.00164270024757813 0.00159895381085439 0.000150872895919838 0.0014485900694765 0.00164351466076551 0.00159236823421984 0.00101807328099108 -0.00027223076280083 -0.00384884403846443 0.0011726262907512 -0.00156469222164988 0.00225282606314351 0.00194803634422037 0.000831719411225817 0.00171561158867137 0.00170825749432752 0.00172539609402866 0.00309455602171502 0.00207449306453607 0.00183711796321496 0.000132615381441451 0.00270684904238288 0.00157510655798355 0.00341073155406575 0.00115555147485745 0.00142956823416206 -0.00133803170265116
"V5" 0.00275805939372154 0.000599770790072936 0.00235899384910824 0.00241895424248581 0.00400958351642313 0.00223142373187432 0.00182702284748188 0.00217808996782997 0.00309768656590392 0.00112511759486469 0.00169330516181576 0.00195852790828063 0.00105901424665511 -5.78851094736378e-05 0.00290283900045969 0.00114395908348226 0.00117391196481818 0.00108414683900136 0.000320669385217602 -9.9608138847818e-05 0.00177427312745834 0.00392095310466238 0.00387101922378593 -0.00141172509118429 0.000578084170299199 0.00284801679052964 0.00101210817779752 0.0010229458000553 0.00213353834713144 0.00197870906830004 0.00157334803960239 0.00102917831492405 0.00140533358932043 0.00114286992771156 0.00057248198259693 0.00160468843751963 0.00179059820421893 0.000342583276140572
"V6" 0.00393676344360893 -3.49961565158321e-05 0.00287498982825021 0.00231417161909851 0.00223142373187432 0.00295175573587567 0.000764844854333412 0.00223130975337539 0.00191307781524212 0.000998574266730868 0.00187330792021292 0.00190380126864571 0.00127822035842905 -0.000350316050235075 0.0017749053384976 0.00160984918615098 0.00118023187719275 0.000760005296819131 -0.000130867505988286 -0.00126422158549793 0.0014781200583977 0.00151130720288926 0.00251841331211811 0.00162110050234123 0.000721306617941033 0.00236434540274383 0.000603135382329284 0.000500834883511489 0.00242292065937866 0.00225742025030242 0.000394428272138401 -0.000702774762870695 0.00239726203614528 0.000842406725165533 0.000509649329696445 0.00106384437861571 0.00194230312225718 0.000297849993394287
"V7" 0.00404761475264002 -0.00216402117440551 0.00258971712465932 0.00153171598673552 0.00182702284748188 0.000764844854333412 0.0120414486260028 0.00188238358027295 0.00202749270041608 0.00127217347304589 0.000869763630027063 0.00205663923776112 0.00259301223384024 0.00128632365164813 0.00316248296006544 0.00125951349695823 0.00109620929854582 0.00116567084101761 3.60423402663257e-05 0.00196893515857159 0.00246027377469233 0.00139882119353952 0.00165518226282537 0.00148856729749611 0.00257311636329918 0.0030246080689413 0.00124896535923388 0.00159875756223416 0.00306044639029658 0.00102634473990412 0.00382042032179374 0.000745253713156126 0.0025290956757452 0.00165903970770571 0.00382212784786445 0.0014484695905348 0.00225417374064798 0.00104503188572297
"V8" 0.00539777509686222 0.000531576850769702 0.00303482809656564 0.00566400950107224 0.00217808996782997 0.00223130975337539 0.00188238358027295 0.00604878471555277 0.00251586085756776 0.00164139005953637 0.00349005157365302 0.00239579085867754 0.00227037954423157 -5.43321380076217e-05 0.00167093709447208 0.00209465414568581 0.00161546181945199 0.00138180901463662 -0.000557158226105267 -0.00285373293489612 0.00151005737115639 -0.00159627698577595 0.00303170032810763 0.00255260210433341 0.00108727385702539 0.00218489009970449 0.00157833023533996 0.00127457958069122 0.0039484866626172 0.00198644164488745 0.00256519399143085 -0.000232265024147524 0.00385880461765371 0.00155731278297342 0.00340989244225215 0.0013771876269611 0.00172978736854071 -0.000495336805475087
"V9" 0.00378959962961166 0.0010808406180169 0.00238233055878592 0.00189015106199386 0.00309768656590392 0.00191307781524212 0.00202749270041608 0.00251586085756776 0.00306792266872463 0.00141318093767808 0.00199924636933019 0.00237383598062107 0.00141390013288529 7.88137344494016e-05 0.00293429862576921 0.0013928897069141 0.00129722550581457 0.00117959077713277 0.000478546271851708 0.00019720156556256 0.00207351589990655 0.00321697414672366 0.00358880360595042 0.000186391867689217 0.00119095123025287 0.00265195669110757 0.0012699199567676 0.00110861947487636 0.00226929430579858 0.00197012445212954 0.00162593554558091 0.00107532670521099 0.00191375911602451 0.000977892938887085 0.0010440496040698 0.00148670778289726 0.00201195122377956 0.000645101885578616
"V10" 0.00156731979430747 0.00126587744530419 0.00108183746995445 0.00120543775542452 0.00112511759486469 0.000998574266730868 0.00127217347304589 0.00164139005953637 0.00141318093767808 0.00472396965723018 0.00145958582098924 0.00156380678320009 0.00461865132365371 0.00209659340753594 0.00173445335590688 0.00109189060507213 0.000967497832530617 0.000919389059703029 -0.000398513656862456 0.00103926031387302 0.00144822475468672 0.000643992385218897 0.00106516297162172 0.00134537096824128 0.00146145498699222 0.00246273841204261 0.00110788091537516 0.00115470172264183 0.00252725360534747 0.00161274355550593 0.001730600991337 1.361025209758e-05 0.0028910153340723 -0.00195389099642922 0.00208767436727292 0.00131479524641797 0.00251810333793019 0.00184560135552504
