"" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39"
"V1" 0.00314957009495991 0.00315907812487151 0.0022435102338895 0.00129843738814572 0.00101800094471348 0.00106403035135814 -0.000214784304743681 0.000831832181842386 0.00132893692467281 0.000797819397617747 0.000805392694218778 0.000923951326421208 0.000132200364965189 0.000513866334917272 0.0043638348708858 0.000101685317278089 0.000633726819698409 0.00105012429075867 0.00180747969630738 0.00082970625522342 0.00141460657245989 0.00131781632929965 0.00266823230516414 0.00410129529150935 0.0033794090961863 0.00135998613296386 0.00175172106795265 0.00183404097330857 0.00116137116966927 0.000890740730384848 0.00246297346713268 0.00321429555912928 -8.0630438584525e-05 -8.08342840175716e-05 -1.13145334153848e-05 0.000694527300398723 0.000525399519297 0.000387951327955082
"V2" 0.00315907812487151 0.00832972889273293 0.00271651493693477 0.00244776735306708 0.00134177161006684 0.00112875170891406 -0.00228139630324759 0.000543574572734085 0.00123221907608361 0.000738662035550816 0.00113413730136463 0.00151688780228193 -0.000153238163531613 0.000642096511716968 0.00855897254863174 -0.00131842714799517 -0.000196118850159109 -0.000183253496963443 0.00103925947184439 0.0012502639274702 0.00197811742288481 0.000959638782796486 0.00355104904527971 0.00556420557184137 0.00478060467951761 0.00126735801032619 0.00225767365508618 0.00229304706357369 0.00125454680124354 0.000726054705014405 0.0035027043377564 0.00466179700886614 0.000128479416515749 -0.000876322577058232 0.000274922882639375 -0.000357832738356573 0.00076821416837598 0.000558356729960279
"V3" 0.0022435102338895 0.00271651493693477 0.00344516747747252 0.00227739664811705 0.00172125075242146 0.00157880727253642 -3.64538501654659e-06 0.00119257765152453 0.00151283165293612 0.00042559216750946 0.000480350227217637 0.00137031396651941 -0.000234860319638442 0.000347656530967033 0.00336796817766994 0.00052878481857855 0.00081746366676606 0.00122133549361413 0.0021733910898219 0.00125930658096387 0.001676340784819 0.00162659216758483 0.00212560086993299 0.00415546096477698 0.00283511498688254 0.00110715868780735 -0.000349454837748831 0.00161662886059437 0.000802977994740497 0.000969108133056841 0.0011238828864554 0.0031025923377123 0.000276297215835176 0.00063245682527456 0.000646310265983292 0.000798894659284617 0.00052275716430614 0.00029337707276238
"V4" 0.00129843738814572 0.00244776735306708 0.00227739664811705 0.00449156523398765 0.00237049996274666 0.00146725885514647 0.00136379282140646 0.00262355541125725 0.0016474223757766 0.000107964417313651 0.00096213443843877 0.00108318381471048 -0.00074824023686623 -2.49025278109357e-05 0.00506120397050987 9.79398956624933e-05 0.000559306609117448 0.000755482222396315 0.00175328117413404 -0.0013460799504447 0.00135181141945451 0.00154357632237308 0.00181966542774636 0.00359024137517081 0.00310682024007113 0.00215832395209909 0.00186282859214658 0.00175134326886552 0.000688400566100069 0.00112928027166191 0.00122809482887346 0.00391311496482773 -0.000553929162820952 0.00151143849487213 -0.000524595685495297 0.000655400093714804 0.000852572170789608 -0.000419922818010341
"V5" 0.00101800094471348 0.00134177161006684 0.00172125075242146 0.00237049996274666 0.00423413330324511 0.00142140322986332 0.000765989619417603 0.00135189754198405 0.00317352631764431 0.000502984866753792 0.000564829826216535 0.00114367834519763 -0.000155159664824894 0.000811384121425975 0.00335280951667293 0.000514879166209293 0.0010567529652748 0.00120224381015925 0.0017476014615831 0.000527502007506147 0.00160066708623034 0.00466004166137718 0.00287755618825736 -0.000670242697090775 0.00130905341916254 0.00160861058473704 0.00163412058609772 0.00237041044055669 0.000978652133351573 0.00131006009215924 0.00141771213332341 0.00310484130948043 0.000530276974014087 0.00238413644556442 0.000718615183078082 0.000975460108774228 0.000721012464460449 -0.000383855410932876
"V6" 0.00106403035135814 0.00112875170891406 0.00157880727253642 0.00146725885514647 0.00142140322986332 0.00160337770473729 0.000113487918449531 0.000786826775093152 0.00112028554201192 0.000250675266448967 0.000388033849228737 0.000589078956802732 -2.75666756050187e-05 0.000351580105174377 0.00172329646336171 0.000174840759691729 0.000452930685694275 0.000622450027398021 0.000895255157480943 0.000317841927842066 0.000901811745523117 0.00136669310340532 0.00122557825374447 0.00163467869089792 0.0015347835578376 0.000907863380891945 0.000597182385785095 0.00107999340062316 0.00074738027433553 0.000785529230903424 0.000764753476075328 0.00164969396964329 0.000370820647510671 0.000629194446276773 0.000890565925184783 0.000508546093994833 0.000480922521909044 0.00018130438880346
"V7" -0.000214784304743681 -0.00228139630324759 -3.64538501654659e-06 0.00136379282140646 0.000765989619417603 0.000113487918449531 0.00973202449984102 0.00124972681720139 0.00087379048102107 -0.000850492378466246 -0.000167309042807542 0.00144771284939047 -0.000127612978211337 -8.47200365235204e-05 -0.00245139617634311 0.0016990302356496 0.000999263710987804 0.00140511465452774 0.00174090386727907 0.00169776589504592 0.000427483890102599 0.000773410762345289 -2.15409686191266e-05 0.00189492089214031 0.000956603335525887 0.000417722586620119 0.00199893619614615 -0.000447959849403564 0.000492114418958569 0.000656153535059439 -0.00120720489001288 0.000510137926837066 -0.00019916273949427 0.00232666847483366 0.000272193779723828 0.00121917851832365 0.00104468071799357 0.000166814806354984
"V8" 0.000831832181842386 0.000543574572734085 0.00119257765152453 0.00262355541125725 0.00135189754198405 0.000786826775093152 0.00124972681720139 0.00282647441962097 0.00147040028829661 0.000182388585533434 0.000825227924098942 0.00069884095363414 -0.000376997202981571 -7.36038568945113e-05 0.00176569263975035 0.000819750768058711 0.000997133584481405 0.00110760097152398 0.00188796273713657 -0.000447373050921031 0.000927858976417273 0.000592670791326923 0.000846351410359178 0.00228460377399426 0.00194374708350234 0.0017559065849613 0.00179017553211717 0.00139288831148052 0.000187477002820443 0.00105688654964965 0.000684608889672174 0.00227411152454523 -0.000409660856773006 0.00107590952109636 -0.00042427984254527 0.00100305445150018 0.000715525721580236 -0.000124563954383821
"V9" 0.00132893692467281 0.00123221907608361 0.00151283165293612 0.0016474223757766 0.00317352631764431 0.00112028554201192 0.00087379048102107 0.00147040028829661 0.00297635500798038 0.000490220607798231 0.000612527770118306 0.00111258730802514 -2.73692061219964e-05 0.000766823126478026 0.00251738602985075 0.000885677975634443 0.0013236173575149 0.00157446002245723 0.00237404497847108 0.00115201538647036 0.00168178434199197 0.00405526726957651 0.0025842752825278 0.000561170203481625 0.00189757726968606 0.00173465609644436 0.00181065539547144 0.00229105605521402 0.00110145575419724 0.00141645957561956 0.00151356550066324 0.00294897854352865 0.000414943275496793 0.00233828963866333 0.000493482788910946 0.00131982519674323 0.000858713281008416 3.99070372443086e-05
"V10" 0.000797819397617747 0.000738662035550816 0.00042559216750946 0.000107964417313651 0.000502984866753792 0.000250675266448967 -0.000850492378466246 0.000182388585533434 0.000490220607798231 0.00251298823916334 -1.6442191025271e-05 0.000229569822228248 0.00199343211618941 0.00065131124251771 0.00135236235088101 2.17314181969094e-05 0.000336533810540081 0.000818598391810354 0.000661462291089416 0.000621100205241452 0.000716675488523962 0.000404943369679552 0.000624340616523683 0.000220455907156605 0.000963401179397745 0.00105047739438996 0.00151389949524335 0.000683712908082193 0.000811895439495518 0.000515317924796694 0.0018741503948348 0.00126876006004026 0.000310332156741097 -0.0038197159746383 0.000462366183898818 0.000568140655301296 -7.23723224849313e-06 0.000189809633599604
