"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00327697969927232 0.00225640183765492 0.00117041298517447 0.000463607146137629 0.000451272438188829 0.000398102183236287 -0.00097086480140711 0.000314010464744094 0.000735796328590581 0.000116576736090264 0.000525944447283689 0.000712200434600514 0.000837699401095456 0.000638313561195353 -0.000395011477488163 -0.000201950162023805 -0.000236183071948141 -2.64827082972109e-06 -0.000628890851339586 -0.000983895668631738 0.000861666492496038 0.000873359225680497 0.00168588765054207 0.000317918935155344 0.000558151337799162 0.000943939039970669 0.000390177121857323 -0.000530014661392879 -9.71499914789707e-06 0.000501815965362839 0.000377739888202091 0.000425667147991415 0.000976541907030648 0.000143457287382172 0.000945452180328791 0.000414573586503164 0.000603790507238485 0.000840680901205105
"ISNSL" 0.00225640183765492 0.00843218179960186 0.00326151526780225 0.00469879351307686 0.0049679628627631 0.00221148083167907 0.000392329131678102 0.000174308101300786 0.00219934877326593 -2.08790811564342e-05 0.00184009030993889 0.00226006036289533 0.000595243463633544 0.00127400686825481 0.000657188655112528 0.000782864766247711 0.00069420595203141 0.00231294561119705 0.00183184542593229 0.000502650300010594 0.00327797911420444 0.00334554720142238 0.0025527955547329 0.00185853824790906 0.00217405069143575 0.00368300644927393 0.00372761929815227 -0.000344639608235031 0.000158828485758751 0.00169178865686136 0.000886112753657378 0.00205218937083603 0.000399489680333853 0.00127628655657308 0.00110637678107486 0.00143534356632051 0.00300907913538767 -0.00105333083034802
"ISPNS" 0.00117041298517447 0.00326151526780225 0.00264440910729559 0.0028661678594914 0.00324245225051525 0.00134660239909847 0.000618781426841 0.00114208265118407 0.00145530163258724 0.000396298331212582 0.000977093120335241 0.00135326877594298 0.000125455211545591 0.000564738988859356 0.00156491262513531 0.000419799539821338 0.000301357201828075 0.000546945790779186 0.000996431855859151 0.00043492758453872 0.0018967118871496 0.00178853023883374 0.000716089929160875 0.001018874287265 0.00102946312666921 0.00258057497096895 0.000607066360062696 0.000388155466063128 0.000152610268254291 0.000780081157823857 0.000391277782494558 0.00107127154300325 -4.30824658589197e-05 0.000492937768327659 0.000171072949130924 0.000519423126410592 0.00194579037696378 -0.000531022854391715
"PMZS" 0.000463607146137629 0.00469879351307686 0.0028661678594914 0.00642703511832789 0.00561977058600299 0.00243011201995427 0.00537141723825222 0.00236369961972599 0.00238534846601404 0.000706720213919858 0.00151884702067868 0.00241937870552342 -0.000343359288218915 0.000518869571900413 0.00337799850335293 0.000938735517819391 0.000820555737077799 0.00134307308914118 0.00294339251851123 0.00206198637385403 0.00311478399622464 0.00334504370665661 0.00223303833161949 0.00234124553283498 0.00183413130958881 0.00238808211257636 0.00299658833983014 0.0011298988479329 2.51300430258311e-05 0.00145188415712174 0.000501167746355739 0.00287064668803384 -0.000528090328134185 -0.000154805794941802 -0.000498983978938432 0.000651554993121802 0.00303632575625572 -0.000392090099219261
"PMZI" 0.000451272438188829 0.0049679628627631 0.00324245225051525 0.00561977058600299 0.00658909071796728 0.00285687960829695 0.00340407279501083 0.00244848999470602 0.00306705073109329 0.000554275836843237 0.00163647471027405 0.00229465504187172 -0.000390937832332455 0.000826584533488221 0.00313304383127146 0.00148677623314451 0.0011130258482314 0.00134016152761912 0.00301824470597951 0.0016593045459939 0.00324767743236408 0.00360936859904272 0.00159634194718201 0.00195036907008583 0.00143551648957167 0.00265541826093078 0.00295882715967491 0.00110388436671776 0.00088988868804885 0.00132099151555131 -0.000825904971546055 0.00293338916950344 -0.000524789991134105 0.000517136330649252 -0.000429670916631623 0.000763180526939419 0.00300530299538092 -0.000707419875737248
"PMMT" 0.000398102183236287 0.00221148083167907 0.00134660239909847 0.00243011201995427 0.00285687960829695 0.00261548769879597 0.00138850950460131 0.000789615765835544 0.00141639939538674 0.000179848470439415 0.0008558618449207 0.00112773846223935 5.24526705651103e-05 0.000791100106531377 0.000980355116801293 0.000810989197324119 0.000692485941414848 0.00132653046504741 0.00164531413791149 0.000698773740086522 0.00149811179112506 0.00204023893349886 0.00196932285004184 0.00117882129485333 0.00114961928244646 7.8756617270235e-05 0.00176928636750744 0.000644723036830073 0.00116992919465972 0.000788470942562864 -4.77435770228398e-05 0.00158471867236978 -0.000240643767528918 0.000725939095963204 0.000521510812231316 0.00086006541928518 0.0016643854239167 -0.00106038460062216
"NSLNA" -0.00097086480140711 0.000392329131678102 0.000618781426841 0.00537141723825222 0.00340407279501083 0.00138850950460131 0.0127069971828042 0.00361867102997574 0.00208699477002559 -0.000535145487533967 0.00154359566928923 0.00216346662528433 -0.00152026490591184 -0.000858133865600042 0.00279806195497375 0.00124807950674552 0.0011920733776539 0.0014519932296906 0.00457553550461672 0.00254373784922857 0.001110165073146 0.00285335910092393 0.0011316553991214 0.00348779721865149 0.00250383497434063 0.000126660366351931 0.00340414796652087 0.00205721480580868 -8.72175916693224e-06 0.000716756421093352 -0.00023866528393058 0.00429982784058293 -0.000669076030818669 -0.00243771141890463 -0.00219361771867785 0.000664366043178703 0.001313851809982 0.00212669848802065
"NSLZS" 0.000314010464744094 0.000174308101300786 0.00114208265118407 0.00236369961972599 0.00244848999470602 0.000789615765835544 0.00361867102997574 0.00518474830109831 0.0021144151719844 0.000454627779600228 0.000509765944338895 0.000546713844358759 -0.000732208968591309 -0.000502133318870803 0.00295315991574541 0.000195678631350325 4.64976370685717e-06 -0.00136793893267708 0.00127148302720801 -0.00113150787028793 0.000858881630251868 0.000310166217432495 7.3810777817809e-05 0.000210050747533235 0.000405363201641704 0.00028974104662244 0.000805242343410201 0.000956858934069479 0.00128699964260775 0.000316682054948197 -0.000782821382000752 0.000972604685688512 -0.000207704744099067 -0.000593151739766546 -0.00175618508524867 -0.000492073248087882 0.000827179135717886 0.00128649608291167
"NSLZI" 0.000735796328590581 0.00219934877326593 0.00145530163258724 0.00238534846601404 0.00306705073109329 0.00141639939538674 0.00208699477002559 0.0021144151719844 0.00228596277751897 0.000376474983191816 0.000896433138641453 0.0011284542885563 -2.50562252142663e-05 0.000284708210765325 0.00133771348783254 0.000604556484356611 0.000480208468835251 0.000311656403041584 0.00131999886628856 0.000461891735987187 0.00158783859782746 0.00236349665410979 0.00112696260982571 0.00121068889037112 0.00133287379628528 0.00118677053566325 0.00164968907076243 0.000501789159578977 0.000869337870499943 0.000610287911241711 -0.000715503961779007 0.00126903814174535 8.8642262076802e-05 6.36335623142007e-05 -0.000180835929032113 0.000437108230559197 0.0012637773022293 7.59357881326608e-05
"NABR" 0.000116576736090264 -2.08790811564342e-05 0.000396298331212582 0.000706720213919858 0.000554275836843237 0.000179848470439415 -0.000535145487533967 0.000454627779600228 0.000376474983191816 0.00204004685731086 0.000189828095150141 0.000319631235429143 0.000760155676370012 0.000376525402485473 0.0014031987340487 -0.000215185357141356 -3.37902947124708e-05 -0.000176132832138235 0.000340266274347192 0.000763670047351495 0.000848489607507109 0.000702202764633918 0.00032149556171471 -3.37663398227148e-05 0.000753853614197305 0.000464798170164656 -0.000272158576473742 0.000508631146180827 -0.000411738100221442 0.000270711682077307 0.000211718028692728 0.000418843772309251 0.000302071527561459 -0.000197712586143582 0.000181282831773822 -0.000198056450279892 0.000580039288416875 -0.000100731920457466
