"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.0109062171661702 0.0056957228236643 0.00714747526077836 0.00387802765970702 0.00541965444287761 0.00276800059689605 0.00556749453636478 0.00473214974854553 0.00532292547792864 0.00172127428215509 0.0021853417064404 0.00326103328070478 0.00130514758576658 0.00265095697503544 0.00245011129194315 0.00297958436254809 0.00243205221989539 0.00306088327152273 0.00309244867939301 0.00110033199643319 0.00268588934135077 0.00595120997600176 0.00120966542678017 0.000309664441100191 0.00230042174346465 0.00476223102059466 0.0017660861312678 0.00202925470107199 0.00198399538351393 0.00347928784992274 0.00263223531889102 0.00228605664187253 0.00333843574240809 0.00134792234969508 0.00337222097578988 0.00213084692477481 0.00263318948414942 0.00140790578092801
"ISNSL" 0.0056957228236643 0.00838280736033679 0.00563280401430187 0.00567834594642019 0.00542615931758693 0.00244036909001533 0.00418672121969141 0.00386169192883342 0.00374926151702673 0.000646191314610088 0.00209359908956795 0.00313608321927603 -0.00012639365439953 0.00147352590564308 0.0038314461155624 0.00227262038888641 0.00171376364555727 0.00268546962730302 0.00307420228459711 0.0003111810779193 0.00275743596175 0.00356294890490585 0.00175298102359732 0.00180875605912705 0.00276872887131527 0.00499574630992612 0.00191866150338387 0.00186418891107726 0.000756723919473356 0.00252527554794957 0.00239128325815172 0.00193744920843036 0.00177175959515862 0.000763065684308608 0.00201746761049796 0.00113457467493865 0.00167619525924149 -0.000188157683299517
"ISPNS" 0.00714747526077836 0.00563280401430187 0.00742449706169269 0.00606083681549399 0.00661940365327544 0.0033784513662015 0.00503240017186604 0.00519212889475528 0.00468314394949812 0.00194743522939175 0.00242924003618406 0.00384771339533356 0.000368656369655586 0.0019238161180964 0.00381105622135733 0.00313708680643867 0.00256001526360565 0.00346463569311972 0.00380886449124155 0.000605961457537152 0.00267736181686419 0.00527047781099214 0.000257587054683228 0.000899497930077198 0.00298076872793832 0.00671475878698667 0.00048169094262274 0.00264889503782127 0.00146280084535341 0.00307839961412673 0.00347836280089904 0.00273264874083512 0.00242883793176672 0.000900414587470965 0.00291028462763522 0.00214773761409656 0.00243392533966691 -0.000142680092267109
"PMZS" 0.00387802765970702 0.00567834594642019 0.00606083681549399 0.0088037980424802 0.00771800717713289 0.00352837017271439 0.00752654437973921 0.00685496720137946 0.0047998290444309 0.00158767006872008 0.00199988555370059 0.00313996296898914 -0.000700581696350498 0.00140312656285935 0.00419113575085224 0.00335161026857041 0.00282696616921568 0.00450462049196495 0.00529391603925888 -0.00118562299393198 0.00320885323612238 0.0049885147688115 0.00115261032742439 0.00127671306065932 0.0038937304085623 0.00702885539729436 0.00206926921756113 0.0032214851972649 0.00228526112462406 0.00345438371240793 0.00383428885180704 0.00403996705779256 0.00175484140492422 -0.000610942845668027 0.00215943344503329 0.00213385810367822 0.00260150910599037 -0.000368354847956177
"PMZI" 0.00541965444287761 0.00542615931758693 0.00661940365327544 0.00771800717713289 0.00949571487262318 0.0040318315111988 0.00616633258491478 0.00588054180714617 0.00618726704930864 0.00200277039735515 0.00271827935794041 0.00363514824066545 3.76490525419161e-05 0.00207634346826962 0.00363661863331284 0.00362945830519486 0.00282395327753355 0.00416902643264833 0.00435925680614458 0.000982716949776983 0.00315658759356325 0.00684488324156676 0.000581182009066432 -0.000629118031914125 0.00251306215670829 0.00663902138972633 0.00251329332008141 0.00283643529408657 0.00224220313653685 0.00341989096335642 0.00303217248599921 0.0036626061098259 0.00204193036395703 0.000750800898677355 0.0030006567031545 0.00229513961904728 0.00317805148713774 -0.000857401518369571
"PMMT" 0.00276800059689605 0.00244036909001533 0.0033784513662015 0.00352837017271439 0.0040318315111988 0.00271178269963551 0.0026606238580697 0.00314390253351447 0.00266614894745823 0.00129986252448601 0.00140594442238987 0.00189121306073063 3.64735247857027e-05 0.00109512670485972 0.00261845109681644 0.00193646820289753 0.00148196587170476 0.00224622312208764 0.00225084002501594 0.000572554007656875 0.00153540863118154 0.0024468864347716 0.000854337031054714 0.000846607607402154 0.00169907881268662 0.00234487068956048 0.00157570391582069 0.00159884966563732 0.00118201279723802 0.00168809299772156 0.00237047928308927 0.00159900568641905 0.00103571449418744 0.000113270980247524 0.00164791821276547 0.00115019553318328 0.00154422931250554 -0.00026877617894458
"NSLNA" 0.00556749453636478 0.00418672121969141 0.00503240017186604 0.00752654437973921 0.00616633258491478 0.0026606238580697 0.0195111423315552 0.00749829591642685 0.00583469254582559 -0.00151588233255497 0.00119152062335895 0.00335892476635316 -0.00105776724726294 0.00113423481654111 0.00223053004763178 0.00349339813310404 0.00324106120800915 0.00597124129369644 0.00733848166302237 0.000566776200625245 0.00344840682267142 0.00694944260978958 0.00247616521146883 0.00032671127495157 0.00496313658039583 0.00593071181914741 0.00151996246542356 0.00342088909734873 0.00375715224427201 0.00369725174223865 0.00404112496896886 0.00599503895266706 0.00324848706287814 -0.00158100555805043 0.00227574847083503 0.0025974303788724 0.00301093244366275 0.00117021160897079
"NSLZS" 0.00473214974854553 0.00386169192883342 0.00519212889475528 0.00685496720137946 0.00588054180714617 0.00314390253351447 0.00749829591642685 0.00905167137187629 0.00488995856992074 0.001784885902392 0.00193330458416961 0.0024593232134919 -0.000876131040912473 0.00103440554866147 0.00379358597193025 0.00268210094381701 0.00246977232595581 0.00371867108931262 0.00470837611657503 -0.00214334392199992 0.00256470345184242 0.002924532291297 0.000620998531085514 0.00195982577092217 0.00387303171045186 0.00504202372162902 0.00312162982970895 0.00334984543895531 0.00331109209228426 0.00341595729261725 0.00297892506154996 0.00367830082375988 0.00146515122842185 -0.000548835800705447 0.00120375507295104 0.00182377400369573 0.00243698577822439 0.000939367550736312
"NSLZI" 0.00532292547792864 0.00374926151702673 0.00468314394949812 0.0047998290444309 0.00618726704930864 0.00266614894745823 0.00583469254582559 0.00488995856992074 0.0055143245234145 0.00127067709972142 0.00182974117843958 0.00262953534564211 4.31209671104398e-05 0.00130315409809985 0.00264634477123763 0.00261279033758421 0.00228653654177956 0.0032045078292888 0.00387943727196933 0.000275122985134278 0.00235996550322344 0.00631029025011098 0.0012120415200203 -0.000287436996334075 0.00270222023648353 0.00441785931867937 0.00209923068387808 0.00229867022520198 0.0024931554885439 0.00289095647379355 0.0018784999397522 0.003294023756202 0.00195800142539527 0.000559189885223181 0.00202641939561991 0.00190884174764124 0.00240662011608948 0.000151893024093689
"NABR" 0.00172127428215509 0.000646191314610088 0.00194743522939175 0.00158767006872008 0.00200277039735515 0.00129986252448601 -0.00151588233255497 0.001784885902392 0.00127067709972142 0.00278603867769572 0.000719791030424253 0.000356579407952156 0.00071621410118093 0.000798323197603068 0.00149728904526761 0.00099627797241913 0.0007323315590479 0.00121689507135707 0.0011531493287733 -4.34203039594136e-05 0.000514480631064728 0.00101037067587339 6.15507248886813e-05 0.000633630844759514 0.000966401142742609 0.00153109538480105 0.000886233975838622 0.000553559707728912 0.0012371780567474 0.00112432692555856 0.00109043624614718 0.000876950518755676 0.000477376902754343 -0.000457697610770865 0.000779895055490794 0.000851326809366909 0.000753416931785759 -8.21171772410515e-05
