"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00352001444315832 0.00184918621908675 0.00188088684830928 0.00227712972917476 0.0014048444279348 0.00101714931160622 0.00295620877683928 0.00128865907466473 0.00103198650231339 0.000247019171533569 0.000976725202781765 0.000984699938770016 -0.000188566411894523 0.000375052228109596 0.00253459465571139 -0.000174302212069189 0.000456572945314805 0.000111196382544003 0.000827458140129315 0.000717892980021547 0.0011381885124705 0.00108910778321893 0.00120584150857742 0.00235131387127731 0.00236029711859767 0.00112185878622496 0.00226638492990936 0.00253915509039458 0.00073668292214677 0.00119783177744996 0.0010566097327266 0.000271587317709312 2.02357919870018e-05 0.000909956363646874 1.50337490842102e-05 0.000120170814005979 0.000114274225304444 -0.000469080702713246
"ISNSL" 0.00184918621908675 0.00710660799069206 0.00373438509185205 0.00520957666984876 0.00340072930733575 0.00218685088786375 0.0010750658405339 -0.000586392288511328 0.00103751749454967 0.000924998946775461 0.000847457798714596 0.00103229282028097 0.000229967016069542 0.000621944352485304 0.003060582674446 0.000713903225157977 0.000640710156210628 0.0011051112614075 0.00233528109592589 0.00270313733099973 0.00225152319652707 0.00233506080548372 0.00184105718783165 0.00409548504422312 0.00225513940360326 0.00294665515749059 0.00351664572965263 0.00139717181178955 0.000587364276663132 0.00156487550517253 0.0028558728934224 0.00149613942876705 -0.000321157887669292 0.000477338627524337 -0.000356611003263234 0.000679577348095057 9.47813341764788e-05 -0.000980028251684652
"ISPNS" 0.00188088684830928 0.00373438509185205 0.00341406224642533 0.00366245881324026 0.0027932415093862 0.00170743793367255 0.0015142231061132 0.000501619737243074 0.00110800143990522 0.00101612511212433 0.00100954725128323 0.00110848598864417 0.00040333359698264 0.000735374425508147 0.00216246350738894 0.000237215887227649 0.000427656330486649 0.000701418394522156 0.00139525516244753 0.00185111384235078 0.00150811633830616 0.00187348138146052 0.00118193735307549 0.00296064099115658 0.00217551683888515 0.00233250137480339 0.00155917593109174 0.00127670835823269 0.000409711784640226 0.00140358863160686 0.00189491602970336 0.00136887117396614 -0.000177898359181586 0.000249704269967829 -9.46806822315882e-06 0.000527635279160363 0.00014702290526179 -0.00026218284952031
"PMZS" 0.00227712972917476 0.00520957666984876 0.00366245881324026 0.00843432203419444 0.00478965291325251 0.00268337990998565 0.00452143365582737 0.00291477310455597 0.00173764014156596 0.00100990016359706 0.00118844564855594 0.000812483881808547 -0.000498389683416906 0.000197268249874137 0.00342148182069525 5.10432391342557e-05 0.000255334599749242 0.00107029688162955 0.00333911207901068 -0.000846769576624351 0.00215700842082548 0.00225004070588531 0.00103212552462502 0.00431656974695535 0.00318114486643269 0.00337920630119697 0.00431436793464129 0.00149670511848585 0.00135578751162656 0.00175294916873306 0.00267224930908552 0.00252700801097058 -0.00125897087268868 -0.000249301763374856 -0.00052660370628004 0.000334396313023551 -9.08512680708587e-05 -0.000656144109196169
"PMZI" 0.0014048444279348 0.00340072930733575 0.0027932415093862 0.00478965291325251 0.00503396643395779 0.00244944276838289 0.00221621016526954 0.0013819305913873 0.00247905397808509 0.00111870020301122 0.0014501251633239 0.00097638113181309 0.000155691056006845 0.000461583652536926 0.00333259693720798 0.000160676795324202 0.000493105600873806 0.000397386198720045 0.00135825204194426 0.00140436386657027 0.00153310997074015 0.00364285168191903 0.000269979307788668 0.00181792973359877 0.000964793141110985 0.00247731970100672 0.00379811886407973 0.00174451832335421 0.00165456881704948 0.00169028086437605 0.0018719055322631 0.00174699352319097 -6.13822551872445e-05 0.000133475432586061 0.000358021351010429 0.00045703133737331 0.000328409130433306 -0.000167728332075305
"PMMT" 0.00101714931160622 0.00218685088786375 0.00170743793367255 0.00268337990998565 0.00244944276838289 0.00236617064881164 0.000488352297640201 0.000630531516758934 0.00115795614929488 0.000572075417323691 0.000886110633224122 0.000467606405547612 0.000302885785081508 0.000384033692963488 0.00164808101048619 0.000125681452468401 0.000305774043725397 0.000515637219668938 0.000968211652543856 0.000898916273912998 0.000951729616533703 0.00186332375661267 0.00119845931679209 0.00153894858567591 0.00105171378130749 0.000926482856723058 0.00226308754292874 0.000765990733688492 0.000845994981682192 0.000884088291963146 0.00177367470078644 0.00128676565712684 0.000559536517489989 0.000861573523255067 0.000901965352087645 0.000684511928588044 -1.83126931477047e-05 0.000411452885482662
"NSLNA" 0.00295620877683928 0.0010750658405339 0.0015142231061132 0.00452143365582737 0.00221621016526954 0.000488352297640201 0.0167625453416688 0.0042352049321034 0.00230478297521349 -0.00284847032612406 0.00147922985961306 0.00216807528783194 -0.0016973514079866 -0.000634496182175854 0.00482756370586946 -0.00184587250233793 4.88650934861508e-05 -0.000410718165215621 0.000477242301220637 0.000156837739564125 0.00116445243758621 0.00248248064643333 -0.0021209343938106 0.000897997901734734 0.00755607475097622 0.00262883172741301 0.00354746105241441 0.00512029708617557 0.00105623513537007 0.00152719092150585 0.00392993810959546 -0.000554663325065469 -0.000726184570440034 0.000198404309098061 0.000252871983133081 -0.000696967388436681 0.000999305227896762 -0.0015423114594312
"NSLZS" 0.00128865907466473 -0.000586392288511328 0.000501619737243074 0.00291477310455597 0.0013819305913873 0.000630531516758934 0.0042352049321034 0.00883439394465001 0.00241884225523715 0.00016129596826047 0.0020525082317831 0.00134678149002771 5.48982940155095e-05 0.000231683989810106 0.000739003910619374 -0.000433205133811873 0.000899086560512695 0.00140140276927625 0.000981371161903721 -0.00665748712084611 -0.000294608175610083 -0.00218149212155625 -0.000211965463080178 0.00057485479378016 0.00159785558983321 0.00107109608090072 0.00109614081525618 0.00232334462854319 0.00172118934850465 0.00126293632189198 0.00115218359917226 0.00136904579069114 0.000950799947649464 -0.000241826576796067 0.00141081768138969 0.000723336125235415 0.00112596609386156 0.000966242363814255
"NSLZI" 0.00103198650231339 0.00103751749454967 0.00110800143990522 0.00173764014156596 0.00247905397808509 0.00115795614929488 0.00230478297521349 0.00241884225523715 0.0028162173983542 0.0002788611884112 0.00134678129382552 0.00112265293755887 -7.39907176501905e-05 0.000139187087518411 0.00232889605439302 -0.000233768445660534 0.000582785540316956 0.000318889969118381 0.000792055143871713 -0.000331050718527541 0.000577289943659911 0.00328275251585704 1.08201901880494e-05 -0.000239640059869332 0.00114478828137708 0.00135371726085526 0.00170137907858564 0.00223815378313988 0.00162468084785054 0.00139125107365632 0.00152049980530649 0.00149587480600604 0.00091834825661451 0.000330275904696735 0.0012438021225729 0.000442097967503963 0.00058525881873376 -0.000385470773148091
"NABR" 0.000247019171533569 0.000924998946775461 0.00101612511212433 0.00100990016359706 0.00111870020301122 0.000572075417323691 -0.00284847032612406 0.00016129596826047 0.0002788611884112 0.00277862276174786 0.000298979070772131 0.000160556853653981 0.00120820398442852 0.000673749936562297 -0.000212953020232672 0.000696979959118036 0.000614674689258622 0.00150418943936325 0.00121958817937479 0.000173403569889633 0.000739056391656325 0.000349396247723105 0.000583343338926653 0.00135772480398273 -0.000925861517064768 0.00106963220639812 0.000760927705538477 -0.000399071617010962 0.000278999105700305 0.000503849602137528 -0.000163528065627215 0.00113798135874914 0.000412909146073301 -0.00140999993639968 5.95522380849945e-05 0.00110364244441039 -0.000450522757433032 0.000261008668671564
"NAFM" 0.000976725202781765 0.000847457798714596 0.00100954725128323 0.00118844564855594 0.0014501251633239 0.000886110633224122 0.00147922985961306 0.0020525082317831 0.00134678129382552 0.000298979070772131 0.00205824149771091 0.00133603690816948 0.000455392864294453 0.000602433787479165 0.00120013604371437 -0.000159039166047479 0.000509704452137593 0.000753583040327973 0.000354011168455841 0.000452352571296512 0.000617518809871693 0.000698058843147369 0.000122464694571431 0.000856976845089466 0.00165848306092653 0.0012985106345305 0.0016227696071174 0.00143896169972254 0.00122395590482573 0.00111904897137133 0.00162121980056185 0.000261896497383652 0.00108241824137473 0.000792264647890398 0.00140267886970044 0.000728859423626097 0.000425606311996205 0.000518700071259256
"NAPNS" 0.000984699938770016 0.00103229282028097 0.00110848598864417 0.000812483881808547 0.00097638113181309 0.000467606405547612 0.00216807528783194 0.00134678149002771 0.00112265293755887 0.000160556853653981 0.00133603690816948 0.00259364711043803 0.000530641562287504 0.000737482945669388 0.00220597361188015 6.15926491276781e-05 0.000693433859605405 0.000891637317168154 -0.000138542525652594 0.000326343180804324 0.00111376296417436 0.00106020749566546 0.000182500496254619 0.000269647429774164 0.00257368939291351 0.000475128089333259 0.000476334257756586 0.00176854331006071 0.000918182369846508 0.00115239311684599 0.00188057618446628 0.000128075101503989 0.00126108180201993 0.000806469014575481 0.00134577125850602 0.000747341633812778 0.000907827992332491 0.00065397007386916
