"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00360886237606855 0.00361017959844756 0.00254595093415947 0.0023229317138711 0.00200008875966826 0.000973193031954109 7.70538507845493e-05 0.00100077824248566 0.00139247676397497 0.000267330295449778 0.000344950316224592 -6.95221130799815e-05 5.09883603083287e-05 0.000485145996649916 0.00176473476041991 0.000634414206097018 0.000731644494951311 5.70948019280438e-05 0.0006333092782512 0.00143556011891696 0.00170780397853994 0.00168762224654865 -3.15407980514326e-05 -0.00045684044982375 0.00212757698406732 0.00297359304368847 0.00137559390659093 0.00175748861210033 0.00129667705019709 0.00103446641837664 0.00268756541179663 -1.02738737581821e-05 0.000875514317744278 0.000187390843587107 0.000427086050723223 -0.000301855755398874 -0.000310784892479011 0.000297482078308686
"ISNSL" 0.00361017959844756 0.00946414154610369 0.00435079926532906 0.00527970733581296 0.00489411815079792 0.000954838156689361 -0.000898279948362238 0.000959053242188085 0.00253370654193669 0.000804710211218483 0.000514648056553923 0.000208657250518258 -5.56276756228013e-05 -5.07349462077714e-05 0.00298498325600833 0.000864758766081889 0.0010525003532592 -0.000280205498149869 0.000594217454421 0.00367465198187012 0.00307546983261554 0.00244852019090179 -0.000903465830738916 -0.000412386991626061 0.00270207157849204 0.00665398987078006 0.00361063869994344 0.00177783134148793 0.00150582190992114 0.000900983217781346 0.00205656140407068 -0.000238435589872675 0.00126265054677515 -0.000911689381907628 0.000532272329489542 -0.000499085372494809 -0.000991102674115567 0.000385250047000838
"ISPNS" 0.00254595093415947 0.00435079926532906 0.00400088875091825 0.00335185982425094 0.00290711714925217 0.00106599218927937 -0.000532674168743884 0.00170809867415246 0.00195960045086723 0.0012990509865781 0.000712817111515668 0.00138798284019909 0.000115009845924923 0.000744325007740694 0.00294987809752968 0.000705357729398306 0.00104976000009021 0.000380542106581754 0.00170741921082814 0.00106071410336834 0.00222036311980692 0.00198450171073314 -0.000124654303102262 0.000951270793066765 0.00461851658540859 0.00500515559629369 0.000263050096288029 0.00224400614061374 0.00214329176760048 0.00125716148289001 0.00226898031324907 0.000830124650587176 0.00077064013749687 -0.000222667317526123 0.00065121200313548 7.84173163513729e-05 -0.000127966314594911 0.000763460302709792
"PMZS" 0.0023229317138711 0.00527970733581296 0.00335185982425094 0.00567927891083297 0.00395545806096048 0.00181187261530834 0.00248830757391 0.00242891451336821 0.00204902319843995 0.00105478263620766 0.000727998449265153 0.000967284048712456 -0.000284064221840546 0.00051661366163817 0.00402227983821184 0.000593721088340367 0.000621755182288485 -0.00023229216747677 0.00199169013720783 0.00150318178940123 0.00293891600597195 0.0021255544874755 0.000106393805397887 0.00174563248665012 0.00296495248355072 0.00527293750082226 0.00204303181633791 0.00251599654809148 0.0026998952151935 0.00142124351629889 0.00102858205861945 0.00216276594996303 0.000296254085380014 -0.00076011896811446 5.26764567952673e-05 -0.000503346476777505 -0.000541751114772698 0.000779500962049239
"PMZI" 0.00200008875966826 0.00489411815079792 0.00290711714925217 0.00395545806096048 0.00448300422972424 0.00118344170103686 0.000175765453924734 0.00105053321361866 0.00258259135850728 0.00103783509750893 0.000528403130588878 0.000258434747988971 0.000354588587271894 0.000647666657037639 0.00350810331804549 0.000637408036218796 0.000575549911311919 -0.000739015492991656 0.000934851682057082 0.00221483958613952 0.00244823901833066 0.00316030514388171 -0.000543802268212665 -0.000608681205502854 0.00153154602992948 0.0053414141735918 0.00279340533834254 0.00108527927951419 0.00188181822003161 0.00102742055752257 0.000912119256433482 0.00114386440721813 0.000392532241383847 -7.05017668231402e-05 0.00044313790743542 -0.000346750397404424 0.000418864412299538 0.00121130029709873
"PMMT" 0.000973193031954109 0.000954838156689361 0.00106599218927937 0.00181187261530834 0.00118344170103686 0.00140091020317659 0.00121119050192716 0.00108551129562991 0.000757873059818326 0.000330215962647623 0.000147307435381918 0.000305644141714887 -2.80947594954069e-05 0.00012485980004075 0.00101095377431711 0.000184747470412406 0.000317427277466997 0.000286902707209201 0.000930034907999441 -5.52627434032063e-05 0.000721369299588219 0.0010311005810394 0.000842744983249274 0.00023003519495394 0.00130229705436702 0.000522068510148953 0.000714906748020836 0.00120897682683417 0.000679717733952083 0.000456433534250246 0.00129961893055286 0.0011298343139425 0.000133507294024796 -0.000653011223052921 -0.000187587482460285 4.00726088865813e-05 7.30491740415161e-05 0.000765437364980852
"NSLNA" 7.70538507845493e-05 -0.000898279948362238 -0.000532674168743884 0.00248830757391 0.000175765453924734 0.00121119050192716 0.0153767773263825 0.000788390023917607 2.04619813437711e-06 -0.00224927809550423 0.000247986259565834 0.00238711580652134 -0.000947427039982104 -0.000349691931481008 0.00181892602235228 0.000281121907774014 1.75468327009556e-05 0.00165685936363909 0.00197705780034464 0.00188668525921792 0.00208460897389422 0.00118228752455234 0.00238858703607401 0.00345090872525928 0.00156858828753467 0.000672845786692464 0.00199697521997547 0.00183758242442742 0.00143291274667496 0.00169425240556543 0.002899244349311 0.00212959181861513 -0.0009593696118314 -0.00126927984420912 -0.000522670904089793 0.00119778372001631 -0.000746652409326466 0.00135286604369137
"NSLZS" 0.00100077824248566 0.000959053242188085 0.00170809867415246 0.00242891451336821 0.00105053321361866 0.00108551129562991 0.000788390023917607 0.00425661894307267 0.00122669906724038 0.00167673680606805 0.0008845795729406 0.000747497916922558 0.000126648793945753 0.000577371449117399 0.00163156774592375 0.00048479516603389 0.00055882212180102 0.00063642151046453 0.00222428783695971 -0.00208109737970039 0.000694269716864522 -0.000665072861540046 0.000336812283729271 0.00149166314152924 0.00253467284193202 0.00160441582432306 -4.6624654493472e-05 0.00172770179852302 0.00199832896688563 0.001113289155802 0.000426972411323477 0.00300017838600228 0.000557755884992417 -0.000488814633071859 0.000203425947891618 0.000196363409124795 -0.000475513986408433 -2.81747566273211e-05
"NSLZI" 0.00139247676397497 0.00253370654193669 0.00195960045086723 0.00204902319843995 0.00258259135850728 0.000757873059818326 2.04619813437711e-06 0.00122669906724038 0.00226829131357373 0.000942508053908672 0.000607180521063845 0.000734711363408263 0.000221208428413285 0.000483229175770886 0.00248847978655765 0.000649772024300478 0.000554859144466463 -0.000175920093212575 0.00121172835789283 0.00115426492530815 0.00175911844218177 0.00267158004978644 0.000309119274527785 -0.000477147480038987 0.00221613956351905 0.00356758205593156 0.00160234506880639 0.00083622490232561 0.00129655372865309 0.00100685802933523 0.00132533697117766 0.00155911608814853 0.000253262564659235 -4.84476309488969e-05 0.000265432665833064 4.33107205137668e-05 0.000130564915119463 0.00104148223759287
"NABR" 0.000267330295449778 0.000804710211218483 0.0012990509865781 0.00105478263620766 0.00103783509750893 0.000330215962647623 -0.00224927809550423 0.00167673680606805 0.000942508053908672 0.00334142515939792 0.000748521593925532 0.000634374409569084 0.00168823027323548 0.00132439027742853 0.000880967333326446 0.000383256031610057 0.000611966367835949 0.00098869515463931 0.00162459954694573 -0.000467993295015721 0.00125440690188377 0.000174671366972233 0.000393299706266886 0.000800538714229765 0.00186996732984813 0.00304974673903741 -0.000112332549157125 0.000499147996063569 0.00123566498011093 0.000689597408813806 -6.49342335789853e-05 0.00144540187840385 0.00102261605771071 -0.00119421564748896 0.00122621244293457 0.00067332596283679 0.000999008676759369 0.000433814879718871
