"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.0074839932278612 0.00522177708617488 0.00509156158283369 0.00489402817956902 0.00297354933192574 0.00240966970546227 0.00384306074374494 0.00448499678071705 0.00238108095909976 0.00104695952058718 0.00154990082310189 0.0032798806548285 0.000415607506996644 0.000698049930503736 0.00525779965257518 0.00071563964457905 0.000657987778523196 0.00110344167128305 0.00175562798524124 -0.00117103103834945 0.00362307036330318 0.00190268161906601 0.00266647709442333 0.00425659429988299 0.00289879302984386 0.0046366210953292 0.00290402586631346 0.00124220082370659 0.000654064555950641 0.00184357014183147 0.00255306322515927 0.00237103151275157 -0.000434089289199161 0.0011656698286292 0.000688828958482835 0.000907728187719913 0.00026403444257168 0.000403208876455449
"ISNSL" 0.00522177708617488 0.00881159221169368 0.00562232956806414 0.0072426382505357 0.00465284129826508 0.00266910503449651 0.00243066681845042 0.00219830411250895 0.00230934888162949 0.000902401897023322 0.00184288012348558 0.00334942696221419 0.000427323735327437 0.000701389350144504 0.0058037487106302 0.000989357768528693 0.000691495738584664 0.000389126183851962 0.00183486785091383 0.000692940905095692 0.00361422214524391 0.00330575747519516 0.00191968854736107 0.00438220743781657 0.00218459423588922 0.00552846739474823 0.00352328534162867 0.00168955299408579 0.00154972702562938 0.00133209613414979 0.00298689257896793 0.00100668725274058 -0.000779933615859514 0.00191291456929558 0.000570029068342223 0.000926368959963817 0.00122173624233246 0.000293542804819879
"ISPNS" 0.00509156158283369 0.00562232956806414 0.00635085330285743 0.00617821486822565 0.00432355555456425 0.00265763929933644 0.00442080313904763 0.00287736165298478 0.0023401119995744 0.00142512549570932 0.00169361273355746 0.00358719272038189 0.000488206467091271 0.000842688126788722 0.00663980493744184 0.00125070503644648 0.00107697994173836 0.00113432185407437 0.0022647070059593 0.000392262551173581 0.00366030390126648 0.00325573955363282 0.00195993144806584 0.00424258313075919 0.00240375609272802 0.00539854337505947 0.00145833825372617 0.00209914808214899 0.000934555021275817 0.00188828684678667 0.00333101591244663 0.0021560498406384 -0.000734101703068152 0.000815768858814797 0.000944174288703798 0.00101328723733249 0.000260808909646447 -0.000471258984062579
"PMZS" 0.00489402817956902 0.0072426382505357 0.00617821486822565 0.00992519886777797 0.00607597499107005 0.00360378571049906 0.00668203428408321 0.00445221866328501 0.00315072051851897 0.00199408805084691 0.00231768380057578 0.00367129536763282 0.00035979879088977 0.00137882861878135 0.00687874233552031 0.00226260860282143 0.00172166258124795 0.00222918648936292 0.00413808926360807 0.00142955742682206 0.00463411857564365 0.0044093690011519 0.0034795604520173 0.00537378381420691 0.0035759018473714 0.00676705202671734 0.00605428144362763 0.00221176914900291 0.00213074915256574 0.00226719636854406 0.00385579430192332 0.00322951341292769 -0.00078899022057579 0.00197849961716226 0.0014281693369388 0.00170944533096997 -9.44046561884487e-05 -0.000247434781068312
"PMZI" 0.00297354933192574 0.00465284129826508 0.00432355555456425 0.00607597499107005 0.00449051765074292 0.00247407262676219 0.00460674183750548 0.00303359840448534 0.0027158216016891 0.00135027929467154 0.00184233934296807 0.00267780137280817 0.000430479993820134 0.000990385680739766 0.00416196106712894 0.00155924365831346 0.00133487194427264 0.00187257569016827 0.00305663744667329 0.00119991940255189 0.00300974061541121 0.00367550752742981 0.00176977511668294 0.00281488397972537 0.00203409390074211 0.0043098933161792 0.00315812737615772 0.00161253974930851 0.00097382020332334 0.00151041957696593 0.0024584464049411 0.00224707285530962 -0.000272936425190901 0.00115406228083386 0.00113670700740468 0.00134343274144376 0.000351899816588308 -0.000176639851826695
"PMMT" 0.00240966970546227 0.00266910503449651 0.00265763929933644 0.00360378571049906 0.00247407262676219 0.00243966498491442 0.00326960094175554 0.00284523460678853 0.00159978577978717 0.000590075872603285 0.00103621688573466 0.00135686520136607 0.000272731677330164 0.000431475168160566 0.00271827990440614 0.000801556253954143 0.000465386923476024 0.00078314088382914 0.00140712944581605 -0.000146475225855822 0.00137331888804287 0.00133843945303655 0.00132653250884262 0.00248623594512851 0.00117504181348529 0.0023361607723351 0.00278314612777216 0.000679615383232002 0.00136316256550933 0.0009588219167205 0.00167119642995079 0.000741250724617383 0.000567130471078272 0.0002148349773558 0.00126180621026223 0.000707553042505469 0.000247176643722089 0.000288407951630478
"NSLNA" 0.00384306074374494 0.00243066681845042 0.00442080313904763 0.00668203428408321 0.00460674183750548 0.00326960094175554 0.0130622154430035 0.00559820048565722 0.00343967916455116 0.000541264844149054 0.00154682671636442 0.0036783974111923 -7.27325236367158e-05 0.000984063255724757 0.0045252587736735 0.00260576748933936 0.00193030766317919 0.00331098471022096 0.0046380154184658 0.00120833167975353 0.00366409746449959 0.00432716690609715 0.00287943633438435 0.00312672898734563 0.00353405678674286 0.00411907153016665 0.00609141508400112 0.0011458856386916 0.000941243573406848 0.00215770113217434 0.00255413247301149 0.00509854420896626 -0.000794222499667964 0.00161011284482629 0.000601480877591318 0.00186996327383825 -0.000696279561122497 -0.00140339319671342
"NSLZS" 0.00448499678071705 0.00219830411250895 0.00287736165298478 0.00445221866328501 0.00303359840448534 0.00284523460678853 0.00559820048565722 0.00869264953931523 0.00356586788106426 0.00155036867624909 0.00241362916968119 0.00190796791609145 0.000655578283875048 0.00140543927376203 0.00226305583774373 0.00193572525154466 0.00164457041143445 0.00255813811949461 0.00351175379062145 -0.000887776739671822 0.00277621813608814 0.000268139974646485 0.00242320679911294 0.00409554829743452 0.00343819854179461 0.00350072470838673 0.00554100502294255 0.00135241598260814 0.00176695993097413 0.00159837935076572 0.00156527493104997 0.00367778267306057 0.000351876207107933 0.000920575513035239 0.00145687862393553 0.00145865101930839 -0.00114140838773757 0.00102593084006515
"NSLZI" 0.00238108095909976 0.00230934888162949 0.0023401119995744 0.00315072051851897 0.0027158216016891 0.00159978577978717 0.00343967916455116 0.00356586788106426 0.00291662028650936 0.000978766704205266 0.00159149228239337 0.00204307914353122 0.000444822719839612 0.000763454116251093 0.00194117926662077 0.00115196019703054 0.00108565535561872 0.0019200529260466 0.00280405743395605 0.000263972730844675 0.00197012313367192 0.0031278095369276 0.000871326144859754 0.00165033927580386 0.0020580912216721 0.00218213365892042 0.00243022704198484 0.0010162694947688 0.000901244077164965 0.00100762706534781 0.00150261353073681 0.00290243732763376 0.0004333055864288 0.000991785103218542 0.000975693014559804 0.00107879833688769 0.000218891962579917 0.000562580790472765
"NABR" 0.00104695952058718 0.000902401897023322 0.00142512549570932 0.00199408805084691 0.00135027929467154 0.000590075872603285 0.000541264844149054 0.00155036867624909 0.000978766704205266 0.00294695741298351 0.000954333326332002 0.00132316441713629 0.00142419387810825 0.00133908718341971 0.00206045321461747 0.00129561863118517 0.00106887921495721 0.00144193808435092 0.00144716209095856 0.00109814670278677 0.00166703127802832 0.000727436833692183 0.000584758763041345 0.00168049338880656 0.00111515980564571 0.00240777594381105 0.00108425813226579 0.00089595373920244 0.00102101499909428 0.000835614911681279 0.00157091678758296 0.00103026951927364 0.000307421631978819 -0.000269224713494572 0.000970709757840091 0.00101049710943475 -0.000197570774559224 0.000811469788571383
